stdid,grpid,tchid
std_1593664692958_21,2bcf1892-bd13-410b-8a11-e0a7d5556c41,tch_20200702-094355_21
std_1593664857606_23,6be4e34c-79f1-47da-ac4c-931ba01cf910,tch_20200702-094355_23
std_1593664519473_20,d9473734-a040-4b21-9d69-82ea446c3753,tch_20200702-094355_20
std_1593664353504_19,82690394-6d20-40f5-8cc6-8a4fe0f80f1f,tch_20200702-094355_19
std_1593664702609_22,60476fb7-0fe9-46eb-8b06-953e6306b0b6,tch_20200702-094355_22
std_1593664553615_21,3ca1e4fe-1ac6-4d12-88a8-982a2ac7aa57,tch_20200702-094355_21
std_1593664716806_23,8269f5d6-1336-434d-bf91-af66ae3508f2,tch_20200702-094355_23
std_1593664389368_20,dc99ea9e-9d5b-4ab4-a559-50b265359e50,tch_20200702-094355_20
std_1593664898398_24,d418c7e7-a04d-4c1a-94ba-7c180782387b,tch_20200702-094355_24
std_1593664570892_22,83565118-2951-495c-b6c9-0e957d2a6dab,tch_20200702-094355_22
std_1593664420869_21,d3918f91-2892-4ec3-81a2-556744dbf857,tch_20200702-094355_21
std_1593664587332_23,0cfce1ea-b636-4650-9d93-d13293521c1a,tch_20200702-094355_23
std_1593664935531_26,77bf54a9-a230-4211-973a-7409b3374ce2,tch_20200702-094355_26
std_1593664929885_25,38178be0-59ec-455e-9d67-5b924cd16a9d,tch_20200702-094355_25
std_1593664761982_24,270e8b56-f34d-4397-8c98-b14c62ba5da4,tch_20200702-094355_24
std_1593664438724_22,0a9f1572-db42-4922-bc30-7fb0f94ed0b6,tch_20200702-094355_22
std_1593664454312_23,a13245e9-bd43-4133-b40f-c8aa2b51e82a,tch_20200702-094355_23
std_1593664970389_27,62a1bfe3-46e3-47b0-85d3-32907c2fb67d,tch_20200702-094355_27
std_1593664809154_26,8347891f-4ada-414c-92f1-8a7bd0fc4c91,tch_20200702-094355_26
std_1593664797011_25,351ef361-e141-48f6-888a-978f3e2badf3,tch_20200702-094355_25
std_1593664632016_24,492ad1c4-eee6-40c1-8ac2-e08c3810e57f,tch_20200702-094355_24
std_1593664836865_27,dad26870-f70e-45c7-ba71-c09a5e2b1e56,tch_20200702-094355_27
std_1593664684739_26,51add255-2514-4d56-8966-f41ab47a9947,tch_20200702-094355_26
std_1593664659204_25,0eafbda4-441b-44e6-b721-6a7c7be4e6f5,tch_20200702-094355_25
std_1593664493390_24,c0392e0e-adee-4df0-bb5f-158588c9319a,tch_20200702-094355_24
std_1593664545733_26,df67fd33-8131-4c79-8a33-fd77631606d5,tch_20200702-094355_26
std_1593664707713_27,99a2f109-7df9-47ac-af1e-01fb9bc987cc,tch_20200702-094355_27
std_1593664524613_25,f8b668a3-f5a1-495e-9454-95db91248f2c,tch_20200702-094355_25
std_1593665060503_28,5c4fbf8b-d7dd-4246-ae2e-61e10fe133d6,tch_20200702-094355_28
std_1593665059520_29,c6b2e144-92f6-4d11-9ea5-15a7075d57d3,tch_20200702-094355_29
std_1593665088295_31,3873f940-58c7-4dcd-86d4-e747a42f0dad,tch_20200702-094355_31
std_1593665085983_30,2b7217d5-ef7e-48a2-83db-6e3286ec210c,tch_20200702-094355_30
std_1593664574403_27,d0a6fbc9-3b72-49f8-8f5d-ddf5afd08f5e,tch_20200702-094355_27
std_1593664928454_29,c40429ed-f851-40a0-9a24-0ae2e57abf3c,tch_20200702-094355_29
std_1593664924654_28,9be0fd2c-0410-4010-9c00-15ed22387cc9,tch_20200702-094355_28
std_1593664957238_31,5c59d0d2-4161-4915-8793-5edc0da87db3,tch_20200702-094355_31
std_1593664948989_30,aeb598de-e7d0-49da-85ae-680fd05f7622,tch_20200702-094355_30
std_1593664787370_29,21991e78-892f-4f86-857c-75f6f66626b2,tch_20200702-094355_29
std_1593665137721_32,43f7624a-ecc0-4759-9991-ea77b92c7036,tch_20200702-094355_32
std_1593664789272_28,106f1600-7300-4d11-9845-50ccb3c3dc87,tch_20200702-094355_28
std_1593664826638_31,2a71e3cc-15db-4a9c-9f10-cae6c2026145,tch_20200702-094355_31
std_1593664816695_30,91c911af-47d3-48dd-9553-922e332cca1a,tch_20200702-094355_30
std_1593665167637_33,ef4282e1-eea0-43e1-9aad-6b69fae78336,tch_20200702-094355_33
std_1593664652803_29,4e873b5a-f01c-4bfb-b18a-04a9cbcb34a1,tch_20200702-094355_29
std_1593664997924_32,746586a9-1055-42c7-a090-884cd9989366,tch_20200702-094355_32
std_1593664645510_28,286e93fc-87c8-4b8a-a9c3-7714595842e5,tch_20200702-094355_28
std_1593664699097_31,93cb8712-68ae-4c15-ba37-1de37f0c538f,tch_20200702-094355_31
std_1593664680357_30,141b0a51-28eb-4e40-97f6-0f60d8fc2a10,tch_20200702-094355_30
std_1593665027942_33,35213da4-d062-4d54-9507-603a1ec7ff34,tch_20200702-094355_33
std_1593664871199_32,f73924ba-7d54-42e6-92fb-1ad9bb5dce7b,tch_20200702-094355_32
std_1593665207445_34,08371682-2ef1-406d-ada8-fb3bb56a8c26,tch_20200702-094355_34
std_1593664898602_33,e83496d6-6672-4fff-8003-997b71e44357,tch_20200702-094355_33
std_1593665249334_35,8f992c2e-bfc1-4d03-afd1-3d95415ea245,tch_20200702-094355_35
std_1593664740986_32,dda99c31-cf8c-40f3-a3ce-5cce0b627363,tch_20200702-094355_32
std_1593665074157_34,26f09a29-e14d-4488-94b1-8444dd08d61c,tch_20200702-094355_34
std_1593665114043_35,3c152b2e-2081-464b-9570-26c49720cb2d,tch_20200702-094355_35
std_1593665279072_37,863ebdcf-27be-4c8b-8894-200c631f51d5,tch_20200702-094355_37
std_1593665275270_36,b1a47e2f-34ea-4e78-99c0-addaec4dd975,tch_20200702-094355_36
std_1593664774247_33,9f1516b2-0aa4-480c-b8b0-365575e19666,tch_20200702-094355_33
std_1593664932337_34,69c14808-1101-40c6-9a0b-3d0a0532a6a1,tch_20200702-094355_34
std_1593665144802_37,3a939718-6922-457d-a992-47bd4e1d705b,tch_20200702-094355_37
std_1593664978401_35,c14e9242-b582-4102-8b64-1d3a3738a30a,tch_20200702-094355_35
std_1593665134880_36,ee80eccd-856d-47f4-be84-2d72378f0445,tch_20200702-094355_36
std_1593665327228_39,9c8b7548-078a-4645-8b38-0b3a78a634dc,tch_20200702-094355_39
std_1593664803874_34,95e121a9-fd27-4047-8c71-b1156314cb6d,tch_20200702-094355_34
std_1593665335080_38,e1f7b6ff-2803-4932-8a5d-81094f72919d,tch_20200702-094355_38
std_1593665020419_37,92da30b1-428a-4956-b746-3a72536daa72,tch_20200702-094355_37
std_1593664841104_35,7b3197c8-104d-4c51-9eb7-f9d51b006d62,tch_20200702-094355_35
std_1593664999351_36,df46cb52-b0fa-4351-aedf-2a22fd1577cb,tch_20200702-094355_36
std_1593665196364_39,fdf26e98-84ef-4a49-9ccb-108a77a9faa6,tch_20200702-094355_39
std_1593665377277_40,1785eb8b-21f2-41f0-b223-595e015c8007,tch_20200702-094355_40
std_1593665201042_38,1bc27ea3-f63a-4e84-9412-78a6a4f63fdf,tch_20200702-094355_38
std_1593664884982_37,4c76cdcd-b63f-4382-b164-af6ee40c2942,tch_20200702-094355_37
std_1593664861554_36,a1468492-c6ea-4e6c-ab96-3ce3c8087671,tch_20200702-094355_36
std_1593665067575_39,2a4a8701-3334-421c-a15e-892e4baa3fb4,tch_20200702-094355_39
std_1593665248035_40,2383fe3c-c2e9-4e71-89bb-99c02a39bdd6,tch_20200702-094355_40
std_1593665067333_38,b94914b6-b167-4deb-80c4-82f3e43e63c0,tch_20200702-094355_38
std_1593665418334_41,7ff6acf1-16e0-4836-8c62-2d3235939e90,tch_20200702-094355_41
std_1593665428091_42,3d6e3481-2a42-4496-9e38-3944efc0a023,tch_20200702-094355_42
std_1593664932631_38,e223c302-77cc-4223-839a-c2f40c706d93,tch_20200702-094355_38
std_1593664929380_39,53dce30c-62e7-4b6f-831e-528000223708,tch_20200702-094355_39
std_1593665126465_40,fd613756-f4e9-4738-86c0-20b84dcf2054,tch_20200702-094355_40
std_1593665285517_41,75e94a5e-d6cf-40e1-8df9-25030cbabfb5,tch_20200702-094355_41
std_1593665295861_42,f8751d7b-6f81-4911-a597-ec93d9d08912,tch_20200702-094355_42
std_1593664997157_40,a2604786-dd87-4d5d-ab12-1dea6cdd0930,tch_20200702-094355_40
std_1593665487456_43,0ee43da0-309f-44c1-9798-7fd47d209e34,tch_20200702-094355_43
std_1593665155499_41,c03f23c8-2524-4eba-9195-2fe3946cab0e,tch_20200702-094355_41
std_1593665494069_44,8ceb774f-c532-4c64-8e46-e93e4131cda6,tch_20200702-094355_44
std_1593665160855_42,0a9628cf-d32d-41e9-a809-99349c6012f7,tch_20200702-094355_42
std_1593665350987_43,0ba9e4e8-d740-40b6-a6db-e2a0cfe14c2f,tch_20200702-094355_43
std_1593665022976_41,17e60c49-5c95-4dc9-9d48-2b4f86a7760c,tch_20200702-094355_41
std_1593665363397_44,1e3ffb38-0f0b-410d-a395-93a603e4077c,tch_20200702-094355_44
std_1593665032249_42,0a67b7aa-4cdf-494d-84b3-651d39eac437,tch_20200702-094355_42
std_1593665547549_45,bd2ac1c8-4559-4410-a5d0-17a8d4d6b379,tch_20200702-094355_45
std_1593665214447_43,5cf3db22-2a38-4187-bbd7-6bfae6ffc501,tch_20200702-094355_43
std_1593665558334_46,b4eaf48f-a567-4027-998e-5bde4bad8927,tch_20200702-094355_46
std_1593665239158_44,c9ea13bc-2cea-415d-a730-67b6756f0f31,tch_20200702-094355_44
std_1593665412060_45,19b8bb47-4427-4e53-8b22-ac138766e8b4,tch_20200702-094355_45
std_1593665594630_47,38cac14f-8ece-4a49-aad2-47fe217f4f8e,tch_20200702-094355_47
std_1593665084947_43,e4226f1e-5903-4e05-a3f5-14a878baacb0,tch_20200702-094355_43
std_1593665433909_46,4e202db0-3def-48ef-a736-a31f68dd5cc0,tch_20200702-094355_46
std_1593665108157_44,3c73f2c2-7865-42c0-9b94-4e4eaafcfbb6,tch_20200702-094355_44
std_1593665269507_45,cb297609-2c6c-4b41-ad9b-49be22a02a9c,tch_20200702-094355_45
std_1593665463773_47,5993eb1c-a4ce-481d-8b17-6f3cc42343c7,tch_20200702-094355_47
std_1593665302604_46,f23e69f6-daa2-403e-8ccd-ccb66959e8d0,tch_20200702-094355_46
std_1593665644952_49,d0179cb1-bd1a-4926-a003-6b8f96b84baa,tch_20200702-094355_49
std_1593665648150_48,ac390562-6fd1-492f-8b74-c50c2a676256,tch_20200702-094355_48
std_1593665139247_45,d20383dc-c35f-4f4a-8a6c-4c5aec116d29,tch_20200702-094355_45
std_1593665666169_50,44c81655-3fc9-46bc-8320-473b83f334b7,tch_20200702-094355_50
std_1593665330245_47,05897e0f-ff01-45fe-9b9c-f979c6bbc3c1,tch_20200702-094355_47
std_1593665509495_49,eadd4cda-b543-489a-8fba-1c3b8d703c1f,tch_20200702-094355_49
std_1593665165842_46,8f89e951-39dc-4d0d-a668-0e80bacfb348,tch_20200702-094355_46
std_1593665502060_48,6ed920a0-d10f-4eed-829e-a63a2d278287,tch_20200702-094355_48
std_1593665546867_50,a2ff4807-47b1-4bf7-a130-34d1bf645027,tch_20200702-094355_50
std_1593665196469_47,e37500f7-6717-4dc1-82ce-50a0444d0fdb,tch_20200702-094355_47
std_1593665382267_49,9d746d93-7cd4-4013-9b91-a6fba24084a7,tch_20200702-094355_49
std_1593665362893_48,22bb78a1-60d1-4a9d-b0e5-4b5c5cc050f6,tch_20200702-094355_48
std_1593665422380_50,dd45df4f-9636-4c55-86a0-925feaed8ca2,tch_20200702-094355_50
std_1593665251339_49,918aa3f0-5fc0-4405-b8f1-d4d4c88a74d2,tch_20200702-094355_49
std_1593665227226_48,5f7ee949-9d11-439c-8e37-620ac71e2fd3,tch_20200702-094355_48
std_1593665284235_50,04833b3c-a8f8-4d86-8063-02a6ae1b3cce,tch_20200702-094355_50
