teacher,classtitle,classcode
tch_20210323-125437_39,class_20210323-125437_39,4wVX-H9Bw
tch_20210323-125437_40,class_20210323-125437_40,jXAY-aQC3
tch_20210323-125437_41,class_20210323-125437_41,Z8Z8-p7b3
tch_20210323-125437_42,class_20210323-125437_42,h8z3-2JQ6
tch_20210323-125437_43,class_20210323-125437_43,6o4u-8nE8
tch_20210323-125437_44,class_20210323-125437_44,Wuw8-jy7D
tch_20210323-125437_45,class_20210323-125437_45,m867-Pa47
tch_20210323-125437_46,class_20210323-125437_46,r87H-Fjg8
tch_20210323-125437_47,class_20210323-125437_47,3PFq-29Hk
tch_20210323-125437_48,class_20210323-125437_48,2Za3-yqn4
tch_20210323-125437_49,class_20210323-125437_49,Btyj-daDf
tch_20210323-125437_50,class_20210323-125437_50,sUx2-AdpU
tch_20210323-125437_51,class_20210323-125437_51,iG6W-t2BD
tch_20210323-125437_52,class_20210323-125437_52,V6TA-fewG
tch_20210323-125437_53,class_20210323-125437_53,TndP-T9Vb
tch_20210323-125437_54,class_20210323-125437_54,KmU7-ZE8H
tch_20210323-125437_55,class_20210323-125437_55,Nscn-W7YN
tch_20210323-125437_56,class_20210323-125437_56,bGsP-RvW2
tch_20210323-125437_57,class_20210323-125437_57,jrn8-AVgR
tch_20210323-125437_58,class_20210323-125437_58,t498-c4Do
tch_20210323-125437_59,class_20210323-125437_59,Ufb4-eC98
tch_20210323-125437_60,class_20210323-125437_60,veU3-P4Z6
tch_20210323-125437_61,class_20210323-125437_61,tVaG-3pxU
tch_20210323-125437_62,class_20210323-125437_62,hEw9-Xuot
tch_20210323-125437_63,class_20210323-125437_63,Rc4q-fRQf
tch_20210323-125437_64,class_20210323-125437_64,xnx9-8ij4
tch_20210323-125437_65,class_20210323-125437_65,Q34e-dQkP
tch_20210323-125437_66,class_20210323-125437_66,v8nr-YoKJ
tch_20210323-125437_67,class_20210323-125437_67,LYvB-XRNe
tch_20210323-125437_68,class_20210323-125437_68,XuCB-awTs
tch_20210323-125437_69,class_20210323-125437_69,fBXN-QY3U
tch_20210323-125437_70,class_20210323-125437_70,Pv9X-N7nu
tch_20210323-125437_71,class_20210323-125437_71,kfT6-EyLe
tch_20210323-125437_72,class_20210323-125437_72,tBvw-yNjE
tch_20210323-125437_73,class_20210323-125437_73,qC62-bg8A
tch_20210323-125437_74,class_20210323-125437_74,sMQ8-jCUV
tch_20210323-125437_75,class_20210323-125437_75,9dbG-fRbR
tch_20210323-125437_76,class_20210323-125437_76,prQF-2Df3
tch_20210323-125437_77,class_20210323-125437_77,Jr8e-Z9k8
tch_20210323-125437_78,class_20210323-125437_78,764v-9NMy
tch_20210323-125437_79,class_20210323-125437_79,re38-KFY7
tch_20210323-125437_80,class_20210323-125437_80,gHQs-vR6z
tch_20210323-125437_81,class_20210323-125437_81,428y-EAuD
tch_20210323-125437_82,class_20210323-125437_82,rWcu-fnV4
tch_20210323-125437_83,class_20210323-125437_83,N2QD-bn93
tch_20210323-125437_84,class_20210323-125437_84,TUWv-ieNQ
tch_20210323-125437_85,class_20210323-125437_85,F24r-F98h
tch_20210323-125437_86,class_20210323-125437_86,HZwg-9EUV
tch_20210323-125437_87,class_20210323-125437_87,KV7M-kqvL
tch_20210323-125437_88,class_20210323-125437_88,ADT8-j8F8
tch_20210323-125437_89,class_20210323-125437_89,j7Td-BYd7
tch_20210323-125437_90,class_20210323-125437_90,3747-uB3Q
tch_20210323-125437_91,class_20210323-125437_91,u4Q8-gULt
tch_20210323-125437_92,class_20210323-125437_92,2Zy2-VT36
tch_20210323-125437_93,class_20210323-125437_93,3y7b-y3J9
tch_20210323-125437_94,class_20210323-125437_94,NJzf-RAN9
tch_20210323-125437_95,class_20210323-125437_95,b2g2-H9Q2
tch_20210323-125437_96,class_20210323-125437_96,F6Pm-2L9M
tch_20210323-125437_97,class_20210323-125437_97,kPZN-469Q
tch_20210323-125437_98,class_20210323-125437_98,W9Za-RLAk
tch_20210323-125437_99,class_20210323-125437_99,24vQ-jJ9v
tch_20210323-125437_100,class_20210323-125437_100,FL7u-F7Yf
