tchextid,userid,stdextid,classcode
tch_20210318-111245_17,92b14fa7-87bb-11eb-945b-0242ac110003,std_1616052524628_17,Q3cu-VzNY
tch_20210318-111245_19,921a18bf-87bb-11eb-9a2d-0242ac110003,std_1616052523591_19,T8GZ-vubC
tch_20210318-111245_22,93840930-87bb-11eb-9a2d-0242ac110003,std_1616052525691_22,9aW3-b8b6
tch_20210318-111245_20,973eeec8-87bb-11eb-9a2d-0242ac110003,std_1616052532254_20,WBd7-6r2A
tch_20210318-111245_14,981ad00c-87bb-11eb-9a2d-0242ac110003,std_1616052533720_14,nVZe-a3Z3
tch_20210318-111245_23,99b03cd1-87bb-11eb-9a2d-0242ac110003,std_1616052535707_23,j2X6-93Nf
tch_20210318-111245_15,9a243435-87bb-11eb-9a2d-0242ac110003,std_1616052536948_15,LjMu-8wvk
tch_20210318-111245_18,9cf75185-87bb-11eb-9a2d-0242ac110003,std_1616052541834_18,3qy4-3HpD
tch_20210318-111245_21,9e5c5f9b-87bb-11eb-945b-0242ac110003,std_1616052544181_21,mLNz-qE7E
tch_20210318-111245_24,9f779343-87bb-11eb-945b-0242ac110003,std_1616052545714_24,7T9U-wp7s
tch_20210318-111245_16,9f2e0737-87bb-11eb-9a2d-0242ac110003,std_1616052545550_16,3CHU-xT2t
tch_20210318-111245_17,a3017d94-87bb-11eb-945b-0242ac110003,std_1616052551968_17,Q3cu-VzNY
tch_20210318-111245_22,a5394587-87bb-11eb-9a2d-0242ac110003,std_1616052555692_22,9aW3-b8b6
tch_20210318-111245_19,a33697ec-87bb-11eb-945b-0242ac110003,std_1616052552338_19,T8GZ-vubC
tch_20210318-111245_25,a57b0922-87bb-11eb-9a2d-0242ac110003,std_1616052555730_25,UXut-FxJK
tch_20210318-111245_20,a72e37c5-87bb-11eb-945b-0242ac110003,std_1616052559004_20,WBd7-6r2A
tch_20210318-111245_23,a9438334-87bb-11eb-945b-0242ac110003,std_1616052562471_23,j2X6-93Nf
tch_20210318-111245_26,ab69221e-87bb-11eb-945b-0242ac110003,std_1616052565738_26,YZe3-vud8
tch_20210318-111245_18,ac9370b5-87bb-11eb-945b-0242ac110003,std_1616052568014_18,3qy4-3HpD
tch_20210318-111245_21,aea539df-87bb-11eb-9a2d-0242ac110003,std_1616052571460_21,mLNz-qE7E
tch_20210318-111245_24,af86e7ce-87bb-11eb-945b-0242ac110003,std_1616052572978_24,7T9U-wp7s
tch_20210318-111245_27,b164cf8a-87bb-11eb-945b-0242ac110003,std_1616052575746_27,VBRL-Qqg2
tch_20210318-111245_22,b4aaabd6-87bb-11eb-9a2d-0242ac110003,std_1616052581576_22,9aW3-b8b6
tch_20210318-111245_19,b53ed584-87bb-11eb-945b-0242ac110003,std_1616052582574_19,T8GZ-vubC
tch_20210318-111245_20,b8872230-87bb-11eb-945b-0242ac110003,std_1616052588089_20,WBd7-6r2A
tch_20210318-111245_28,b7561c2c-87bb-11eb-9a2d-0242ac110003,std_1616052585754_28,WQFL-v39G
tch_20210318-111245_25,b68dea66-87bb-11eb-9a2d-0242ac110003,std_1616052584763_25,UXut-FxJK
tch_20210318-111245_29,bd4fcdda-87bb-11eb-9a2d-0242ac110003,std_1616052595769_29,s8gM-epjd
tch_20210318-111245_23,baa23a8c-87bb-11eb-9a2d-0242ac110003,std_1616052591481_23,j2X6-93Nf
tch_20210318-111245_26,bc4f276e-87bb-11eb-945b-0242ac110003,std_1616052594438_26,YZe3-vud8
tch_20210318-111245_24,beb0966c-87bb-11eb-945b-0242ac110003,std_1616052598479_24,7T9U-wp7s
tch_20210318-111245_21,bd735bde-87bb-11eb-9a2d-0242ac110003,std_1616052596301_21,mLNz-qE7E
tch_20210318-111245_27,c043b9ee-87bb-11eb-945b-0242ac110003,std_1616052601003_27,VBRL-Qqg2
tch_20210318-111245_30,c33f1f70-87bb-11eb-945b-0242ac110003,std_1616052605778_30,a9wv-JW69
tch_20210318-111245_28,c79867c7-87bb-11eb-945b-0242ac110003,std_1616052613390_28,WQFL-v39G
tch_20210318-111245_22,c4d612c0-87bb-11eb-9a2d-0242ac110003,std_1616052608759_22,9aW3-b8b6
tch_20210318-111245_31,c931a502-87bb-11eb-945b-0242ac110003,std_1616052615785_31,BQ7d-MF4s
tch_20210318-111245_25,c8993512-87bb-11eb-9a2d-0242ac110003,std_1616052615056_25,UXut-FxJK
tch_20210318-111245_24,cd23c6db-87bb-11eb-9a2d-0242ac110003,std_1616052622715_24,7T9U-wp7s
tch_20210318-111245_29,cb129a1d-87bb-11eb-9a2d-0242ac110003,std_1616052619224_29,s8gM-epjd
tch_20210318-111245_23,cb8c0f88-87bb-11eb-9a2d-0242ac110003,std_1616052620011_23,j2X6-93Nf
tch_20210318-111245_26,ccf58b1d-87bb-11eb-945b-0242ac110003,std_1616052622394_26,YZe3-vud8
tch_20210318-111245_27,d1921dac-87bb-11eb-9a2d-0242ac110003,std_1616052630107_27,VBRL-Qqg2
tch_20210318-111245_32,cf2fc35a-87bb-11eb-945b-0242ac110003,std_1616052625803_32,f4Rw-mk37
tch_20210318-111245_28,d51ea000-87bb-11eb-9a2d-0242ac110003,std_1616052636061_28,WQFL-v39G
tch_20210318-111245_30,d33b1224-87bb-11eb-945b-0242ac110003,std_1616052632915_30,a9wv-JW69
tch_20210318-111245_33,d53cd620-87bb-11eb-945b-0242ac110003,std_1616052635810_33,eoHB-AKbk
tch_20210318-111245_31,d7978f07-87bb-11eb-9a2d-0242ac110003,std_1616052640179_31,BQ7d-MF4s
tch_20210318-111245_25,d99952aa-87bb-11eb-9a2d-0242ac110003,std_1616052643570_25,UXut-FxJK
tch_20210318-111245_34,db31f3d8-87bb-11eb-945b-0242ac110003,std_1616052645970_34,jge7-Y8uM
tch_20210318-111245_29,dbf4a733-87bb-11eb-9a2d-0242ac110003,std_1616052647548_29,s8gM-epjd
tch_20210318-111245_26,deeba038-87bb-11eb-9a2d-0242ac110003,std_1616052652501_26,YZe3-vud8
tch_20210318-111245_27,e0041565-87bb-11eb-945b-0242ac110003,std_1616052654364_27,VBRL-Qqg2
tch_20210318-111245_32,e1c462b2-87bb-11eb-945b-0242ac110003,std_1616052657310_32,f4Rw-mk37
tch_20210318-111245_35,e1262709-87bb-11eb-945b-0242ac110003,std_1616052655978_35,v3sh-e7zv
tch_20210318-111245_31,e7567908-87bb-11eb-9a2d-0242ac110003,std_1616052666617_31,BQ7d-MF4s
tch_20210318-111245_28,e4de4d0a-87bb-11eb-945b-0242ac110003,std_1616052662452_28,WQFL-v39G
tch_20210318-111245_36,e7297590-87bb-11eb-945b-0242ac110003,std_1616052665985_36,We7i-V3kG
tch_20210318-111245_30,e50eab4c-87bb-11eb-945b-0242ac110003,std_1616052662729_30,a9wv-JW69
tch_20210318-111245_33,e622177e-87bb-11eb-9a2d-0242ac110003,std_1616052664595_33,eoHB-AKbk
tch_20210318-111245_29,eba62380-87bb-11eb-9a2d-0242ac110003,std_1616052673848_29,s8gM-epjd
tch_20210318-111245_34,ea3889f7-87bb-11eb-9a2d-0242ac110003,std_1616052671462_34,jge7-Y8uM
tch_20210318-111245_37,ed1f0895-87bb-11eb-9a2d-0242ac110003,std_1616052675994_37,AMue-BG2V
tch_20210318-111245_35,f1e67b47-87bb-11eb-945b-0242ac110003,std_1616052684282_35,v3sh-e7zv
tch_20210318-111245_32,f1c07d50-87bb-11eb-945b-0242ac110003,std_1616052684078_32,f4Rw-mk37
tch_20210318-111245_38,f318e125-87bb-11eb-9a2d-0242ac110003,std_1616052686000_38,MPsG-9s8x
tch_20210318-111245_30,f6ac40f3-87bb-11eb-9a2d-0242ac110003,std_1616052692345_30,a9wv-JW69
tch_20210318-111245_36,f65e2056-87bb-11eb-9a2d-0242ac110003,std_1616052691841_36,We7i-V3kG
tch_20210318-111245_31,f5fa7cbf-87bb-11eb-9a2d-0242ac110003,std_1616052691133_31,BQ7d-MF4s
tch_20210318-111245_33,f6c91735-87bb-11eb-9a2d-0242ac110003,std_1616052692530_33,eoHB-AKbk
tch_20210318-111245_39,f90e735c-87bb-11eb-9a2d-0242ac110003,std_1616052696010_39,qbJ4-PrN7
tch_20210318-111245_34,fa8227c5-87bb-11eb-9a2d-0242ac110003,std_1616052698784_34,jge7-Y8uM
tch_20210318-111245_37,fb365d3b-87bb-11eb-9a2d-0242ac110003,std_1616052699958_37,AMue-BG2V
tch_20210318-111245_40,ff0ae487-87bb-11eb-9a2d-0242ac110003,std_1616052706042_40,83fh-i7gM
tch_20210318-111245_32,01cc0019-87bc-11eb-945b-0242ac110003,std_1616052711022_32,f4Rw-mk37
tch_20210318-111245_35,019eaea6-87bc-11eb-9a2d-0242ac110003,std_1616052710713_35,v3sh-e7zv
tch_20210318-111245_38,0226a326-87bc-11eb-945b-0242ac110003,std_1616052711620_38,MPsG-9s8x
tch_20210318-111245_41,04ffdb03-87bc-11eb-945b-0242ac110003,std_1616052716041_41,EMJ3-9g48
tch_20210318-111245_33,08487672-87bc-11eb-9a2d-0242ac110003,std_1616052721895_33,eoHB-AKbk
tch_20210318-111245_36,06df9754-87bc-11eb-945b-0242ac110003,std_1616052719478_36,We7i-V3kG
tch_20210318-111245_34,0b10489b-87bc-11eb-9a2d-0242ac110003,std_1616052726587_34,jge7-Y8uM
tch_20210318-111245_42,0ae91199-87bc-11eb-945b-0242ac110003,std_1616052726040_42,rQEX-64Wm
tch_20210318-111245_39,09917122-87bc-11eb-9a2d-0242ac110003,std_1616052724072_39,qbJ4-PrN7
tch_20210318-111245_37,0b1eef68-87bc-11eb-945b-0242ac110003,std_1616052726694_37,AMue-BG2V
tch_20210318-111245_43,10e5d0f8-87bc-11eb-945b-0242ac110003,std_1616052736042_43,29aQ-ZnUY
tch_20210318-111245_40,1182fab6-87bc-11eb-9a2d-0242ac110003,std_1616052737399_40,83fh-i7gM
tch_20210318-111245_38,13a713be-87bc-11eb-945b-0242ac110003,std_1616052740998_38,MPsG-9s8x
tch_20210318-111245_41,14f53ed7-87bc-11eb-9a2d-0242ac110003,std_1616052743188_41,EMJ3-9g48
tch_20210318-111245_35,132f4b78-87bc-11eb-9a2d-0242ac110003,std_1616052740205_35,v3sh-e7zv
tch_20210318-111245_44,16da03cd-87bc-11eb-945b-0242ac110003,std_1616052746050_44,b2wp-KUbP
tch_20210318-111245_36,17b2b0a4-87bc-11eb-9a2d-0242ac110003,std_1616052747774_36,We7i-V3kG
tch_20210318-111245_42,19e4f9c6-87bc-11eb-945b-0242ac110003,std_1616052751452_42,rQEX-64Wm
tch_20210318-111245_45,1cd2f2b3-87bc-11eb-9a2d-0242ac110003,std_1616052756065_45,CobV-qG76
tch_20210318-111245_37,1bf367bb-87bc-11eb-9a2d-0242ac110003,std_1616052754920_37,AMue-BG2V
tch_20210318-111245_39,1bd223c4-87bc-11eb-945b-0242ac110003,std_1616052754674_39,qbJ4-PrN7
tch_20210318-111245_38,217a0c4b-87bc-11eb-9a2d-0242ac110003,std_1616052764206_38,MPsG-9s8x
tch_20210318-111245_43,1f8e691c-87bc-11eb-945b-0242ac110003,std_1616052760957_43,29aQ-ZnUY
tch_20210318-111245_46,22cc0727-87bc-11eb-945b-0242ac110003,std_1616052766072_46,Hq23-K7xT
tch_20210318-111245_40,20f7e418-87bc-11eb-9a2d-0242ac110003,std_1616052763318_40,83fh-i7gM
tch_20210318-111245_44,261565c4-87bc-11eb-945b-0242ac110003,std_1616052771891_44,b2wp-KUbP
tch_20210318-111245_41,2559b763-87bc-11eb-9a2d-0242ac110003,std_1616052770675_41,EMJ3-9g48
tch_20210318-111245_47,28bb3160-87bc-11eb-945b-0242ac110003,std_1616052776081_47,6rCA-f6am
tch_20210318-111245_42,29b1515f-87bc-11eb-945b-0242ac110003,std_1616052777995_42,rQEX-64Wm
tch_20210318-111245_45,2bc7d53e-87bc-11eb-945b-0242ac110003,std_1616052781503_45,CobV-qG76
tch_20210318-111245_39,2ce8fc8e-87bc-11eb-945b-0242ac110003,std_1616052783232_39,qbJ4-PrN7
tch_20210318-111245_48,2ec4e942-87bc-11eb-9a2d-0242ac110003,std_1616052786090_48,2GMP-3hP2
tch_20210318-111245_43,30bd0fbf-87bc-11eb-9a2d-0242ac110003,std_1616052789754_43,29aQ-ZnUY
tch_20210318-111245_40,32c22e60-87bc-11eb-9a2d-0242ac110003,std_1616052793164_40,83fh-i7gM
tch_20210318-111245_46,325514d1-87bc-11eb-9a2d-0242ac110003,std_1616052792378_46,Hq23-K7xT
tch_20210318-111245_44,33ba70c4-87bc-11eb-945b-0242ac110003,std_1616052794743_44,b2wp-KUbP
tch_20210318-111245_49,34bb17ba-87bc-11eb-9a2d-0242ac110003,std_1616052796104_49,L3ia-xaT4
tch_20210318-111245_41,36754ba8-87bc-11eb-9a2d-0242ac110003,std_1616052799359_41,EMJ3-9g48
tch_20210318-111245_47,379ab87b-87bc-11eb-945b-0242ac110003,std_1616052801307_47,6rCA-f6am
tch_20210318-111245_50,3ac544cd-87bc-11eb-9a2d-0242ac110003,std_1616052806262_50,kgn9-DWL4
tch_20210318-111245_45,3af26e99-87bc-11eb-945b-0242ac110003,std_1616052806904_45,CobV-qG76
tch_20210318-111245_42,39f104bc-87bc-11eb-9a2d-0242ac110003,std_1616052805215_42,rQEX-64Wm
tch_20210318-111245_46,41f68b57-87bc-11eb-945b-0242ac110003,std_1616052818663_46,Hq23-K7xT
tch_20210318-111245_48,3fcddebe-87bc-11eb-9a2d-0242ac110003,std_1616052815048_48,2GMP-3hP2
tch_20210318-111245_43,40db096d-87bc-11eb-945b-0242ac110003,std_1616052816835_43,29aQ-ZnUY
tch_20210318-111245_47,483beba8-87bc-11eb-945b-0242ac110003,std_1616052829189_47,6rCA-f6am
tch_20210318-111245_44,44e260f8-87bc-11eb-945b-0242ac110003,std_1616052823577_44,b2wp-KUbP
tch_20210318-111245_49,456f3773-87bc-11eb-9a2d-0242ac110003,std_1616052824472_49,L3ia-xaT4
tch_20210318-111245_50,4960bd80-87bc-11eb-945b-0242ac110003,std_1616052831110_50,kgn9-DWL4
tch_20210318-111245_45,4b1d60ce-87bc-11eb-945b-0242ac110003,std_1616052834034_45,CobV-qG76
tch_20210318-111245_46,504f5604-87bc-11eb-945b-0242ac110003,std_1616052842684_46,Hq23-K7xT
tch_20210318-111245_48,52660071-87bc-11eb-9a2d-0242ac110003,std_1616052846219_48,2GMP-3hP2
tch_20210318-111245_47,56a81729-87bc-11eb-9a2d-0242ac110003,std_1616052853378_47,6rCA-f6am
tch_20210318-111245_49,5749602e-87bc-11eb-945b-0242ac110003,std_1616052854400_49,L3ia-xaT4
tch_20210318-111245_50,5b099c53-87bc-11eb-945b-0242ac110003,std_1616052860729_50,kgn9-DWL4
tch_20210318-111245_48,62e68cf3-87bc-11eb-9a2d-0242ac110003,std_1616052873928_48,2GMP-3hP2
tch_20210318-111245_49,67c24b7a-87bc-11eb-9a2d-0242ac110003,std_1616052882058_49,L3ia-xaT4
tch_20210318-111245_50,6c9cf864-87bc-11eb-945b-0242ac110003,std_1616052890190_50,kgn9-DWL4
