col1,cvol2,col3
std_1593101184818_20,c673dfef-a97e-42db-aff2-e0134943f59c,tch_20200625-211715_20
std_1593102147473_26,7b629681-47cb-4610-9838-a8d7cfe2ab6d,tch_20200625-211715_26
std_1593102096960_24,4b0d6d16-d5c5-4ae2-8029-ab5ba4c0ac07,tch_20200625-211715_24
std_1593102123643_27,7a769993-f1ec-41b3-9b00-d23245ef77d3,tch_20200625-211715_27
std_1593101543836_25,89c1a190-70e2-4581-9c4a-3b94bb795fdd,tch_20200625-211715_25
std_1593101876636_26,3694b3b7-54dd-4f6e-b56f-f477023d8db3,tch_20200625-211715_26
std_1593101817535_24,47dfe63a-df57-4b07-9665-47dfb0eba87d,tch_20200625-211715_24
std_1593102192337_29,e96ad59e-3c7d-46e5-bb9b-39acb99dddfe,tch_20200625-211715_29
std_1593101901703_27,68e9b83b-db44-4bb6-a5ec-25a327eb5427,tch_20200625-211715_27
std_1593101321340_25,b088cb69-0f4f-4ef5-9eba-23a5668e24d2,tch_20200625-211715_25
std_1593102172375_28,87fe3346-7312-45ae-b798-47aad90bbbaf,tch_20200625-211715_28
std_1593101632900_26,928ef8d8-c237-460e-9433-4fcea1b95775,tch_20200625-211715_26
std_1593101579801_24,2334d140-0dd7-4f0b-bcca-36e1a665a554,tch_20200625-211715_24
std_1593101632883_27,951b28c8-eb28-4068-8bc2-3222d99a2fa0,tch_20200625-211715_27
std_1593101930491_29,93d59c12-4193-409c-986d-ca25f72b87ee,tch_20200625-211715_29
std_1593101369647_26,cac4d6cc-5329-4f8d-b700-0e3fec37c26d,tch_20200625-211715_26
std_1593101945874_28,eccfdaf9-ce91-4ce9-8cbf-c053feacdcdb,tch_20200625-211715_28
std_1593101394543_27,962c594c-6fae-4d9f-8c18-1b51c52edb38,tch_20200625-211715_27
std_1593101682206_29,07662af1-a6e8-42de-8525-4afe21a8a78d,tch_20200625-211715_29
std_1593101300976_24,dd036abe-e236-4210-b098-462f9265b42e,tch_20200625-211715_24
std_1593102242618_31,0410d752-8549-460f-9e31-1dedb47e1067,tch_20200625-211715_31
std_1593102274192_30,bae2fd0b-6e7c-41bc-9f56-d796df1c5041,tch_20200625-211715_30
std_1593101701937_28,19518bef-e518-40ac-945f-5daf930a65c2,tch_20200625-211715_28
std_1593101440092_29,db618cfb-f13c-48f9-8236-c61e9d27454c,tch_20200625-211715_29
std_1593102018246_31,6bf3da02-4f5d-451b-a87c-a167e24ec068,tch_20200625-211715_31
std_1593101978505_30,fcf49c54-2e10-4111-abf1-ecc3f098945a,tch_20200625-211715_30
std_1593101414954_28,bc54f51f-42fe-4cd7-93ed-b0f887a2d6a0,tch_20200625-211715_28
std_1593102302281_33,e5c9bdbe-de7d-49e6-a888-bf4c4da044af,tch_20200625-211715_33
std_1593101755172_31,eb6b9fc1-aefd-4aac-baa7-73431d7345fb,tch_20200625-211715_31
std_1593102328718_32,04e683fd-eda8-4d49-9f26-103b5641ca09,tch_20200625-211715_32
std_1593101717518_30,ff7e9187-56a2-49e9-9fdc-946443cdda83,tch_20200625-211715_30
std_1593102063794_33,f1170db9-39b6-444a-acfd-0136f3f0d842,tch_20200625-211715_33
std_1593101522361_31,36d10ac1-7e59-4c1a-87f7-ca845b683ff2,tch_20200625-211715_31
std_1593102093924_32,a4ccb18c-2a92-41aa-9366-5b655be54dd5,tch_20200625-211715_32
std_1593101469325_30,61d8bcb7-084e-49b5-8d98-eaaed3cbdb27,tch_20200625-211715_30
std_1593102374780_34,8d233d9a-2f66-455c-825f-cdbab8740752,tch_20200625-211715_34
std_1593101808605_33,85f199f8-cc53-4302-88fa-2b159b62ff43,tch_20200625-211715_33
std_1593102364683_35,8739eac7-218c-43a3-9a05-2035ac4189a0,tch_20200625-211715_35
std_1593101815176_32,6befab90-b843-435a-9c0d-41ef3cf4dd7b,tch_20200625-211715_32
std_1593102438507_38,10b92fd7-8921-4e7a-bd30-90c81e75eeb2,tch_20200625-211715_38
std_1593102093973_34,94ff01ae-1ae3-47e3-9bf2-d791f44808c1,tch_20200625-211715_34
std_1593101553687_33,a3ee7ec2-ca83-428e-ba24-eb911260549d,tch_20200625-211715_33
std_1593101559178_32,440b53ab-8820-45a5-9984-5d3f562369dc,tch_20200625-211715_32
std_1593102098316_35,8f6c2efd-b14f-4001-a313-be066426d06b,tch_20200625-211715_35
std_1593102209946_38,19e005b8-4d54-47f6-8bed-e4325c2ee9b5,tch_20200625-211715_38
std_1593101881726_34,4e4e9d1f-123b-48ae-bd55-621c71ce5abd,tch_20200625-211715_34
std_1593102481182_36,45d98a60-2e7c-4a9e-9159-8e5e5d4679f0,tch_20200625-211715_36
std_1593101861783_35,25da710a-4743-49a8-875e-fc4b59a8f416,tch_20200625-211715_35
std_1593102476660_39,1ab27346-be1c-4840-a264-1791cc370ed2,tch_20200625-211715_39
std_1593101961691_38,b1393bcb-c358-4bc6-8068-1cf1ccdf7aec,tch_20200625-211715_38
std_1593101594567_34,dca1a3bc-a22e-4e80-9a53-54f1a8db7250,tch_20200625-211715_34
std_1593102498407_40,ac5e7817-813d-4384-8988-eb09769c2536,tch_20200625-211715_40
std_1593101618735_35,5f5d688f-88d4-44b9-b41d-9aa7bd7d49f3,tch_20200625-211715_35
std_1593102217515_36,a6d7ea04-4db1-478d-ac20-f0765f137273,tch_20200625-211715_36
std_1593102208089_39,84acd669-9bf5-4362-a694-0e45b172ebe8,tch_20200625-211715_39
std_1593101722441_38,4a5221ea-f90e-40b4-8a99-221606d5d809,tch_20200625-211715_38
std_1593102512898_37,f82a8792-4cd6-4e24-af36-c3154c32a6be,tch_20200625-211715_37
std_1593102222003_40,1602c548-bbfa-40ba-ba25-731a2193e4e2,tch_20200625-211715_40
std_1593101959964_36,8d08f1af-501b-409f-8ca2-b22f100cb8ce,tch_20200625-211715_36
std_1593102012915_39,6d3b4a9e-8bfc-4c60-aa56-3b1d028bda47,tch_20200625-211715_39
std_1593102192463_37,4d339e15-c2bc-48e4-8f59-ba018c891866,tch_20200625-211715_37
std_1593101987176_40,ac85afab-484d-4825-b2ac-5c7f3b74421f,tch_20200625-211715_40
std_1593102631136_42,64e64072-94dd-449d-868e-48938ea0b712,tch_20200625-211715_42
std_1593101651513_36,f46908b5-3ced-4c0a-9eee-16fafdf1d6ae,tch_20200625-211715_36
std_1593101738623_39,12c970ef-f424-4c25-9df2-333b4fb2d755,tch_20200625-211715_39
std_1593102601050_41,dda54504-ea37-4cdf-be9d-6376bb6f2646,tch_20200625-211715_41
std_1593101926957_37,6d589429-cc1c-4c15-93e8-852dbcc7f02d,tch_20200625-211715_37
std_1593101767702_40,b4a457f2-afa1-48be-b466-af6e60d6b92b,tch_20200625-211715_40
std_1593102608346_43,486ec9f9-7352-4a78-adb0-b8184d2d76f5,tch_20200625-211715_43
std_1593102389034_42,8e736ce4-abc5-4012-9794-cf19c48bcf52,tch_20200625-211715_42
std_1593102309576_41,4ea9ebbe-598c-4844-b9ad-f7e8d3d824c5,tch_20200625-211715_41
std_1593101687276_37,0dd5ac56-58cb-420a-9312-ce6624a4ffd4,tch_20200625-211715_37
std_1593102348164_43,3a1694dc-3491-4c94-ac50-9f85bbfdf5d9,tch_20200625-211715_43
std_1593102111135_42,a58208b0-a6ac-4f94-aaf5-1fac0021d7b0,tch_20200625-211715_42
std_1593102076303_41,ac2da827-be8c-4ad1-9faf-721ff4a3d54d,tch_20200625-211715_41
std_1593102691069_44,fb5b36d9-9ec6-4bbc-949d-844deda4c9ef,tch_20200625-211715_44
std_1593102122469_43,1d4788da-cbc3-4c2a-8896-cda70fdec63e,tch_20200625-211715_43
std_1593102660210_45,bc7896f1-7951-4fb6-87ca-af577f74c39d,tch_20200625-211715_45
std_1593101850157_42,0af5a199-606a-41e6-b30a-b1384a9fe9db,tch_20200625-211715_42
std_1593101813365_41,336e6fbb-0147-43c0-aa13-7eafb682cad9,tch_20200625-211715_41
std_1593102698709_46,6b90063f-2e37-48f2-ba41-050cb1a5a771,tch_20200625-211715_46
std_1593102412583_44,42d25103-6bb8-4e89-978c-12387e67c3a2,tch_20200625-211715_44
std_1593101870518_43,047bce8a-83be-4ff5-8e26-4a46034fb5de,tch_20200625-211715_43
std_1593102417259_45,8e5a032f-503f-4723-8469-aaa51295eb8a,tch_20200625-211715_45
std_1593102457511_46,aadf23ee-d66a-48cb-bce7-e6b7445061de,tch_20200625-211715_46
std_1593102180010_44,8200d6e9-0442-4878-b766-8bfcfcb58d29,tch_20200625-211715_44
std_1593102193591_45,d7d18186-1f55-49d0-b202-8dcd90d8cfd6,tch_20200625-211715_45
std_1593102757005_48,5cf12539-dccd-4e08-9b14-571eea1a5d5e,tch_20200625-211715_48
std_1593101901103_44,2bf9ec27-0ce2-4c9c-9428-cb213b7c8cb5,tch_20200625-211715_44
std_1593102195691_46,22a9399d-9226-42f7-afaa-57f056a9f304,tch_20200625-211715_46
std_1593101934293_45,33d57b39-dbc4-4a4d-95ba-765328c8a2c1,tch_20200625-211715_45
std_1593102775261_49,1e7dd3f1-7be5-4f23-a461-133579ce9ef5,tch_20200625-211715_49
std_1593102494899_48,14a260bc-46c0-4f73-aaf6-74e0aec7405f,tch_20200625-211715_48
std_1593101964315_46,7af36610-79b1-4e25-a94c-8d3c62dcf596,tch_20200625-211715_46
std_1593102872735_51,6bdc3db4-a182-49e0-83bf-4d5d0485ea1e,tch_20200625-211715_51
std_1593102547605_49,d4c73592-ef19-4c3d-9cc0-33a934d714dc,tch_20200625-211715_49
std_1593102245916_48,617a7d9a-0afc-43ed-8af5-cf357d2e2f3e,tch_20200625-211715_48
std_1593102832388_50,6a040858-78bf-44a0-8e52-286b07b0dc9e,tch_20200625-211715_50
std_1593102817004_47,495d3543-8d90-4d05-bff4-a56f2315e707,tch_20200625-211715_47
std_1593102583687_51,433ed57c-6a7a-4145-8e56-d99d5a8d1621,tch_20200625-211715_51
std_1593102314352_49,11739b14-84dd-4b1a-bf37-fbe9a6cf9624,tch_20200625-211715_49
std_1593102566296_50,add6fce7-6302-491a-9ba2-a9f20879e21c,tch_20200625-211715_50
std_1593102023077_48,9fdfd40f-1b40-4ead-a4de-834c483b67c2,tch_20200625-211715_48
std_1593102568560_47,eb99da66-e9ab-48e9-b59f-3ee9e0c50276,tch_20200625-211715_47
std_1593102330157_51,b08ec7d0-5d29-4ebb-8430-934472bfec8d,tch_20200625-211715_51
std_1593102054128_49,f673d3e0-5f9a-43be-9bd6-c92fe0c639a3,tch_20200625-211715_49
std_1593102318613_50,c293f3c7-5738-47b5-b520-b5b0e29e5c58,tch_20200625-211715_50
std_1593102267609_47,2a5681ce-8a08-4654-944d-0bf12e915a27,tch_20200625-211715_47
std_1593102919466_55,c7a547e4-3d78-4533-81cb-3a3836b1700c,tch_20200625-211715_55
std_1593102110273_51,e64d7547-b829-45d1-a4fe-edda6f55ec62,tch_20200625-211715_51
std_1593102969154_53,d7e19834-b082-46de-a4d6-315ec4c532dc,tch_20200625-211715_53
std_1593102962957_54,4efd3865-91d6-490f-91ab-274f95c4be71,tch_20200625-211715_54
std_1593102084993_50,495ae645-7afe-46dc-9dd7-f2b337d58a74,tch_20200625-211715_50
std_1593102006288_47,503d94d6-ca60-491a-aa61-68516143e038,tch_20200625-211715_47
std_1593102688342_55,bf173bce-ed84-4d05-b1fe-a4647c3c6487,tch_20200625-211715_55
std_1593102685102_54,27635982-138e-4fc4-8bc6-a064c3114dca,tch_20200625-211715_54
std_1593102707655_53,5a7a771a-d8c9-4963-809c-e8cca899cd6d,tch_20200625-211715_53
std_1593102988432_52,4e24964f-2bb0-4cfc-b799-c7ad5c5a9d06,tch_20200625-211715_52
std_1593102461095_55,e09167d0-c3a5-44e8-8b85-38520e0e672d,tch_20200625-211715_55
std_1593102424426_54,cd15726b-d88d-494e-8c54-77187624d9ee,tch_20200625-211715_54
std_1593102442398_53,2763eb61-6dd6-492d-bd5c-55f0cee9a214,tch_20200625-211715_53
std_1593102710796_52,93bb6e3e-14f2-4395-ae95-97b4abdf354b,tch_20200625-211715_52
std_1593103050365_58,c6946f82-9985-4c2a-a3f3-a8c00cca01a1,tch_20200625-211715_58
std_1593103067003_56,650bda37-ea04-417c-9ad0-f8c12fc07609,tch_20200625-211715_56
std_1593102219905_55,bfcb0de4-12aa-421c-bf13-9a57ca4f3dbb,tch_20200625-211715_55
std_1593102175046_54,bf6206e9-30e6-4d59-a2b1-dc544fcf5c7e,tch_20200625-211715_54
std_1593102784744_58,eb7f585d-bd6c-40a4-998b-7fadac43f97b,tch_20200625-211715_58
std_1593102430368_52,79285eab-1ed0-4a15-9e37-0f1ee97887cb,tch_20200625-211715_52
std_1593102166865_53,c139a46e-fee0-4853-baf5-80b81777e62a,tch_20200625-211715_53
std_1593102776971_56,dc44bc6b-1440-44a2-8107-a7989f13f884,tch_20200625-211715_56
std_1593102131847_52,e80df7e2-d01f-4bd3-a655-bc3fd83d48fb,tch_20200625-211715_52
std_1593102546011_58,9a6b4c90-c61e-4071-836d-914ee61ca6de,tch_20200625-211715_58
std_1593103112003_59,f3eb1f13-bdce-478d-9176-d8b4e3132900,tch_20200625-211715_59
std_1593102542130_56,2c744216-1ef0-4707-9fc2-ecd6afc7ae42,tch_20200625-211715_56
std_1593103102993_57,3e2a3fdf-bc98-443d-97e4-5b5b0bbf725e,tch_20200625-211715_57
std_1593102318712_58,1ce34089-d292-4e8c-a5c2-781fbf30622c,tch_20200625-211715_58
std_1593102836819_59,198d3250-daff-45a3-9c32-a2764e763608,tch_20200625-211715_59
std_1593102259747_56,3878b060-6cbd-46ce-ba6c-b8d20fd4cfbd,tch_20200625-211715_56
std_1593102837671_57,ca9597ef-f182-403c-8128-fa77ba66f79a,tch_20200625-211715_57
std_1593103162588_65,fac3b28d-9e6d-4326-8754-1abcdda25810,tch_20200625-211715_65
std_1593102590087_59,cd0c0ed4-efa1-47c0-acc1-db0f3d0f818d,tch_20200625-211715_59
std_1593103184432_61,be3e1ff9-15bb-4d62-8611-c3f0e711d582,tch_20200625-211715_61
std_1593102549628_57,690389c4-c8d5-473e-bf20-8d4ff7e05dd0,tch_20200625-211715_57
std_1593103187135_60,8c92b68b-bd9d-4315-89c6-b93d40e8b899,tch_20200625-211715_60
std_1593103250674_64,0b9ac804-6f1e-4a6e-8fbf-49f3af74d1d8,tch_20200625-211715_64
std_1593102941851_65,e1518529-8291-47f7-abcd-868047021f3c,tch_20200625-211715_65
std_1593102365951_59,c6aa164a-89b3-4652-beae-9ede707874da,tch_20200625-211715_59
std_1593103229504_63,33b0b902-f5ff-4c6d-8849-b2d7f5212401,tch_20200625-211715_63
std_1593102912581_61,b01e3557-5e83-4902-91d5-4adfdf9354f0,tch_20200625-211715_61
std_1593102913378_60,00a2d139-fecb-4ba1-a299-b068db3f87d9,tch_20200625-211715_60
std_1593102291081_57,f678b65b-a27c-4047-9225-4df3bb8d3292,tch_20200625-211715_57
std_1593103015854_64,c5363244-3b5b-4070-9299-4964da2c840a,tch_20200625-211715_64
std_1593102740309_65,f14bb0eb-2e5c-4ce8-ae69-5ea68d3be201,tch_20200625-211715_65
std_1593102952365_63,dba37071-c7bf-4366-8e45-a28ef6d47b1b,tch_20200625-211715_63
std_1593102646268_61,e2dfbfb1-452a-41fa-8bd8-92229863b0ba,tch_20200625-211715_61
std_1593102695150_60,577f750a-c48d-42af-a8a5-5269e96f4deb,tch_20200625-211715_60
std_1593103340487_66,a8440044-b4f9-4205-abdf-a920f8c8d47c,tch_20200625-211715_66
std_1593102768691_64,60207ffa-ecb1-4024-8335-2af6b1a1d0ec,tch_20200625-211715_64
std_1593102520697_65,b1e4ed57-e853-4b47-87fd-3f7168987462,tch_20200625-211715_65
std_1593102710603_63,215db1cf-16cb-4ca8-a1c8-2683801577db,tch_20200625-211715_63
std_1593103316754_67,8e0bfb5a-f5ae-4e11-b5c0-caca95af4c49,tch_20200625-211715_67
std_1593102395720_60,83016490-e74a-47f7-8e0a-008a6ec0ccd0,tch_20200625-211715_60
std_1593102406439_61,f33532fd-d0ef-474b-93ac-7622419bf3ed,tch_20200625-211715_61
std_1593103344075_62,f8354b4b-ec1b-4011-a041-0f6215fb5796,tch_20200625-211715_62
std_1593103092948_66,ab350739-5b43-4c65-830a-e4a5e1b737fa,tch_20200625-211715_66
std_1593102502026_64,fd35cf54-e457-4fd7-a184-78ff0330c2a9,tch_20200625-211715_64
std_1593103359008_70,7b4d6488-471c-4b1b-9add-4110f3750040,tch_20200625-211715_70
std_1593102459518_63,8980ffc9-381a-4117-be8f-bfbb42d1b1a8,tch_20200625-211715_63
std_1593103411821_68,e19e29bc-f348-42d9-8331-3f62686ae3e8,tch_20200625-211715_68
std_1593103068036_67,053e8115-2da6-482e-ba94-86cf159cde3e,tch_20200625-211715_67
std_1593103040034_62,a2987cc0-5e4e-4687-85af-619df0a378f9,tch_20200625-211715_62
std_1593103389689_69,4dc1f614-a700-494e-858e-97b8c54b2b43,tch_20200625-211715_69
std_1593102852207_66,b44063a4-b077-46f8-9087-c91df1be15bc,tch_20200625-211715_66
std_1593103137273_70,29eede2b-8a99-433c-bbfb-ac8f89b8f45f,tch_20200625-211715_70
std_1593103150680_68,ddfbe81e-4ed4-48fd-9da7-b8b0213902c5,tch_20200625-211715_68
std_1593102821082_67,f5d2a55e-4e73-4fdd-869c-c65e2ab1639d,tch_20200625-211715_67
std_1593102737613_62,8dd22ebe-bc9f-4cf5-ba28-346fbabf45ae,tch_20200625-211715_62
std_1593102585709_66,eefc48fd-43cf-4837-add9-3904a268d0af,tch_20200625-211715_66
std_1593103120426_69,b0f16bf1-94a8-4626-bf77-f83ea155c425,tch_20200625-211715_69
std_1593102899825_70,cb10ae9a-da75-4792-bfa8-42a7774649d7,tch_20200625-211715_70
std_1593102889747_68,f82dbbec-55b3-4518-bdd3-9ce30fb3eaed,tch_20200625-211715_68
std_1593102574432_67,1d0f5043-5d26-41a8-8916-3dc969c4ce88,tch_20200625-211715_67
std_1593102448849_62,8eaa277e-48bc-4308-86c9-3c517091351d,tch_20200625-211715_62
std_1593102871152_69,c19934a0-0e99-4e69-ae2b-f400ff787f0d,tch_20200625-211715_69
std_1593102657466_70,65aa2cc0-acd2-4f2d-8a7b-e856632481bf,tch_20200625-211715_70
std_1593102615996_68,2c099dfd-c280-46a0-8d5e-a0dc466b6367,tch_20200625-211715_68
std_1593103507273_72,57206037-983d-4ee0-b1f1-163906efb665,tch_20200625-211715_72
std_1593102654997_69,e9dad0c5-de60-4f44-95ea-2fc2c55bd889,tch_20200625-211715_69
std_1593103491234_71,25143850-2816-4cba-9463-d20ea26e55ec,tch_20200625-211715_71
std_1593103251545_72,3c6018f4-04be-4709-840e-e189d0e33d95,tch_20200625-211715_72
