tch,stduuid,stdextuserid,classttile,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200625-211715_6,c93e2c3c-b6fc-11ea-840b-0242ac110002,std_1593100756050_6,class_20200625-211715_6,nx74-TrJ3,4927d54a-2bc6-4027-8122-77433f25923b,78b57cbd-68c6-480d-85c7-ceb70fba0645,aa99aa7b-d964-487a-9e44-b70576a7aabd,e693009a-1d59-434f-93c4-b61e46369f24,2d6e9a6a-a73d-4abb-a093-f7db7848e9ea
tch_20200625-211715_2,c5f8014f-b6fc-11ea-840b-0242ac110002,std_1593100750823_2,class_20200625-211715_2,Djt2-X69s,b868d65c-d3d0-414e-95f1-c5eaaf37a488,8ec6ce3b-df21-4a43-bf1d-219eafee63d2,fe0439b3-b0c4-457b-add8-a46d3191935f,4cc65cf4-c3c5-4146-a256-5a7bf6d160e5,9b6da82c-8304-45c1-bbd3-2b04fd00a50d
tch_20200625-211715_4,dfe93d91-b6fc-11ea-94cc-0242ac110002,std_1593100794337_4,class_20200625-211715_4,k47s-vncW,adf5d569-eea8-490f-8b6a-f053b3e853d4,aca332d1-6b21-4d15-9fc2-9329f489663f,8fa5483b-728c-4d57-a154-736ac6dbce46,26f47c1c-9edb-4583-82ca-4f49aa2a04a9,e8d2eb9d-5b72-4cfa-8392-5eb0bc829049
tch_20200625-211715_1,e0e66290-b6fc-11ea-840b-0242ac110002,std_1593100796019_1,class_20200625-211715_1,8AFA-3JFj,cb419c7e-a8ba-4d6d-a005-f43383aa0808,9f132e70-d882-4432-a336-6ed71e2195fc,8df5ab2d-64e5-4ca6-af9c-88f2e4205725,2db15032-daaa-43d6-b9c6-2434146fa60b,27a8128f-634f-41ae-8710-93cac9cb8dc7
tch_20200625-211715_3,e296aa19-b6fc-11ea-840b-0242ac110002,std_1593100798842_3,class_20200625-211715_3,UYdu-v4hu,48b63bf4-cb9a-434d-a49c-c13b617099ed,cbcc77c1-2a1e-41ae-a8d6-6e729b1d86bb,cf54d59e-b518-418e-96bd-d5b473257f00,1dd029bd-c36c-49ef-9caa-2cae0f92bfff,f9c9ccc2-c7d7-46f9-b1f9-b1d2becd857c
tch_20200625-211715_6,e83f2eed-b6fc-11ea-94cc-0242ac110002,std_1593100808307_6,class_20200625-211715_6,nx74-TrJ3,4927d54a-2bc6-4027-8122-77433f25923b,78b57cbd-68c6-480d-85c7-ceb70fba0645,aa99aa7b-d964-487a-9e44-b70576a7aabd,e693009a-1d59-434f-93c4-b61e46369f24,2d6e9a6a-a73d-4abb-a093-f7db7848e9ea
tch_20200625-211715_7,e9921494-b6fc-11ea-94cc-0242ac110002,std_1593100810273_7,class_20200625-211715_7,qAqm-398E,8a472d25-0430-476c-a7c6-42e8c8082258,6c78fe96-a626-48b6-a355-de0640a334fa,967ed7f1-45bd-49ab-a7e2-fb066983c8ac,b403e19b-179c-4ceb-b0c9-bc097d24df06,365a3a8e-eaa3-4882-bb40-f1e13cbbbf4d
tch_20200625-211715_4,f965e691-b6fc-11ea-840b-0242ac110002,std_1593100837094_4,class_20200625-211715_4,k47s-vncW,adf5d569-eea8-490f-8b6a-f053b3e853d4,aca332d1-6b21-4d15-9fc2-9329f489663f,8fa5483b-728c-4d57-a154-736ac6dbce46,26f47c1c-9edb-4583-82ca-4f49aa2a04a9,e8d2eb9d-5b72-4cfa-8392-5eb0bc829049
tch_20200625-211715_5,e7855502-b6fc-11ea-94cc-0242ac110002,std_1593100807115_5,class_20200625-211715_5,2XhU-3msD,1ba8204c-b9e5-4988-a754-dddfca999cc3,c9e63d9b-06f5-4a68-80fb-c8c4eeded67e,a798559b-051f-437e-9dc5-3c6c8683adce,e33fa23f-86b4-4267-8dab-660684436596,c3d97b10-c6ec-449a-b16a-b6b56dbdd854
tch_20200625-211715_9,fa5b42e8-b6fc-11ea-840b-0242ac110002,std_1593100838442_9,class_20200625-211715_9,2TJe-fLmu,8c5cb9df-c5f2-49ca-828d-a599a9c3e7d6,8ec82744-25c3-44d1-85fb-a7a36c4b0789,3d30a4df-c067-43e4-953b-7b03833b198d,72b89a0b-e2f8-4f9b-aacb-76f97b67a722,fbabc867-ecd1-44a8-9b65-7b044ca5120c
tch_20200625-211715_2,ec2605f6-b6fc-11ea-94cc-0242ac110002,std_1593100814871_2,class_20200625-211715_2,Djt2-X69s,b868d65c-d3d0-414e-95f1-c5eaaf37a488,8ec6ce3b-df21-4a43-bf1d-219eafee63d2,fe0439b3-b0c4-457b-add8-a46d3191935f,4cc65cf4-c3c5-4146-a256-5a7bf6d160e5,9b6da82c-8304-45c1-bbd3-2b04fd00a50d
tch_20200625-211715_8,f12e530d-b6fc-11ea-840b-0242ac110002,std_1593100823040_8,class_20200625-211715_8,NJeZ-6aDs,74ccb77c-5b61-438a-ac45-77076cb77463,b24267c2-89d7-48c6-a176-34b81c218f5f,794ce07f-8114-47a0-8d36-294554f508bc,6e077d19-44a3-4ae4-8104-44a2e167bf1c,2a51ce3c-e0ad-4752-a045-76759d5d2ae0
tch_20200625-211715_1,05147849-b6fd-11ea-94cc-0242ac110002,std_1593100856702_1,class_20200625-211715_1,8AFA-3JFj,cb419c7e-a8ba-4d6d-a005-f43383aa0808,9f132e70-d882-4432-a336-6ed71e2195fc,8df5ab2d-64e5-4ca6-af9c-88f2e4205725,2db15032-daaa-43d6-b9c6-2434146fa60b,27a8128f-634f-41ae-8710-93cac9cb8dc7
tch_20200625-211715_6,0b3f9993-b6fd-11ea-94cc-0242ac110002,std_1593100867050_6,class_20200625-211715_6,nx74-TrJ3,4927d54a-2bc6-4027-8122-77433f25923b,78b57cbd-68c6-480d-85c7-ceb70fba0645,aa99aa7b-d964-487a-9e44-b70576a7aabd,e693009a-1d59-434f-93c4-b61e46369f24,2d6e9a6a-a73d-4abb-a093-f7db7848e9ea
tch_20200625-211715_9,10b80d4f-b6fd-11ea-94cc-0242ac110002,std_1593100876208_9,class_20200625-211715_9,2TJe-fLmu,8c5cb9df-c5f2-49ca-828d-a599a9c3e7d6,8ec82744-25c3-44d1-85fb-a7a36c4b0789,3d30a4df-c067-43e4-953b-7b03833b198d,72b89a0b-e2f8-4f9b-aacb-76f97b67a722,fbabc867-ecd1-44a8-9b65-7b044ca5120c
tch_20200625-211715_3,09524914-b6fd-11ea-840b-0242ac110002,std_1593100863788_3,class_20200625-211715_3,UYdu-v4hu,48b63bf4-cb9a-434d-a49c-c13b617099ed,cbcc77c1-2a1e-41ae-a8d6-6e729b1d86bb,cf54d59e-b518-418e-96bd-d5b473257f00,1dd029bd-c36c-49ef-9caa-2cae0f92bfff,f9c9ccc2-c7d7-46f9-b1f9-b1d2becd857c
tch_20200625-211715_10,12849093-b6fd-11ea-94cc-0242ac110002,std_1593100878975_10,class_20200625-211715_10,v8nD-Y2ew,2d9e8b62-0d94-4843-b43e-fad426a1696a,a0d39eb3-3aed-4f14-972b-ebc4dcd90144,635c0e12-6da8-4f4e-83e6-98a2deb64aa2,a21e12dd-35d0-43db-b43c-a8f260e0b002,4813e8e0-9627-4727-9ef4-2cce50bdfc57
tch_20200625-211715_7,0c2f5130-b6fd-11ea-94cc-0242ac110002,std_1593100868629_7,class_20200625-211715_7,qAqm-398E,8a472d25-0430-476c-a7c6-42e8c8082258,6c78fe96-a626-48b6-a355-de0640a334fa,967ed7f1-45bd-49ab-a7e2-fb066983c8ac,b403e19b-179c-4ceb-b0c9-bc097d24df06,365a3a8e-eaa3-4882-bb40-f1e13cbbbf4d
tch_20200625-211715_5,105be3de-b6fd-11ea-94cc-0242ac110002,std_1593100875629_5,class_20200625-211715_5,2XhU-3msD,1ba8204c-b9e5-4988-a754-dddfca999cc3,c9e63d9b-06f5-4a68-80fb-c8c4eeded67e,a798559b-051f-437e-9dc5-3c6c8683adce,e33fa23f-86b4-4267-8dab-660684436596,c3d97b10-c6ec-449a-b16a-b6b56dbdd854
tch_20200625-211715_4,0e9554e0-b6fd-11ea-840b-0242ac110002,std_1593100872659_4,class_20200625-211715_4,k47s-vncW,adf5d569-eea8-490f-8b6a-f053b3e853d4,aca332d1-6b21-4d15-9fc2-9329f489663f,8fa5483b-728c-4d57-a154-736ac6dbce46,26f47c1c-9edb-4583-82ca-4f49aa2a04a9,e8d2eb9d-5b72-4cfa-8392-5eb0bc829049
tch_20200625-211715_11,208ddb75-b6fd-11ea-840b-0242ac110002,std_1593100902540_11,class_20200625-211715_11,gZsm-KmiA,25a726ee-87b2-4538-b674-4a3ab11b2e65,b4cd0013-34a9-496f-8057-2667c04552aa,b286e49e-2bbb-4949-87d2-01a62ef42491,360b7365-29a8-453b-8503-50a70a637180,cdf49a08-9b61-4b9f-a55e-c514e5f2d210
tch_20200625-211715_2,10c5062b-b6fd-11ea-840b-0242ac110002,std_1593100876317_2,class_20200625-211715_2,Djt2-X69s,b868d65c-d3d0-414e-95f1-c5eaaf37a488,8ec6ce3b-df21-4a43-bf1d-219eafee63d2,fe0439b3-b0c4-457b-add8-a46d3191935f,4cc65cf4-c3c5-4146-a256-5a7bf6d160e5,9b6da82c-8304-45c1-bbd3-2b04fd00a50d
tch_20200625-211715_8,16068b3b-b6fd-11ea-840b-0242ac110002,std_1593100885136_8,class_20200625-211715_8,NJeZ-6aDs,74ccb77c-5b61-438a-ac45-77076cb77463,b24267c2-89d7-48c6-a176-34b81c218f5f,794ce07f-8114-47a0-8d36-294554f508bc,6e077d19-44a3-4ae4-8104-44a2e167bf1c,2a51ce3c-e0ad-4752-a045-76759d5d2ae0
tch_20200625-211715_1,22c13593-b6fd-11ea-840b-0242ac110002,std_1593100906495_1,class_20200625-211715_1,8AFA-3JFj,cb419c7e-a8ba-4d6d-a005-f43383aa0808,9f132e70-d882-4432-a336-6ed71e2195fc,8df5ab2d-64e5-4ca6-af9c-88f2e4205725,2db15032-daaa-43d6-b9c6-2434146fa60b,27a8128f-634f-41ae-8710-93cac9cb8dc7
tch_20200625-211715_6,27a6dedf-b6fd-11ea-840b-0242ac110002,std_1593100914727_6,class_20200625-211715_6,nx74-TrJ3,4927d54a-2bc6-4027-8122-77433f25923b,78b57cbd-68c6-480d-85c7-ceb70fba0645,aa99aa7b-d964-487a-9e44-b70576a7aabd,e693009a-1d59-434f-93c4-b61e46369f24,2d6e9a6a-a73d-4abb-a093-f7db7848e9ea
tch_20200625-211715_5,32c20b42-b6fd-11ea-840b-0242ac110002,std_1593100933341_5,class_20200625-211715_5,2XhU-3msD,1ba8204c-b9e5-4988-a754-dddfca999cc3,c9e63d9b-06f5-4a68-80fb-c8c4eeded67e,a798559b-051f-437e-9dc5-3c6c8683adce,e33fa23f-86b4-4267-8dab-660684436596,c3d97b10-c6ec-449a-b16a-b6b56dbdd854
tch_20200625-211715_7,2ecd027e-b6fd-11ea-840b-0242ac110002,std_1593100926698_7,class_20200625-211715_7,qAqm-398E,8a472d25-0430-476c-a7c6-42e8c8082258,6c78fe96-a626-48b6-a355-de0640a334fa,967ed7f1-45bd-49ab-a7e2-fb066983c8ac,b403e19b-179c-4ceb-b0c9-bc097d24df06,365a3a8e-eaa3-4882-bb40-f1e13cbbbf4d
tch_20200625-211715_9,2a0df3e6-b6fd-11ea-94cc-0242ac110002,std_1593100918716_9,class_20200625-211715_9,2TJe-fLmu,8c5cb9df-c5f2-49ca-828d-a599a9c3e7d6,8ec82744-25c3-44d1-85fb-a7a36c4b0789,3d30a4df-c067-43e4-953b-7b03833b198d,72b89a0b-e2f8-4f9b-aacb-76f97b67a722,fbabc867-ecd1-44a8-9b65-7b044ca5120c
tch_20200625-211715_3,2b98b341-b6fd-11ea-840b-0242ac110002,std_1593100921326_3,class_20200625-211715_3,UYdu-v4hu,48b63bf4-cb9a-434d-a49c-c13b617099ed,cbcc77c1-2a1e-41ae-a8d6-6e729b1d86bb,cf54d59e-b518-418e-96bd-d5b473257f00,1dd029bd-c36c-49ef-9caa-2cae0f92bfff,f9c9ccc2-c7d7-46f9-b1f9-b1d2becd857c
tch_20200625-211715_10,2dfdf397-b6fd-11ea-840b-0242ac110002,std_1593100925282_10,class_20200625-211715_10,v8nD-Y2ew,2d9e8b62-0d94-4843-b43e-fad426a1696a,a0d39eb3-3aed-4f14-972b-ebc4dcd90144,635c0e12-6da8-4f4e-83e6-98a2deb64aa2,a21e12dd-35d0-43db-b43c-a8f260e0b002,4813e8e0-9627-4727-9ef4-2cce50bdfc57
tch_20200625-211715_2,36a0cbed-b6fd-11ea-840b-0242ac110002,std_1593100939830_2,class_20200625-211715_2,Djt2-X69s,b868d65c-d3d0-414e-95f1-c5eaaf37a488,8ec6ce3b-df21-4a43-bf1d-219eafee63d2,fe0439b3-b0c4-457b-add8-a46d3191935f,4cc65cf4-c3c5-4146-a256-5a7bf6d160e5,9b6da82c-8304-45c1-bbd3-2b04fd00a50d
tch_20200625-211715_13,45b78ec7-b6fd-11ea-94cc-0242ac110002,std_1593100964902_13,class_20200625-211715_13,3RG6-WRz2,b03ce482-f64b-4cac-9091-0d4e8f314cf8,6878e4c6-3d1c-4501-826b-d7c82f7137ae,e3849ae9-86cb-4222-81da-1b3b74ccd09a,43beed1c-06ed-4e82-b119-2b258a0e4fc6,83266152-c59d-4312-a5a9-c72407b582a9
tch_20200625-211715_8,3b7389aa-b6fd-11ea-840b-0242ac110002,std_1593100947939_8,class_20200625-211715_8,NJeZ-6aDs,74ccb77c-5b61-438a-ac45-77076cb77463,b24267c2-89d7-48c6-a176-34b81c218f5f,794ce07f-8114-47a0-8d36-294554f508bc,6e077d19-44a3-4ae4-8104-44a2e167bf1c,2a51ce3c-e0ad-4752-a045-76759d5d2ae0
tch_20200625-211715_11,35c7d135-b6fd-11ea-840b-0242ac110002,std_1593100938412_11,class_20200625-211715_11,gZsm-KmiA,25a726ee-87b2-4538-b674-4a3ab11b2e65,b4cd0013-34a9-496f-8057-2667c04552aa,b286e49e-2bbb-4949-87d2-01a62ef42491,360b7365-29a8-453b-8503-50a70a637180,cdf49a08-9b61-4b9f-a55e-c514e5f2d210
tch_20200625-211715_4,34e8e250-b6fd-11ea-94cc-0242ac110002,std_1593100936920_4,class_20200625-211715_4,k47s-vncW,adf5d569-eea8-490f-8b6a-f053b3e853d4,aca332d1-6b21-4d15-9fc2-9329f489663f,8fa5483b-728c-4d57-a154-736ac6dbce46,26f47c1c-9edb-4583-82ca-4f49aa2a04a9,e8d2eb9d-5b72-4cfa-8392-5eb0bc829049
tch_20200625-211715_1,3bdecead-b6fd-11ea-94cc-0242ac110002,std_1593100948594_1,class_20200625-211715_1,8AFA-3JFj,cb419c7e-a8ba-4d6d-a005-f43383aa0808,9f132e70-d882-4432-a336-6ed71e2195fc,8df5ab2d-64e5-4ca6-af9c-88f2e4205725,2db15032-daaa-43d6-b9c6-2434146fa60b,27a8128f-634f-41ae-8710-93cac9cb8dc7
tch_20200625-211715_12,3aa5d91d-b6fd-11ea-94cc-0242ac110002,std_1593100946319_12,class_20200625-211715_12,9Ew9-TDtc,b51191d7-2f1b-4153-99e9-67508120f42d,437acb6f-8931-4fe4-8fd8-0ca9a0543f14,c8518b3d-3a58-44cb-9c86-6ead21d2575d,6dd858ea-aafb-4303-8a43-b68ec13952d0,21bef07f-aeab-420d-b60e-5674887ca491
tch_20200625-211715_6,4a530fb5-b6fd-11ea-840b-0242ac110002,std_1593100972867_6,class_20200625-211715_6,nx74-TrJ3,4927d54a-2bc6-4027-8122-77433f25923b,78b57cbd-68c6-480d-85c7-ceb70fba0645,aa99aa7b-d964-487a-9e44-b70576a7aabd,e693009a-1d59-434f-93c4-b61e46369f24,2d6e9a6a-a73d-4abb-a093-f7db7848e9ea
tch_20200625-211715_9,4d4cc791-b6fd-11ea-94cc-0242ac110002,std_1593100977861_9,class_20200625-211715_9,2TJe-fLmu,8c5cb9df-c5f2-49ca-828d-a599a9c3e7d6,8ec82744-25c3-44d1-85fb-a7a36c4b0789,3d30a4df-c067-43e4-953b-7b03833b198d,72b89a0b-e2f8-4f9b-aacb-76f97b67a722,fbabc867-ecd1-44a8-9b65-7b044ca5120c
tch_20200625-211715_7,4bdc20d9-b6fd-11ea-94cc-0242ac110002,std_1593100975450_7,class_20200625-211715_7,qAqm-398E,8a472d25-0430-476c-a7c6-42e8c8082258,6c78fe96-a626-48b6-a355-de0640a334fa,967ed7f1-45bd-49ab-a7e2-fb066983c8ac,b403e19b-179c-4ceb-b0c9-bc097d24df06,365a3a8e-eaa3-4882-bb40-f1e13cbbbf4d
tch_20200625-211715_14,5a4bf5f4-b6fd-11ea-840b-0242ac110002,std_1593100999372_14,class_20200625-211715_14,42ZM-9t4o,d22e662b-3455-4b1b-8bce-b3d1ec5a598b,cf0090d6-e029-4d27-9e3e-c7f4f823f9a4,97d494f1-9db9-422a-aa41-8293c9636c1e,6493098c-9025-4b7f-99cf-7f8e24d35244,0966e8de-b214-4557-9fd8-53c531f6f239
tch_20200625-211715_5,4a633cac-b6fd-11ea-840b-0242ac110002,std_1593100972982_5,class_20200625-211715_5,2XhU-3msD,1ba8204c-b9e5-4988-a754-dddfca999cc3,c9e63d9b-06f5-4a68-80fb-c8c4eeded67e,a798559b-051f-437e-9dc5-3c6c8683adce,e33fa23f-86b4-4267-8dab-660684436596,c3d97b10-c6ec-449a-b16a-b6b56dbdd854
tch_20200625-211715_3,5228ad8a-b6fd-11ea-840b-0242ac110002,std_1593100986034_3,class_20200625-211715_3,UYdu-v4hu,48b63bf4-cb9a-434d-a49c-c13b617099ed,cbcc77c1-2a1e-41ae-a8d6-6e729b1d86bb,cf54d59e-b518-418e-96bd-d5b473257f00,1dd029bd-c36c-49ef-9caa-2cae0f92bfff,f9c9ccc2-c7d7-46f9-b1f9-b1d2becd857c
tch_20200625-211715_13,5bcca2b7-b6fd-11ea-840b-0242ac110002,std_1593101002131_13,class_20200625-211715_13,3RG6-WRz2,b03ce482-f64b-4cac-9091-0d4e8f314cf8,6878e4c6-3d1c-4501-826b-d7c82f7137ae,e3849ae9-86cb-4222-81da-1b3b74ccd09a,43beed1c-06ed-4e82-b119-2b258a0e4fc6,83266152-c59d-4312-a5a9-c72407b582a9
tch_20200625-211715_10,5502818d-b6fd-11ea-94cc-0242ac110002,std_1593100990811_10,class_20200625-211715_10,v8nD-Y2ew,2d9e8b62-0d94-4843-b43e-fad426a1696a,a0d39eb3-3aed-4f14-972b-ebc4dcd90144,635c0e12-6da8-4f4e-83e6-98a2deb64aa2,a21e12dd-35d0-43db-b43c-a8f260e0b002,4813e8e0-9627-4727-9ef4-2cce50bdfc57
tch_20200625-211715_12,6230877c-b6fd-11ea-840b-0242ac110002,std_1593101012929_12,class_20200625-211715_12,9Ew9-TDtc,b51191d7-2f1b-4153-99e9-67508120f42d,437acb6f-8931-4fe4-8fd8-0ca9a0543f14,c8518b3d-3a58-44cb-9c86-6ead21d2575d,6dd858ea-aafb-4303-8a43-b68ec13952d0,21bef07f-aeab-420d-b60e-5674887ca491
tch_20200625-211715_2,59fb8b78-b6fd-11ea-94cc-0242ac110002,std_1593100999092_2,class_20200625-211715_2,Djt2-X69s,b868d65c-d3d0-414e-95f1-c5eaaf37a488,8ec6ce3b-df21-4a43-bf1d-219eafee63d2,fe0439b3-b0c4-457b-add8-a46d3191935f,4cc65cf4-c3c5-4146-a256-5a7bf6d160e5,9b6da82c-8304-45c1-bbd3-2b04fd00a50d
tch_20200625-211715_8,5c140bf0-b6fd-11ea-840b-0242ac110002,std_1593101002650_8,class_20200625-211715_8,NJeZ-6aDs,74ccb77c-5b61-438a-ac45-77076cb77463,b24267c2-89d7-48c6-a176-34b81c218f5f,794ce07f-8114-47a0-8d36-294554f508bc,6e077d19-44a3-4ae4-8104-44a2e167bf1c,2a51ce3c-e0ad-4752-a045-76759d5d2ae0
tch_20200625-211715_1,5fbb68bd-b6fd-11ea-840b-0242ac110002,std_1593101008802_1,class_20200625-211715_1,8AFA-3JFj,cb419c7e-a8ba-4d6d-a005-f43383aa0808,9f132e70-d882-4432-a336-6ed71e2195fc,8df5ab2d-64e5-4ca6-af9c-88f2e4205725,2db15032-daaa-43d6-b9c6-2434146fa60b,27a8128f-634f-41ae-8710-93cac9cb8dc7
tch_20200625-211715_4,5d31b06a-b6fd-11ea-94cc-0242ac110002,std_1593101004533_4,class_20200625-211715_4,k47s-vncW,adf5d569-eea8-490f-8b6a-f053b3e853d4,aca332d1-6b21-4d15-9fc2-9329f489663f,8fa5483b-728c-4d57-a154-736ac6dbce46,26f47c1c-9edb-4583-82ca-4f49aa2a04a9,e8d2eb9d-5b72-4cfa-8392-5eb0bc829049
tch_20200625-211715_11,5c499ad4-b6fd-11ea-840b-0242ac110002,std_1593101003025_11,class_20200625-211715_11,gZsm-KmiA,25a726ee-87b2-4538-b674-4a3ab11b2e65,b4cd0013-34a9-496f-8057-2667c04552aa,b286e49e-2bbb-4949-87d2-01a62ef42491,360b7365-29a8-453b-8503-50a70a637180,cdf49a08-9b61-4b9f-a55e-c514e5f2d210
tch_20200625-211715_15,6dc24256-b6fd-11ea-840b-0242ac110002,std_1593101032047_15,class_20200625-211715_15,fLZv-6tq2,ffc9cb35-8d4a-4a8a-82d7-96d5225053a7,fa665dbd-1580-4270-9ef1-382bd8100b4b,d3ebf35d-b5c4-4240-a10c-8f84ae7f6965,326856cb-9dd2-41f2-ac86-c897354754e5,3ab4c31e-229a-4559-b8f5-42e489a40a6b
tch_20200625-211715_6,66437733-b6fd-11ea-840b-0242ac110002,std_1593101019715_6,class_20200625-211715_6,nx74-TrJ3,4927d54a-2bc6-4027-8122-77433f25923b,78b57cbd-68c6-480d-85c7-ceb70fba0645,aa99aa7b-d964-487a-9e44-b70576a7aabd,e693009a-1d59-434f-93c4-b61e46369f24,2d6e9a6a-a73d-4abb-a093-f7db7848e9ea
tch_20200625-211715_13,73427e83-b6fd-11ea-840b-0242ac110002,std_1593101041581_13,class_20200625-211715_13,3RG6-WRz2,b03ce482-f64b-4cac-9091-0d4e8f314cf8,6878e4c6-3d1c-4501-826b-d7c82f7137ae,e3849ae9-86cb-4222-81da-1b3b74ccd09a,43beed1c-06ed-4e82-b119-2b258a0e4fc6,83266152-c59d-4312-a5a9-c72407b582a9
