studentextuserid,groupids,tchextuserids
std_1592977147364_47,fee1cd95-32d8-47e1-9c97-4ea4f8a76fc4,tch_20200624-103022_47
std_1592977201205_48,262bf3b0-34ad-48c5-be4e-a1bf7ad0375c,tch_20200624-103022_48
std_1592977218096_49,7ac6ea04-1831-494d-9ae3-b07836765e0f,tch_20200624-103022_49
std_1592977257008_50,44587d0e-af4f-4799-8e27-7cbc2072ef79,tch_20200624-103022_50
std_1592977295300_51,1925623c-ca5a-45dc-8142-1f1deb2b41c3,tch_20200624-103022_51
std_1592977309684_52,9f6daf12-52c8-437d-88c5-ee4b35dcc98f,tch_20200624-103022_52
std_1592977371859_53,9fe9a212-e122-4732-af50-e3d463bc6642,tch_20200624-103022_53
std_1592977377152_54,4fd903d8-8a05-4047-9329-62af8fde836d,tch_20200624-103022_54
std_1592977416416_55,c93e509a-75d3-430e-8d33-8fd931962bcc,tch_20200624-103022_55
std_1592977422498_56,bbf4faa4-6bbe-44f9-9723-082b323c7f8f,tch_20200624-103022_56
std_1592977467434_57,29b3e2ac-3edc-4573-a2a8-3b88eb5cbce9,tch_20200624-103022_57
std_1592977477594_58,ef231043-dfd3-485d-93fc-69091a43ef25,tch_20200624-103022_58
std_1592977545362_60,17bade37-4352-4032-8059-8648f09f2e90,tch_20200624-103022_60
std_1592977540556_59,72eab8dc-f0b0-4a70-aadd-cbc78f7e9e2b,tch_20200624-103022_59
std_1592977585700_61,b6835e85-d0aa-40fc-bdd6-f8fad0ea542e,tch_20200624-103022_61
std_1592977614274_62,40bb9513-25d2-4aaf-86e4-159f2a290dae,tch_20200624-103022_62
std_1592977666671_63,35484848-59a0-4f6b-8c1d-7dc910664f64,tch_20200624-103022_63
std_1592977678294_64,0169965b-ab15-4bc1-83ef-603a73fac287,tch_20200624-103022_64
std_1592977686887_65,793db0c4-5bc2-436f-b338-df4ddc491ddf,tch_20200624-103022_65
std_1592977740139_66,a5fdf767-13cf-4aed-9b3c-a1c0f5086100,tch_20200624-103022_66
std_1592977782641_68,c3005d50-5a8b-4538-a922-c6289a7a372e,tch_20200624-103022_68
std_1592977784382_67,e1e62d19-950c-4d41-adb7-1cfe3c454095,tch_20200624-103022_67
std_1592977856897_69,e90b9fb7-5e6e-4dab-ab3e-fa6d50b314db,tch_20200624-103022_69
std_1592977868559_70,96952614-851b-4397-be0e-6f60d125fb7d,tch_20200624-103022_70
std_1592977891794_71,c6deb732-9137-42f5-9a10-b5f147e3103c,tch_20200624-103022_71
std_1592977932625_72,f29f3bd6-100f-486a-aabc-0ad5d8252eb4,tch_20200624-103022_72
std_1592977948616_73,e73c353d-b0c7-48e2-9bef-a30ac170cb5b,tch_20200624-103022_73
std_1592977956566_74,2812fa2e-7532-4e8e-89d7-4071504f4a94,tch_20200624-103022_74
std_1592978032520_75,c8881035-e077-4f29-a946-e6f3d6e2ec3f,tch_20200624-103022_75
std_1592978049955_76,2ab90acd-80d5-4bce-8961-09a8e0fa02ed,tch_20200624-103022_76
std_1592978065056_77,21932292-794f-47af-ad62-4ff3fde0f67b,tch_20200624-103022_77
std_1592978101385_78,db9d464c-d948-45bc-bcf4-d9443aa1e3f5,tch_20200624-103022_78
std_1592978148138_80,66443c87-87e0-4321-9afa-4e5efbecfbe8,tch_20200624-103022_80
std_1592978150493_79,687aa1bd-37c2-4cf2-aed3-09f91c46eea3,tch_20200624-103022_79
std_1592978189948_81,c53d99bb-1d17-43b3-b70c-e787cadb6902,tch_20200624-103022_81
std_1592978224219_82,17708273-58b2-46d5-a137-8c19628ac19f,tch_20200624-103022_82
std_1592978255110_83,7170b973-6ce8-4994-82a1-9301d5ae2169,tch_20200624-103022_83
std_1592978280391_84,9e3cd950-6e41-44fb-8214-9e4414e4299d,tch_20200624-103022_84
std_1592978332554_86,a66fd047-fad8-4829-b907-78f1cbcf430e,tch_20200624-103022_86
std_1592978318510_85,3a311033-d15f-4513-8535-fd1715fced4b,tch_20200624-103022_85
std_1592978376068_87,df65c834-dfb5-4f2b-bf85-47151cc35a2d,tch_20200624-103022_87
std_1592978418183_88,728916e3-b6f9-4525-ae5f-f946623aa05d,tch_20200624-103022_88
std_1592978432216_89,f9d0705a-60ae-4cc2-aae0-6a4ec6154e0e,tch_20200624-103022_89
std_1592978481613_90,5055a625-e15f-4bc2-b15e-a7f87b133e94,tch_20200624-103022_90
std_1592978505696_91,c0b94446-46f6-4b6d-a492-d52df1945468,tch_20200624-103022_91
std_1592978511552_92,e473a609-5f55-4c07-91f9-70e1ba952aaf,tch_20200624-103022_92
std_1592978545269_93,f07c479e-84aa-4721-b57b-91a9c2f0a451,tch_20200624-103022_93
std_1592978594271_94,cc9c8398-e9dd-4ea7-80f0-c3be033dd7d2,tch_20200624-103022_94
std_1592978615009_95,50e68cc4-6972-4cda-bacd-de5c22551f99,tch_20200624-103022_95
std_1592978639962_96,f06dec2c-8ca9-4987-96cd-f29260a6395f,tch_20200624-103022_96
std_1592978674236_97,01f49a87-6122-421c-be15-aa1d68f61c4d,tch_20200624-103022_97
std_1592978712629_98,d93a8f91-4739-406b-8323-c5b224105b52,tch_20200624-103022_98
std_1592978735236_100,6d983105-d79e-48cd-8a29-275f180c1f66,tch_20200624-103022_100
std_1592978745584_99,6feabd87-f8de-449c-8981-30b6b10d85e8,tch_20200624-103022_99
