tchextid,classcode
tch_20201213-125859_43,28F8-o9Q7
tch_20201213-125859_44,bErs-3xrs
tch_20201213-125859_45,eCur-7VFC
tch_20201213-125859_46,fr4U-pkcG
tch_20201213-125859_47,b74i-xbFh
tch_20201213-125859_48,Qf4E-BgC3
tch_20201213-125859_49,VkY8-MZ4c
tch_20201213-125859_50,4jsk-T3GW
tch_20201213-125859_51,b93E-ZuAT
tch_20201213-125859_52,Ym24-XKFE
tch_20201213-125859_53,4mXY-jFUd
tch_20201213-125859_54,Kzf4-xaed
tch_20201213-125859_55,MP84-R6vY
tch_20201213-125859_56,gi4r-YHk7
tch_20201213-125859_57,CYa8-zJ86
tch_20201213-125859_58,Cf4d-t2T9
tch_20201213-125859_59,ZudW-bMrR
tch_20201213-125859_60,4kdE-erWe
tch_20201213-125859_61,h87s-dem6
tch_20201213-125859_62,7Eat-f8oq
tch_20201213-125859_63,L3ts-DaFu
tch_20201213-125859_64,Fyqr-s9xy
tch_20201213-125859_65,a9PJ-N2u9
tch_20201213-125859_66,Fc8N-Ds3F
tch_20201213-125859_67,8G3s-AL73
tch_20201213-125859_68,Bjyu-4zVT
tch_20201213-125859_69,HduP-X8Fj
tch_20201213-125859_70,DfXy-cTkL
tch_20201213-125859_71,wJq3-MT2k
tch_20201213-125859_72,b2ZH-x4x9
tch_20201213-125859_73,Ci79-Rm6R
tch_20201213-125859_74,MY4x-Kzas
tch_20201213-125859_75,FE48-q2Lm
tch_20201213-125859_76,9YMN-C2Df
tch_20201213-125859_77,C9ej-7XMk
tch_20201213-125859_78,BLVC-D8fe
tch_20201213-125859_79,84QE-btG8
tch_20201213-125859_80,RFH8-2342
tch_20201213-125859_81,T9Yk-J7ct
tch_20201213-125859_82,tCN6-9Djs
tch_20201213-125859_83,Y29f-mq9f
tch_20201213-125859_84,tr8X-Tvqc
tch_20201213-125859_85,xd7M-2Vnt
tch_20201213-125859_86,HaDC-bNny
tch_20201213-125859_87,kswL-i4fd
tch_20201213-125859_88,9Gsf-L2eZ
tch_20201213-125859_89,f682-Qzo3
tch_20201213-125859_90,VcAR-z9Qk
tch_20201213-125859_91,b27y-Bz7f
tch_20201213-125859_92,7MH3-6naN
tch_20201213-125859_93,htqy-grfo
tch_20201213-125859_94,UFt8-qFwj
tch_20201213-125859_95,AyfV-coFM
tch_20201213-125859_96,vRQp-8xzi
tch_20201213-125859_97,BQW3-cJsC
tch_20201213-125859_98,RfGe-mNdZ
tch_20201213-125859_99,rodJ-fhPr
tch_20201213-125859_100,NpXd-gVpT
tch_20201213-235944_1,DfgV-TBbK
tch_20201213-235944_2,4PZ9-3Q32
tch_20201213-235944_3,Yab7-XZh2
tch_20201213-235944_4,p8aM-p4VQ
tch_20201213-235944_5,8h83-aUkA
tch_20201213-235944_6,dzp2-74U6
tch_20201213-235944_7,XvNK-4zCD
tch_20201213-235944_8,KQTw-2qBK
tch_20201213-235944_9,L9p8-nxie
tch_20201213-235944_10,X4C3-bzQ3
tch_20201213-235944_11,qmin-MQ7H
tch_20201213-235944_12,w64X-3Tra
tch_20201213-235944_13,9VFt-Rbe6
tch_20201213-235944_14,ZR78-JadP
tch_20201213-235944_15,92G2-MrZk
tch_20201213-235944_16,Gfs8-24jQ
tch_20201213-235944_17,P2hM-f9Yp
tch_20201213-235944_18,CV4G-zv3C
tch_20201213-235944_19,m3zm-Y4Z4
tch_20201213-235944_20,v6aN-4zTN
tch_20201213-235944_21,3jZv-36vu
tch_20201213-235944_22,37UK-owTi
tch_20201213-235944_23,sK6j-u9op
tch_20201213-235944_24,UJ7N-fJE6
tch_20201213-235944_25,vM9J-pDnd
tch_20201213-235944_26,ZBJ3-73tk
tch_20201213-235944_27,8Edh-yGoJ
tch_20201213-235944_28,8ubc-D6e4
tch_20201213-235944_29,hc29-JNR4
tch_20201213-235944_30,ETp9-6X86
tch_20201213-235944_31,reZ3-yUHg
tch_20201213-235944_32,otfb-hQau
tch_20201213-235944_33,G7Je-BRNr
tch_20201213-235944_34,q36i-CnZc
tch_20201213-235944_35,z7s8-KdRM
tch_20201213-235944_36,Tv2K-wdk7
tch_20201213-235944_37,7eXP-rJs6
tch_20201213-235944_38,R9H8-FRBE
tch_20201213-235944_39,9pdK-MTBE
tch_20201213-235944_40,u4Qi-Ti9V
tch_20201213-235944_41,3WC8-oUJ8
tch_20201213-235944_42,4h63-6TY7
tch_20201213-235944_43,vJt9-E9hJ
tch_20201213-235944_44,ri2A-9tcM
tch_20201213-235944_45,ctsx-qcvb
tch_20201213-235944_46,Rhb6-o624
tch_20201213-235944_47,69xe-T78D
tch_20201213-235944_48,srWJ-jtnq
tch_20201213-235944_49,2Tp8-Z82R
tch_20201213-235944_50,3Vd3-FGi3
tch_20201213-235944_51,igLQ-boNm
tch_20201213-235944_52,fMpg-aC9k
tch_20201213-235944_53,sA4d-GwXv
tch_20201213-235944_54,za9g-67QX
tch_20201213-235944_55,Yw6d-7j92
tch_20201213-235944_56,m2Tg-HyvM
tch_20201213-235944_57,JVf6-9sGC
tch_20201213-235944_58,WK4j-e2fj
tch_20201213-235944_59,YJH6-bPKm
tch_20201213-235944_60,3Jbo-Qwu2
tch_20201213-235944_61,xaom-VPg9
tch_20201213-235944_62,VHCD-Z29T
tch_20201213-235944_63,Ef8z-mj9n
tch_20201213-235944_64,KbfD-b9tb
tch_20201213-235944_65,z8x9-B2PX
tch_20201213-235944_66,L2Z6-Eic2
tch_20201213-235944_67,c2s7-X4Po
tch_20201213-235944_68,3Tu2-8oWm
tch_20201213-235944_69,4wXH-7TPr
tch_20201213-235944_70,9xXH-xuep
tch_20201213-235944_71,yiG7-QVP7
tch_20201213-235944_72,2Fe6-FX46
tch_20201213-235944_73,J64t-RemV
tch_20201213-235944_74,MiyG-A8bh
tch_20201213-235944_75,Bu7a-s7y2
tch_20201213-235944_76,qX8M-x2VD
tch_20201213-235944_77,dk4t-3Mo9
tch_20201213-235944_78,qM3f-cV7p
tch_20201213-235944_79,6LF2-BCH7
tch_20201213-235944_80,7cjn-B7DV
tch_20201213-235944_81,Md2s-69FU
tch_20201213-235944_82,ohqk-j67k
tch_20201213-235944_83,LERK-2tzv
tch_20201213-235944_84,e8C3-M6nN
tch_20201213-235944_85,hJHD-iNB6
tch_20201213-235944_86,3y4C-EYhd
tch_20201213-235944_87,32Z3-beb4
tch_20201213-235944_88,bL2k-VkH7
tch_20201213-235944_89,4k8Q-MCGr
tch_20201213-235944_90,2Ed2-uN9n
tch_20201213-235944_91,4Gz2-D7FD
tch_20201213-235944_92,BcDc-Y4i8
tch_20201213-235944_93,C6c6-G68q
tch_20201213-235944_94,3vcF-TaET
tch_20201213-235944_95,7r82-3cHr
tch_20201213-235944_96,X39k-PN3L
tch_20201213-235944_97,9yiU-vdj3
tch_20201213-235944_98,4Fzw-VC89
tch_20201213-235944_99,uZnH-zpAT
tch_20201213-235944_100,a97y-j4oP
tch_20201214-123839_1,7KEe-7EfH
tch_20201214-123839_2,NY87-hdZv
tch_20201214-123839_3,7Xih-9usu
tch_20201214-123839_4,r79E-DJ7J
tch_20201214-123839_5,3E2X-MY6R
tch_20201214-123839_6,eg7F-3VpG
tch_20201214-123839_7,HJcx-YctT
tch_20201214-123839_8,3i4j-26Wo
tch_20201214-123839_9,sHpG-wmTC
tch_20201214-123839_10,68yE-z6dc
tch_20201214-123839_11,R862-9Nf9
tch_20201214-123839_12,683b-gWPR
tch_20201214-123839_13,3h2H-GjmV
tch_20201214-123839_14,k2QM-m4vp
tch_20201214-123839_15,2834-nXLE
tch_20201214-123839_16,8iP8-wLi3
tch_20201214-123839_17,d3Qt-WeUb
tch_20201214-123839_18,xpMq-trmN
tch_20201214-123839_19,Z63b-3i2g
tch_20201214-123839_20,Qp9d-M64s
tch_20201214-123839_21,hg4M-KgnM
tch_20201214-123839_22,fnzM-YrRk
tch_20201214-123839_23,ojcU-BnC8
tch_20201214-123839_24,u64C-LxyM
tch_20201214-123839_25,746H-B6Vz
tch_20201214-123839_26,846j-9FKz
tch_20201214-123839_27,2piN-Ad8D
tch_20201214-123839_28,4kot-4gvc
tch_20201214-123839_29,27tR-kzZe
tch_20201214-123839_30,ANub-9M2h
tch_20201214-123839_31,We3i-Udb7
tch_20201214-123839_32,Hu6s-X8Zv
tch_20201214-123839_33,V4Cc-iHCP
tch_20201214-123839_34,aQpH-KvE3
tch_20201214-123839_35,9beR-r7Gt
tch_20201214-123839_36,Kkx3-7HE7
tch_20201214-123839_37,W6oQ-pTgP
tch_20201214-123839_38,mRJn-96oW
tch_20201214-123839_39,jnL8-h47M
tch_20201214-123839_40,a8dV-JV69
tch_20201214-123839_41,f2ft-2s4b
tch_20201214-123839_42,cA8r-bGz7
tch_20201214-123839_43,Q3cV-HDLE
tch_20201214-123839_44,wTbL-g9Wk
tch_20201214-123839_45,X9A6-Wka3
tch_20201214-123839_46,aZCf-7Ume
tch_20201214-123839_47,DE23-s3ia
tch_20201214-123839_48,tj9P-3z24
tch_20201214-123839_49,pxc3-b6pM
tch_20201214-123839_50,z7pn-wH9C
tch_20201214-123839_51,Ybxw-c7zC
tch_20201214-123839_52,KWY4-qR23
tch_20201214-123839_53,tUKE-ts3v
tch_20201214-123839_54,Qsrh-jf4U
tch_20201214-123839_55,4fdh-CYj2
tch_20201214-123839_56,a96g-smRr
tch_20201214-123839_57,cv8F-q7QG
tch_20201214-123839_58,84u7-267n
tch_20201214-123839_59,mM8V-H9w3
tch_20201214-123839_60,JqfW-3qk2
tch_20201214-123839_61,PT3o-DURc
tch_20201214-123839_62,cPrV-AH68
tch_20201214-123839_63,6atw-8oWZ
tch_20201214-123839_64,atUy-hrBs
tch_20201214-123839_65,MAe7-n49A
tch_20201214-123839_66,JHxo-iTwd
tch_20201214-123839_67,7yHs-Rx4r
tch_20201214-123839_68,j3x7-FBtU
tch_20201214-123839_69,Exj8-o82n
tch_20201214-123839_70,Xrus-ypYN
tch_20201214-123839_71,uLqe-3HNQ
tch_20201214-123839_72,7Kfd-mRdN
tch_20201214-123839_73,72T7-B2nq
tch_20201214-123839_74,26Dk-bN3o
tch_20201214-123839_75,Fqsw-7v4W
tch_20201214-123839_76,386T-E92t
tch_20201214-123839_77,976M-T7Aw
tch_20201214-123839_78,F7pL-FvqV
tch_20201214-123839_79,7qnw-49cq
tch_20201214-123839_80,jZYc-M4CV
tch_20201214-123839_81,DPM2-QHNx
tch_20201214-123839_82,yzPk-jkYn
tch_20201214-123839_83,7Rz3-YFq9
tch_20201214-123839_84,24t4-YKri
tch_20201214-123839_85,XvdQ-328z
tch_20201214-123839_86,vfd9-3dZf
tch_20201214-123839_87,Tz3N-9eir
tch_20201214-123839_88,u3MD-tpo7
tch_20201214-123839_89,w3LN-KUbv
tch_20201214-123839_90,e2nQ-fuku
tch_20201214-123839_91,rh3X-fDMN
tch_20201214-123839_92,46qi-x8uC
tch_20201214-123839_93,RkXv-Cuq4
tch_20201214-123839_94,A2Jk-9E6y
tch_20201214-123839_95,UrfX-PMN4
tch_20201214-123839_96,qA6p-V2fj
tch_20201214-123839_97,faX9-czEy
tch_20201214-123839_98,xXgK-G7aD
tch_20201214-123839_99,FAEm-vdWE
tch_20201214-123839_100,emCx-7HYM
tch_20201214-133320_1,xJFU-HZJN
tch_20201214-133320_2,bsnM-8a86
tch_20201214-133320_3,FA9a-7g4k
tch_20201214-133320_4,3ksf-MxAf
tch_20201214-133320_5,h4hV-tBuR
tch_20201214-133320_6,m64b-879A
tch_20201214-133320_7,z2dN-QN73
tch_20201214-133320_8,kPdq-esTG
tch_20201214-133320_9,oUib-d3Aq
tch_20201214-133320_10,xvyU-nm4R
tch_20201214-133320_11,tChq-F7Wh
tch_20201214-133320_12,iBbH-M3ZR
tch_20201214-133320_13,fQeA-wkqc
tch_20201214-133320_14,Kr9Q-LC6a
tch_20201214-133320_15,97D9-QgVZ
tch_20201214-133320_16,6fDY-CgHc
tch_20201214-133320_17,o6q3-uZrW
tch_20201214-133320_18,4VJK-LwCi
tch_20201214-133320_19,hdJ2-7Mo4
tch_20201214-133320_20,2BMa-uc8z
tch_20201214-133320_21,32j4-oZEn
tch_20201214-133320_22,9t6B-24E4
tch_20201214-133320_23,639s-tuo8
tch_20201214-133320_24,gDYQ-2qdV
tch_20201214-133320_25,zHN2-4dz9
tch_20201214-133320_26,WE3w-oFbH
tch_20201214-133320_27,K9JV-DftD
tch_20201214-133320_28,PQ9v-48hT
tch_20201214-133320_29,6kJ4-yVZD
tch_20201214-133320_30,2hwq-pEdb
tch_20201214-133320_31,k6ab-M2Df
tch_20201214-133320_32,xtA7-kv8e
tch_20201214-133320_33,x8dD-a934
tch_20201214-133320_34,xEgP-uCRp
tch_20201214-133320_35,Xnwy-NpBp
tch_20201214-133320_36,74BA-yb68
tch_20201214-133320_37,Hbq9-DJEt
tch_20201214-133320_38,6qa9-Jria
tch_20201214-133320_39,WUwe-m6D9
tch_20201214-133320_40,gieH-fB94
tch_20201214-133320_41,T4Uz-x6kP
tch_20201214-133320_42,3FUc-KY4v
tch_20201214-133320_43,rFM7-mo8N
tch_20201214-133320_44,8x7r-QF8X
tch_20201214-133320_45,QxjC-zMLR
tch_20201214-133320_46,iWZT-JUFg
tch_20201214-133320_47,Msra-83hm
tch_20201214-133320_48,g86R-xibK
tch_20201214-133320_49,6nqm-Ytr6
tch_20201214-133320_50,RwkG-k3Uw
tch_20201214-133320_51,iweY-3j4o
tch_20201214-133320_52,aAWF-z8tp
tch_20201214-133320_53,REZv-Pr9Q
tch_20201214-133320_54,hgyP-8hPs
tch_20201214-133320_55,63H4-2w98
tch_20201214-133320_56,U6oy-9w6o
tch_20201214-133320_57,rLs8-6iMw
tch_20201214-133320_58,P3pB-Je26
tch_20201214-133320_59,UEw9-8ZkJ
tch_20201214-133320_60,Vbnz-au3x
tch_20201214-133320_61,i3Ki-M74q
tch_20201214-133320_62,P8yk-i4zT
tch_20201214-133320_63,t4F3-DtA6
tch_20201214-133320_64,23iA-fVnN
tch_20201214-133320_65,ox3T-pu6b
tch_20201214-133320_66,P2Y8-B7rX
tch_20201214-133320_67,e28u-7ndb
tch_20201214-133320_68,FwV4-xfQH
tch_20201214-133320_69,HQU9-qRpg
tch_20201214-133320_70,6TNR-Uofu
tch_20201214-133320_71,mH4j-cMb7
tch_20201214-133320_72,mVH4-A4tv
tch_20201214-133320_73,3k8j-a4E2
tch_20201214-133320_74,A6aY-j7p9
tch_20201214-133320_75,an6Q-sobn
tch_20201214-133320_76,cHtf-pkx6
tch_20201214-133320_77,J8mn-762A
tch_20201214-133320_78,4mC4-y7Bs
tch_20201214-133320_79,D4yE-wPNj
tch_20201214-133320_80,hfCG-w6wN
tch_20201214-133320_81,Y2m8-Y79T
tch_20201214-133320_82,AETd-hyv9
tch_20201214-133320_83,vdR7-tyJg
tch_20201214-133320_84,qbaL-o2b6
tch_20201214-133320_85,497K-Z9ey
tch_20201214-133320_86,2snB-2Gh4
tch_20201214-133320_87,t9eF-CgpA
tch_20201214-133320_88,d8GC-r6G2
tch_20201214-133320_89,c9uD-6K3Y
tch_20201214-133320_90,2uwE-RXe7
tch_20201214-133320_91,vqv6-F6o9
tch_20201214-133320_92,EZF4-aLsy
tch_20201214-133320_93,YT2N-34i9
tch_20201214-133320_94,36oL-dEq3
tch_20201214-133320_95,i9M6-EbPG
tch_20201214-133320_96,hkeo-dwxK
tch_20201214-133320_97,z9s6-Hx78
tch_20201214-133320_98,wLvJ-EsaJ
tch_20201214-133320_99,7No3-u3CQ
tch_20201214-133320_100,p893-LMJR
