extuserid,studentuserid1,stdextid,classcode
tch_20201213-235944_57,40467bf3-3f70-11eb-90a7-0242ac110003,std_1608103693421_257,JVf6-9sGC
tch_20201213-235944_65,40c9dc9d-3f70-11eb-90a7-0242ac110003,std_1608103694258_265,z8x9-B2PX
tch_20201213-235944_58,418f288d-3f70-11eb-a47c-0242ac110003,std_1608103695597_258,WK4j-e2fj
tch_20201213-235944_71,40dc5282-3f70-11eb-a47c-0242ac110003,std_1608103694088_271,yiG7-QVP7
tch_20201213-235944_66,43fea14f-3f70-11eb-a47c-0242ac110003,std_1608103699701_266,L2Z6-Eic2
tch_20201213-235944_72,433d9b83-3f70-11eb-a47c-0242ac110003,std_1608103698101_272,2Fe6-FX46
tch_20201213-235944_73,45a2b44d-3f70-11eb-a47c-0242ac110003,std_1608103702114_273,J64t-RemV
tch_20201213-235944_51,451ff01d-3f70-11eb-90a7-0242ac110003,std_1608103701562_251,igLQ-boNm
tch_20201213-235944_60,45ff5358-3f70-11eb-a47c-0242ac110003,std_1608103703056_260,3Jbo-Qwu2
tch_20201213-235944_52,4687bdef-3f70-11eb-a47c-0242ac110003,std_1608103703931_252,fMpg-aC9k
tch_20201213-235944_54,466dcce1-3f70-11eb-a47c-0242ac110003,std_1608103703776_254,za9g-67QX
tch_20201213-235944_74,4807f4bb-3f70-11eb-90a7-0242ac110003,std_1608103706127_274,MiyG-A8bh
tch_20201213-235944_67,45f6c7d9-3f70-11eb-90a7-0242ac110003,std_1608103703002_267,c2s7-X4Po
tch_20201213-235944_59,47c40df3-3f70-11eb-90a7-0242ac110003,std_1608103705991_259,YJH6-bPKm
tch_20201213-235944_53,47fd6d3c-3f70-11eb-90a7-0242ac110003,std_1608103706382_253,sA4d-GwXv
tch_20201213-235944_68,49aacf48-3f70-11eb-90a7-0242ac110003,std_1608103709193_268,3Tu2-8oWm
tch_20201213-235944_55,49a8fa67-3f70-11eb-a47c-0242ac110003,std_1608103709195_255,Yw6d-7j92
tch_20201213-235944_75,4a6dd178-3f70-11eb-90a7-0242ac110003,std_1608103710142_275,Bu7a-s7y2
tch_20201213-235944_63,4b2a6ab5-3f70-11eb-90a7-0242ac110003,std_1608103711691_263,Ef8z-mj9n
tch_20201213-235944_61,4a1c2f44-3f70-11eb-90a7-0242ac110003,std_1608103709940_261,xaom-VPg9
tch_20201213-235944_76,4cf6510d-3f70-11eb-90a7-0242ac110003,std_1608103714156_276,qX8M-x2VD
tch_20201213-235944_62,4bc80a36-3f70-11eb-90a7-0242ac110003,std_1608103712741_262,VHCD-Z29T
tch_20201213-235944_56,4cf98571-3f70-11eb-a47c-0242ac110003,std_1608103714609_256,m2Tg-HyvM
tch_20201213-235944_57,5002cd3d-3f70-11eb-90a7-0242ac110003,std_1608103719820_257,JVf6-9sGC
tch_20201213-235944_69,4d5dc5c5-3f70-11eb-90a7-0242ac110003,std_1608103715401_269,4wXH-7TPr
tch_20201213-235944_65,504ecb35-3f70-11eb-a47c-0242ac110003,std_1608103720344_265,z8x9-B2PX
tch_20201213-235944_77,4f42ffb0-3f70-11eb-a47c-0242ac110003,std_1608103718169_277,dk4t-3Mo9
tch_20201213-235944_58,50703571-3f70-11eb-a47c-0242ac110003,std_1608103720536_258,WK4j-e2fj
tch_20201213-235944_70,4f7903ef-3f70-11eb-90a7-0242ac110003,std_1608103718940_270,9xXH-xuep
tch_20201213-235944_64,4f42ffb3-3f70-11eb-a47c-0242ac110003,std_1608103718507_264,KbfD-b9tb
tch_20201213-235944_78,51af4541-3f70-11eb-90a7-0242ac110003,std_1608103722182_278,qM3f-cV7p
tch_20201213-235944_71,50e4541e-3f70-11eb-90a7-0242ac110003,std_1608103721276_271,yiG7-QVP7
tch_20201213-235944_79,548ebeca-3f70-11eb-a47c-0242ac110003,std_1608103726194_279,6LF2-BCH7
tch_20201213-235944_60,55cf2d53-3f70-11eb-a47c-0242ac110003,std_1608103729487_260,3Jbo-Qwu2
tch_20201213-235944_72,55645e2f-3f70-11eb-90a7-0242ac110003,std_1608103728271_272,2Fe6-FX46
tch_20201213-235944_73,553bc785-3f70-11eb-a47c-0242ac110003,std_1608103728602_273,J64t-RemV
tch_20201213-235944_66,54ebd2b0-3f70-11eb-a47c-0242ac110003,std_1608103727868_266,L2Z6-Eic2
tch_20201213-235944_74,56f73268-3f70-11eb-90a7-0242ac110003,std_1608103731494_274,MiyG-A8bh
tch_20201213-235944_67,5716f01e-3f70-11eb-90a7-0242ac110003,std_1608103731722_267,c2s7-X4Po
tch_20201213-235944_80,565f8644-3f70-11eb-90a7-0242ac110003,std_1608103730206_280,7cjn-B7DV
tch_20201213-235944_81,58c710fd-3f70-11eb-a47c-0242ac110003,std_1608103734219_281,Md2s-69FU
tch_20201213-235944_75,59ac67d8-3f70-11eb-90a7-0242ac110003,std_1608103736049_275,Bu7a-s7y2
tch_20201213-235944_68,59425b55-3f70-11eb-a47c-0242ac110003,std_1608103735323_268,3Tu2-8oWm
tch_20201213-235944_82,5b3159d5-3f70-11eb-a47c-0242ac110003,std_1608103738233_282,ohqk-j67k
tch_20201213-235944_61,5d3b0c83-3f70-11eb-90a7-0242ac110003,std_1608103742020_261,xaom-VPg9
tch_20201213-235944_83,5d905845-3f70-11eb-a47c-0242ac110003,std_1608103742247_283,LERK-2tzv
tch_20201213-235944_59,5870b395-3f70-11eb-a47c-0242ac110003,std_1608103733980_259,YJH6-bPKm
tch_20201213-235944_76,5db6094c-3f70-11eb-a47c-0242ac110003,std_1608103742841_276,qX8M-x2VD
tch_20201213-235944_63,5d136077-3f70-11eb-90a7-0242ac110003,std_1608103741777_263,Ef8z-mj9n
tch_20201213-235944_84,5ffe241f-3f70-11eb-a47c-0242ac110003,std_1608103746298_284,e8C3-M6nN
tch_20201213-235944_70,5fab49d7-3f70-11eb-90a7-0242ac110003,std_1608103746103_270,9xXH-xuep
tch_20201213-235944_62,5dfe5cf4-3f70-11eb-a47c-0242ac110003,std_1608103743331_262,VHCD-Z29T
tch_20201213-235944_77,5f11c908-3f70-11eb-90a7-0242ac110003,std_1608103745092_277,dk4t-3Mo9
tch_20201213-235944_69,5ea068b1-3f70-11eb-a47c-0242ac110003,std_1608103744375_269,4wXH-7TPr
tch_20201213-235944_64,606d3a1f-3f70-11eb-90a7-0242ac110003,std_1608103747251_264,KbfD-b9tb
tch_20201213-235944_65,5ea8a6a8-3f70-11eb-90a7-0242ac110003,std_1608103744429_265,z8x9-B2PX
tch_20201213-235944_78,62a17eec-3f70-11eb-90a7-0242ac110003,std_1608103750730_278,qM3f-cV7p
tch_20201213-235944_73,6526553c-3f70-11eb-90a7-0242ac110003,std_1608103755309_273,J64t-RemV
tch_20201213-235944_86,64c1ee22-3f70-11eb-a47c-0242ac110003,std_1608103754329_286,3y4C-EYhd
tch_20201213-235944_85,62963479-3f70-11eb-a47c-0242ac110003,std_1608103750314_285,hJHD-iNB6
tch_20201213-235944_66,65ab1589-3f70-11eb-90a7-0242ac110003,std_1608103756133_266,L2Z6-Eic2
tch_20201213-235944_71,62eae467-3f70-11eb-a47c-0242ac110003,std_1608103751208_271,yiG7-QVP7
tch_20201213-235944_72,64ee06ff-3f70-11eb-a47c-0242ac110003,std_1608103754934_272,2Fe6-FX46
tch_20201213-235944_79,6418407e-3f70-11eb-90a7-0242ac110003,std_1608103753535_279,6LF2-BCH7
tch_20201213-235944_74,66224140-3f70-11eb-90a7-0242ac110003,std_1608103756922_274,MiyG-A8bh
tch_20201213-235944_80,674c41f2-3f70-11eb-90a7-0242ac110003,std_1608103758818_280,7cjn-B7DV
tch_20201213-235944_81,69c46e48-3f70-11eb-a47c-0242ac110003,std_1608103763031_281,Md2s-69FU
tch_20201213-235944_88,69c7f124-3f70-11eb-90a7-0242ac110003,std_1608103762361_288,bL2k-VkH7
tch_20201213-235944_83,6b77c389-3f70-11eb-90a7-0242ac110003,std_1608103765929_283,LERK-2tzv
tch_20201213-235944_76,6d09394a-3f70-11eb-90a7-0242ac110003,std_1608103768515_276,qX8M-x2VD
tch_20201213-235944_68,69f0121f-3f70-11eb-a47c-0242ac110003,std_1608103763352_268,3Tu2-8oWm
tch_20201213-235944_75,69e40418-3f70-11eb-90a7-0242ac110003,std_1608103763273_275,Bu7a-s7y2
tch_20201213-235944_89,6bed41cd-3f70-11eb-90a7-0242ac110003,std_1608103766375_289,4k8Q-MCGr
tch_20201213-235944_82,6a5a4566-3f70-11eb-90a7-0242ac110003,std_1608103763999_282,ohqk-j67k
tch_20201213-235944_69,70131e19-3f70-11eb-a47c-0242ac110003,std_1608103773628_269,4wXH-7TPr
tch_20201213-235944_78,70740280-3f70-11eb-a47c-0242ac110003,std_1608103774274_278,qM3f-cV7p
tch_20201213-235944_77,6f55c1a3-3f70-11eb-a47c-0242ac110003,std_1608103772383_277,dk4t-3Mo9
tch_20201213-235944_84,6e759a13-3f70-11eb-90a7-0242ac110003,std_1608103770950_284,e8C3-M6nN
tch_20201213-235944_90,6e52d028-3f70-11eb-90a7-0242ac110003,std_1608103770389_290,2Ed2-uN9n
tch_20201213-235944_70,6f1bc54b-3f70-11eb-90a7-0242ac110003,std_1608103771980_270,9xXH-xuep
tch_20201213-235944_91,70bd4044-3f70-11eb-a47c-0242ac110003,std_1608103774426_291,4Gz2-D7FD
tch_20201213-235944_86,7377cc63-3f70-11eb-a47c-0242ac110003,std_1608103779123_286,3y4C-EYhd
tch_20201213-235944_71,74716e83-3f70-11eb-a47c-0242ac110003,std_1608103780975_271,yiG7-QVP7
tch_20201213-235944_74,75949256-3f70-11eb-a47c-0242ac110003,std_1608103782855_274,MiyG-A8bh
tch_20201213-235944_92,734c4ff7-3f70-11eb-a47c-0242ac110003,std_1608103778437_292,BcDc-Y4i8
tch_20201213-235944_73,72c8c804-3f70-11eb-a47c-0242ac110003,std_1608103777871_273,J64t-RemV
tch_20201213-235944_85,738d025c-3f70-11eb-90a7-0242ac110003,std_1608103779136_285,hJHD-iNB6
tch_20201213-235944_72,74f25eb9-3f70-11eb-90a7-0242ac110003,std_1608103781802_272,2Fe6-FX46
tch_20201213-235944_93,7587e7e7-3f70-11eb-a47c-0242ac110003,std_1608103782451_293,C6c6-G68q
tch_20201213-235944_79,75065baf-3f70-11eb-a47c-0242ac110003,std_1608103781963_279,6LF2-BCH7
tch_20201213-235944_94,77e9cd1b-3f70-11eb-90a7-0242ac110003,std_1608103786464_294,3vcF-TaET
tch_20201213-235944_87,77354a1a-3f70-11eb-90a7-0242ac110003,std_1608103785608_287,32Z3-beb4
tch_20201213-235944_80,78555ff7-3f70-11eb-a47c-0242ac110003,std_1608103787513_280,7cjn-B7DV
tch_20201213-235944_89,7b143153-3f70-11eb-a47c-0242ac110003,std_1608103792087_289,4k8Q-MCGr
tch_20201213-235944_88,7a3df56c-3f70-11eb-a47c-0242ac110003,std_1608103790657_288,bL2k-VkH7
tch_20201213-235944_95,7a4c7490-3f70-11eb-a47c-0242ac110003,std_1608103790476_295,7r82-3cHr
tch_20201213-235944_75,7b0c41e8-3f70-11eb-a47c-0242ac110003,std_1608103792050_275,Bu7a-s7y2
tch_20201213-235944_81,7979bb74-3f70-11eb-90a7-0242ac110003,std_1608103789404_281,Md2s-69FU
tch_20201213-235944_82,7c04d2b2-3f70-11eb-90a7-0242ac110003,std_1608103793681_282,ohqk-j67k
tch_20201213-235944_76,7aa28446-3f70-11eb-a47c-0242ac110003,std_1608103791308_276,qX8M-x2VD
tch_20201213-235944_83,7a94c87b-3f70-11eb-90a7-0242ac110003,std_1608103791273_283,LERK-2tzv
tch_20201213-235944_78,7e3520ca-3f70-11eb-90a7-0242ac110003,std_1608103797349_278,qM3f-cV7p
tch_20201213-235944_96,7cb1dc85-3f70-11eb-a47c-0242ac110003,std_1608103794495_296,X39k-PN3L
tch_20201213-235944_84,7e5ca5f2-3f70-11eb-90a7-0242ac110003,std_1608103797588_284,e8C3-M6nN
tch_20201213-235944_77,7e461101-3f70-11eb-90a7-0242ac110003,std_1608103797458_277,dk4t-3Mo9
tch_20201213-235944_90,7f163232-3f70-11eb-90a7-0242ac110003,std_1608103798834_290,2Ed2-uN9n
tch_20201213-235944_98,81855cda-3f70-11eb-a47c-0242ac110003,std_1608103802521_298,4Fzw-VC89
tch_20201213-235944_97,7f1372cb-3f70-11eb-a47c-0242ac110003,std_1608103798506_297,9yiU-vdj3
tch_20201213-235944_91,7f946309-3f70-11eb-a47c-0242ac110003,std_1608103799617_291,4Gz2-D7FD
tch_20201213-235944_92,83dba8c3-3f70-11eb-a47c-0242ac110003,std_1608103806837_292,BcDc-Y4i8
tch_20201213-235944_86,82e62539-3f70-11eb-a47c-0242ac110003,std_1608103805208_286,3y4C-EYhd
tch_20201213-235944_79,86550e11-3f70-11eb-a47c-0242ac110003,std_1608103811003_279,6LF2-BCH7
tch_20201213-235944_85,849d7293-3f70-11eb-a47c-0242ac110003,std_1608103808115_285,hJHD-iNB6
tch_20201213-235944_100,86441db4-3f70-11eb-90a7-0242ac110003,std_1608103810547_300,a97y-j4oP
tch_20201213-235944_99,83e67e6f-3f70-11eb-90a7-0242ac110003,std_1608103806533_299,uZnH-zpAT
tch_20201213-235944_93,8531c342-3f70-11eb-a47c-0242ac110003,std_1608103809073_293,C6c6-G68q
tch_20201213-235944_87,879a5f13-3f70-11eb-90a7-0242ac110003,std_1608103813092_287,32Z3-beb4
tch_20201214-123839_1,88a47c1a-3f70-11eb-a47c-0242ac110003,std_1608103814559_301,7KEe-7EfH
tch_20201213-235944_94,872e2ff8-3f70-11eb-90a7-0242ac110003,std_1608103812410_294,3vcF-TaET
tch_20201213-235944_82,8a90bb88-3f70-11eb-a47c-0242ac110003,std_1608103818098_282,ohqk-j67k
tch_20201213-235944_89,89a6f806-3f70-11eb-90a7-0242ac110003,std_1608103816538_289,4k8Q-MCGr
tch_20201213-235944_80,88777807-3f70-11eb-a47c-0242ac110003,std_1608103814590_280,7cjn-B7DV
tch_20201213-235944_95,89f42d5d-3f70-11eb-a47c-0242ac110003,std_1608103817063_295,7r82-3cHr
tch_20201213-235944_81,8a23c924-3f70-11eb-90a7-0242ac110003,std_1608103817380_281,Md2s-69FU
tch_20201213-235944_88,89df45d2-3f70-11eb-90a7-0242ac110003,std_1608103816918_288,bL2k-VkH7
tch_20201214-123839_3,8d778828-3f70-11eb-90a7-0242ac110003,std_1608103822587_303,7Xih-9usu
tch_20201214-123839_2,8b0cf06f-3f70-11eb-90a7-0242ac110003,std_1608103818572_302,NY87-hdZv
tch_20201213-235944_83,8ccc2c9d-3f70-11eb-90a7-0242ac110003,std_1608103821771_283,LERK-2tzv
tch_20201213-235944_84,8db63e98-3f70-11eb-a47c-0242ac110003,std_1608103823360_284,e8C3-M6nN
tch_20201214-123839_4,8fd26760-3f70-11eb-a47c-0242ac110003,std_1608103826601_304,r79E-DJ7J
tch_20201213-235944_96,8d82848b-3f70-11eb-a47c-0242ac110003,std_1608103823025_296,X39k-PN3L
tch_20201213-235944_97,901f4f2a-3f70-11eb-90a7-0242ac110003,std_1608103827426_297,9yiU-vdj3
tch_20201213-235944_92,922c3656-3f70-11eb-90a7-0242ac110003,std_1608103830852_292,BcDc-Y4i8
tch_20201214-123839_5,92366f4a-3f70-11eb-a47c-0242ac110003,std_1608103830614_305,3E2X-MY6R
tch_20201213-235944_90,8f64d897-3f70-11eb-a47c-0242ac110003,std_1608103826196_290,2Ed2-uN9n
tch_20201213-235944_98,8fd2193b-3f70-11eb-a47c-0242ac110003,std_1608103826839_298,4Fzw-VC89
tch_20201213-235944_91,90507127-3f70-11eb-90a7-0242ac110003,std_1608103827654_291,4Gz2-D7FD
tch_20201213-235944_85,942d84b0-3f70-11eb-90a7-0242ac110003,std_1608103834215_285,hJHD-iNB6
tch_20201213-235944_100,945b99be-3f70-11eb-a47c-0242ac110003,std_1608103834498_300,a97y-j4oP
tch_20201213-235944_86,9245b140-3f70-11eb-90a7-0242ac110003,std_1608103830978_286,3y4C-EYhd
tch_20201213-235944_99,954dc1a6-3f70-11eb-a47c-0242ac110003,std_1608103836101_299,uZnH-zpAT
tch_20201214-123839_6,94a06a50-3f70-11eb-90a7-0242ac110003,std_1608103834628_306,eg7F-3VpG
tch_20201214-123839_7,9701171c-3f70-11eb-90a7-0242ac110003,std_1608103838640_307,HJcx-YctT
tch_20201213-235944_87,972148c0-3f70-11eb-90a7-0242ac110003,std_1608103839170_287,32Z3-beb4
tch_20201213-235944_94,98bc0d96-3f70-11eb-90a7-0242ac110003,std_1608103841853_294,3vcF-TaET
tch_20201213-235944_93,959d1a1d-3f70-11eb-a47c-0242ac110003,std_1608103836628_293,C6c6-G68q
tch_20201214-123839_1,97340de9-3f70-11eb-90a7-0242ac110003,std_1608103839283_301,7KEe-7EfH
tch_20201213-235944_89,9960156f-3f70-11eb-a47c-0242ac110003,std_1608103842919_289,4k8Q-MCGr
tch_20201214-123839_8,99693d66-3f70-11eb-a47c-0242ac110003,std_1608103842654_308,3i4j-26Wo
tch_20201213-235944_95,99bdc58b-3f70-11eb-90a7-0242ac110003,std_1608103843557_295,7r82-3cHr
tch_20201214-123839_2,9c5d01db-3f70-11eb-90a7-0242ac110003,std_1608103847932_302,NY87-hdZv
tch_20201214-123839_9,9bc7ee03-3f70-11eb-a47c-0242ac110003,std_1608103846665_309,sHpG-wmTC
tch_20201214-123839_3,9c0f7e1c-3f70-11eb-a47c-0242ac110003,std_1608103847446_303,7Xih-9usu
tch_20201213-235944_88,9b8e190c-3f70-11eb-90a7-0242ac110003,std_1608103846595_288,bL2k-VkH7
tch_20201213-235944_97,9efd017c-3f70-11eb-a47c-0242ac110003,std_1608103852301_297,9yiU-vdj3
tch_20201214-123839_10,9e30d7d6-3f70-11eb-a47c-0242ac110003,std_1608103850679_310,68yE-z6dc
tch_20201213-235944_96,9e7a3c10-3f70-11eb-a47c-0242ac110003,std_1608103851496_296,X39k-PN3L
tch_20201214-123839_4,9e2565e4-3f70-11eb-a47c-0242ac110003,std_1608103850952_304,r79E-DJ7J
tch_20201213-235944_92,9f7194e0-3f70-11eb-a47c-0242ac110003,std_1608103853099_292,BcDc-Y4i8
tch_20201213-235944_91,a0fb1b67-3f70-11eb-90a7-0242ac110003,std_1608103855663_291,4Gz2-D7FD
tch_20201213-235944_98,a0558c87-3f70-11eb-a47c-0242ac110003,std_1608103854616_298,4Fzw-VC89
tch_20201214-123839_11,a0acd3f4-3f70-11eb-a47c-0242ac110003,std_1608103854693_311,R862-9Nf9
tch_20201214-123839_5,9ff3e469-3f70-11eb-90a7-0242ac110003,std_1608103853932_305,3E2X-MY6R
tch_20201213-235944_100,a1c87d65-3f70-11eb-90a7-0242ac110003,std_1608103857036_300,a97y-j4oP
tch_20201213-235944_90,a001037e-3f70-11eb-a47c-0242ac110003,std_1608103854049_290,2Ed2-uN9n
tch_20201214-123839_12,a2f823c4-3f70-11eb-90a7-0242ac110003,std_1608103858705_312,683b-gWPR
tch_20201213-235944_99,a3ee4373-3f70-11eb-a47c-0242ac110003,std_1608103860639_299,uZnH-zpAT
tch_20201214-123839_13,a56cf40f-3f70-11eb-90a7-0242ac110003,std_1608103862717_313,3h2H-GjmV
tch_20201213-235944_93,a7257909-3f70-11eb-90a7-0242ac110003,std_1608103866016_293,C6c6-G68q
tch_20201214-123839_6,a53960d5-3f70-11eb-a47c-0242ac110003,std_1608103862806_306,eg7F-3VpG
tch_20201214-123839_7,a5f66fb0-3f70-11eb-90a7-0242ac110003,std_1608103864040_307,HJcx-YctT
tch_20201213-235944_94,a6ad3c90-3f70-11eb-90a7-0242ac110003,std_1608103865244_294,3vcF-TaET
tch_20201214-123839_14,a7c255d7-3f70-11eb-a47c-0242ac110003,std_1608103866731_314,k2QM-m4vp
tch_20201214-123839_1,a76ac00c-3f70-11eb-a47c-0242ac110003,std_1608103866486_301,7KEe-7EfH
tch_20201213-235944_95,a97f6f54-3f70-11eb-90a7-0242ac110003,std_1608103869980_295,7r82-3cHr
tch_20201214-123839_8,a8f22363-3f70-11eb-90a7-0242ac110003,std_1608103869025_308,3i4j-26Wo
tch_20201214-123839_2,a9f33f97-3f70-11eb-90a7-0242ac110003,std_1608103870734_302,NY87-hdZv
tch_20201214-123839_9,ab23cfef-3f70-11eb-a47c-0242ac110003,std_1608103872736_309,sHpG-wmTC
tch_20201214-123839_15,aa265d45-3f70-11eb-a47c-0242ac110003,std_1608103870742_315,2834-nXLE
tch_20201214-123839_16,ac8dc080-3f70-11eb-90a7-0242ac110003,std_1608103874756_316,8iP8-wLi3
tch_20201213-235944_97,ad28797d-3f70-11eb-a47c-0242ac110003,std_1608103876145_297,9yiU-vdj3
tch_20201214-123839_3,ac1b2897-3f70-11eb-a47c-0242ac110003,std_1608103874351_303,7Xih-9usu
tch_20201214-123839_10,ad9ce674-3f70-11eb-90a7-0242ac110003,std_1608103876881_310,68yE-z6dc
tch_20201214-123839_17,aeeff36c-3f70-11eb-90a7-0242ac110003,std_1608103878769_317,d3Qt-WeUb
tch_20201214-123839_4,b03237c2-3f70-11eb-90a7-0242ac110003,std_1608103881226_304,r79E-DJ7J
tch_20201213-235944_96,aea15e67-3f70-11eb-90a7-0242ac110003,std_1608103878602_296,X39k-PN3L
tch_20201214-123839_18,b151ff01-3f70-11eb-a47c-0242ac110003,std_1608103882781_318,xpMq-trmN
tch_20201214-123839_11,b0702b01-3f70-11eb-90a7-0242ac110003,std_1608103881620_311,R862-9Nf9
tch_20201214-123839_5,b194adcf-3f70-11eb-90a7-0242ac110003,std_1608103883533_305,3E2X-MY6R
tch_20201213-235944_98,b062481d-3f70-11eb-a47c-0242ac110003,std_1608103881521_298,4Fzw-VC89
tch_20201213-235944_100,b20a52eb-3f70-11eb-90a7-0242ac110003,std_1608103884266_300,a97y-j4oP
tch_20201213-235944_99,b4700842-3f70-11eb-90a7-0242ac110003,std_1608103888313_299,uZnH-zpAT
tch_20201214-123839_19,b3b36e9d-3f70-11eb-90a7-0242ac110003,std_1608103886791_319,Z63b-3i2g
tch_20201214-123839_6,b55fe6d4-3f70-11eb-90a7-0242ac110003,std_1608103889915_306,eg7F-3VpG
tch_20201214-123839_12,b42fa43e-3f70-11eb-90a7-0242ac110003,std_1608103887934_312,683b-gWPR
tch_20201214-123839_13,b4e3b1e6-3f70-11eb-90a7-0242ac110003,std_1608103889102_313,3h2H-GjmV
tch_20201214-123839_1,b8590246-3f70-11eb-a47c-0242ac110003,std_1608103894894_301,7KEe-7EfH
tch_20201214-123839_21,b8851ac9-3f70-11eb-90a7-0242ac110003,std_1608103894822_321,hg4M-KgnM
tch_20201214-123839_20,b61860eb-3f70-11eb-90a7-0242ac110003,std_1608103890805_320,Qp9d-M64s
tch_20201214-123839_7,b5ba3ba5-3f70-11eb-90a7-0242ac110003,std_1608103890495_307,HJcx-YctT
tch_20201214-123839_9,ba87a1c8-3f70-11eb-90a7-0242ac110003,std_1608103898552_309,sHpG-wmTC
tch_20201214-123839_14,b707a2be-3f70-11eb-90a7-0242ac110003,std_1608103892655_314,k2QM-m4vp
tch_20201214-123839_2,ba0c0942-3f70-11eb-a47c-0242ac110003,std_1608103897708_302,NY87-hdZv
tch_20201214-123839_22,bae10c2b-3f70-11eb-a47c-0242ac110003,std_1608103898836_322,fnzM-YrRk
tch_20201214-123839_15,baf72cae-3f70-11eb-90a7-0242ac110003,std_1608103899289_315,2834-nXLE
tch_20201214-123839_8,b9dbd1f1-3f70-11eb-a47c-0242ac110003,std_1608103897420_308,3i4j-26Wo
tch_20201214-123839_3,bc2cc696-3f70-11eb-90a7-0242ac110003,std_1608103901313_303,7Xih-9usu
tch_20201214-123839_16,bbe117cb-3f70-11eb-90a7-0242ac110003,std_1608103900788_316,8iP8-wLi3
tch_20201214-123839_23,bd486f8a-3f70-11eb-90a7-0242ac110003,std_1608103902850_323,ojcU-BnC8
tch_20201214-123839_10,bceb5b58-3f70-11eb-90a7-0242ac110003,std_1608103902573_310,68yE-z6dc
tch_20201214-123839_17,be7afbcb-3f70-11eb-a47c-0242ac110003,std_1608103905169_317,d3Qt-WeUb
tch_20201214-123839_4,bf10fa4c-3f70-11eb-a47c-0242ac110003,std_1608103906178_304,r79E-DJ7J
tch_20201214-123839_18,c0021127-3f70-11eb-a47c-0242ac110003,std_1608103907737_318,xpMq-trmN
tch_20201214-123839_5,c10529bd-3f70-11eb-a47c-0242ac110003,std_1608103909458_305,3E2X-MY6R
tch_20201214-123839_24,bfadfdac-3f70-11eb-a47c-0242ac110003,std_1608103906863_324,u64C-LxyM
tch_20201214-123839_11,c0d8c1ef-3f70-11eb-90a7-0242ac110003,std_1608103909131_311,R862-9Nf9
tch_20201214-123839_12,c4fa5830-3f70-11eb-a47c-0242ac110003,std_1608103916098_312,683b-gWPR
tch_20201214-123839_25,c212a1c2-3f70-11eb-a47c-0242ac110003,std_1608103910881_325,746H-B6Vz
tch_20201214-123839_13,c5521545-3f70-11eb-a47c-0242ac110003,std_1608103916664_313,3h2H-GjmV
tch_20201214-123839_6,c4db8621-3f70-11eb-a47c-0242ac110003,std_1608103915886_306,eg7F-3VpG
tch_20201214-123839_19,c3fce547-3f70-11eb-90a7-0242ac110003,std_1608103914429_319,Z63b-3i2g
tch_20201214-123839_27,c6df92f4-3f70-11eb-90a7-0242ac110003,std_1608103918913_327,2piN-Ad8D
tch_20201214-123839_26,c47634ab-3f70-11eb-90a7-0242ac110003,std_1608103914897_326,846j-9FKz
