tchextid,stduserid,extuserid,groupid
tch_20201214-123839_71,9ca6c0b7-3dde-11eb-a47c-0242ac110003,std_1607931188880_71,2cec8b91-75fd-4485-84d0-cc0bbe95b639
tch_20201214-123839_72,d3f8e412-3dde-11eb-a47c-0242ac110003,std_1607931281678_72,1f2e2e94-55ec-4752-99a0-f75952682095
tch_20201214-123839_73,f2c01314-3dde-11eb-a47c-0242ac110003,std_1607931333271_73,6f52bbac-8104-4a1b-af49-609e2db53f1e
tch_20201214-123839_71,a300baf8-3dde-11eb-90a7-0242ac110003,std_1607931199538_71,2cec8b91-75fd-4485-84d0-cc0bbe95b639
tch_20201214-123839_72,db120fe8-3dde-11eb-90a7-0242ac110003,std_1607931293608_72,1f2e2e94-55ec-4752-99a0-f75952682095
tch_20201214-123839_74,129f197b-3ddf-11eb-90a7-0242ac110003,std_1607931386755_74,2b946ff6-72a9-4c9e-924f-0c71799b0efc
tch_20201214-123839_73,f95e68e3-3dde-11eb-a47c-0242ac110003,std_1607931344404_73,6f52bbac-8104-4a1b-af49-609e2db53f1e
tch_20201214-123839_71,a90e42a4-3dde-11eb-90a7-0242ac110003,std_1607931209675_71,2cec8b91-75fd-4485-84d0-cc0bbe95b639
tch_20201214-123839_73,009be51d-3ddf-11eb-90a7-0242ac110003,std_1607931356550_73,6f52bbac-8104-4a1b-af49-609e2db53f1e
tch_20201214-123839_75,21c82c9c-3ddf-11eb-a47c-0242ac110003,std_1607931412245_75,3ee86a30-202e-43d4-b44f-67bb291b8c9b
tch_20201214-123839_71,b01719ef-3dde-11eb-a47c-0242ac110003,std_1607931221485_71,2cec8b91-75fd-4485-84d0-cc0bbe95b639
tch_20201214-123839_70,90fd37ca-3dde-11eb-90a7-0242ac110003,std_1607931169313_70,de293625-dc11-4cb6-b327-3d08f53c3ef0
tch_20201214-123839_73,075df000-3ddf-11eb-90a7-0242ac110003,std_1607931367884_73,6f52bbac-8104-4a1b-af49-609e2db53f1e
tch_20201214-123839_75,26371f58-3ddf-11eb-90a7-0242ac110003,std_1607931419670_75,3ee86a30-202e-43d4-b44f-67bb291b8c9b
tch_20201214-123839_70,96f366c3-3dde-11eb-90a7-0242ac110003,std_1607931179287_70,de293625-dc11-4cb6-b327-3d08f53c3ef0
tch_20201214-123839_75,2c643d48-3ddf-11eb-90a7-0242ac110003,std_1607931430035_75,3ee86a30-202e-43d4-b44f-67bb291b8c9b
tch_20201214-123839_74,1e45bc54-3ddf-11eb-a47c-0242ac110003,std_1607931406335_74,6b09314e-af80-4798-93bf-b29b2abe758b
tch_20201214-123839_70,9dd778b8-3dde-11eb-a47c-0242ac110003,std_1607931190775_70,de293625-dc11-4cb6-b327-3d08f53c3ef0
tch_20201214-123839_75,3226d8f7-3ddf-11eb-90a7-0242ac110003,std_1607931439702_75,3ee86a30-202e-43d4-b44f-67bb291b8c9b
tch_20201214-123839_72,e787e949-3dde-11eb-a47c-0242ac110003,std_1607931314509_72,bf0b6e5c-c009-44cf-87b0-c3fbe030d7bf
tch_20201214-123839_74,246ac430-3ddf-11eb-90a7-0242ac110003,std_1607931416634_74,6b09314e-af80-4798-93bf-b29b2abe758b
tch_20201214-123839_70,a4cb1a3c-3dde-11eb-90a7-0242ac110003,std_1607931202520_70,de293625-dc11-4cb6-b327-3d08f53c3ef0
tch_20201214-123839_71,bba7eae9-3dde-11eb-a47c-0242ac110003,std_1607931240903_71,7632c739-4980-484d-8bb6-330daf69aa24
tch_20201214-123839_72,ec91e33e-3dde-11eb-90a7-0242ac110003,std_1607931322922_72,bf0b6e5c-c009-44cf-87b0-c3fbe030d7bf
tch_20201214-123839_74,298363bb-3ddf-11eb-a47c-0242ac110003,std_1607931425076_74,6b09314e-af80-4798-93bf-b29b2abe758b
tch_20201214-123839_71,c2ebf665-3dde-11eb-90a7-0242ac110003,std_1607931253090_71,7632c739-4980-484d-8bb6-330daf69aa24
tch_20201214-123839_74,2e265f5a-3ddf-11eb-a47c-0242ac110003,std_1607931432973_74,6b09314e-af80-4798-93bf-b29b2abe758b
tch_20201214-123839_72,f1b38463-3dde-11eb-a47c-0242ac110003,std_1607931331551_72,bf0b6e5c-c009-44cf-87b0-c3fbe030d7bf
tch_20201214-123839_71,c8ce2899-3dde-11eb-90a7-0242ac110003,std_1607931262954_71,7632c739-4980-484d-8bb6-330daf69aa24
tch_20201214-123839_73,1150a0c9-3ddf-11eb-90a7-0242ac110003,std_1607931384597_73,0fb58722-8a2a-4f6c-bd33-6262bc3c9493
tch_20201214-123839_72,f8f56d78-3dde-11eb-a47c-0242ac110003,std_1607931343745_72,bf0b6e5c-c009-44cf-87b0-c3fbe030d7bf
tch_20201214-123839_71,cd56965d-3dde-11eb-a47c-0242ac110003,std_1607931270523_71,7632c739-4980-484d-8bb6-330daf69aa24
tch_20201214-123839_73,168af9a5-3ddf-11eb-90a7-0242ac110003,std_1607931393370_73,0fb58722-8a2a-4f6c-bd33-6262bc3c9493
tch_20201214-123839_70,b0aa80bb-3dde-11eb-a47c-0242ac110003,std_1607931222454_70,b5005470-1add-422d-bbb9-9c6cffbe9f45
tch_20201214-123839_73,1d852bbe-3ddf-11eb-90a7-0242ac110003,std_1607931405048_73,0fb58722-8a2a-4f6c-bd33-6262bc3c9493
tch_20201214-123839_70,b5302fbb-3dde-11eb-a47c-0242ac110003,std_1607931230038_70,b5005470-1add-422d-bbb9-9c6cffbe9f45
tch_20201214-123839_73,249444bb-3ddf-11eb-90a7-0242ac110003,std_1607931416895_73,0fb58722-8a2a-4f6c-bd33-6262bc3c9493
tch_20201214-123839_69,85a2e03a-3dde-11eb-a47c-0242ac110003,std_1607931150173_69,378568d7-00e3-46c6-a0aa-6dc1426a78c0
tch_20201214-123839_70,bc539422-3dde-11eb-a47c-0242ac110003,std_1607931241993_70,b5005470-1add-422d-bbb9-9c6cffbe9f45
tch_20201214-123839_69,8bddba00-3dde-11eb-a47c-0242ac110003,std_1607931160685_69,378568d7-00e3-46c6-a0aa-6dc1426a78c0
tch_20201214-123839_70,c3397ab4-3dde-11eb-a47c-0242ac110003,std_1607931253585_70,b5005470-1add-422d-bbb9-9c6cffbe9f45
tch_20201214-123839_72,05da5ce7-3ddf-11eb-90a7-0242ac110003,std_1607931365319_72,f221d853-c4db-4cfd-8b23-fb51e8984f38
tch_20201214-123839_69,90a8fd6d-3dde-11eb-a47c-0242ac110003,std_1607931168757_69,378568d7-00e3-46c6-a0aa-6dc1426a78c0
tch_20201214-123839_69,9601659e-3dde-11eb-90a7-0242ac110003,std_1607931177684_69,378568d7-00e3-46c6-a0aa-6dc1426a78c0
tch_20201214-123839_71,e1d615db-3dde-11eb-a47c-0242ac110003,std_1607931304911_71,ebddc7f2-5717-405e-b6b8-9584f55d58d6
tch_20201214-123839_72,13ae403d-3ddf-11eb-90a7-0242ac110003,std_1607931388570_72,f221d853-c4db-4cfd-8b23-fb51e8984f38
tch_20201214-123839_71,e8e296dc-3dde-11eb-a47c-0242ac110003,std_1607931316716_71,ebddc7f2-5717-405e-b6b8-9584f55d58d6
tch_20201214-123839_72,1a2b51c1-3ddf-11eb-90a7-0242ac110003,std_1607931399447_72,f221d853-c4db-4cfd-8b23-fb51e8984f38
tch_20201214-123839_71,ee83eff4-3dde-11eb-a47c-0242ac110003,std_1607931326207_71,ebddc7f2-5717-405e-b6b8-9584f55d58d6
tch_20201214-123839_67,724635da-3dde-11eb-90a7-0242ac110003,std_1607931117778_67,54f9afb0-116e-44f8-a1c5-a2d32b7e517b
tch_20201214-123839_70,ce40f71d-3dde-11eb-a47c-0242ac110003,std_1607931272046_70,0506fba4-190c-4103-9424-533c9853966d
tch_20201214-123839_67,78cf2ef9-3dde-11eb-90a7-0242ac110003,std_1607931128739_67,54f9afb0-116e-44f8-a1c5-a2d32b7e517b
tch_20201214-123839_70,d57d130a-3dde-11eb-a47c-0242ac110003,std_1607931284200_70,0506fba4-190c-4103-9424-533c9853966d
tch_20201214-123839_67,7e54e94c-3dde-11eb-90a7-0242ac110003,std_1607931137989_67,54f9afb0-116e-44f8-a1c5-a2d32b7e517b
tch_20201214-123839_69,a2812a62-3dde-11eb-90a7-0242ac110003,std_1607931198685_69,5c0735f5-c11e-4ff8-8baa-f4be29c566a9
tch_20201214-123839_70,da3803d7-3dde-11eb-a47c-0242ac110003,std_1607931292130_70,0506fba4-190c-4103-9424-533c9853966d
tch_20201214-123839_68,7a509f9e-3dde-11eb-90a7-0242ac110003,std_1607931131206_68,ccb608ec-9845-4249-8dd5-ee85936c2bf5
tch_20201214-123839_69,a7cc73fe-3dde-11eb-90a7-0242ac110003,std_1607931207566_69,5c0735f5-c11e-4ff8-8baa-f4be29c566a9
tch_20201214-123839_67,8549c413-3dde-11eb-90a7-0242ac110003,std_1607931149652_67,54f9afb0-116e-44f8-a1c5-a2d32b7e517b
tch_20201214-123839_70,e08c0a38-3dde-11eb-90a7-0242ac110003,std_1607931302749_70,0506fba4-190c-4103-9424-533c9853966d
tch_20201214-123839_69,ae32069f-3dde-11eb-90a7-0242ac110003,std_1607931218276_69,5c0735f5-c11e-4ff8-8baa-f4be29c566a9
tch_20201214-123839_68,7ff2461a-3dde-11eb-90a7-0242ac110003,std_1607931140705_68,ccb608ec-9845-4249-8dd5-ee85936c2bf5
tch_20201214-123839_71,fc17e3b6-3dde-11eb-a47c-0242ac110003,std_1607931348997_71,a3d21207-d5c3-4902-9bd8-0e40a5a61b7b
tch_20201214-123839_71,013edb85-3ddf-11eb-a47c-0242ac110003,std_1607931357629_71,a3d21207-d5c3-4902-9bd8-0e40a5a61b7b
tch_20201214-123839_69,b4dd7b30-3dde-11eb-a47c-0242ac110003,std_1607931229491_69,5c0735f5-c11e-4ff8-8baa-f4be29c566a9
tch_20201214-123839_68,84dc0d8c-3dde-11eb-a47c-0242ac110003,std_1607931148971_68,ccb608ec-9845-4249-8dd5-ee85936c2bf5
tch_20201214-123839_71,06e78788-3ddf-11eb-a47c-0242ac110003,std_1607931367131_71,a3d21207-d5c3-4902-9bd8-0e40a5a61b7b
tch_20201214-123839_68,8a30f3ea-3dde-11eb-a47c-0242ac110003,std_1607931157899_68,ccb608ec-9845-4249-8dd5-ee85936c2bf5
tch_20201214-123839_71,0b6e6e56-3ddf-11eb-90a7-0242ac110003,std_1607931374644_71,a3d21207-d5c3-4902-9bd8-0e40a5a61b7b
tch_20201214-123839_67,91e7e617-3dde-11eb-a47c-0242ac110003,std_1607931170801_67,22182c75-8c2e-472d-93d9-33f4bbd5f7b7
tch_20201214-123839_70,eb8c33cc-3dde-11eb-90a7-0242ac110003,std_1607931321226_70,95f74505-be23-4085-a4a9-fc857d825c47
tch_20201214-123839_67,98d6098b-3dde-11eb-a47c-0242ac110003,std_1607931182463_67,22182c75-8c2e-472d-93d9-33f4bbd5f7b7
tch_20201214-123839_70,f2a9567e-3dde-11eb-a47c-0242ac110003,std_1607931333160_70,95f74505-be23-4085-a4a9-fc857d825c47
tch_20201214-123839_69,c052ae4c-3dde-11eb-90a7-0242ac110003,std_1607931248711_69,6202c2e1-d9c7-42dc-9aee-a17ad5bd4221
tch_20201214-123839_67,9e982fe7-3dde-11eb-a47c-0242ac110003,std_1607931192126_67,22182c75-8c2e-472d-93d9-33f4bbd5f7b7
tch_20201214-123839_70,f9b9cf8c-3dde-11eb-90a7-0242ac110003,std_1607931345026_70,95f74505-be23-4085-a4a9-fc857d825c47
tch_20201214-123839_68,93ea4580-3dde-11eb-a47c-0242ac110003,std_1607931174219_68,0d37db09-e117-4f61-87df-cb4621d0d441
tch_20201214-123839_69,c4e8b0e0-3dde-11eb-a47c-0242ac110003,std_1607931256403_69,6202c2e1-d9c7-42dc-9aee-a17ad5bd4221
tch_20201214-123839_67,a38924ec-3dde-11eb-a47c-0242ac110003,std_1607931200432_67,22182c75-8c2e-472d-93d9-33f4bbd5f7b7
tch_20201214-123839_70,ffc979a1-3dde-11eb-90a7-0242ac110003,std_1607931355183_70,95f74505-be23-4085-a4a9-fc857d825c47
tch_20201214-123839_68,99f20092-3dde-11eb-a47c-0242ac110003,std_1607931184305_68,0d37db09-e117-4f61-87df-cb4621d0d441
tch_20201214-123839_69,cc0648c8-3dde-11eb-a47c-0242ac110003,std_1607931268333_69,6202c2e1-d9c7-42dc-9aee-a17ad5bd4221
tch_20201214-123839_68,9f3c8717-3dde-11eb-90a7-0242ac110003,std_1607931193199_68,0d37db09-e117-4f61-87df-cb4621d0d441
tch_20201214-123839_69,d2adc74b-3dde-11eb-90a7-0242ac110003,std_1607931279517_69,6202c2e1-d9c7-42dc-9aee-a17ad5bd4221
tch_20201214-123839_68,a40754dc-3dde-11eb-90a7-0242ac110003,std_1607931201248_68,0d37db09-e117-4f61-87df-cb4621d0d441
tch_20201214-123839_66,5efaca40-3dde-11eb-a47c-0242ac110003,std_1607931085379_66,43063af4-4555-4cf0-9566-1d4cc6c21358
tch_20201214-123839_65,553a250c-3dde-11eb-90a7-0242ac110003,std_1607931068985_65,a1c3c01e-1b6b-4e8a-9c53-57621611b301
tch_20201214-123839_66,63beba77-3dde-11eb-a47c-0242ac110003,std_1607931093412_66,43063af4-4555-4cf0-9566-1d4cc6c21358
tch_20201214-123839_65,5c7ef479-3dde-11eb-90a7-0242ac110003,std_1607931081246_65,a1c3c01e-1b6b-4e8a-9c53-57621611b301
tch_20201214-123839_67,b01c7128-3dde-11eb-90a7-0242ac110003,std_1607931221529_67,047fa38d-e159-45d7-9c21-0e2117fbd7bc
tch_20201214-123839_66,6a211894-3dde-11eb-a47c-0242ac110003,std_1607931104088_66,43063af4-4555-4cf0-9566-1d4cc6c21358
tch_20201214-123839_65,61ec6b4f-3dde-11eb-a47c-0242ac110003,std_1607931090329_65,a1c3c01e-1b6b-4e8a-9c53-57621611b301
tch_20201214-123839_67,b5e1f3c4-3dde-11eb-a47c-0242ac110003,std_1607931231197_67,047fa38d-e159-45d7-9c21-0e2117fbd7bc
tch_20201214-123839_66,70221daa-3dde-11eb-90a7-0242ac110003,std_1607931114191_66,43063af4-4555-4cf0-9566-1d4cc6c21358
tch_20201214-123839_65,678ba0bc-3dde-11eb-90a7-0242ac110003,std_1607931099760_65,a1c3c01e-1b6b-4e8a-9c53-57621611b301
tch_20201214-123839_69,dc970247-3dde-11eb-a47c-0242ac110003,std_1607931296128_69,f5537517-aa5d-4a29-ae02-2834eaa45783
tch_20201214-123839_67,bbb72d4a-3dde-11eb-90a7-0242ac110003,std_1607931241001_67,047fa38d-e159-45d7-9c21-0e2117fbd7bc
tch_20201214-123839_68,aea07fc8-3dde-11eb-a47c-0242ac110003,std_1607931219032_68,4a2e4e57-fdbb-44ce-baa5-608cb47c1b81
tch_20201214-123839_69,e32d68a4-3dde-11eb-90a7-0242ac110003,std_1607931307191_69,f5537517-aa5d-4a29-ae02-2834eaa45783
tch_20201214-123839_68,b3334e08-3dde-11eb-90a7-0242ac110003,std_1607931226700_68,4a2e4e57-fdbb-44ce-baa5-608cb47c1b81
tch_20201214-123839_67,c27edd12-3dde-11eb-a47c-0242ac110003,std_1607931252374_67,047fa38d-e159-45d7-9c21-0e2117fbd7bc
tch_20201214-123839_69,e91259f6-3dde-11eb-a47c-0242ac110003,std_1607931317083_69,f5537517-aa5d-4a29-ae02-2834eaa45783
tch_20201214-123839_68,b7bb204e-3dde-11eb-90a7-0242ac110003,std_1607931234308_68,4a2e4e57-fdbb-44ce-baa5-608cb47c1b81
tch_20201214-123839_69,ee0b3ce8-3dde-11eb-a47c-0242ac110003,std_1607931325391_69,f5537517-aa5d-4a29-ae02-2834eaa45783
tch_20201214-123839_68,be033f5c-3dde-11eb-a47c-0242ac110003,std_1607931244827_68,4a2e4e57-fdbb-44ce-baa5-608cb47c1b81
tch_20201214-123839_66,7ecf97ed-3dde-11eb-a47c-0242ac110003,std_1607931138815_66,99b6be6a-8999-4af1-a70f-f33ccb709832
tch_20201214-123839_64,4c03e6cf-3dde-11eb-a47c-0242ac110003,std_1607931053595_64,1ff6fab8-8e78-43d8-aec1-19a30af9d36b
tch_20201214-123839_64,5117f2ea-3dde-11eb-90a7-0242ac110003,std_1607931062090_64,1ff6fab8-8e78-43d8-aec1-19a30af9d36b
tch_20201214-123839_66,84d5f3dd-3dde-11eb-90a7-0242ac110003,std_1607931148897_66,99b6be6a-8999-4af1-a70f-f33ccb709832
tch_20201214-123839_65,7571d3a7-3dde-11eb-a47c-0242ac110003,std_1607931123070_65,d57b516a-da50-44df-94ce-83b75279dbe5
tch_20201214-123839_64,56613fc4-3dde-11eb-90a7-0242ac110003,std_1607931070974_64,1ff6fab8-8e78-43d8-aec1-19a30af9d36b
tch_20201214-123839_66,8a27a4e8-3dde-11eb-a47c-0242ac110003,std_1607931157823_66,99b6be6a-8999-4af1-a70f-f33ccb709832
tch_20201214-123839_65,7a5559db-3dde-11eb-a47c-0242ac110003,std_1607931131308_65,d57b516a-da50-44df-94ce-83b75279dbe5
tch_20201214-123839_67,d05e0a11-3dde-11eb-90a7-0242ac110003,std_1607931275649_67,f9797f5e-b31d-4705-a7bd-60066d270dc7
tch_20201214-123839_64,5bb9f72c-3dde-11eb-90a7-0242ac110003,std_1607931079944_64,1ff6fab8-8e78-43d8-aec1-19a30af9d36b
tch_20201214-123839_66,8eaa46f8-3dde-11eb-a47c-0242ac110003,std_1607931165390_66,99b6be6a-8999-4af1-a70f-f33ccb709832
tch_20201214-123839_67,d4d16a47-3dde-11eb-a47c-0242ac110003,std_1607931283093_67,f9797f5e-b31d-4705-a7bd-60066d270dc7
tch_20201214-123839_65,7f86b2b2-3dde-11eb-90a7-0242ac110003,std_1607931139971_65,d57b516a-da50-44df-94ce-83b75279dbe5
tch_20201214-123839_67,da19ccad-3dde-11eb-a47c-0242ac110003,std_1607931291954_67,f9797f5e-b31d-4705-a7bd-60066d270dc7
tch_20201214-123839_65,85f39847-3dde-11eb-90a7-0242ac110003,std_1607931150764_65,d57b516a-da50-44df-94ce-83b75279dbe5
tch_20201214-123839_68,c9145910-3dde-11eb-a47c-0242ac110003,std_1607931263295_68,d48a0c75-799b-4f5a-b890-2c7dad13f630
tch_20201214-123839_67,e0c764dd-3dde-11eb-90a7-0242ac110003,std_1607931303161_67,f9797f5e-b31d-4705-a7bd-60066d270dc7
tch_20201214-123839_68,cdf7b905-3dde-11eb-a47c-0242ac110003,std_1607931271609_68,d48a0c75-799b-4f5a-b890-2c7dad13f630
tch_20201214-123839_68,d4c9f055-3dde-11eb-90a7-0242ac110003,std_1607931283055_68,d48a0c75-799b-4f5a-b890-2c7dad13f630
tch_20201214-123839_66,9b04f716-3dde-11eb-90a7-0242ac110003,std_1607931186105_66,08ec7b92-abb5-468c-865a-3c5e7744d8a4
tch_20201214-123839_68,dac130c3-3dde-11eb-a47c-0242ac110003,std_1607931293063_68,d48a0c75-799b-4f5a-b890-2c7dad13f630
tch_20201214-123839_64,69a38422-3dde-11eb-a47c-0242ac110003,std_1607931103273_64,bcc364c1-eb50-4235-a20c-16cffcd95850
tch_20201214-123839_63,3e2c0b5e-3dde-11eb-a47c-0242ac110003,std_1607931030362_63,a150b852-dd9e-44cb-8ade-2c7997d0460f
tch_20201214-123839_66,a08fbafc-3dde-11eb-a47c-0242ac110003,std_1607931195425_66,08ec7b92-abb5-468c-865a-3c5e7744d8a4
tch_20201214-123839_64,7108108a-3dde-11eb-90a7-0242ac110003,std_1607931115079_64,bcc364c1-eb50-4235-a20c-16cffcd95850
tch_20201214-123839_65,91dc9b36-3dde-11eb-a47c-0242ac110003,std_1607931170757_65,73c1576d-61c6-4d78-9d7a-82bcaad191d9
tch_20201214-123839_63,4354d852-3dde-11eb-a47c-0242ac110003,std_1607931038991_63,a150b852-dd9e-44cb-8ade-2c7997d0460f
tch_20201214-123839_66,a6cb3021-3dde-11eb-a47c-0242ac110003,std_1607931205885_66,08ec7b92-abb5-468c-865a-3c5e7744d8a4
tch_20201214-123839_64,77221b9d-3dde-11eb-90a7-0242ac110003,std_1607931125911_64,bcc364c1-eb50-4235-a20c-16cffcd95850
tch_20201214-123839_63,4883c072-3dde-11eb-90a7-0242ac110003,std_1607931047685_63,a150b852-dd9e-44cb-8ade-2c7997d0460f
tch_20201214-123839_65,9804af92-3dde-11eb-a47c-0242ac110003,std_1607931181096_65,73c1576d-61c6-4d78-9d7a-82bcaad191d9
tch_20201214-123839_66,ac2a763b-3dde-11eb-a47c-0242ac110003,std_1607931214888_66,08ec7b92-abb5-468c-865a-3c5e7744d8a4
tch_20201214-123839_64,7db4ff82-3dde-11eb-90a7-0242ac110003,std_1607931136896_64,bcc364c1-eb50-4235-a20c-16cffcd95850
tch_20201214-123839_63,4ced3552-3dde-11eb-a47c-0242ac110003,std_1607931055102_63,a150b852-dd9e-44cb-8ade-2c7997d0460f
tch_20201214-123839_65,9c8862c0-3dde-11eb-a47c-0242ac110003,std_1607931188657_65,73c1576d-61c6-4d78-9d7a-82bcaad191d9
tch_20201214-123839_65,a3322adb-3dde-11eb-90a7-0242ac110003,std_1607931199864_65,73c1576d-61c6-4d78-9d7a-82bcaad191d9
tch_20201214-123839_62,3202f23d-3dde-11eb-a47c-0242ac110003,std_1607931009934_62,b790f370-98a7-4868-b8bd-8b71fc3732d5
tch_20201214-123839_62,368e203b-3dde-11eb-a47c-0242ac110003,std_1607931017597_62,b790f370-98a7-4868-b8bd-8b71fc3732d5
tch_20201214-123839_64,8b443884-3dde-11eb-90a7-0242ac110003,std_1607931159703_64,8871bee7-3d5e-4496-acec-bc5d5125466b
tch_20201214-123839_62,3b702041-3dde-11eb-a47c-0242ac110003,std_1607931025776_62,b790f370-98a7-4868-b8bd-8b71fc3732d5
tch_20201214-123839_63,5a0eb778-3dde-11eb-90a7-0242ac110003,std_1607931077132_63,77644a91-0393-4442-9f40-52bbf7df51b8
tch_20201214-123839_66,b653044a-3dde-11eb-a47c-0242ac110003,std_1607931231933_66,a28f094c-0ab1-4966-bf5e-1360fcc3c743
tch_20201214-123839_64,91484a42-3dde-11eb-90a7-0242ac110003,std_1607931169803_64,8871bee7-3d5e-4496-acec-bc5d5125466b
tch_20201214-123839_62,40103574-3dde-11eb-90a7-0242ac110003,std_1607931033475_62,b790f370-98a7-4868-b8bd-8b71fc3732d5
