teacher,class_name,class_code
2fe2c6b7c002f4a218a358393ff177e1a1739a052,perf_test_class_252,
2fe2c6b7c002f4a218a358393ff177e1a1739a053,perf_test_class_253,
2fe2c6b7c002f4a218a358393ff177e1a1739a054,perf_test_class_254,
2fe2c6b7c002f4a218a358393ff177e1a1739a055,perf_test_class_255,
2fe2c6b7c002f4a218a358393ff177e1a1739a056,perf_test_class_256,
2fe2c6b7c002f4a218a358393ff177e1a1739a057,perf_test_class_257,
2fe2c6b7c002f4a218a358393ff177e1a1739a058,perf_test_class_258,
2fe2c6b7c002f4a218a358393ff177e1a1739a059,perf_test_class_259,
2fe2c6b7c002f4a218a358393ff177e1a1739a060,perf_test_class_260,
2fe2c6b7c002f4a218a358393ff177e1a1739a061,perf_test_class_261,
2fe2c6b7c002f4a218a358393ff177e1a1739a062,perf_test_class_262,
2fe2c6b7c002f4a218a358393ff177e1a1739a063,perf_test_class_263,
2fe2c6b7c002f4a218a358393ff177e1a1739a064,perf_test_class_264,
2fe2c6b7c002f4a218a358393ff177e1a1739a065,perf_test_class_265,
2fe2c6b7c002f4a218a358393ff177e1a1739a066,perf_test_class_266,
2fe2c6b7c002f4a218a358393ff177e1a1739a067,perf_test_class_267,
2fe2c6b7c002f4a218a358393ff177e1a1739a068,perf_test_class_268,
2fe2c6b7c002f4a218a358393ff177e1a1739a069,perf_test_class_269,
2fe2c6b7c002f4a218a358393ff177e1a1739a070,perf_test_class_270,
2fe2c6b7c002f4a218a358393ff177e1a1739a071,perf_test_class_271,
2fe2c6b7c002f4a218a358393ff177e1a1739a072,perf_test_class_272,
2fe2c6b7c002f4a218a358393ff177e1a1739a073,perf_test_class_273,
2fe2c6b7c002f4a218a358393ff177e1a1739a074,perf_test_class_274,
2fe2c6b7c002f4a218a358393ff177e1a1739a075,perf_test_class_275,
2fe2c6b7c002f4a218a358393ff177e1a1739a076,perf_test_class_276,
2fe2c6b7c002f4a218a358393ff177e1a1739a077,perf_test_class_277,
2fe2c6b7c002f4a218a358393ff177e1a1739a078,perf_test_class_278,
2fe2c6b7c002f4a218a358393ff177e1a1739a079,perf_test_class_279,
2fe2c6b7c002f4a218a358393ff177e1a1739a080,perf_test_class_280,
2fe2c6b7c002f4a218a358393ff177e1a1739a081,perf_test_class_281,
2fe2c6b7c002f4a218a358393ff177e1a1739a082,perf_test_class_282,
2fe2c6b7c002f4a218a358393ff177e1a1739a083,perf_test_class_283,
2fe2c6b7c002f4a218a358393ff177e1a1739a084,perf_test_class_284,
2fe2c6b7c002f4a218a358393ff177e1a1739a085,perf_test_class_285,
2fe2c6b7c002f4a218a358393ff177e1a1739a086,perf_test_class_286,
2fe2c6b7c002f4a218a358393ff177e1a1739a087,perf_test_class_287,
2fe2c6b7c002f4a218a358393ff177e1a1739a088,perf_test_class_288,
2fe2c6b7c002f4a218a358393ff177e1a1739a089,perf_test_class_289,
2fe2c6b7c002f4a218a358393ff177e1a1739a090,perf_test_class_290,
2fe2c6b7c002f4a218a358393ff177e1a1739a091,perf_test_class_291,
2fe2c6b7c002f4a218a358393ff177e1a1739a092,perf_test_class_292,
2fe2c6b7c002f4a218a358393ff177e1a1739a093,perf_test_class_293,
2fe2c6b7c002f4a218a358393ff177e1a1739a094,perf_test_class_294,
2fe2c6b7c002f4a218a358393ff177e1a1739a095,perf_test_class_295,
2fe2c6b7c002f4a218a358393ff177e1a1739a096,perf_test_class_296,
2fe2c6b7c002f4a218a358393ff177e1a1739a097,perf_test_class_297,
2fe2c6b7c002f4a218a358393ff177e1a1739a098,perf_test_class_298,
2fe2c6b7c002f4a218a358393ff177e1a1739a099,perf_test_class_299,
2fe2c6b7c002f4a218a358393ff177e1a1739a100,perf_test_class_300,
