col1,col2,col3
std_1593096050187_24,15932397-5233-46d1-b7c0-482a35107b4a,tch_20200625-194535_24
std_1593095738564_22,66d0f58f-0400-4b59-b9f6-e403c018347f,tch_20200625-194535_22
std_1593096076041_25,98ec1d7c-7b49-40a8-9198-ee13261f0f54,tch_20200625-194535_25
std_1593095907421_23,5fe988a6-90fa-4493-b5cc-f323208dc3ca,tch_20200625-194535_23
std_1593095911404_24,2212b0f9-fa2b-4ba6-b9da-4d27e314e823,tch_20200625-194535_24
std_1593096251765_26,0ff9292f-02b8-4c9e-a452-cc73f85e993b,tch_20200625-194535_26
std_1593095936535_25,dec2bf9f-14b5-419d-b99f-b223b95eee06,tch_20200625-194535_25
std_1593095779123_23,03dd9d03-476c-4587-ae1d-b75142aaf59a,tch_20200625-194535_23
std_1593095781999_24,b6d40eb1-c182-409c-97b2-023c817dfe39,tch_20200625-194535_24
std_1593096121089_26,8787345d-9227-4dd3-9ef0-ef003c0d5b64,tch_20200625-194535_26
std_1593096307962_27,086ec02d-f70b-49b6-bb52-0d75b48d82e9,tch_20200625-194535_27
std_1593095799365_25,3102dc0c-aef6-44e5-b0d0-a48b658a3d1d,tch_20200625-194535_25
std_1593095982818_26,221f47f2-6cfe-4107-a848-acc5e101b2a6,tch_20200625-194535_26
std_1593096172730_27,f6450c52-a25b-4d81-94e6-fa8f9bcc54bf,tch_20200625-194535_27
std_1593096336745_29,da16bf0c-d3b8-4c88-8832-5e83da229f69,tch_20200625-194535_29
std_1593095850572_26,43b5a066-6ab7-451e-85b7-108c23bea227,tch_20200625-194535_26
std_1593096368218_30,82e70d1b-9ce0-42e2-9566-3115545e4a0d,tch_20200625-194535_30
std_1593096045082_27,e5b3e1cb-52db-4321-89c4-f4b08f3b05f0,tch_20200625-194535_27
std_1593096207465_29,47c5b68f-d431-4634-989a-0f37c35f7b1a,tch_20200625-194535_29
std_1593096406303_28,e064dd7c-c50d-4cc8-8550-38438475367c,tch_20200625-194535_28
std_1593096234009_30,6949bfd7-447a-496a-99e8-f28fb3aef191,tch_20200625-194535_30
std_1593096078472_29,da35e1f9-3153-4aab-93c3-be362803e89e,tch_20200625-194535_29
std_1593095906475_27,3b55ddaf-6938-44c7-a555-b55e4a2ad0db,tch_20200625-194535_27
std_1593096424412_31,7017a0ee-960f-42bb-90ce-b4323cf58736,tch_20200625-194535_31
std_1593096445828_32,b7c2064d-74c3-4e49-96ba-db856514b42b,tch_20200625-194535_32
std_1593096273198_28,cb918238-8017-4ee8-825f-410a682a8d13,tch_20200625-194535_28
std_1593096101068_30,9fbf5763-82d3-4b58-a2bc-ca760137549a,tch_20200625-194535_30
std_1593095954767_29,4eef147a-c9fb-408f-95a8-3e5e46720a07,tch_20200625-194535_29
std_1593096284755_31,3bf317ba-a587-407f-9c9a-e98664628f72,tch_20200625-194535_31
std_1593096460101_33,3ea279c9-f03d-43d6-9f11-f3036c05c6c9,tch_20200625-194535_33
std_1593096303276_32,d7ca9e3c-4b84-4d6e-a76d-e99495d06834,tch_20200625-194535_32
std_1593096078916_28,f3b2aa86-9e2d-4331-aad7-8194baeae6ed,tch_20200625-194535_28
std_1593095973181_30,02b435a5-c6d0-45ab-bd7a-3681c749a3af,tch_20200625-194535_30
std_1593096152279_31,7684a0b8-d2bd-4abb-9874-8fcfe94e2885,tch_20200625-194535_31
std_1593096500267_34,b6392e18-f1cf-46ba-8a00-b885c13facda,tch_20200625-194535_34
std_1593096331193_33,9b34e508-d892-40e1-befe-9f0a8bc160a9,tch_20200625-194535_33
std_1593096169440_32,a3d69620-a068-4c74-ac7d-e45a2b6b9629,tch_20200625-194535_32
std_1593095938925_28,b3ff4ebc-4ab0-4a86-b3fb-959a159a57c5,tch_20200625-194535_28
std_1593096529231_35,c87ab3fc-e075-4acb-b053-ad65788872be,tch_20200625-194535_35
std_1593096018398_31,bed7dc15-a5e0-487b-b7cd-7333ff8ba693,tch_20200625-194535_31
std_1593096366863_34,9f5e8d0b-685b-4d26-a488-722e9cf8568c,tch_20200625-194535_34
std_1593096201602_33,5731fd7b-8471-4e80-b1ad-000ec1141a3d,tch_20200625-194535_33
std_1593096039809_32,ca1e5d68-7537-4a38-87c1-e365835efca7,tch_20200625-194535_32
std_1593096571035_36,15c94a97-fe21-421e-96ca-57c7e33b67c7,tch_20200625-194535_36
std_1593096402224_35,670cdfc9-1a7a-49a6-99ba-192247a06d28,tch_20200625-194535_35
std_1593096237181_34,62376452-a423-416c-8706-3863181e4ba8,tch_20200625-194535_34
std_1593096065263_33,fca02251-1e72-4bd8-b517-bf25115e69ec,tch_20200625-194535_33
std_1593096590428_37,b26eac9f-02ee-48d1-9510-737acc82b341,tch_20200625-194535_37
std_1593096430967_36,0beea093-d99a-4f14-a87a-b612a330c883,tch_20200625-194535_36
std_1593096266555_35,78f29978-0450-4b39-95fd-a64dad88399a,tch_20200625-194535_35
std_1593096101952_34,5af46010-27b2-425c-8472-38a431224070,tch_20200625-194535_34
std_1593096622943_38,3e57899b-85f0-44e1-a0e8-37b990499f7c,tch_20200625-194535_38
std_1593096457684_37,26a8b32f-6623-4de1-a914-091159862a74,tch_20200625-194535_37
std_1593096301885_36,1cc1e843-1cec-4edf-a7d6-5d2bb44b7cd8,tch_20200625-194535_36
std_1593096128301_35,a4ad4bd9-6065-4737-9073-ed7d774db055,tch_20200625-194535_35
std_1593096647986_39,57bd6829-f100-4d5d-9922-24b2c11e60e3,tch_20200625-194535_39
std_1593096491846_38,c457760d-b951-4864-aebe-17cfe571b1ef,tch_20200625-194535_38
std_1593096332269_37,1e916eb6-1bfd-4790-829f-1d885b6644d4,tch_20200625-194535_37
std_1593096171306_36,e07c1b4e-3e46-4d72-a6ec-6563ee874b96,tch_20200625-194535_36
std_1593096511416_39,2108fbcf-4097-48cb-b3d1-dc044117c457,tch_20200625-194535_39
std_1593096687784_40,9dafc30d-4668-44e2-a5a7-04fc7d95ff23,tch_20200625-194535_40
std_1593096355343_38,b96d41ac-72d6-46fa-aff3-6e75a154780d,tch_20200625-194535_38
std_1593096207480_37,6adc56c2-ee4e-46b6-868c-81fa21f9e3c2,tch_20200625-194535_37
std_1593096711842_41,c316e7e2-d828-4269-abca-60b39d9b8a7e,tch_20200625-194535_41
std_1593096729830_42,aa16cea2-443a-415b-9676-63051530ff5b,tch_20200625-194535_42
std_1593096376568_39,50152fe7-d050-445e-aa65-00ebf07ee5a5,tch_20200625-194535_39
std_1593096554097_40,bc325e29-c799-4fea-acee-60d0b0cb1ab9,tch_20200625-194535_40
std_1593096224185_38,1199df26-35ca-49bc-8d58-6b664d0a24a5,tch_20200625-194535_38
std_1593096571180_41,4bde77aa-2b00-4768-9cfa-1515efc7048e,tch_20200625-194535_41
std_1593096597490_42,eb5a95eb-6050-4b76-b502-938ee7e0cf0c,tch_20200625-194535_42
std_1593096241458_39,747fb29a-6e71-4000-93d0-b5789c487447,tch_20200625-194535_39
std_1593096417286_40,9be9b86a-c628-4079-a73f-65d8e03654ab,tch_20200625-194535_40
std_1593096768562_43,3eb9963b-3705-4db3-9af9-4aa509fc0c0c,tch_20200625-194535_43
std_1593096444002_41,fcd513d9-1388-4fd0-8339-4b7b2432d8d4,tch_20200625-194535_41
std_1593096467350_42,6eb19a97-fd3a-485c-ac6b-89ba0193ce86,tch_20200625-194535_42
std_1593096289380_40,b95ee648-5461-4280-b3a5-684ccaa5b696,tch_20200625-194535_40
std_1593096802714_44,cad77eb2-de89-4923-9987-94c77679d87b,tch_20200625-194535_44
std_1593096626922_43,39e01faa-8dc5-46c8-a909-c2a9cdc57c40,tch_20200625-194535_43
std_1593096310183_41,154002fd-10d6-4eb1-a25c-cb2396fb2cad,tch_20200625-194535_41
std_1593096829928_45,8c2dde71-ae6c-4164-b056-626976a6bb1a,tch_20200625-194535_45
std_1593096334239_42,fc037307-ea09-4022-8be5-e332dfdbebcd,tch_20200625-194535_42
std_1593096662018_44,a78cbea0-dd17-483b-9a2a-4984411ccdb5,tch_20200625-194535_44
std_1593096491847_43,4a07aae4-64d2-423e-b7eb-f6c570d9bb63,tch_20200625-194535_43
std_1593096860038_46,c8bd7f98-ff14-4d77-b257-84f9422b96e2,tch_20200625-194535_46
std_1593096702365_45,766f13f2-6b23-4076-83e5-42d4361bd090,tch_20200625-194535_45
std_1593096528982_44,096e4fd1-3fa9-4a09-9450-ad7d50b1846f,tch_20200625-194535_44
std_1593096360610_43,d3ee96d2-6855-4e86-8ad1-cfe40770b813,tch_20200625-194535_43
std_1593096887372_47,13eaafde-4e54-4498-8c90-fd3bd9f9b08d,tch_20200625-194535_47
std_1593096725425_46,765daf16-a493-4706-9a4b-a95f739bf685,tch_20200625-194535_46
std_1593096563644_45,2627a5d7-f2d1-4b87-bf33-1c69fab538ab,tch_20200625-194535_45
std_1593096389300_44,1308e563-d241-4997-99b0-70ef0ef45727,tch_20200625-194535_44
std_1593096925234_48,c9837345-b0e2-4a84-80ab-80ebe0c8129b,tch_20200625-194535_48
std_1593096759559_47,6927cb42-8595-4c9b-bf3f-6925e7ca154e,tch_20200625-194535_47
std_1593096941042_49,00f9e9d4-bbbd-43db-8fff-b8ac9de4c3fb,tch_20200625-194535_49
std_1593096594022_46,eab8e021-67b3-4bd5-955d-27d6fc05bf43,tch_20200625-194535_46
std_1593096434995_45,1258f533-46a3-4851-8644-ab4661b979cc,tch_20200625-194535_45
std_1593096625324_47,86d0f779-eb93-4d1b-82bd-8128edc4422c,tch_20200625-194535_47
std_1593096796513_48,bc09bb59-350e-40f4-9577-437496656b10,tch_20200625-194535_48
std_1593096453984_46,705fb27b-e21e-4e61-a484-335b782276d7,tch_20200625-194535_46
std_1593096813309_49,0d0d8811-15b1-4779-9ad1-7a31f422782a,tch_20200625-194535_49
std_1593096993085_50,1557158f-9ac0-4c9f-9d5d-6c628550fadf,tch_20200625-194535_50
std_1593096490345_47,79089edb-10ea-4119-847d-2b5b134eab0b,tch_20200625-194535_47
std_1593096681618_49,61027dae-b475-4c60-bf73-fe6cc318f92d,tch_20200625-194535_49
std_1593096655093_48,7dbcd071-7f1b-4bb5-b5b8-4d2cb50abd7d,tch_20200625-194535_48
std_1593097013953_51,a110f232-8a6c-4b15-aa6d-c72e34606693,tch_20200625-194535_51
std_1593096861023_50,9acb114d-c7b1-4499-bbc5-7d7adbd2839c,tch_20200625-194535_50
std_1593096523279_48,c51e36a8-1791-4979-b04e-95d4f89fb6d8,tch_20200625-194535_48
std_1593096545744_49,16f88d53-8923-4967-af86-f6eb0d374313,tch_20200625-194535_49
std_1593096876511_51,443f63b7-f43c-4f65-9d78-be25959f0d1d,tch_20200625-194535_51
std_1593097047319_52,2f427aa5-5093-4932-b2ca-65e749112120,tch_20200625-194535_52
std_1593096726406_50,9f811f83-bb3e-4118-8199-5f448624e2e0,tch_20200625-194535_50
std_1593097082541_53,025aed05-0e77-43b2-8cc5-3f236ded75f7,tch_20200625-194535_53
std_1593096739486_51,7dc55891-61fb-47d1-92cc-b8940d8e7200,tch_20200625-194535_51
std_1593096917583_52,a7025023-8f4d-4b68-b27c-4c7d026309f7,tch_20200625-194535_52
std_1593096589759_50,fcb3d536-5ed9-414e-9404-b7322492f0cf,tch_20200625-194535_50
std_1593097104042_54,4ff5800b-5804-4d64-9677-8c94f6fe208e,tch_20200625-194535_54
std_1593096606976_51,fb868b74-7751-472b-89f2-168cbac9dc5c,tch_20200625-194535_51
std_1593096947953_53,2e2e32a0-42c7-4291-9094-5e85622f7891,tch_20200625-194535_53
std_1593097125114_55,b1fd3e00-5445-41d2-8c31-c8e81e1cdff9,tch_20200625-194535_55
std_1593096779494_52,0c556627-79fc-4442-8244-314094c04014,tch_20200625-194535_52
std_1593096967378_54,008601d0-fa47-4145-bced-99f42920204a,tch_20200625-194535_54
std_1593097144339_56,1005e27c-f077-4d26-8528-8d4715726563,tch_20200625-194535_56
std_1593096810489_53,bd13a929-e9a9-4e82-b9f2-22d981a9f783,tch_20200625-194535_53
std_1593096645097_52,11294739-60bd-465a-b679-ed25d74fcc03,tch_20200625-194535_52
std_1593096993932_55,873480b8-55d9-4fd0-a927-576d9ff53d6b,tch_20200625-194535_55
std_1593096829354_54,f91e6be4-af82-4f1e-aeaa-71306d83a1f7,tch_20200625-194535_54
std_1593097015014_56,46ff20fe-fe6e-4ca5-a8f4-48bd61befed3,tch_20200625-194535_56
std_1593097183265_57,4dd7d6a3-1d6e-4d40-aec0-bda84abad53d,tch_20200625-194535_57
std_1593096678000_53,6fdcccc8-6740-406e-9f07-3c426943bac4,tch_20200625-194535_53
std_1593096867086_55,c54dc52d-974b-4cb4-9350-734b46fc52b7,tch_20200625-194535_55
std_1593097217896_58,92ae4d95-a2c5-4ecb-abfe-7e8a36d55bc0,tch_20200625-194535_58
std_1593096701030_54,8204ea30-c458-4c45-a6db-09cfb11fd3d1,tch_20200625-194535_54
std_1593096892397_56,8197fe8a-a92e-46d6-a5c7-344b2d5529a5,tch_20200625-194535_56
std_1593097052054_57,32eff452-d970-4561-8d23-25ab0e904372,tch_20200625-194535_57
std_1593097224397_59,3744f2a2-c1a2-4a4d-a744-5b4240fd2c33,tch_20200625-194535_59
std_1593096732009_55,3cbf5bee-2c55-48e8-87dc-e55c07d6b8f4,tch_20200625-194535_55
std_1593097084823_58,e61b4f46-ea6a-4d9e-a128-c83fed1c9b3f,tch_20200625-194535_58
std_1593096919056_57,b1280371-14f8-48ac-ab4c-4a8a3c537650,tch_20200625-194535_57
std_1593096761361_56,6a42c849-34a5-438d-ac12-c142e78037e6,tch_20200625-194535_56
std_1593097092756_59,474a0398-ed4b-447c-9530-1630225af72e,tch_20200625-194535_59
std_1593097279934_60,e897bfd5-7018-4901-b3d2-062c657cc26a,tch_20200625-194535_60
std_1593096957295_58,ea65cfd7-4059-472e-9dd9-57acab80405f,tch_20200625-194535_58
std_1593096789057_57,b4b31cfd-da71-4ea4-acc4-d47c6cd68dfd,tch_20200625-194535_57
std_1593096963440_59,151fd5c7-416d-410f-972f-3e4a92174707,tch_20200625-194535_59
std_1593097148640_60,36247bce-4f80-4970-816c-7eb7d5f3b0c7,tch_20200625-194535_60
std_1593097321042_61,c67b2759-68e1-41a4-b61a-e38c60fa241a,tch_20200625-194535_61
std_1593096814027_58,67fa595b-0611-41ed-9346-2de20f013027,tch_20200625-194535_58
std_1593097342280_63,d0f17c91-0281-4f77-86cd-d4007ff2d39a,tch_20200625-194535_63
std_1593096833302_59,89fcb850-7d69-453d-b330-82a95aa3ae5a,tch_20200625-194535_59
std_1593097343531_62,1a61321a-d122-440b-9e60-a78037bbb8ea,tch_20200625-194535_62
std_1593097009763_60,de9d3212-f7b9-446e-a648-3566fbeea524,tch_20200625-194535_60
std_1593097182545_61,58ff8c14-8e76-4101-935b-aa0135b79fbd,tch_20200625-194535_61
std_1593097210554_63,6c36203c-ec4a-42c1-b8c8-2c6f69e92801,tch_20200625-194535_63
std_1593097389761_64,1139ef14-a2b1-43e0-a0ba-a4fdb366bd54,tch_20200625-194535_64
std_1593097209577_62,503dea24-9d54-4f12-a48b-dd78f0237696,tch_20200625-194535_62
std_1593096879138_60,b9a12d98-671e-4acb-9390-4a5ce9bb18a4,tch_20200625-194535_60
std_1593097045341_61,5495513e-cf33-45aa-99de-f783815ac955,tch_20200625-194535_61
std_1593097085056_63,1bc0d545-94f4-4896-94ff-6465524ffc6b,tch_20200625-194535_63
std_1593097252982_64,ee2dfe08-c82c-4497-b67c-28db6cee6d4f,tch_20200625-194535_64
std_1593097077758_62,3f402f8a-12ba-450d-92d1-72d19eae946b,tch_20200625-194535_62
std_1593097429892_65,5bd3a880-6d99-4bdc-8132-b052e6b1783f,tch_20200625-194535_65
std_1593096912040_61,cdbd8d01-0382-4c03-8493-1c8a7ec4d9b4,tch_20200625-194535_61
std_1593096951916_63,62f77a23-8da5-4964-9096-bfe5d8106636,tch_20200625-194535_63
std_1593097444715_66,3faf75fa-a911-4b4a-9f19-21eb3ae2b4ed,tch_20200625-194535_66
std_1593096940722_62,8b3189fa-7d13-4632-a492-5920c458842e,tch_20200625-194535_62
std_1593097124840_64,057f5822-cd82-4303-a66d-f8f5ce57e7b9,tch_20200625-194535_64
std_1593097293695_65,53d2ad92-57f3-4192-b3e9-3d16b697aecf,tch_20200625-194535_65
std_1593097309757_66,20cfca84-df3b-4c1c-810a-ae873aa7c346,tch_20200625-194535_66
std_1593097481933_67,9474e711-690b-4363-b034-42a1cf8a8336,tch_20200625-194535_67
std_1593097156591_65,1e1bd9af-8557-462d-a740-9a1330980992,tch_20200625-194535_65
std_1593096991432_64,cf6e0dcb-0703-41f4-b898-e4a90f910384,tch_20200625-194535_64
std_1593097515851_68,02e9a2a1-cb38-448a-9ada-00193577d08a,tch_20200625-194535_68
std_1593097351029_67,881f8050-9aa5-4e08-ac4a-f30a29584776,tch_20200625-194535_67
std_1593097182156_66,104d2bf0-3cdd-42ad-a873-4f587c9976bf,tch_20200625-194535_66
std_1593097021693_65,1819a8a5-f880-4635-985a-6b545337e573,tch_20200625-194535_65
std_1593097383163_68,99af2771-db7f-41ec-a555-8d91ab29abda,tch_20200625-194535_68
std_1593097555925_69,5414db46-849d-45af-a8aa-720a1ea18546,tch_20200625-194535_69
std_1593097048178_66,14ef1a24-90e0-4438-a9b9-6c2e46a5857c,tch_20200625-194535_66
std_1593097223319_67,5ba8a781-a88b-4bca-9606-d070a7d0801a,tch_20200625-194535_67
std_1593097582520_70,256a5b9d-1b1a-46cf-95a4-260adf74e5c8,tch_20200625-194535_70
std_1593097258737_68,c826015d-22b0-4977-9381-9034383fa07d,tch_20200625-194535_68
std_1593097419142_69,cc8a883d-e60a-4a67-86b8-1d6092b1bc42,tch_20200625-194535_69
std_1593097601371_71,15523d16-fc61-4dcd-95a0-4030c32e17d1,tch_20200625-194535_71
std_1593097083756_67,39e6379c-c9cb-4326-bb1a-6e16c9feb57e,tch_20200625-194535_67
std_1593097448326_70,df209422-1b99-42a4-9fa0-25af37645d91,tch_20200625-194535_70
std_1593097123895_68,020b1132-f56d-4daa-adbf-bc8a6f069aa0,tch_20200625-194535_68
std_1593097293157_69,5fc70d81-f43f-4bfa-9a7f-4c41444a0cf5,tch_20200625-194535_69
std_1593097467401_71,f67a396f-c27f-4785-8b0c-44d0803257fa,tch_20200625-194535_71
std_1593097645367_72,f57a4010-547f-48bc-8bc7-3b0b476f396a,tch_20200625-194535_72
std_1593097319489_70,3b10852d-1eb6-4a4e-8464-87df1fc1bb28,tch_20200625-194535_70
std_1593097156373_69,68392fc2-eaf1-474e-83f2-3d55c92b189d,tch_20200625-194535_69
std_1593097670354_73,0549f6d6-a57d-4531-991d-b19a9685a008,tch_20200625-194535_73
std_1593097330687_71,ce9bc0ed-38d3-4a46-9c40-d425699e26c9,tch_20200625-194535_71
std_1593097511671_72,cc7b23f0-2479-4f4f-96d9-ddad81fb2326,tch_20200625-194535_72
