tchextid,classcode
tch_20200702-135738_98,96BG-6s93
tch_20200702-135738_99,6Lps-F32B
tch_20200702-135738_100,e6uv-2Nzm
tch_20200702-230903_1,YZPq-n8U8
tch_20200702-230903_2,a8E7-W2y7
tch_20200702-230903_3,9Wu7-J3yM
tch_20200702-230903_4,o7Kh-NfqG
tch_20200702-230903_5,fL7U-E6ZK
tch_20200702-230903_6,Me3C-ZBN7
tch_20200702-230903_7,e4io-Fo2r
tch_20200702-230903_8,w6WH-z38L
tch_20200702-230903_9,FCw4-JrW2
tch_20200702-230903_10,n47A-hmQ6
tch_20200702-230903_11,ns68-bNYF
tch_20200702-230903_12,aN2s-74te
tch_20200702-230903_13,XFYq-ZnsB
tch_20200702-230903_14,r4wC-jEJD
tch_20200702-230903_15,Bop8-9bz8
tch_20200702-230903_16,WZY2-PFt3
tch_20200702-230903_17,rvgs-cbDJ
tch_20200702-230903_18,RqjW-J4c2
tch_20200702-230903_19,PmJR-vb4J
tch_20200702-230903_20,o7Y3-AEF4
tch_20200702-230903_21,Pg7m-89gD
tch_20200702-230903_22,cqdX-C6Y6
tch_20200702-230903_23,edMo-m987
tch_20200702-230903_24,b3Df-s2VG
tch_20200702-230903_25,zyD7-u3E3
tch_20200702-230903_26,WqTX-96gb
tch_20200702-230903_27,j426-TWd9
tch_20200702-230903_28,2cw2-NbLY
tch_20200702-230903_29,b8Cm-L7jw
tch_20200702-230903_30,b4d3-8re3
tch_20200702-230903_31,BQ2D-7gQv
tch_20200702-230903_32,y8pw-4VW3
tch_20200702-230903_33,79f8-aAgT
tch_20200702-230903_34,WuvV-aBAm
tch_20200702-230903_35,DUrL-8mZ8
tch_20200702-230903_36,VpL7-B64u
tch_20200702-230903_37,62uw-KX7J
tch_20200702-230903_38,ta4X-RsEh
tch_20200702-230903_39,3267-V7h8
tch_20200702-230903_40,fVMX-gmLn
tch_20200702-230903_41,Qy38-XDhX
tch_20200702-230903_42,bK8z-4bY4
tch_20200702-230903_43,4v94-xJCJ
tch_20200702-230903_44,GA87-9rP4
tch_20200702-230903_45,f24K-GPV7
tch_20200702-230903_46,dco4-n739
tch_20200702-230903_47,6C46-L4w6
tch_20200702-230903_48,qvT4-mRFH
tch_20200702-230903_49,kvZ9-n396
tch_20200702-230903_50,HAP6-7EKJ
tch_20200702-230903_51,sKz2-Nx7g
tch_20200702-230903_52,b2VD-2wuR
tch_20200702-230903_53,GhHR-W8a7
tch_20200702-230903_54,T4TM-4g46
tch_20200702-230903_55,fJK3-Mh4z
tch_20200702-230903_56,Fq9g-AtAz
tch_20200702-230903_57,x4ve-Cp3h
tch_20200702-230903_58,r3jb-x2xK
tch_20200702-230903_59,Cm82-jAdB
tch_20200702-230903_60,UZ6W-bMU7
tch_20200702-230903_61,H6qV-QZbW
tch_20200702-230903_62,Ngmj-rKVR
tch_20200702-230903_63,MzDx-t43C
tch_20200702-230903_64,LBKA-N82V
tch_20200702-230903_65,4stx-h6eg
tch_20200702-230903_66,rXKd-4PmV
tch_20200702-230903_67,yj2K-48XB
tch_20200702-230903_68,UThK-oUPe
tch_20200702-230903_69,qor7-igv9
tch_20200702-230903_70,zh7C-FxnF
tch_20200702-230903_71,GWsj-6M3q
tch_20200702-230903_72,HtMm-r9WK
tch_20200702-230903_73,gLgD-xWQ4
tch_20200702-230903_74,vFK9-ar4R
tch_20200702-230903_75,7274-8HFE
tch_20200702-230903_76,q96e-MT4E
tch_20200702-230903_77,689J-bpkC
tch_20200702-230903_78,PJqN-8rMF
tch_20200702-230903_79,nUKA-j7bU
tch_20200702-230903_80,D3H3-RGr2
tch_20200702-230903_81,DEkH-qdBX
tch_20200702-230903_82,si2z-7Kku
tch_20200702-230903_83,gLK2-83u2
tch_20200702-230903_84,M36g-3QEW
tch_20200702-230903_85,HGjD-rk4w
tch_20200702-230903_86,E4RU-sJ3J
tch_20200702-230903_87,34f4-r79U
tch_20200702-230903_88,H7Uk-XAdb
tch_20200702-230903_89,8gYX-KRJL
tch_20200702-230903_90,okJx-3B2M
tch_20200702-230903_91,G82n-w2t4
tch_20200702-230903_92,uyB4-2i2b
tch_20200702-230903_93,8PrC-dqze
tch_20200702-230903_94,xRH8-dQ69
tch_20200702-230903_95,hGo6-iE6d
tch_20200702-230903_96,Jsi4-6vc4
tch_20200702-230903_97,Ykcg-UL9u
tch_20200702-230903_98,sp8H-cybA
tch_20200702-230903_99,NwyD-cTqt
tch_20200702-230903_100,yw4f-zDs8
tch_20200703-010627_1,sP8P-AFv4
tch_20200703-010627_2,mqVM-QB8g
tch_20200703-010627_3,UfeB-X7n7
tch_20200703-010627_4,o2J9-c867
tch_20200703-010627_5,abf6-Xk7t
tch_20200703-010627_6,gXh8-t34N
tch_20200703-010627_7,jwoX-xdsA
tch_20200703-010627_8,GuHz-dfXd
tch_20200703-010627_9,uBuH-fsmf
tch_20200703-010627_10,23b4-iKmP
tch_20200703-010627_11,Q6Yt-9t7F
tch_20200703-010627_12,8N94-oMq4
tch_20200703-010627_13,omvw-gJwa
tch_20200703-010627_14,sW9k-npfg
tch_20200703-010627_15,C696-aBn3
tch_20200703-010627_16,tZpe-fTHc
tch_20200703-010627_17,7uv9-Y8j4
tch_20200703-010627_18,NpsW-voH3
tch_20200703-010627_19,c8YL-iocx
tch_20200703-010627_20,fnjy-ALKF
tch_20200703-010627_21,z73f-WXBL
tch_20200703-010627_22,62uA-4ZH2
tch_20200703-010627_23,KPhQ-A8TE
tch_20200703-010627_24,qrs4-9Mwq
tch_20200703-010627_25,nJRU-q8bN
tch_20200703-010627_26,n9VH-qP48
tch_20200703-010627_27,RY78-ZUKt
tch_20200703-010627_28,Z7Dn-3yWB
tch_20200703-010627_29,4L4a-s39Y
tch_20200703-010627_30,ob3n-94t9
tch_20200703-010627_31,JNHG-8AoJ
tch_20200703-010627_32,HgqT-KbXM
tch_20200703-010627_33,LsYp-U86L
tch_20200703-010627_34,8wHK-jR2G
tch_20200703-010627_35,4k84-6R3y
tch_20200703-010627_36,3JQC-V8ry
tch_20200703-010627_37,Y4hu-H46W
tch_20200703-010627_38,k4b3-yoq2
tch_20200703-010627_39,Eo49-8BCV
tch_20200703-010627_40,vz64-64Jq
tch_20200703-010627_41,ZJ8o-tLYN
tch_20200703-010627_42,riEg-qr2j
tch_20200703-010627_43,wEiz-wD7D
tch_20200703-010627_44,c897-P7fj
tch_20200703-010627_45,qc8c-4U9C
tch_20200703-010627_46,8i3G-xcC6
tch_20200703-010627_47,X9Jp-3Fz4
tch_20200703-010627_48,kB4o-A8ag
tch_20200703-010627_49,oQL9-JAuR
tch_20200703-010627_50,v3vC-26sN
tch_20200703-010627_51,DQRy-9TzL
tch_20200703-010627_52,ofiH-Xrhp
tch_20200703-010627_53,vzkq-9B8h
tch_20200703-010627_54,8tJs-46Do
tch_20200703-010627_55,uTWf-cqDe
tch_20200703-010627_56,484T-G6j2
tch_20200703-010627_57,X8en-Q8XU
tch_20200703-010627_58,TMUe-DBhP
tch_20200703-010627_59,uH3z-i9A4
tch_20200703-010627_60,86ws-6Q9g
tch_20200703-010627_61,NDk9-jqCZ
tch_20200703-010627_62,6mR6-7W8v
tch_20200703-010627_63,XFZk-f943
tch_20200703-010627_64,748n-sg4M
tch_20200703-010627_65,w4Ku-L3og
tch_20200703-010627_66,HTuh-uBsR
tch_20200703-010627_67,QWUv-R43i
tch_20200703-010627_68,ft3N-7sae
tch_20200703-010627_69,4tDX-zYyY
tch_20200703-010627_70,m3wm-yu9V
tch_20200703-010627_71,i6fB-qKP4
tch_20200703-010627_72,mNK4-QL7d
tch_20200703-010627_73,XF8e-6Le9
tch_20200703-010627_74,wrBf-3pV2
tch_20200703-010627_75,kE3A-Qmzp
tch_20200703-010627_76,c68D-nT4p
tch_20200703-010627_77,XkbU-9Vmd
tch_20200703-010627_78,ZgsL-ZsWw
tch_20200703-010627_79,r2x2-64B4
tch_20200703-010627_80,86k3-7YDn
tch_20200703-010627_81,Za9j-hfa3
tch_20200703-010627_82,hCPi-Jfgr
tch_20200703-010627_83,98w2-rmG2
tch_20200703-010627_84,6b4c-LYuZ
tch_20200703-010627_85,D72h-iJ7w
tch_20200703-010627_86,dQYi-f4y4
tch_20200703-010627_87,ba4j-rX4W
tch_20200703-010627_88,86DT-6cHW
tch_20200703-010627_89,8zA3-TowY
tch_20200703-010627_90,9LxH-A8d9
tch_20200703-010627_91,BVh7-xPCA
tch_20200703-010627_92,HR4k-D4ep
tch_20200703-010627_93,8734-6B7f
tch_20200703-010627_94,FmuP-HiVW
tch_20200703-010627_95,7gsX-9eH9
tch_20200703-010627_96,7BLK-Hkrj
tch_20200703-010627_97,JWbB-2VkF
tch_20200703-010627_98,H3E8-ot4t
tch_20200703-010627_99,7292-4iHU
tch_20200703-010627_100,mFLZ-3HEP
tch_20200703-023733_1,bQip-D6Mt
tch_20200703-023733_2,3Nhq-PYQB
tch_20200703-023733_3,Caui-GLJY
tch_20200703-023733_4,b4Yk-JPhV
tch_20200703-023733_5,9BbU-uh3c
tch_20200703-023733_6,uUAi-9Rw8
tch_20200703-023733_7,JE4e-cgDa
tch_20200703-023733_8,MUHE-V4w4
tch_20200703-023733_9,8nV3-96sp
tch_20200703-023733_10,JW7V-eqgo
tch_20200703-023733_11,64ZN-E36q
tch_20200703-023733_12,cQEp-W8ZB
tch_20200703-023733_13,6RqQ-J2iH
tch_20200703-023733_14,QrhT-4f8E
tch_20200703-023733_15,d389-Q38U
tch_20200703-023733_16,PiDX-z7d8
tch_20200703-023733_17,mU6i-g8mW
tch_20200703-023733_18,MiTK-MLhZ
tch_20200703-023733_19,2N7X-uF4g
tch_20200703-023733_20,QR9h-Mytx
tch_20200703-023733_21,HsZY-7yU9
tch_20200703-023733_22,t9aV-n879
tch_20200703-023733_23,ji9X-2c6j
tch_20200703-023733_24,twuT-MvBV
tch_20200703-023733_25,DV4n-784T
tch_20200703-023733_26,69ia-tZzM
tch_20200703-023733_27,M9qG-rCdp
tch_20200703-023733_28,ZUgT-vUWz
tch_20200703-023733_29,8J6p-swNX
tch_20200703-023733_30,Y32N-7YTW
tch_20200703-023733_31,3MmL-UYuC
tch_20200703-023733_32,Xg8J-LM6w
tch_20200703-023733_33,6UTV-6QgG
tch_20200703-023733_34,6L8V-6PVf
tch_20200703-023733_35,dN36-tAE9
tch_20200703-023733_36,oYvB-6CLX
tch_20200703-023733_37,KpYc-9MJn
tch_20200703-023733_38,8D64-v2hd
tch_20200703-023733_39,942x-ZCZT
tch_20200703-023733_40,Y4Yy-mgd6
tch_20200703-023733_41,AGPs-297Q
tch_20200703-023733_42,iDuy-Q43b
tch_20200703-023733_43,8KvU-Kr9b
tch_20200703-023733_44,kMc7-rVnw
tch_20200703-023733_45,72ZR-9tBW
tch_20200703-023733_46,uQwo-D2DG
tch_20200703-023733_47,8Q2i-mi9Y
tch_20200703-023733_48,fRu9-jMX2
tch_20200703-023733_49,68Rs-gL8V
tch_20200703-023733_50,P3dN-4M28
tch_20200703-023733_51,jzYT-cU8v
tch_20200703-023733_52,JFzM-V43e
tch_20200703-023733_53,aCzE-uBYq
tch_20200703-023733_54,a286-PB48
tch_20200703-023733_55,6tZK-mNaF
tch_20200703-023733_56,Lt2L-8nwD
tch_20200703-023733_57,xb3u-47fJ
tch_20200703-023733_58,jfRt-F2h3
tch_20200703-023733_59,CvQq-HK63
tch_20200703-023733_60,fGKz-8jxy
tch_20200703-023733_61,fdtq-UJK2
tch_20200703-023733_62,PG8i-t47y
tch_20200703-023733_63,rWEb-TE2M
tch_20200703-023733_64,7Mke-u3C9
tch_20200703-023733_65,pC68-jyqt
tch_20200703-023733_66,iDY7-hMxd
tch_20200703-023733_67,YTgN-27pG
tch_20200703-023733_68,s9jM-9C2E
tch_20200703-023733_69,8fE4-2B9o
tch_20200703-023733_70,jRk9-R747
tch_20200703-023733_71,LP4t-dPBD
tch_20200703-023733_72,hyEV-28g2
tch_20200703-023733_73,8dMF-GFnE
tch_20200703-023733_74,ArEu-o9AV
tch_20200703-023733_75,rVWv-m4kL
tch_20200703-023733_76,HFJK-9kCo
tch_20200703-023733_77,9f8n-v2jZ
tch_20200703-023733_78,MpjJ-g8k7
tch_20200703-023733_79,EMwU-f2ng
tch_20200703-023733_80,4L4h-kGUW
tch_20200703-023733_81,97xU-ohYe
tch_20200703-023733_82,M7T4-f9LW
tch_20200703-023733_83,KBkH-3dui
tch_20200703-023733_84,uWnA-yrG7
tch_20200703-023733_85,y8LC-paJC
tch_20200703-023733_86,3eix-XwyP
tch_20200703-023733_87,yLdW-ztAE
tch_20200703-023733_88,2XNg-no2E
tch_20200703-023733_89,mkcP-p6fP
tch_20200703-023733_90,L924-K2L2
tch_20200703-023733_91,3Kj7-Fxup
tch_20200703-023733_92,Asq2-7huq
tch_20200703-023733_93,X9Jd-Ek6u
tch_20200703-023733_94,D8Wj-6HRD
tch_20200703-023733_95,9RBE-cYM4
tch_20200703-023733_96,F62r-c9A4
tch_20200703-023733_97,v3p7-MbVn
tch_20200703-023733_98,t3Z6-w8oc
tch_20200703-023733_99,q8D4-MiVq
tch_20200703-023733_100,GFbN-g4TD
