tchextid,classcode
tch_20210831-170522_57,ye3P-cdqp
tch_20210831-170522_58,B6qA-ujQA
tch_20210831-170522_59,G4N7-236N
tch_20210831-170522_60,HxMN-92wi
tch_20210831-170522_61,tweg-Pg3a
tch_20210831-170522_62,vsuQ-U9Yq
tch_20210831-170522_63,oF8n-eY3Z
tch_20210831-170522_64,Y2a8-HTc3
tch_20210831-170522_65,rnhK-3KTa
tch_20210831-170522_66,N8m7-93qK
tch_20210831-170522_67,DzKE-iqQ3
tch_20210831-170522_68,Eut2-x8Nd
tch_20210831-170522_69,mJk9-sex7
tch_20210831-170522_70,f7g7-x968
tch_20210831-170522_71,eWyY-q2Ta
tch_20210831-170522_72,RD7M-2qCk
tch_20210831-170522_73,CceD-4Uo4
tch_20210831-170522_74,kv3N-KW2x
tch_20210831-170522_75,eon2-UiX7
tch_20210831-170522_76,43mB-ah7c
tch_20210831-170522_77,67P6-2nZs
tch_20210831-170522_78,2J9D-ai6c
tch_20210831-170522_79,BY69-wkxZ
tch_20210831-170522_80,xkRU-bA2H
tch_20210831-170522_81,8Qbq-2YjV
tch_20210831-170522_82,6VEn-6mk2
tch_20210831-170522_83,iNpe-ghvn
tch_20210831-170522_84,cy6e-o8w8
tch_20210831-170522_85,x86w-arwg
tch_20210831-170522_86,pnRm-w32x
tch_20210831-170522_87,3iN7-m8FB
tch_20210831-170522_88,voY3-iUgu
tch_20210831-170522_89,HVfY-q2qU
tch_20210831-170522_90,4eWs-D8cY
tch_20210831-170522_91,vq4r-g9T8
tch_20210831-170522_92,7M3i-cWqu
tch_20210831-170522_93,X9D8-AVBx
tch_20210831-170522_94,iknr-pmeY
tch_20210831-170522_95,6fqt-EmND
tch_20210831-170522_96,9NuG-QxkB
tch_20210831-170522_97,8ZoT-zynp
tch_20210831-170522_98,Av3o-gtx2
tch_20210831-170522_99,zy9B-ZhKU
tch_20210831-170522_100,sRvG-T8K7
tch_20210831-175706_1,wYvn-4u6j
tch_20210831-175706_2,TURN-28zN
tch_20210831-175706_3,mQb6-V4kY
tch_20210831-175706_4,v7s9-84kH
tch_20210831-175706_5,arbt-8D86
tch_20210831-175706_6,cu7E-LZ6y
tch_20210831-175706_7,8HvW-6nxA
tch_20210831-175706_8,wfBw-YGFG
tch_20210831-175706_9,mTue-4398
tch_20210831-175706_10,C8dV-2m8d
tch_20210831-175706_11,2d6f-RA69
tch_20210831-175706_12,2373-97v2
tch_20210831-175706_13,zb28-UtDQ
tch_20210831-175706_14,zPQ9-623q
tch_20210831-175706_15,mp2o-s4pi
tch_20210831-175706_16,By2s-7VHk
tch_20210831-175706_17,2ei4-BECw
tch_20210831-175706_18,68kP-w3iu
tch_20210831-175706_19,hjyi-6ZnG
tch_20210831-175706_20,3JdY-AyL6
tch_20210831-175706_21,6YWM-3sYJ
tch_20210831-175706_22,32FT-4DBt
tch_20210831-175706_23,42e3-de6M
tch_20210831-175706_24,Cb7E-83tJ
tch_20210831-175706_25,qEd7-DE6g
tch_20210831-175706_26,q86i-R238
tch_20210831-175706_27,3wWh-2TH3
tch_20210831-175706_28,23Gy-Gmr9
tch_20210831-175706_29,XW94-NaHR
tch_20210831-175706_30,8ZJr-Q9Y8
tch_20210831-175706_31,3Nbz-abrk
tch_20210831-175706_32,kik8-YW8g
tch_20210831-175706_33,vukR-Fc2j
tch_20210831-175706_34,J8Mr-x2sp
tch_20210831-175706_35,R6Bz-q6gW
tch_20210831-175706_36,9XBo-7HKP
tch_20210831-175706_37,u3NQ-mU8Q
tch_20210831-175706_38,o96g-QMj3
tch_20210831-175706_39,7V2p-989o
tch_20210831-175706_40,63Fx-AxF7
tch_20210831-175706_41,3TN3-XqhN
tch_20210831-175706_42,ALVc-A3Gp
tch_20210831-175706_43,6xDg-m2LY
tch_20210831-175706_44,P6Gt-jyaV
tch_20210831-175706_45,9DAY-2Nj9
tch_20210831-175706_46,3vT9-Z2My
tch_20210831-175706_47,492J-dVcq
tch_20210831-175706_48,86cG-eNW3
tch_20210831-175706_49,R48x-aKi3
tch_20210831-175706_50,Xg48-67i9
tch_20210831-175706_51,mBX8-vRMD
tch_20210831-175706_52,A28c-pR9R
tch_20210831-175706_53,s2KB-No8G
tch_20210831-175706_54,RqhQ-JpX9
tch_20210831-175706_55,ZaHE-Uy84
tch_20210831-175706_56,m3L9-7u96
tch_20210831-175706_57,M8ZM-3YqZ
tch_20210831-175706_58,z7rP-oWzC
tch_20210831-175706_59,U8xT-8kGE
tch_20210831-175706_60,shsH-G8ZN
tch_20210831-175706_61,KTvN-weT7
tch_20210831-175706_62,VUaZ-zc4Y
tch_20210831-175706_63,NwUi-67n4
tch_20210831-175706_64,MaPY-8W6G
tch_20210831-175706_65,2W2n-Urgs
tch_20210831-175706_66,x6a3-2U76
tch_20210831-175706_67,63D4-LVFm
tch_20210831-175706_68,x6Le-2jLK
tch_20210831-175706_69,Y8T4-Cbd4
tch_20210831-175706_70,hEpP-2bov
tch_20210831-175706_71,79xW-2A7g
tch_20210831-175706_72,gHJM-hHg2
tch_20210831-175706_73,dT2o-D6Fm
tch_20210831-175706_74,3Are-AN4f
tch_20210831-175706_75,hL62-ugKq
tch_20210831-175706_76,yZ3U-9XM7
tch_20210831-175706_77,v4Kw-r9b6
tch_20210831-175706_78,H9x7-svN8
tch_20210831-175706_79,WBgE-xFN9
tch_20210831-175706_80,a2DQ-CpCK
tch_20210831-175706_81,G2tT-oLEp
tch_20210831-175706_82,uEmK-NCzU
tch_20210831-175706_83,4Nfc-qBfc
tch_20210831-175706_84,YXFY-7N2z
tch_20210831-175706_85,G78p-tgUo
tch_20210831-175706_86,R6XM-qx3X
tch_20210831-175706_87,3sXJ-NF7h
tch_20210831-175706_88,YZWN-W49F
tch_20210831-175706_89,73Ck-y3R9
tch_20210831-175706_90,23bz-XyfZ
tch_20210831-175706_91,2EY6-xefn
tch_20210831-175706_92,B3qC-Tx7k
tch_20210831-175706_93,sY6c-MWF3
tch_20210831-175706_94,42TJ-6Q2g
tch_20210831-175706_95,B487-63tg
tch_20210831-175706_96,sQb4-u3BW
tch_20210831-175706_97,Myf6-iDJj
tch_20210831-175706_98,4ybx-fE98
tch_20210831-175706_99,6JTY-jFVk
tch_20210831-175706_100,pn6h-ZjNp
tch_20210831-184908_1,x4sm-2qz6
tch_20210831-184908_2,CGem-anWn
tch_20210831-184908_3,7VzK-V3i4
tch_20210831-184908_4,7eGx-4gVk
tch_20210831-184908_5,eJYb-7rYr
tch_20210831-184908_6,uGgZ-E674
tch_20210831-184908_7,3NoK-eVm3
tch_20210831-184908_8,Rqfi-CVdQ
tch_20210831-184908_9,8XxT-aYve
tch_20210831-184908_10,3U3L-dy3A
tch_20210831-184908_11,XY2f-2P4s
tch_20210831-184908_12,q2WR-rHwm
tch_20210831-184908_13,w72Q-6TUX
tch_20210831-184908_14,9eda-unK4
tch_20210831-184908_15,9wHz-vtuG
tch_20210831-184908_16,YNz3-n8hk
tch_20210831-184908_17,Q9B2-CcoV
tch_20210831-184908_18,uFZF-vFwo
tch_20210831-184908_19,cQ9F-zRL2
tch_20210831-184908_20,FNMJ-QH83
tch_20210831-184908_21,hn6G-93Zc
tch_20210831-184908_22,LeoR-CyhG
tch_20210831-184908_23,bhgM-oafz
tch_20210831-184908_24,9nL7-diVQ
tch_20210831-184908_25,VdAm-wbx3
tch_20210831-184908_26,9q3J-2Jh4
tch_20210831-184908_27,Y9Up-wNhb
tch_20210831-184908_28,YEM9-c9nG
tch_20210831-184908_29,uZBV-4WbW
tch_20210831-184908_30,2x2t-CaGj
tch_20210831-184908_31,62t2-T3Qv
tch_20210831-184908_32,miW6-m2T3
tch_20210831-184908_33,6zU6-aJrn
tch_20210831-184908_34,J6MQ-Eksd
tch_20210831-184908_35,WZ62-eP9N
tch_20210831-184908_36,3Qdm-pWQk
tch_20210831-184908_37,mq7p-zC8j
tch_20210831-184908_38,Whbh-g7f6
tch_20210831-184908_39,BcNk-3xU9
tch_20210831-184908_40,39U7-C7tT
tch_20210831-184908_41,tbTK-j287
tch_20210831-184908_42,PtYw-meT7
tch_20210831-184908_43,W96b-yaub
tch_20210831-184908_44,YdjW-hx96
tch_20210831-184908_45,yu8i-9tTn
tch_20210831-184908_46,92Br-2XbQ
tch_20210831-184908_47,a82P-hVEQ
tch_20210831-184908_48,fqgX-rhLQ
tch_20210831-184908_49,Ckbr-Mu8q
tch_20210831-184908_50,TqGq-2hX6
tch_20210831-184908_51,sZa8-4paM
tch_20210831-184908_52,PydW-zTQU
tch_20210831-184908_53,cmG7-Ypmy
tch_20210831-184908_54,8h2D-Ufp4
tch_20210831-184908_55,fVaA-eqTN
tch_20210831-184908_56,96Jj-VY4J
tch_20210831-184908_57,bYcV-NRa6
tch_20210831-184908_58,rFaP-Y8L2
tch_20210831-184908_59,Fn8w-2DEe
tch_20210831-184908_60,M6y2-4YsQ
tch_20210831-184908_61,k2tM-6xu4
tch_20210831-184908_62,UNzD-ocVA
tch_20210831-184908_63,Q7YG-P4Lu
tch_20210831-184908_64,paZE-8yAa
tch_20210831-184908_65,uz6Q-6AW9
tch_20210831-184908_66,f3sP-6J9C
tch_20210831-184908_67,6Dmi-Ya7J
tch_20210831-184908_68,si78-Ebm7
tch_20210831-184908_69,zNe2-3L8N
tch_20210831-184908_70,9GC2-T9Rp
tch_20210831-184908_71,6pA8-VyeY
tch_20210831-184908_72,H8wv-mHJV
tch_20210831-184908_73,Jpkw-kMKx
tch_20210831-184908_74,39RW-8JAz
tch_20210831-184908_75,yM7m-B39L
tch_20210831-184908_76,Ax3B-NnTk
tch_20210831-184908_77,qn6d-wvA4
tch_20210831-184908_78,j97M-AH4J
tch_20210831-184908_79,Gqty-ANFp
tch_20210831-184908_80,RH6v-9Bv7
tch_20210831-184908_81,YP9m-houQ
tch_20210831-184908_82,RdnE-37P7
tch_20210831-184908_83,89q9-EVgU
tch_20210831-184908_84,Bd84-jafb
tch_20210831-184908_85,Dq63-g4Gg
tch_20210831-184908_86,7DN2-MP7a
tch_20210831-184908_87,iLJ3-brsk
tch_20210831-184908_88,PV9R-epUa
tch_20210831-184908_89,HRn7-VgYR
tch_20210831-184908_90,uHCp-Nb42
tch_20210831-184908_91,7c4T-xXem
tch_20210831-184908_92,c6iA-7fj3
tch_20210831-184908_93,gh2g-32nk
tch_20210831-184908_94,8jHy-sf69
tch_20210831-184908_95,THD2-c8oe
tch_20210831-184908_96,viEm-J23r
tch_20210831-184908_97,2Kk3-euBz
tch_20210831-184908_98,DR6h-7Vj2
tch_20210831-184908_99,L4Hv-a2d9
tch_20210831-184908_100,gqL8-pw79
tch_20210831-195604_1,tYdp-N2KQ
tch_20210831-195604_2,i3FM-vR4C
tch_20210831-195604_3,MiRi-T86i
tch_20210831-195604_4,g9LD-ypKo
tch_20210831-195604_5,9JoL-G69z
tch_20210831-195604_6,e3PY-F2LB
tch_20210831-195604_7,V3PE-ydZT
tch_20210831-195604_8,N6iA-upB8
tch_20210831-195604_9,7RMy-XsAw
tch_20210831-195604_10,W2j6-Md76
tch_20210831-195604_11,E4w2-t98d
tch_20210831-195604_12,8mBr-7Huk
tch_20210831-195604_13,3s8Y-9RJ7
tch_20210831-195604_14,3MVv-R8CX
tch_20210831-195604_15,t7v3-V768
tch_20210831-195604_16,CLbD-9dia
tch_20210831-195604_17,Qqo7-ugra
tch_20210831-195604_18,3aB7-2rps
tch_20210831-195604_19,Z2KB-hrbd
tch_20210831-195604_20,E3Ze-pLaz
tch_20210831-195604_21,9H7i-EQg8
tch_20210831-195604_22,qZcP-Xnd2
tch_20210831-195604_23,8tHz-Qs3K
tch_20210831-195604_24,67PG-uZz9
tch_20210831-195604_25,9HjU-Qad3
tch_20210831-195604_26,9nok-924f
tch_20210831-195604_27,tZr4-gATJ
tch_20210831-195604_28,wENu-2J3G
tch_20210831-195604_29,42GC-gFdc
tch_20210831-195604_30,mFjp-aoJT
tch_20210831-195604_31,6ZXv-6Mai
tch_20210831-195604_32,hLb8-n3eU
tch_20210831-195604_33,6o89-o6MD
tch_20210831-195604_34,o4Hx-878w
tch_20210831-195604_35,hui9-aoQE
tch_20210831-195604_36,8EcN-g34L
tch_20210831-195604_37,68uU-jxNU
tch_20210831-195604_38,wUvt-GmU2
tch_20210831-195604_39,irTh-6z2F
tch_20210831-195604_40,Dy9r-6824
tch_20210831-195604_41,AG4P-92U2
tch_20210831-195604_42,MupP-d927
tch_20210831-195604_43,Amky-XFjv
tch_20210831-195604_44,37VN-8ZtR
tch_20210831-195604_45,MuJK-2yB8
tch_20210831-195604_46,Tmo4-xiCz
tch_20210831-195604_47,cRs9-2t3z
tch_20210831-195604_48,eKYE-23L9
tch_20210831-195604_49,fbYv-f6bx
tch_20210831-195604_50,oQ9d-qNuY
tch_20210831-195604_51,PTkF-wt4y
tch_20210831-195604_52,6Q3m-rHMp
tch_20210831-195604_53,QH4U-nK93
tch_20210831-195604_54,sois-496M
tch_20210831-195604_55,2Q4j-F7L2
tch_20210831-195604_56,sjJc-hZ9U
tch_20210831-195604_57,gb7o-FT6K
tch_20210831-195604_58,RB74-3Ba7
tch_20210831-195604_59,tj97-C6Vz
tch_20210831-195604_60,aXC3-c8vD
tch_20210831-195604_61,sXcJ-BQa9
tch_20210831-195604_62,3x2G-hF4E
tch_20210831-195604_63,8Lok-njWU
tch_20210831-195604_64,DNuP-rTUr
tch_20210831-195604_65,6NQi-BP86
tch_20210831-195604_66,pvmF-WZDW
tch_20210831-195604_67,A678-7Tx2
tch_20210831-195604_68,ozZN-B9qW
tch_20210831-195604_69,7UgZ-s9C9
tch_20210831-195604_70,NQG8-P6qH
tch_20210831-195604_71,g6zg-JYs8
tch_20210831-195604_72,j73f-tnXi
tch_20210831-195604_73,j837-bVDy
tch_20210831-195604_74,7Zvo-j8k8
tch_20210831-195604_75,p34T-PmUZ
tch_20210831-195604_76,s3Lc-P62U
tch_20210831-195604_77,nz9m-KHvx
tch_20210831-195604_78,2tKL-cY37
tch_20210831-195604_79,VCt6-bh8i
tch_20210831-195604_80,P6Cb-83GE
tch_20210831-195604_81,4eva-EhbB
tch_20210831-195604_82,nQLZ-aoWM
tch_20210831-195604_83,BLds-jBKN
tch_20210831-195604_84,NRrM-942J
tch_20210831-195604_85,uWNR-zyCG
tch_20210831-195604_86,xYZi-J2tB
tch_20210831-195604_87,gAFR-iMNw
tch_20210831-195604_88,7eys-K23b
tch_20210831-195604_89,pQu2-Ab8d
tch_20210831-195604_90,JGmz-XLqA
tch_20210831-195604_91,93uG-YXvK
tch_20210831-195604_92,R2Vs-tm84
tch_20210831-195604_93,RYDw-3tz8
tch_20210831-195604_94,6A68-AW3T
tch_20210831-195604_95,knrb-d7Aj
tch_20210831-195604_96,94Qk-2B9y
tch_20210831-195604_97,ehx9-278J
tch_20210831-195604_98,Pk8f-B67f
tch_20210831-195604_99,vZBv-4Jcs
tch_20210831-195604_100,mGgF-wg2T
tch_20210831-220901_1,GuUg-UrtT
tch_20210831-220901_2,3Fu4-3ZH6
tch_20210831-220901_3,MPEY-2m4U
tch_20210831-220901_4,E9jE-8NAf
tch_20210831-220901_5,Ya3d-oX7L
tch_20210831-220901_6,2nFm-8Lkh
tch_20210831-220901_7,cU4C-kXMR
tch_20210831-220901_8,6nN3-ibm6
tch_20210831-220901_9,8G9n-TMts
tch_20210831-220901_10,8Uef-27kv
tch_20210831-220901_11,uyfY-RxLm
tch_20210831-220901_12,BcEp-X76H
tch_20210831-220901_13,ZBmM-A8BX
tch_20210831-220901_14,7jrf-VnPC
tch_20210831-220901_15,Wkty-34r6
tch_20210831-220901_16,6ZBb-4V8W
tch_20210831-220901_17,3ghE-D3mv
tch_20210831-220901_18,DRoB-xLsi
tch_20210831-220901_19,Y6Mo-Ze8s
tch_20210831-220901_20,3h4t-6tWH
tch_20210831-220901_21,RLps-VQGP
tch_20210831-220901_22,Qcn3-x8p3
tch_20210831-220901_23,C2MQ-Nipx
tch_20210831-220901_24,rBUM-gLt3
tch_20210831-220901_25,984j-w6Ba
tch_20210831-220901_26,W794-hmCd
tch_20210831-220901_27,w2s4-9fhx
tch_20210831-220901_28,wcbp-qXk8
tch_20210831-220901_29,Mag9-U3KE
tch_20210831-220901_30,2TBc-dE7L
tch_20210831-220901_31,3M62-Q42z
tch_20210831-220901_32,LW79-Y9AW
tch_20210831-220901_33,csca-yrBz
tch_20210831-220901_34,Amep-9xrM
tch_20210831-220901_35,BVLs-AKHM
tch_20210831-220901_36,9oXp-H3Bj
tch_20210831-220901_37,wufb-d2tN
tch_20210831-220901_38,dUB6-Xiv8
tch_20210831-220901_39,4i34-k73h
tch_20210831-220901_40,e9vn-cw6q
tch_20210831-220901_41,z3q3-U28d
tch_20210831-220901_42,8Kb2-JQ7V
tch_20210831-220901_43,LG2w-48Xs
tch_20210831-220901_44,HWwZ-Jdug
tch_20210831-220901_45,GzME-dWgA
tch_20210831-220901_46,Xxc3-6WB6
tch_20210831-220901_47,63Hd-K7Ys
tch_20210831-220901_48,4238-p7hV
tch_20210831-220901_49,MQf3-TJ6B
tch_20210831-220901_50,uQZd-9KG4
tch_20210831-220901_51,whvL-FV4y
tch_20210831-220901_52,87cZ-M2C3
tch_20210831-220901_53,mbcf-97vQ
tch_20210831-220901_54,ACLi-864a
tch_20210831-220901_55,Kxv2-o2M7
tch_20210831-220901_56,2pTm-qu3w
tch_20210831-220901_57,Nuft-Uj67
tch_20210831-220901_58,yK7a-dw3F
tch_20210831-220901_59,6KHN-sW4W
tch_20210831-220901_60,D73D-c89u
tch_20210831-220901_61,249h-ycKv
tch_20210831-220901_62,Y3y2-n2Gt
tch_20210831-220901_63,wE8U-eLPi
tch_20210831-220901_64,9ZF6-GwH3
tch_20210831-220901_65,VkyT-8hj9
tch_20210831-220901_66,7LN9-7Ytu
tch_20210831-220901_67,6Xmw-G3x4
tch_20210831-220901_68,Ku6z-dWQ8
tch_20210831-220901_69,4e9i-bUQ2
tch_20210831-220901_70,z2wD-cHit
tch_20210831-220901_71,jn2C-4RQi
tch_20210831-220901_72,V2Qa-42Y4
tch_20210831-220901_73,mdn9-LA2L
tch_20210831-220901_74,Kha4-y2Wa
tch_20210831-220901_75,67NB-3PWw
tch_20210831-220901_76,9EX8-pjnd
tch_20210831-220901_77,j9z9-DFYa
tch_20210831-220901_78,ki93-b7A8
tch_20210831-220901_79,WB83-U8od
tch_20210831-220901_80,u3sY-6u3s
tch_20210831-220901_81,u4FX-ZJ96
tch_20210831-220901_82,tBq7-cod7
tch_20210831-220901_83,Pp8X-gYH2
tch_20210831-220901_84,R7GR-Z9E4
tch_20210831-220901_85,C9he-Ao9x
tch_20210831-220901_86,8Uix-RtcJ
tch_20210831-220901_87,6T3v-dXR8
tch_20210831-220901_88,KqmM-29DN
tch_20210831-220901_89,XmVc-ntQR
tch_20210831-220901_90,F74i-FD28
tch_20210831-220901_91,n7hp-wf9c
tch_20210831-220901_92,28ZV-9B4A
tch_20210831-220901_93,9q3n-3p6K
tch_20210831-220901_94,c4RY-3GNn
tch_20210831-220901_95,iCAx-cB4Y
tch_20210831-220901_96,i2td-VXar
tch_20210831-220901_97,i6RM-9kuU
tch_20210831-220901_98,bZLn-osWc
tch_20210831-220901_99,F3dc-7XCd
tch_20210831-220901_100,4G7g-u6jN
