studentextuserid,groupids,tchextuserids
std_1592983634428_31,10796914-f3b9-44d8-8521-938bca397013,tch_20200624-122614_31
std_1592983664368_32,978feb16-5c92-425c-97d9-98af2fa91c1c,tch_20200624-122614_32
std_1592983705629_33,b8aa2265-cc8a-4aa8-ae35-97087e71135f,tch_20200624-122614_33
std_1592983745287_34,e52592c2-52c1-4547-bf3e-0f77027d06c5,tch_20200624-122614_34
std_1592983778529_36,a1beebbb-50fa-498e-8181-536ce119830f,tch_20200624-122614_36
std_1592983776880_35,eac28997-cb4e-406d-8477-05f1502bae01,tch_20200624-122614_35
std_1592983822837_37,60c48e35-8bd2-433e-9b30-3a2b24213185,tch_20200624-122614_37
std_1592983837204_38,9ece571d-0886-4988-968d-7269ec1df8ae,tch_20200624-122614_38
std_1592983899640_39,71eb4d09-38e0-4f01-a488-93f24a9459a4,tch_20200624-122614_39
std_1592983896251_40,872db178-0f54-46a2-852a-b37173049250,tch_20200624-122614_40
std_1592983952650_41,8aa29c13-8981-4551-83f5-f134078316ed,tch_20200624-122614_41
std_1592983984149_42,d467f4c7-0f4a-4b24-9d4e-bccbbe6823aa,tch_20200624-122614_42
std_1592984028529_45,d46564d3-97b6-42da-9679-9667fbc007fb,tch_20200624-122614_45
std_1592984027814_43,272d1205-89c0-4889-b6a0-32c7fbfd034e,tch_20200624-122614_43
std_1592984044953_44,69915598-fa74-47f1-a75e-24b50d0502b4,tch_20200624-122614_44
std_1592984117374_46,e0d45a5e-2b9e-4462-a64a-9a3d0702b071,tch_20200624-122614_46
std_1592984140485_47,edb130f9-e191-47c5-a32f-60546c8a2883,tch_20200624-122614_47
std_1592984142952_48,3a7fa6c0-961a-4b86-8fe7-4ea2b5186fa4,tch_20200624-122614_48
std_1592984169234_49,1480df74-bb29-41c1-b1bf-7e253b14db5c,tch_20200624-122614_49
std_1592984212537_50,502baf74-72ac-49e3-baf9-3a9ba8366c49,tch_20200624-122614_50
std_1592984250649_51,7e79e6d5-187a-43be-a6d3-da6b96a48a2e,tch_20200624-122614_51
std_1592984302809_53,aaba5b9d-d4ab-44ad-9f00-ba2486313879,tch_20200624-122614_53
std_1592984301620_52,f1f72c18-4f0e-4e79-aff8-51fcde6a9dac,tch_20200624-122614_52
std_1592984335670_54,7a0f42b2-7fb9-4c84-90f7-c1535bd6cc5a,tch_20200624-122614_54
std_1592984351430_55,1fd62413-841c-4c57-8a22-39fa116cab08,tch_20200624-122614_55
std_1592984374767_56,992bea5f-d3e0-4fd0-b879-c498e84ed147,tch_20200624-122614_56
std_1592984466606_58,653273d8-c1aa-419c-ab9c-c0ffa2444b01,tch_20200624-122614_58
std_1592984482052_59,de49469d-9bb4-4fde-9d6d-df63dd1008a8,tch_20200624-122614_59
std_1592984510026_60,bd2bf0ef-9ac1-4056-817d-eab3701b38f8,tch_20200624-122614_60
std_1592984570658_61,51d3137a-c6a5-4867-868e-34e597f680cb,tch_20200624-122614_61
std_1592984575384_62,4a97823c-d682-42c3-acb9-c71971d639e7,tch_20200624-122614_62
std_1592984611571_63,0ef1535b-9a78-4b6d-a631-43713e3985e6,tch_20200624-122614_63
std_1592984642292_64,5f3ba257-f5db-4f1b-b70a-7368cb70bf29,tch_20200624-122614_64
std_1592984661031_65,88cf2a38-dc83-49ec-8068-a6591a503d67,tch_20200624-122614_65
std_1592984696660_66,a98ba733-5eda-442b-aa19-586d6c6f4729,tch_20200624-122614_66
std_1592984721357_67,8260e20b-50a8-4ed7-87d8-77067bc49fc4,tch_20200624-122614_67
std_1592984750004_68,6876ef54-3f26-4bee-b2c2-640593b2dcba,tch_20200624-122614_68
std_1592984770404_69,6d9c7a36-f5ed-47be-bdad-5cdb32e443db,tch_20200624-122614_69
std_1592984801562_70,f616cb60-9091-4704-a7a6-0f013dbc8a21,tch_20200624-122614_70
std_1592984842793_71,24270b1a-e4ff-4102-a335-08d05aea674f,tch_20200624-122614_71
std_1592984892373_72,94c60e6d-7cf6-4ffd-9388-3d0dc60be9ca,tch_20200624-122614_72
std_1592984913014_73,60f74125-5c2a-49a4-9380-bbbc6e26e890,tch_20200624-122614_73
std_1592984933956_74,ec1e904d-bb23-4cc2-a326-50a5c18b93be,tch_20200624-122614_74
std_1592984946472_75,eaaf28f0-804d-4197-8fb5-1891cc66e917,tch_20200624-122614_75
std_1592984991402_76,9d98a53a-93cc-4e90-aaad-a63706b768b4,tch_20200624-122614_76
std_1592985024090_77,030b9cdb-169a-42f6-a3e1-1d5e14b65918,tch_20200624-122614_77
std_1592985053611_78,6143b93c-800e-4401-9e02-cb505be69bad,tch_20200624-122614_78
std_1592985092890_79,2048df28-f6c1-43c5-888f-3fd87d74a8ae,tch_20200624-122614_79
std_1592985102493_80,7ffe7f95-ee96-4d9a-9825-9d9bf66a98a3,tch_20200624-122614_80
std_1592985129718_81,27459850-5c7a-4f34-8436-39c7a1bad14b,tch_20200624-122614_81
std_1592985193869_82,38332ff7-7517-401e-b8e8-f31296ecb7f2,tch_20200624-122614_82
std_1592985197968_83,bef7458c-398b-4922-a21d-63425df3b59d,tch_20200624-122614_83
std_1592985223889_84,fe41e578-4ca1-421b-8ccd-2d9736a22ce7,tch_20200624-122614_84
std_1592985256326_85,ec2494dc-e5a7-4c47-8e92-96a5681aae52,tch_20200624-122614_85
std_1592985288626_86,57dc6adc-a852-4e3d-8871-4b4eb306802e,tch_20200624-122614_86
std_1592985330809_88,35b2f819-cc11-46f9-a7c0-c8399935b046,tch_20200624-122614_88
std_1592985336611_87,af1381b4-5d5c-4551-82c8-fe2415099122,tch_20200624-122614_87
std_1592985386959_89,493a24fc-f77f-4e2e-b411-5e9f95822c31,tch_20200624-122614_89
std_1592985412209_90,19205b4e-1e63-4c11-8b0f-5fa775271be1,tch_20200624-122614_90
std_1592985460807_91,cb6118cd-4c69-4113-a7d0-b4ca3ef6c1c4,tch_20200624-122614_91
std_1592985487371_92,ff78b7ac-879c-4211-927a-01137f503798,tch_20200624-122614_92
std_1592985528268_93,69b42ab0-f2ad-41cb-b690-95f1dffb5e40,tch_20200624-122614_93
std_1592985541624_94,1ca69e03-16d7-46e7-8635-1d5eb217fa38,tch_20200624-122614_94
std_1592985557927_95,a1efe8b2-fa92-4f38-a7b5-7c3788e8a90f,tch_20200624-122614_95
std_1592985604857_96,0a17c0f8-a932-46db-89b8-ab7097ef3739,tch_20200624-122614_96
std_1592985620724_97,6b521ba3-9283-4313-9463-8e85533dbd8d,tch_20200624-122614_97
std_1592985662571_98,84128847-2a9b-4084-b580-3c8f17d5d0fc,tch_20200624-122614_98
std_1592985677982_99,d1883d40-530a-4f5a-a5e7-2f672a700245,tch_20200624-122614_99
std_1592985690846_100,b618297c-7b3f-497c-b3cb-395cf0fc84e2,tch_20200624-122614_100
