tchextid,classcode
tch_20200713-160744_44,6Gwq-ZngK
tch_20200713-160744_45,TBoz-9wcP
tch_20200713-160744_46,2Q9J-Z84u
tch_20200713-160744_47,7fRc-9J3c
tch_20200713-160744_48,2qWH-7sta
tch_20200713-160744_49,YvUt-VcCe
tch_20200713-160744_50,2h49-pLgt
tch_20200713-160744_51,28Bz-CPT6
tch_20200713-160744_52,2zLJ-V8xh
tch_20200713-160744_53,tLXJ-uR8f
tch_20200713-160744_54,8H9p-sTX8
tch_20200713-160744_55,aKcA-DZtM
tch_20200713-160744_56,V36W-4kb9
tch_20200713-160744_57,L7mr-kvdV
tch_20200713-160744_58,CRcA-o2Xm
tch_20200713-160744_59,LKPn-mqBt
tch_20200713-160744_60,wpqD-sDLY
tch_20200713-160744_61,cF7q-3n7v
tch_20200713-160744_62,r2a6-WCGq
tch_20200713-160744_63,BmAa-9JBh
tch_20200713-160744_64,2jpM-36o9
tch_20200713-160744_65,dXqA-Vstd
tch_20200713-160744_66,msoL-NLET
tch_20200713-160744_67,H98X-yY8x
tch_20200713-160744_68,E2sh-A6VW
tch_20200713-160744_69,9dmb-2F3e
tch_20200713-160744_70,uv6v-9fne
tch_20200713-160744_71,e7s4-2TUt
tch_20200713-160744_72,2648-cXzN
tch_20200713-160744_73,fQjL-8KsL
tch_20200713-160744_74,R8Ft-6283
tch_20200713-160744_75,VCNJ-Bz2B
tch_20200713-160744_76,HvqC-dgyQ
tch_20200713-160744_77,vLJz-buNQ
tch_20200713-160744_78,7jA4-Q9L8
tch_20200713-160744_79,2Hzs-P2dN
tch_20200713-160744_80,c2o9-8xbZ
tch_20200713-160744_81,2u6u-YHX4
tch_20200713-160744_82,Bcp3-YJ4D
tch_20200713-160744_83,9uRq-f383
tch_20200713-160744_84,HY8W-gvat
tch_20200713-160744_85,P3CX-KrHN
tch_20200713-160744_86,UAzJ-Qs83
tch_20200713-160744_87,8R72-C3kY
tch_20200713-160744_88,BTFi-6bCL
tch_20200713-160744_89,c6RV-7EGu
tch_20200713-160744_90,EbUN-tm2A
tch_20200713-160744_91,DnW9-Dcjd
tch_20200713-160744_92,b39r-4c3P
tch_20200713-160744_93,xo8T-MrbM
tch_20200713-160744_94,b23z-R4MW
tch_20200713-160744_95,F7rt-6UWP
tch_20200713-160744_96,rjt3-7m7v
tch_20200713-160744_97,nZ2o-EPhd
tch_20200713-160744_98,8XJj-7ege
tch_20200713-160744_99,GAxb-9m2s
tch_20200713-160744_100,D2mb-jfRG
tch_20200715-172006_1,z4oL-ZVLi
tch_20200715-172006_2,6X9s-9dso
tch_20200715-172006_3,W7et-H4RG
tch_20200715-172006_4,HuP3-y7b4
tch_20200715-172006_5,7dUh-wDdz
tch_20200715-172006_6,zZsb-3DZ6
tch_20200715-172006_7,NzVm-wsHq
tch_20200715-172006_8,RduP-Rhbp
tch_20200715-172006_9,HZUW-z9Gh
tch_20200715-172006_10,2EUs-AB93
tch_20200715-172006_11,n9n8-7Jr7
tch_20200715-172006_12,qHC9-oB2F
tch_20200715-172006_13,3u7J-K8Q8
tch_20200715-172006_14,397y-cWb3
tch_20200715-172006_15,2sPs-K293
tch_20200715-172006_16,2JhZ-P8P4
tch_20200715-172006_17,ZDn7-n9xg
tch_20200715-172006_18,Fyw7-w6Uf
tch_20200715-172006_19,JF89-W8X6
tch_20200715-172006_20,4a3N-894f
tch_20200715-172006_21,Tydv-23V4
tch_20200715-172006_22,nTDM-UXrn
tch_20200715-172006_23,DCho-LMc7
tch_20200715-172006_24,GN7Y-Z7Uo
tch_20200715-172006_25,6s4U-p9p4
tch_20200715-172006_26,M9FZ-XAwD
tch_20200715-172006_27,B7KN-ih6t
tch_20200715-172006_28,ujRN-mb9U
tch_20200715-172006_29,4iCs-pB9A
tch_20200715-172006_30,LP3D-9tvP
tch_20200715-172006_31,xQ9P-9ND3
tch_20200715-172006_32,Nbd2-Xoa9
tch_20200715-172006_33,3Lh2-QLai
tch_20200715-172006_34,w4nm-7YnN
tch_20200715-172006_35,sXi7-LY93
tch_20200715-172006_36,43GN-EX8R
tch_20200715-172006_37,6ENB-8gZN
tch_20200715-172006_38,B829-kKnR
tch_20200715-172006_39,4Vr2-64nz
tch_20200715-172006_40,8Wnh-37uE
tch_20200715-172006_41,4suv-LXf3
tch_20200715-172006_42,6mEq-93zN
tch_20200715-172006_43,3pNk-Arcu
tch_20200715-172006_44,NpQ2-M6P9
tch_20200715-172006_45,mMeR-636A
tch_20200715-172006_46,2X2R-ikuz
tch_20200715-172006_47,3jix-6w67
tch_20200715-172006_48,CTqM-8bRz
tch_20200715-172006_49,E8Ef-bGpD
tch_20200715-172006_50,vraP-68Xo
tch_20200715-172006_51,6nBg-9k4V
tch_20200715-172006_52,JM92-u7QR
tch_20200715-172006_53,rwVo-76XH
tch_20200715-172006_54,6gZh-oAWy
tch_20200715-172006_55,Qq93-cY8N
tch_20200715-172006_56,bien-iN8H
tch_20200715-172006_57,9c6w-P3L7
tch_20200715-172006_58,p8Lt-473R
tch_20200715-172006_59,4i2e-h6N2
tch_20200715-172006_60,48oT-nGqp
tch_20200715-172006_61,7XAf-83Am
tch_20200715-172006_62,i6s9-pRtF
tch_20200715-172006_63,7my2-aHcj
tch_20200715-172006_64,9VUk-6n9p
tch_20200715-172006_65,dm4E-2xk7
tch_20200715-172006_66,W634-Rk3u
tch_20200715-172006_67,Hios-c9Af
tch_20200715-172006_68,k7Hx-ZqtJ
tch_20200715-172006_69,fXL6-yrpN
tch_20200715-172006_70,BGNY-3zj9
tch_20200715-172006_71,69G3-wBaj
tch_20200715-172006_72,4W9C-3zD6
tch_20200715-172006_73,XbXq-42EW
tch_20200715-172006_74,L234-y38x
tch_20200715-172006_75,392k-7us6
tch_20200715-172006_76,jRs2-A3mc
tch_20200715-172006_77,oUa9-yV78
tch_20200715-172006_78,sMGk-ZCV7
tch_20200715-172006_79,bGth-9Va7
tch_20200715-172006_80,Mag6-PjnN
tch_20200715-172006_81,YD8T-VNuY
tch_20200715-172006_82,9hso-iGc8
tch_20200715-172006_83,y43d-ogYM
tch_20200715-172006_84,XHiC-T2L7
tch_20200715-172006_85,n6hu-LMPx
tch_20200715-172006_86,KRQh-NQGi
tch_20200715-172006_87,MDhu-M72D
tch_20200715-172006_88,8Cob-6h8p
tch_20200715-172006_89,j9d9-4VFR
tch_20200715-172006_90,mUm2-aoqu
tch_20200715-172006_91,Cb46-7mc9
tch_20200715-172006_92,UPT4-rTCY
tch_20200715-172006_93,2jRX-vixu
tch_20200715-172006_94,J7C3-WedE
tch_20200715-172006_95,9FrN-T8En
tch_20200715-172006_96,Pmt9-C3Q9
tch_20200715-172006_97,VoGy-XcKP
tch_20200715-172006_98,iUd2-T4bP
tch_20200715-172006_99,4Ut3-62AL
tch_20200715-172006_100,GeGU-f8CB
tch_20200715-184352_1,7t6b-LAR8
tch_20200715-184352_2,8UnB-wjDB
tch_20200715-184352_3,tu7V-KpA6
tch_20200715-184352_4,VQnR-xtJg
tch_20200715-184352_5,rfb3-2R7r
tch_20200715-184352_6,UZk6-VpQj
tch_20200715-184352_7,TMb3-62mk
tch_20200715-184352_8,vE92-W69Q
tch_20200715-184352_9,HbrU-498d
tch_20200715-184352_10,v7ks-zAN7
tch_20200715-184352_11,C4Ky-ixQ6
tch_20200715-184352_12,4BCc-NP84
tch_20200715-184352_13,mv8M-wDM7
tch_20200715-184352_14,p3mo-ao6B
tch_20200715-184352_15,hjXR-xtC3
tch_20200715-184352_16,6Q9n-Tpm6
tch_20200715-184352_17,Yh3W-Ra43
tch_20200715-184352_18,RsRE-6m6V
tch_20200715-184352_19,naph-p9rT
tch_20200715-184352_20,6hLq-GZB8
tch_20200715-184352_21,BEwJ-oYgA
tch_20200715-184352_22,WVhD-AmgN
tch_20200715-184352_23,2Cex-ki6k
tch_20200715-184352_24,h3ah-rqKp
tch_20200715-184352_25,z4Dk-7RFc
tch_20200715-184352_26,3fdt-rbhd
tch_20200715-184352_27,aP4H-uxKa
tch_20200715-184352_28,F6zL-Up9f
tch_20200715-184352_29,3FaT-FmFd
tch_20200715-184352_30,t2wA-4XY2
tch_20200715-184352_31,k2oE-fx3f
tch_20200715-184352_32,p4j6-dy6p
tch_20200715-184352_33,CFGh-pezE
tch_20200715-184352_34,ykgW-9fRk
tch_20200715-184352_35,nhB7-T7Vn
tch_20200715-184352_36,E8xF-rMqh
tch_20200715-184352_37,YXBT-zVui
tch_20200715-184352_38,37gG-o8Nw
tch_20200715-184352_39,Wn93-DU9M
tch_20200715-184352_40,Q3ck-pVJG
tch_20200715-184352_41,Thw9-m2P2
tch_20200715-184352_42,kxT7-xhaU
tch_20200715-184352_43,L9u2-4FPU
tch_20200715-184352_44,aLRz-RL6Y
tch_20200715-184352_45,bveA-gah6
tch_20200715-184352_46,2jXN-fKca
tch_20200715-184352_47,i4YL-8wY9
tch_20200715-184352_48,6Z2X-2jg4
tch_20200715-184352_49,ugfQ-JmhG
tch_20200715-184352_50,4EbZ-Nw97
tch_20200715-184352_51,EoL3-g4ah
tch_20200715-184352_52,n9Em-ubRF
tch_20200715-184352_53,3q2u-P3sw
tch_20200715-184352_54,8YW2-Q6od
tch_20200715-184352_55,fkN2-owz4
tch_20200715-184352_56,72cW-Jbi2
tch_20200715-184352_57,ngHK-89rQ
tch_20200715-184352_58,Z6G6-e6e2
tch_20200715-184352_59,aXiu-vu34
tch_20200715-184352_60,86ri-mpW9
tch_20200715-184352_61,aB3w-DwcQ
tch_20200715-184352_62,tf97-8gHa
tch_20200715-184352_63,w3kg-4eiG
tch_20200715-184352_64,47y3-pQxA
tch_20200715-184352_65,TjdT-QYCz
tch_20200715-184352_66,xka3-VbT8
tch_20200715-184352_67,iVxn-Zt4x
tch_20200715-184352_68,F24H-X6Cu
tch_20200715-184352_69,Kbg4-2NFN
tch_20200715-184352_70,YFvP-98t2
tch_20200715-184352_71,dCu3-WMFu
tch_20200715-184352_72,V93s-pYvF
tch_20200715-184352_73,7PYN-cmaT
tch_20200715-184352_74,Rz2a-yTwh
tch_20200715-184352_75,H3Hm-Zq42
tch_20200715-184352_76,NcW4-J3VT
tch_20200715-184352_77,Jgib-G7BN
tch_20200715-184352_78,aB2G-cTNk
tch_20200715-184352_79,KCAU-DMEj
tch_20200715-184352_80,B9aE-6M8R
tch_20200715-184352_81,a4NA-23U7
tch_20200715-184352_82,2sG2-PuRs
tch_20200715-184352_83,947Y-W4uD
tch_20200715-184352_84,jTo3-6bfR
tch_20200715-184352_85,V9sr-UmE6
tch_20200715-184352_86,Ju4Z-9P86
tch_20200715-184352_87,Rhp9-D7Yc
tch_20200715-184352_88,s7ku-VJ98
tch_20200715-184352_89,4fQB-t2mz
tch_20200715-184352_90,wd27-k68p
tch_20200715-184352_91,VB8h-tAoJ
tch_20200715-184352_92,DNVz-iXBc
tch_20200715-184352_93,FpnG-hNsa
tch_20200715-184352_94,2j7A-TjyZ
tch_20200715-184352_95,Ens8-gNGX
tch_20200715-184352_96,f8zd-8Mh4
tch_20200715-184352_97,Haci-b28b
tch_20200715-184352_98,p2A7-Y4TM
tch_20200715-184352_99,nANU-wW7V
tch_20200715-184352_100,KuLv-zn3a
