class Code,category
gpwM-78uA,StdCat5_M
ovrY-csa3,StdCat5_H1
Xj4Z-3987,StdCat5_H2
Q6cp-f2A8,StdCat5_M
2XH7-Q6AC,StdCat5_H1
orf7-W7ri,StdCat5_H2
Mqw9-gENB,StdCat5_H1
z28R-AWD7,StdCat5_H1
eEat-qo9z,StdCat5_H2
XVFk-rNzf,StdCat5_H2
Dz4b-4MCE,StdCat5_H1
4cmi-2a79,StdCat5_H1
sH6X-szEg,StdCat5_H2
34ye-RB9s,StdCat5_H1
RQ6G-jn23,StdCat5_H2
3C4u-Hecp,StdCat5_H2
sGQy-UhC8,StdCat5_H2
G9Ax-RPGz,StdCat5_H2
wxhZ-joxa,StdCat5_H2
ZJjr-UXcn,StdCat5_H2
xfwg-R3y2,StdCat5_H2
