teacher,classtitle,classcode
perf_prod_teacher_114315_422,perf_class_114315_422,R8H3-78Hh
perf_prod_teacher_114315_423,perf_class_114315_423,MKG3-YG6C
perf_prod_teacher_114315_424,perf_class_114315_424,h7PH-e7f8
perf_prod_teacher_114315_427,perf_class_114315_427,hUfb-e3fN
perf_prod_teacher_114315_425,perf_class_114315_425,YF4a-bcU4
perf_prod_teacher_114315_426,perf_class_114315_426,L24T-28D7
perf_prod_teacher_114315_428,perf_class_114315_428,9B9b-h9Mj
perf_prod_teacher_114315_430,perf_class_114315_430,jd7P-UA4b
perf_prod_teacher_114315_429,perf_class_114315_429,T2Z9-bgif
perf_prod_teacher_114315_431,perf_class_114315_431,973e-bTcg
perf_prod_teacher_114315_432,perf_class_114315_432,34hT-d6jd
perf_prod_teacher_114315_433,perf_class_114315_433,ch89-hE9g
perf_prod_teacher_114315_435,perf_class_114315_435,a2hN-AKUL
perf_prod_teacher_114315_434,perf_class_114315_434,b7de-bKg8
perf_prod_teacher_114315_436,perf_class_114315_436,heXg-ea9E
perf_prod_teacher_114315_438,perf_class_114315_438,d4U8-dhNi
perf_prod_teacher_114315_437,perf_class_114315_437,QjXe-Hbef
perf_prod_teacher_114315_439,perf_class_114315_439,ihfZ-fF4a
perf_prod_teacher_114315_441,perf_class_114315_441,dUhV-f3PM
perf_prod_teacher_114315_440,perf_class_114315_440,b2Ea-Ef62
perf_prod_teacher_114315_442,perf_class_114315_442,4baF-iRj2
perf_prod_teacher_114315_443,perf_class_114315_443,73i9-2eg4
perf_prod_teacher_114315_444,perf_class_114315_444,4jXE-aNPi
perf_prod_teacher_114315_445,perf_class_114315_445,6HJ4-Uc8h
perf_prod_teacher_114315_447,perf_class_114315_447,642M-C4h9
perf_prod_teacher_114315_446,perf_class_114315_446,9g7c-43KC
perf_prod_teacher_114315_448,perf_class_114315_448,8E3f-ba7c
perf_prod_teacher_114315_451,perf_class_114315_451,3fJN-2QPi
perf_prod_teacher_114315_449,perf_class_114315_449,NQ4G-4f2b
perf_prod_teacher_114315_450,perf_class_114315_450,e3hN-AK6J
perf_prod_teacher_114315_452,perf_class_114315_452,FfgC-c6eL
perf_prod_teacher_114315_454,perf_class_114315_454,MF84-dTe4
perf_prod_teacher_114315_453,perf_class_114315_453,gjW6-QdaY
perf_prod_teacher_114315_456,perf_class_114315_456,eiJ4-bQ3a
perf_prod_teacher_114315_457,perf_class_114315_457,BJf6-C8f9
perf_prod_teacher_114315_455,perf_class_114315_455,7UPd-3B7F
perf_prod_teacher_114315_458,perf_class_114315_458,62g3-2BiA
perf_prod_teacher_114315_459,perf_class_114315_459,d7dZ-idR6
perf_prod_teacher_114315_461,perf_class_114315_461,4gEh-a3gA
perf_prod_teacher_114315_460,perf_class_114315_460,gZYi-UiDg
perf_prod_teacher_114315_462,perf_class_114315_462,Na27-E6Ae
perf_prod_teacher_114315_463,perf_class_114315_463,Zg7b-TbVL
perf_prod_teacher_114315_465,perf_class_114315_465,hELi-Y8e8
perf_prod_teacher_114315_464,perf_class_114315_464,P9H7-9fAe
perf_prod_teacher_114315_466,perf_class_114315_466,echQ-7e3C
perf_prod_teacher_114315_468,perf_class_114315_468,2V32-gfT8
perf_prod_teacher_114315_467,perf_class_114315_467,4hi4-hWF9
perf_prod_teacher_114315_470,perf_class_114315_470,bY62-igdY
perf_prod_teacher_114315_469,perf_class_114315_469,dJj2-aRgN
perf_prod_teacher_114315_472,perf_class_114315_472,34Ed-62h3
perf_prod_teacher_114315_471,perf_class_114315_471,48VA-MiEg
perf_prod_teacher_114315_473,perf_class_114315_473,daMh-FEg6
perf_prod_teacher_114315_474,perf_class_114315_474,W3dJ-ji62
perf_prod_teacher_114315_475,perf_class_114315_475,Vfgh-6aeh
perf_prod_teacher_114315_476,perf_class_114315_476,9fcR-a7bK
perf_prod_teacher_114315_477,perf_class_114315_477,638Q-hJhj
perf_prod_teacher_114315_479,perf_class_114315_479,QPBd-47aH
perf_prod_teacher_114315_478,perf_class_114315_478,3dHa-8dZi
perf_prod_teacher_114315_480,perf_class_114315_480,4faA-RPdU
perf_prod_teacher_114315_481,perf_class_114315_481,g7C8-JMgf
perf_prod_teacher_114315_482,perf_class_114315_482,e89c-G2RZ
perf_prod_teacher_114315_484,perf_class_114315_484,8Ha2-4Y8a
perf_prod_teacher_114315_483,perf_class_114315_483,LdPB-he9E
perf_prod_teacher_114315_485,perf_class_114315_485,4MH3-2c7Q
perf_prod_teacher_114315_487,perf_class_114315_487,cde6-jfjY
perf_prod_teacher_114315_486,perf_class_114315_486,cN3d-4e4R
perf_prod_teacher_114315_488,perf_class_114315_488,e8if-i86i
perf_prod_teacher_114315_489,perf_class_114315_489,eiGf-Vbfj
perf_prod_teacher_114315_490,perf_class_114315_490,7bN4-h4dN
perf_prod_teacher_114315_491,perf_class_114315_491,Mabg-efBJ
perf_prod_teacher_114315_493,perf_class_114315_493,349K-2i7b
perf_prod_teacher_114315_492,perf_class_114315_492,28b9-b4QY
perf_prod_teacher_114315_494,perf_class_114315_494,dhbH-d4W9
perf_prod_teacher_114315_495,perf_class_114315_495,aK7N-M93Q
perf_prod_teacher_114315_497,perf_class_114315_497,jMUV-283T
perf_prod_teacher_114315_496,perf_class_114315_496,ehdc-YAFR
perf_prod_teacher_114315_498,perf_class_114315_498,6EH3-hej4
perf_prod_teacher_114315_499,perf_class_114315_499,fZdX-fD3i
perf_prod_teacher_114315_500,perf_class_114315_500,FVDc-a2eB
perf_prod_teacher_114315_501,perf_class_114315_501,c3AU-LRa4
perf_prod_teacher_114315_503,perf_class_114315_503,ahgc-W6iF
perf_prod_teacher_114315_502,perf_class_114315_502,g86g-fh4R
perf_prod_teacher_114315_506,perf_class_114315_506,iCid-TNMi
perf_prod_teacher_114315_505,perf_class_114315_505,36A8-j86A
perf_prod_teacher_114315_504,perf_class_114315_504,Fi6c-eJ2a
perf_prod_teacher_114315_508,perf_class_114315_508,3U9T-3Z8H
perf_prod_teacher_114315_507,perf_class_114315_507,2R78-jECb
perf_prod_teacher_114315_509,perf_class_114315_509,c9b4-8iUE
perf_prod_teacher_114315_510,perf_class_114315_510,hM4b-hZ9c
perf_prod_teacher_114315_511,perf_class_114315_511,efZ6-fa7M
perf_prod_teacher_114315_512,perf_class_114315_512,FA3C-Rc6e
perf_prod_teacher_114315_513,perf_class_114315_513,TNG8-3JYR
perf_prod_teacher_114315_514,perf_class_114315_514,Ze3a-bch2
perf_prod_teacher_114315_515,perf_class_114315_515,hgP8-48iW
perf_prod_teacher_114315_516,perf_class_114315_516,J394-g6ag
perf_prod_teacher_114315_517,perf_class_114315_517,98di-3B4j
perf_prod_teacher_114315_518,perf_class_114315_518,Dd67-4D4e
perf_prod_teacher_114315_519,perf_class_114315_519,aXAU-bB86
perf_prod_teacher_114315_520,perf_class_114315_520,biNj-Uace
perf_prod_teacher_114315_522,perf_class_114315_522,MK4j-7djf
perf_prod_teacher_114315_521,perf_class_114315_521,2gBe-NP2j
perf_prod_teacher_114315_525,perf_class_114315_525,A4C2-HCid
perf_prod_teacher_114315_524,perf_class_114315_524,c9bj-VajL
perf_prod_teacher_114315_523,perf_class_114315_523,8Tb4-j3d6
perf_prod_teacher_114315_528,perf_class_114315_528,i6je-9N6f
perf_prod_teacher_114315_526,perf_class_114315_526,Zj24-jER2
perf_prod_teacher_114315_527,perf_class_114315_527,7eVF-iFaH
perf_prod_teacher_114315_529,perf_class_114315_529,9J72-YGhM
perf_prod_teacher_114315_530,perf_class_114315_530,T2Z9-j76M
perf_prod_teacher_114315_531,perf_class_114315_531,iHdc-8MiW
perf_prod_teacher_114315_533,perf_class_114315_533,476T-ajh8
perf_prod_teacher_114315_534,perf_class_114315_534,3Ag6-L4JU
perf_prod_teacher_114315_532,perf_class_114315_532,D4Ka-chRe
perf_prod_teacher_114315_535,perf_class_114315_535,2fCT-jWfH
perf_prod_teacher_114315_538,perf_class_114315_538,EPYc-RAjf
perf_prod_teacher_114315_536,perf_class_114315_536,8ZcP-9a7d
perf_prod_teacher_114315_539,perf_class_114315_539,EL49-2i8i
perf_prod_teacher_114315_537,perf_class_114315_537,ibfX-jGaW
perf_prod_teacher_114315_540,perf_class_114315_540,V8e6-QgDd
perf_prod_teacher_114315_541,perf_class_114315_541,3bg7-Aibc
perf_prod_teacher_114315_542,perf_class_114315_542,34Cg-JXce
perf_prod_teacher_114315_543,perf_class_114315_543,Wicd-7Xde
perf_prod_teacher_114315_544,perf_class_114315_544,HRFD-hAiY
perf_prod_teacher_114315_545,perf_class_114315_545,9GQN-dGFE
perf_prod_teacher_114315_547,perf_class_114315_547,MC9P-9fN7
perf_prod_teacher_114315_546,perf_class_114315_546,8aHa-QjH8
perf_prod_teacher_114315_548,perf_class_114315_548,2iLc-if7W
perf_prod_teacher_114315_549,perf_class_114315_549,GEh7-b9VQ
perf_prod_teacher_114315_550,perf_class_114315_550,UhUj-VZed
perf_prod_teacher_114315_552,perf_class_114315_552,9cZY-iT73
perf_prod_teacher_114315_553,perf_class_114315_553,a8h3-fjAj
perf_prod_teacher_114315_551,perf_class_114315_551,ajah-9Dje
perf_prod_teacher_114315_554,perf_class_114315_554,bfXh-aN7N
perf_prod_teacher_114315_555,perf_class_114315_555,C8aT-Pabe
perf_prod_teacher_114315_557,perf_class_114315_557,9eb2-TX69
perf_prod_teacher_114315_556,perf_class_114315_556,j6H9-Bd4f
perf_prod_teacher_114315_558,perf_class_114315_558,6Q8f-c8J8
perf_prod_teacher_114315_559,perf_class_114315_559,H2gi-hfUB
perf_prod_teacher_114315_560,perf_class_114315_560,idcj-efTE
perf_prod_teacher_114315_562,perf_class_114315_562,DCR7-cF4C
perf_prod_teacher_114315_563,perf_class_114315_563,6b67-jLe3
perf_prod_teacher_114315_561,perf_class_114315_561,jWQd-7i6h
perf_prod_teacher_114315_564,perf_class_114315_564,3Kd3-L29F
perf_prod_teacher_114315_565,perf_class_114315_565,bad9-fJhg
perf_prod_teacher_114315_566,perf_class_114315_566,CdiA-fAKj
perf_prod_teacher_114315_567,perf_class_114315_567,AbZi-fPjY
perf_prod_teacher_114315_568,perf_class_114315_568,cCNi-6Ufc
perf_prod_teacher_114315_570,perf_class_114315_570,Wfa2-T9i6
perf_prod_teacher_114315_569,perf_class_114315_569,bLGR-fab9
perf_prod_teacher_114315_572,perf_class_114315_572,e8B2-L94b
perf_prod_teacher_114315_571,perf_class_114315_571,8QEJ-agJ7
perf_prod_teacher_114315_574,perf_class_114315_574,KHcQ-3Ci8
perf_prod_teacher_114315_573,perf_class_114315_573,g3h4-haPG
perf_prod_teacher_114315_575,perf_class_114315_575,fbgc-9WT2
perf_prod_teacher_114315_577,perf_class_114315_577,G7G8-b69K
perf_prod_teacher_114315_576,perf_class_114315_576,jDQV-CgdW
perf_prod_teacher_114315_579,perf_class_114315_579,gXC8-fcTg
perf_prod_teacher_114315_578,perf_class_114315_578,b3Jj-D48C
perf_prod_teacher_114315_580,perf_class_114315_580,eKic-bibV
perf_prod_teacher_114315_581,perf_class_114315_581,4Xhc-6jBU
perf_prod_teacher_114315_582,perf_class_114315_582,b4La-bgEh
perf_prod_teacher_114315_584,perf_class_114315_584,NfL3-Y39j
perf_prod_teacher_114315_583,perf_class_114315_583,3JQf-Ki2T
perf_prod_teacher_114315_585,perf_class_114315_585,XY7A-P2Xi
perf_prod_teacher_114315_586,perf_class_114315_586,c9Ke-V2i4
perf_prod_teacher_114315_587,perf_class_114315_587,j3bi-jCWM
perf_prod_teacher_114315_589,perf_class_114315_589,76H3-JQUd
perf_prod_teacher_114315_588,perf_class_114315_588,hBgh-eM9D
perf_prod_teacher_114315_590,perf_class_114315_590,Ha4C-dfLQ
perf_prod_teacher_114315_591,perf_class_114315_591,KWC4-9c8P
perf_prod_teacher_114315_594,perf_class_114315_594,UiTE-Ggfg
perf_prod_teacher_114315_592,perf_class_114315_592,h3ja-9AW4
perf_prod_teacher_114315_593,perf_class_114315_593,hFge-6gA2
perf_prod_teacher_114315_595,perf_class_114315_595,XbaV-F8E9
perf_prod_teacher_114315_596,perf_class_114315_596,iZij-8fEB
perf_prod_teacher_114315_597,perf_class_114315_597,VchT-3e7G
perf_prod_teacher_114315_598,perf_class_114315_598,297Z-84Ca
perf_prod_teacher_114315_599,perf_class_114315_599,c8Rd-TNc2
perf_prod_teacher_114315_600,perf_class_114315_600,a4dg-i28d
perf_prod_teacher_133749_240,perf_class_133749_240,D3Xf-GRfP
perf_prod_teacher_133749_242,perf_class_133749_242,Kg98-78Lh
perf_prod_teacher_133749_243,perf_class_133749_243,i4eR-ZghH
perf_prod_teacher_133749_244,perf_class_133749_244,AQhU-TWgB
perf_prod_teacher_133749_245,perf_class_133749_245,Dg9H-34bi
perf_prod_teacher_133749_246,perf_class_133749_246,iafh-A43W
perf_prod_teacher_133749_247,perf_class_133749_247,Wic9-e6d3
perf_prod_teacher_133749_248,perf_class_133749_248,Bd7Q-E4ca
perf_prod_teacher_133749_249,perf_class_133749_249,g9a2-4G2b
perf_prod_teacher_133749_250,perf_class_133749_250,3b3c-h8e8
perf_prod_teacher_133749_251,perf_class_133749_251,aeid-L8Ga
perf_prod_teacher_133749_252,perf_class_133749_252,F843-GbHR
perf_prod_teacher_133749_253,perf_class_133749_253,HhYh-if8g
perf_prod_teacher_133749_254,perf_class_133749_254,6Nj3-eJ72
perf_prod_teacher_133749_255,perf_class_133749_255,4LNc-ad7a
perf_prod_teacher_133749_256,perf_class_133749_256,2Xfg-Db7b
perf_prod_teacher_133749_259,perf_class_133749_259,cgAV-e739
perf_prod_teacher_133749_257,perf_class_133749_257,6KdN-8ig2
perf_prod_teacher_133749_258,perf_class_133749_258,Z3KW-jV2E
perf_prod_teacher_133749_260,perf_class_133749_260,8f9j-2427
perf_prod_teacher_133749_261,perf_class_133749_261,Yb3b-Ld68
perf_prod_teacher_133749_263,perf_class_133749_263,76eZ-4XBi
perf_prod_teacher_133749_262,perf_class_133749_262,9cjh-N4j2
perf_prod_teacher_133749_264,perf_class_133749_264,cH2T-VR2J
perf_prod_teacher_133749_265,perf_class_133749_265,cZPf-Ve3g
perf_prod_teacher_133749_266,perf_class_133749_266,8Rg9-6WQ3
perf_prod_teacher_133749_267,perf_class_133749_267,i6VL-Y8W6
perf_prod_teacher_133749_268,perf_class_133749_268,daMc-4geh
perf_prod_teacher_133749_269,perf_class_133749_269,Ke48-WhBc
perf_prod_teacher_133749_270,perf_class_133749_270,KfHg-2dT8
perf_prod_teacher_133749_271,perf_class_133749_271,EjHg-6hjQ
perf_prod_teacher_133749_272,perf_class_133749_272,Ddcg-fgah
perf_prod_teacher_133749_273,perf_class_133749_273,JZga-2NZV
perf_prod_teacher_133749_274,perf_class_133749_274,39VK-9ebh
perf_prod_teacher_133749_275,perf_class_133749_275,ei7e-i96h
perf_prod_teacher_133749_276,perf_class_133749_276,X3ZF-8ec3
perf_prod_teacher_133749_278,perf_class_133749_278,Q7Jc-43bg
perf_prod_teacher_133749_277,perf_class_133749_277,cjHa-Gadi
perf_prod_teacher_133749_279,perf_class_133749_279,3fdM-9hdZ
perf_prod_teacher_133749_280,perf_class_133749_280,X2L4-MJcf
perf_prod_teacher_133749_282,perf_class_133749_282,Yia4-W6RQ
perf_prod_teacher_133749_281,perf_class_133749_281,gTdY-dLbj
perf_prod_teacher_133749_283,perf_class_133749_283,fj89-b3dh
perf_prod_teacher_133749_284,perf_class_133749_284,P2Wj-3jdj
perf_prod_teacher_133749_286,perf_class_133749_286,7gE8-cjgR
perf_prod_teacher_133749_285,perf_class_133749_285,dD3f-MTgY
perf_prod_teacher_133749_287,perf_class_133749_287,d9c9-ej8g
perf_prod_teacher_133749_288,perf_class_133749_288,6dBQ-23EW
perf_prod_teacher_133749_289,perf_class_133749_289,j2jP-b6i8
perf_prod_teacher_133749_290,perf_class_133749_290,63HR-f3Gd
perf_prod_teacher_133749_291,perf_class_133749_291,g2Mf-4jBW
perf_prod_teacher_133749_292,perf_class_133749_292,M8Na-3gT8
perf_prod_teacher_133749_293,perf_class_133749_293,2ijX-i2cj
perf_prod_teacher_133749_294,perf_class_133749_294,7jbh-3a4i
perf_prod_teacher_133749_295,perf_class_133749_295,M3d9-aZ3Q
perf_prod_teacher_133749_296,perf_class_133749_296,V6a8-ed79
perf_prod_teacher_133749_297,perf_class_133749_297,6fQ9-KHXC
perf_prod_teacher_133749_300,perf_class_133749_300,c8Rj-Fd98
perf_prod_teacher_133749_298,perf_class_133749_298,D8W4-d9Re
perf_prod_teacher_133749_299,perf_class_133749_299,Ygbd-4ZAi
perf_prod_teacher_133749_301,perf_class_133749_301,aWVi-8h2f
perf_prod_teacher_133749_302,perf_class_133749_302,da8L-VJdZ
perf_prod_teacher_133749_304,perf_class_133749_304,Y2Xi-2f3H
perf_prod_teacher_133749_303,perf_class_133749_303,Pi9A-PWZR
perf_prod_teacher_133749_305,perf_class_133749_305,APbd-ETi3
perf_prod_teacher_133749_307,perf_class_133749_307,Fj2E-bDd3
perf_prod_teacher_133749_306,perf_class_133749_306,VXce-b9b2
perf_prod_teacher_133749_308,perf_class_133749_308,b768-AfeQ
perf_prod_teacher_133749_309,perf_class_133749_309,a6df-b6WA
perf_prod_teacher_133749_310,perf_class_133749_310,ah2c-6Khi
perf_prod_teacher_133749_311,perf_class_133749_311,Zbi3-g48Y
perf_prod_teacher_133749_312,perf_class_133749_312,Y48c-Nbce
perf_prod_teacher_133749_313,perf_class_133749_313,cgRN-aTVd
perf_prod_teacher_133749_316,perf_class_133749_316,XZBP-UAh8
perf_prod_teacher_133749_314,perf_class_133749_314,eTf8-e32U
perf_prod_teacher_133749_315,perf_class_133749_315,J3H7-K76N
perf_prod_teacher_133749_318,perf_class_133749_318,6b3A-eiVY
perf_prod_teacher_133749_317,perf_class_133749_317,g2ej-Nbde
perf_prod_teacher_133749_319,perf_class_133749_319,gj8d-67g4
perf_prod_teacher_133749_320,perf_class_133749_320,3BHe-fGcf
perf_prod_teacher_133749_321,perf_class_133749_321,LWNF-eg3W
perf_prod_teacher_133749_322,perf_class_133749_322,fcfN-i3M3
perf_prod_teacher_133749_323,perf_class_133749_323,FjbG-ZiGE
perf_prod_teacher_133749_325,perf_class_133749_325,gJiK-B9Bc
perf_prod_teacher_133749_324,perf_class_133749_324,B8e9-C3gK
perf_prod_teacher_133749_326,perf_class_133749_326,bjag-TgFX
perf_prod_teacher_133749_328,perf_class_133749_328,iQfV-784C
perf_prod_teacher_133749_327,perf_class_133749_327,8Kf3-8bE7
perf_prod_teacher_133749_330,perf_class_133749_330,de8h-c3Y3
perf_prod_teacher_133749_329,perf_class_133749_329,2e7K-98cF
perf_prod_teacher_133749_331,perf_class_133749_331,b7bW-c8QA
perf_prod_teacher_133749_332,perf_class_133749_332,gPdg-4a4X
perf_prod_teacher_133749_334,perf_class_133749_334,9e3N-3Vc4
perf_prod_teacher_133749_333,perf_class_133749_333,6JYM-gadQ
perf_prod_teacher_133749_335,perf_class_133749_335,ZfJj-J76j
perf_prod_teacher_133749_336,perf_class_133749_336,h3ic-TH7c
perf_prod_teacher_133749_337,perf_class_133749_337,U86B-YeD2
perf_prod_teacher_133749_338,perf_class_133749_338,M3gi-jijZ
perf_prod_teacher_133749_340,perf_class_133749_340,dC4M-ed2g
perf_prod_teacher_133749_339,perf_class_133749_339,agd3-bacY
perf_prod_teacher_133749_341,perf_class_133749_341,87Ff-N9VL
