orgid,category,noOfAssignmentsInClass,Count of 20LOs Assignment,Count of 30LOs Assignment,Count of 50LOs Assignment,noOfStudentsInClass,noOfLockRulesInClass,50LOsLockRuleCount,100LOsLockRuleCount,150LOsLockRuleCount,customGradingCount
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L2,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L3,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L7,20,18,1,1,20,25,20,3,2,5
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L8,30,28,1,1,30,15,15,0,0,10
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,L9,30,28,1,1,40,15,15,0,0,5
perf-test17-alpha,M1,10,6,2,2,50,25,5,20,0,5
perf-test17-alpha,M1,10,6,2,2,50,25,5,20,0,5
perf-test17-alpha,M1,10,6,2,2,50,25,5,20,0,5
perf-test17-alpha,M1,10,6,2,2,50,25,5,20,0,5
perf-test17-alpha,M1,10,6,2,2,50,25,5,20,0,5
perf-test17-alpha,M1,10,6,2,2,50,25,5,20,0,5
perf-test17-alpha,M1,10,6,2,2,50,25,5,20,0,5
perf-test17-alpha,M1,10,6,2,2,50,25,5,20,0,5
perf-test17-alpha,M1,10,6,2,2,50,25,5,20,0,5
perf-test17-alpha,M1,10,6,2,2,50,25,5,20,0,5
perf-test17-alpha,M1,10,6,2,2,50,25,5,20,0,5
perf-test17-alpha,M1,10,6,2,2,50,25,5,20,0,5
perf-test17-alpha,M1,10,6,2,2,50,25,5,20,0,5
perf-test17-alpha,M1,10,6,2,2,50,25,5,20,0,5
perf-test17-alpha,M1,10,6,2,2,50,25,5,20,0,5
perf-test17-alpha,M1,10,6,2,2,50,25,5,20,0,5
