stdextid,grpid,tchextid
std_1601297175035_16,ebc51941-e8dc-4983-bbda-96d11b4dfda6,tch_20200928-180823_16
std_1601297099177_15,a3924de0-ab16-4d5d-8512-cf354178420e,tch_20200928-180823_15
std_1601297195142_17,50552493-27ae-4c97-8e41-27eaa32f0261,tch_20200928-180823_17
std_1601297346801_19,7a541561-5fca-4bd3-97f4-5fe38b34184a,tch_20200928-180823_19
std_1601297271661_18,a3f778f8-29a0-43f9-8fef-cad09293a0b6,tch_20200928-180823_18
std_1601297126667_16,9db5f185-4e57-4486-be29-f1f9bd6932f7,tch_20200928-180823_16
std_1601297147910_17,753bf590-e693-4dfc-8af7-87a4f0b0a845,tch_20200928-180823_17
std_1601297223925_18,1d95f52d-e578-406a-a2e3-c9b267d6c3e1,tch_20200928-180823_18
std_1601297295351_19,ad76bfd1-1a83-4275-9e78-8077cbfd7b0a,tch_20200928-180823_19
std_1601297373785_20,d315ad6c-8400-4875-abca-cec5c2d7a3d1,tch_20200928-180823_20
std_1601297245940_19,2880352a-d222-4873-81a1-5329cc96ce31,tch_20200928-180823_19
std_1601297175950_18,80cd3948-575c-48ca-81ab-b42851b22af7,tch_20200928-180823_18
std_1601297399044_21,de9d2d18-ac4f-45cf-ae22-7b444606abd3,tch_20200928-180823_21
std_1601297322245_20,10552ea9-a52c-489d-a254-65d6fd327572,tch_20200928-180823_20
std_1601297425101_22,780c47ea-2db0-4d72-b57b-bacfebe902ae,tch_20200928-180823_22
std_1601297196494_19,91e4bfb2-6259-4aba-b525-41e05431d5c7,tch_20200928-180823_19
std_1601297349174_21,1960a3db-298a-49bc-b38b-6c3908009c37,tch_20200928-180823_21
std_1601297276731_20,f11c8a1a-2dd4-499b-acf4-f969c33434b9,tch_20200928-180823_20
std_1601297431543_23,0939f778-07e4-466b-bc73-6a3b3536c671,tch_20200928-180823_23
std_1601297372668_22,72de0854-4a9e-40b5-a29c-ac97ea9f71ab,tch_20200928-180823_22
std_1601297221263_20,b40d713d-3703-4018-96cc-43c409453d78,tch_20200928-180823_20
std_1601297296931_21,6daf1282-1d43-4b20-a66c-386163c87cb3,tch_20200928-180823_21
std_1601297391213_23,4b197a20-0974-400a-b3ec-0e50d3fbcc42,tch_20200928-180823_23
std_1601297462690_24,6905b306-7f1d-414e-872c-a60534e1d45e,tch_20200928-180823_24
std_1601297323833_22,ccb7eaf1-4d01-41de-bd26-f83f920570b2,tch_20200928-180823_22
std_1601297250404_21,7a899288-388a-4e59-9d35-380315080368,tch_20200928-180823_21
std_1601297341035_23,f1d6ef75-32b8-4409-bbe4-2d0afb6a9414,tch_20200928-180823_23
std_1601297418514_24,afb30814-18cc-44e0-b3cc-98577f7e656a,tch_20200928-180823_24
std_1601297499805_25,bc9dfcf2-e049-4d2b-a10e-912778f8c6da,tch_20200928-180823_25
std_1601297269595_22,ee4ed790-b410-47cf-8f4d-b5f7e203cfaf,tch_20200928-180823_22
std_1601297291975_23,d9465230-70d8-4303-accb-cdd71d846abf,tch_20200928-180823_23
std_1601297362687_24,342dc82c-8770-43a7-84e9-4f5191d2944a,tch_20200928-180823_24
std_1601297524605_26,732546c5-9585-4f97-b521-7870b2a39e76,tch_20200928-180823_26
std_1601297444574_25,2fe63f0d-d29a-460c-b02e-08e90a58e188,tch_20200928-180823_25
std_1601297543711_27,4d779c59-62f3-456d-a374-e1fa7efbde6d,tch_20200928-180823_27
std_1601297314451_24,34ecb039-8511-40a6-ab41-8105687a00e4,tch_20200928-180823_24
std_1601297398707_25,f162e9ad-e4c8-4631-9b4b-8b16645f8ed1,tch_20200928-180823_25
std_1601297473000_26,a7866447-9899-4c21-b027-f9d9539cdda4,tch_20200928-180823_26
std_1601297492760_27,6ccf23d0-a480-47b9-937a-d251b6950a69,tch_20200928-180823_27
std_1601297565308_28,00de6854-336d-4dcf-a32b-1bc917c8b1df,tch_20200928-180823_28
std_1601297416528_26,8dd684ca-e594-4d30-8ad9-9d43060be206,tch_20200928-180823_26
std_1601297346537_25,6fb95b70-2a79-49bf-b3ff-bbaa7f8d773a,tch_20200928-180823_25
std_1601297443553_27,be0d80ad-a010-4a5d-bca2-693275a4b6e6,tch_20200928-180823_27
std_1601297518949_28,792d0736-bed4-4bc4-a76b-c7a292560509,tch_20200928-180823_28
std_1601297368670_26,e57f6bb8-55ef-445a-b02a-8b68b50ee049,tch_20200928-180823_26
std_1601297596129_29,0270eed1-a969-4689-bf52-7ef4ef41a006,tch_20200928-180823_29
std_1601297394117_27,829b887c-9a1f-4161-996c-4bdc0d778efc,tch_20200928-180823_27
std_1601297469279_28,7d4afdb1-5f0d-4123-a54d-08cc16633cac,tch_20200928-180823_28
std_1601297624763_30,5fc29240-9dfa-45aa-96c6-793bea8f251e,tch_20200928-180823_30
std_1601297545858_29,89b45cbe-eca5-419c-abf5-0c7b391de5e3,tch_20200928-180823_29
std_1601297639494_31,214d2b91-22d4-4409-9b14-23050ec47699,tch_20200928-180823_31
std_1601297415594_28,8a9914f1-615a-402d-84ba-5bfaf0829c97,tch_20200928-180823_28
std_1601297567558_30,c1702faa-dc46-4409-be5a-e5fab85b061f,tch_20200928-180823_30
std_1601297492557_29,a113c0bb-a70f-4200-a91c-c2b75ddede2f,tch_20200928-180823_29
std_1601297594605_31,08195bab-f4bd-4b84-aed9-f8c9fdca7977,tch_20200928-180823_31
std_1601297520825_30,b3b662c9-5177-4595-98f8-b788e5c2a23d,tch_20200928-180823_30
std_1601297677502_32,350eace8-fc3f-431a-8e47-a5ba36dae87b,tch_20200928-180823_32
std_1601297442349_29,956dc85e-bda2-4e37-9214-59b50b35d208,tch_20200928-180823_29
std_1601297687962_33,712476cd-8fe6-4b7c-aebb-64a07d062e53,tch_20200928-180823_33
std_1601297540881_31,c0ee0750-b11e-4b09-a485-076905e29bc1,tch_20200928-180823_31
std_1601297467023_30,7ff29260-e847-464c-be11-0782436ffc85,tch_20200928-180823_30
std_1601297622314_32,101d7ef5-b3bf-4775-b191-26b1c12d1c87,tch_20200928-180823_32
std_1601297487132_31,d6f2202d-d77e-43aa-a3ca-25b0e2d0ae83,tch_20200928-180823_31
std_1601297636796_33,82866a3e-ddd4-4567-b6a1-11c54dee2a4c,tch_20200928-180823_33
std_1601297715143_34,b002116c-89e6-4e0b-8d88-b0ad07a598dd,tch_20200928-180823_34
std_1601297725952_35,f9e9db34-3320-4c1a-82c4-f4d5c7c3c979,tch_20200928-180823_35
std_1601297565272_32,ab159621-6922-47ab-b42f-8398939b1915,tch_20200928-180823_32
std_1601297587948_33,dca113ec-9e54-4c3f-a576-e93cac4cee60,tch_20200928-180823_33
std_1601297663809_34,381cde62-f896-4be0-9348-d013de9c451e,tch_20200928-180823_34
std_1601297680589_35,9cf637f8-6d84-44aa-9aaf-bd55083d9b72,tch_20200928-180823_35
std_1601297513289_32,17320050-a3db-4988-a9d4-20a6f44cb3e6,tch_20200928-180823_32
std_1601297760383_36,2ccd5cd3-9aac-47de-84ec-c6b092840171,tch_20200928-180823_36
std_1601297537173_33,496cbf15-7614-4a4c-8ff6-8a16311bee11,tch_20200928-180823_33
std_1601297616124_34,82682b0e-4ad0-4537-b166-0d5c9c13befd,tch_20200928-180823_34
std_1601297633560_35,758ecaa3-e62e-4046-9eb8-50158fe841fa,tch_20200928-180823_35
std_1601297780594_37,0dabe384-9240-4dd0-aeea-c8656ac19d3b,tch_20200928-180823_37
std_1601297709680_36,b28b295c-8e41-4174-ac66-863fb4d858aa,tch_20200928-180823_36
std_1601297562792_34,b6357d59-52c2-4630-8fea-d857eda04480,tch_20200928-180823_34
std_1601297581541_35,908e0f51-04a5-47ec-80ac-bca97e1430e6,tch_20200928-180823_35
std_1601297803191_38,34a7e8eb-accf-423d-a1ed-c7c097f2d52c,tch_20200928-180823_38
std_1601297729262_37,ef737afc-09ac-44f3-92e5-9648489e169f,tch_20200928-180823_37
std_1601297656672_36,60454f16-4379-4dc3-a77d-f328ae9846ae,tch_20200928-180823_36
std_1601297818759_39,891406a3-281e-493c-89f8-cde266be0c23,tch_20200928-180823_39
std_1601297754617_38,2964b56b-5902-45f2-817a-4a9b71f0b49a,tch_20200928-180823_38
std_1601297676282_37,26e7050a-4117-49a9-b5f9-c509c9a9b456,tch_20200928-180823_37
std_1601297606029_36,67ae952b-d945-48b1-84e0-f18280cb947d,tch_20200928-180823_36
std_1601297775980_39,1411c358-7652-4574-9fdf-f47b5d616d90,tch_20200928-180823_39
std_1601297706078_38,07eac6cc-e066-4de3-bce2-5217ead6d123,tch_20200928-180823_38
std_1601297858240_40,dbcec371-bc1b-49e0-be13-45f46971d030,tch_20200928-180823_40
std_1601297629182_37,b0ba1be4-16d5-4900-a961-96c1b1ea863e,tch_20200928-180823_37
std_1601297725258_39,cda10891-a7b9-4139-9874-cbe03f8e52b6,tch_20200928-180823_39
std_1601297654978_38,47185229-7fa8-4765-8721-46fd523be0f9,tch_20200928-180823_38
std_1601297881474_41,282762c2-2b3d-4477-b37d-7e5b1c554c48,tch_20200928-180823_41
std_1601297808193_40,85a9340d-742c-4bfc-856c-52ce3497e9ae,tch_20200928-180823_40
std_1601297892801_42,e5361051-4941-4fa5-8d6f-d62f16e39e16,tch_20200928-180823_42
std_1601297676983_39,471e6cba-6edd-414c-9b25-3385397f47ba,tch_20200928-180823_39
std_1601297825171_41,8455684f-dba2-4627-ab98-209ff2c6652f,tch_20200928-180823_41
std_1601297754747_40,d8cab7b7-c4ba-4147-942d-790fc9b636b8,tch_20200928-180823_40
std_1601297841021_42,c576139d-dc7b-4562-ab46-c4dda15a570f,tch_20200928-180823_42
std_1601297929377_43,f828a3fb-9f70-4598-8efc-0eb1c48c59da,tch_20200928-180823_43
std_1601297782431_41,9a750037-eaa6-42f7-a34c-58d97dbb5a9a,tch_20200928-180823_41
std_1601297705087_40,53eb3b3f-038f-4033-89d1-61f81478421c,tch_20200928-180823_40
std_1601297791894_42,effec994-4a50-43ec-8f39-ad93ca897c5d,tch_20200928-180823_42
std_1601297882984_43,17d73bce-f0fc-46d0-b82a-6f8fbe974bd9,tch_20200928-180823_43
std_1601297953776_44,2f2969d5-7b04-4d3c-8bd2-07a1f85e7eea,tch_20200928-180823_44
std_1601297732063_41,8f9a146e-27fc-4133-8ce0-d65cf57d1715,tch_20200928-180823_41
std_1601297746299_42,6395adb8-3283-44ad-906a-ba69b5a12a48,tch_20200928-180823_42
std_1601297833351_43,f5b5559c-b414-484f-94bf-3fb72236b2f6,tch_20200928-180823_43
std_1601297904844_44,3a77f5eb-24fb-464e-b28d-1248cc174ab4,tch_20200928-180823_44
std_1601297980592_45,c3ba50e1-2cd6-48eb-8228-a6ea0c4e09f6,tch_20200928-180823_45
std_1601297783830_43,0e4ca582-ca21-4c50-a336-18828b8b6736,tch_20200928-180823_43
std_1601298011477_46,41431dc8-ac86-4435-b79f-2b391933e040,tch_20200928-180823_46
std_1601297853103_44,68b3dfd4-d592-44ea-9a45-aeb25c7a51b4,tch_20200928-180823_44
std_1601297932154_45,06cc7128-1d90-4887-99e0-4376200bea49,tch_20200928-180823_45
std_1601298017476_47,9dee559a-7ad0-4f70-ba16-6f0df9f40848,tch_20200928-180823_47
std_1601297952981_46,e018a6ef-eb80-4e51-8f2b-dfadefacb4c2,tch_20200928-180823_46
std_1601297803653_44,4e921311-35a5-4363-bb44-c015df17a55c,tch_20200928-180823_44
std_1601297877050_45,453a1391-ae36-4994-adcf-c415e46209da,tch_20200928-180823_45
std_1601297963927_47,37723966-c809-4eaf-b459-28f43ceca083,tch_20200928-180823_47
std_1601298053516_48,473e5a96-d25f-4756-a736-e881b2c5cd22,tch_20200928-180823_48
std_1601297903499_46,39b81e28-238a-4753-b621-24eb088379d8,tch_20200928-180823_46
std_1601298061058_49,544a06f0-d957-4ce8-8d5b-8e027a136846,tch_20200928-180823_49
std_1601297826783_45,b89497ea-fd2b-40d9-ac34-8375e2416f64,tch_20200928-180823_45
std_1601297915802_47,92f9bee3-3230-4b6c-91c7-f71172c6e260,tch_20200928-180823_47
std_1601297999882_48,90114873-f4b2-4134-a18e-1c0adfc49c41,tch_20200928-180823_48
std_1601297852944_46,b99483fa-9bd4-41a0-b295-f75dbd8acc9d,tch_20200928-180823_46
std_1601298014247_49,32c04368-f298-4df4-a32b-6744183419b5,tch_20200928-180823_49
std_1601298100798_50,844d27df-56d2-44b6-8888-4e8877938284,tch_20200928-180823_50
std_1601297870811_47,7f2bde19-0a14-48df-bea1-a8c8f62ea4e9,tch_20200928-180823_47
std_1601297951810_48,4961ebc5-df74-4df8-b16f-e16315e0beef,tch_20200928-180823_48
std_1601298111891_51,33b61280-f12a-4626-a13d-adc406289f85,tch_20200928-180823_51
std_1601297969168_49,3d3efd71-e2db-4bfe-81d2-5611387502ab,tch_20200928-180823_49
std_1601298056372_50,925aa73e-43f0-4bdc-8384-bc3f45d578aa,tch_20200928-180823_50
std_1601297903292_48,ed36dcb3-2f9f-4634-bdda-6b66316ee474,tch_20200928-180823_48
std_1601298067068_51,ef2215de-e8b4-4c76-9b04-383852ac053e,tch_20200928-180823_51
std_1601297919481_49,a3a1f92c-a96e-4272-b2b3-d70a014933fe,tch_20200928-180823_49
std_1601298148309_52,3a8daf1d-e3e4-4651-929f-d521518e709b,tch_20200928-180823_52
std_1601298003662_50,b7ff319c-bc1d-4fc3-80c9-34d56d921651,tch_20200928-180823_50
std_1601298019068_51,427cd2ab-cfe3-4cca-bef6-4f08a683abe9,tch_20200928-180823_51
std_1601298169930_53,3ff1fcb8-5f6f-43a9-8708-a4a5354dc876,tch_20200928-180823_53
std_1601298097319_52,c68c01cd-e549-47ee-8441-8962f6746ffb,tch_20200928-180823_52
std_1601297950123_50,3571b4ad-1526-4070-8cea-6ba98bfb2712,tch_20200928-180823_50
std_1601297966020_51,b0c55337-90fa-423b-bc21-c4c6d1cd3619,tch_20200928-180823_51
std_1601298195763_54,cb85cd15-3630-422c-99f9-1d2575947e44,tch_20200928-180823_54
std_1601298122414_53,90eeb378-92c0-4cd2-b97d-ea9e65b1bd7f,tch_20200928-180823_53
std_1601298041667_52,99901a1a-f003-4ada-94dd-d6ef3e3fcb90,tch_20200928-180823_52
std_1601298216894_55,220eea5f-38ed-42d1-bc8b-a84e45230955,tch_20200928-180823_55
std_1601298142622_54,a43637d1-f580-46fb-9d54-74c2c3ef8689,tch_20200928-180823_54
std_1601298073368_53,2f57c9d4-b2c2-4105-8161-79c69a5b8bf6,tch_20200928-180823_53
std_1601297993277_52,b3d7840c-a955-4683-9c51-d537294d0b16,tch_20200928-180823_52
std_1601298240360_56,60898b27-1754-4907-babe-cd0f9866c3c1,tch_20200928-180823_56
std_1601298170142_55,e2c678cb-933c-42aa-83b1-6105e6516085,tch_20200928-180823_55
std_1601298091638_54,58fd4990-50ef-4528-b903-0170a3edac7e,tch_20200928-180823_54
std_1601298019162_53,f5b08de1-f0d4-47c4-b944-67c1b5416174,tch_20200928-180823_53
std_1601298259897_57,08e3e0cd-c847-41a2-8de6-3e36fcf048f4,tch_20200928-180823_57
std_1601298186924_56,1c050f8d-bd7b-4225-82fe-6ef526603794,tch_20200928-180823_56
std_1601298122920_55,51ac4769-ab7a-46d4-866f-982952687ef8,tch_20200928-180823_55
std_1601298047311_54,e1d6fe99-b9d8-4cd4-8ae5-d591f31d5738,tch_20200928-180823_54
std_1601298284179_58,1c19c12e-c457-4aeb-b91c-6ef6a08453ea,tch_20200928-180823_58
std_1601298139666_56,889c3bd2-dc51-4d5e-8820-8b7871cad21d,tch_20200928-180823_56
std_1601298210530_57,325a594f-2583-4131-9ecf-29b4118c5deb,tch_20200928-180823_57
std_1601298071711_55,1b25bb55-286f-43bb-bc2e-b51be51ac853,tch_20200928-180823_55
std_1601298235240_58,bc7eb4b4-1b3a-4b37-91c2-aea04b3e64c7,tch_20200928-180823_58
std_1601298090535_56,2138cba3-e31b-4205-b642-13578f8548ce,tch_20200928-180823_56
std_1601298316194_59,0a95053a-a8d7-4be0-80c3-655ba0a3ac24,tch_20200928-180823_59
std_1601298161923_57,c9086790-4ff0-453b-be42-f565d0f481df,tch_20200928-180823_57
std_1601298339244_60,c21eaa4d-8b9e-4e7c-84b6-769d71b9be98,tch_20200928-180823_60
std_1601298189261_58,e8da476a-8acf-4079-bc38-93174d80be24,tch_20200928-180823_58
std_1601298111411_57,24e1e150-317f-4b77-b000-5623c96640d9,tch_20200928-180823_57
std_1601298266122_59,81fb3543-b00d-4ab3-9c90-27bc38790bd3,tch_20200928-180823_59
std_1601298360915_61,74be6375-0071-4140-a1c2-c456ee093b4a,tch_20200928-180823_61
std_1601298295067_60,6edc763d-dd11-41fa-a63d-7a8e87d76543,tch_20200928-180823_60
std_1601298216034_59,8ba44266-229e-4f53-bfd7-b5590d35dea1,tch_20200928-180823_59
std_1601298137894_58,cbef7369-8aa2-4b08-a31a-913f3a1ecde8,tch_20200928-180823_58
std_1601298382473_62,407fa138-66fd-42fc-819a-1fd446d10d27,tch_20200928-180823_62
std_1601298313666_61,1fae9b63-b6ee-4ccf-90c5-d366d8c58f7e,tch_20200928-180823_61
std_1601298245254_60,f2498e2d-2eba-4ad9-88f4-0291115142fc,tch_20200928-180823_60
std_1601298169251_59,e4f26266-9a93-45d6-94ea-475cd0cea19c,tch_20200928-180823_59
std_1601298259948_61,1b477200-0e49-413c-99ef-6fb754932d5e,tch_20200928-180823_61
std_1601298331465_62,c82d854c-e85f-45b5-b5dd-950189516e73,tch_20200928-180823_62
std_1601298193684_60,60ef17ed-8a9e-4c16-a208-84f0e0fc4a5c,tch_20200928-180823_60
std_1601298423823_63,703e5d8c-634c-4693-bb29-037879298c57,tch_20200928-180823_63
std_1601298429435_64,152061df-dec1-44b7-a2ed-d0bb5bddeddb,tch_20200928-180823_64
std_1601298281684_62,b0cadce2-9e14-41a7-9eb7-27d5521ea6b3,tch_20200928-180823_62
std_1601298212176_61,0a925080-e5a6-4f50-aa22-7d22983f631d,tch_20200928-180823_61
std_1601298456764_65,392b4000-0de9-4866-b724-b32dafa5925f,tch_20200928-180823_65
std_1601298372333_63,3580776b-41ac-4bae-b229-6111f301c07e,tch_20200928-180823_63
std_1601298386635_64,63168e2f-9a04-4e3a-b6c2-3c640f772daa,tch_20200928-180823_64
std_1601298236629_62,ac080a84-7d6b-466b-aa07-bfc69c8f8cd5,tch_20200928-180823_62
std_1601298406325_65,245c1381-31e9-4a9c-b00b-372b76369987,tch_20200928-180823_65
std_1601298322465_63,7f7702c0-349e-4946-a81a-c3e16af1d077,tch_20200928-180823_63
std_1601298482122_66,760639c9-60ae-43ff-a6e0-08f80339ba1f,tch_20200928-180823_66
std_1601298339528_64,a6caab65-06d7-4ef3-9c72-7535f7837735,tch_20200928-180823_64
std_1601298427697_66,250cf211-30d6-4a6c-bbdd-963159d56f05,tch_20200928-180823_66
std_1601298355446_65,8af819df-1ba2-43fb-9337-5a611fd38915,tch_20200928-180823_65
std_1601298267894_63,cb6b83b4-83ea-49f6-ac04-6291b2e463a3,tch_20200928-180823_63
std_1601298288020_64,b597bce3-d243-4314-8c98-cec58ca78732,tch_20200928-180823_64
std_1601298510941_67,8e1240a9-27bb-48c1-b631-bad62db17526,tch_20200928-180823_67
std_1601298380683_66,03ddd3cf-d10c-451b-ba9f-2c6fc4c706b0,tch_20200928-180823_66
std_1601298529999_68,c9b90d50-29c1-4c51-ae2f-66ab3a829008,tch_20200928-180823_68
std_1601298305517_65,dcf65354-4ee3-491d-9376-b6387813a130,tch_20200928-180823_65
std_1601298457485_67,aee64a6b-ec18-4a0a-b429-d8bd03b8c312,tch_20200928-180823_67
std_1601298558887_69,a7aa3d85-7240-4eb6-af1f-5abdefdd23cb,tch_20200928-180823_69
std_1601298336589_66,3b0a634a-2a6d-4212-9e88-83a72658fcb9,tch_20200928-180823_66
std_1601298481155_68,8d1662fc-b1a3-4fe3-9986-2fc09e9aede5,tch_20200928-180823_68
std_1601298409622_67,4dc4dd53-7a8b-4db3-b496-2bb89fea3bd3,tch_20200928-180823_67
std_1601298583664_70,00e47261-73f0-40fa-99ef-a7f3007dc928,tch_20200928-180823_70
std_1601298508041_69,c918efb0-04bc-420c-9d39-8680cda4e7f2,tch_20200928-180823_69
std_1601298429323_68,5e67a80d-c56b-4c44-a757-ba4fb86e6398,tch_20200928-180823_68
std_1601298360082_67,8f249465-ec20-4342-981b-e6e26e621a4c,tch_20200928-180823_67
std_1601298599479_71,766b91fb-340f-49d8-b20f-6b04a1467080,tch_20200928-180823_71
std_1601298462386_69,61814dbc-fa9e-4707-8f64-47ec40535b6f,tch_20200928-180823_69
std_1601298531596_70,fcdd3987-d218-4dcb-8fcb-1f854ddb66d1,tch_20200928-180823_70
std_1601298386514_68,b5462861-e9ef-4593-aad4-798c9ead6009,tch_20200928-180823_68
std_1601298553366_71,d8fdc947-eb96-4200-a132-98501db84060,tch_20200928-180823_71
std_1601298407392_69,84d2e1bc-60d0-49a2-91b4-6105a7211877,tch_20200928-180823_69
std_1601298632053_72,2ac4711f-96d2-4081-a191-dc5749292954,tch_20200928-180823_72
std_1601298477620_70,3cc18283-4d68-4572-97f5-a71602e15abb,tch_20200928-180823_70
std_1601298507165_71,04fe4190-cd3e-49ac-a4f5-7c336ae99d66,tch_20200928-180823_71
std_1601298580560_72,35a33766-09d5-4d95-8722-66a90753516f,tch_20200928-180823_72
std_1601298657734_73,c1cf5c3c-af2a-4aa3-b89f-7e714812024d,tch_20200928-180823_73
std_1601298428727_70,95429e58-2386-4ef7-b70e-5e460b72eec2,tch_20200928-180823_70
std_1601298681824_74,6fb74e70-9f28-488c-ba87-6237f904523d,tch_20200928-180823_74
std_1601298456317_71,508f9965-6fd6-4e79-9835-1573bfb7ea4c,tch_20200928-180823_71
std_1601298530091_72,9d05d216-8f11-4fee-ba2e-66f59efe1aca,tch_20200928-180823_72
std_1601298608694_73,f5c8dc1e-19d0-4d16-a5c9-8ae4b49b2980,tch_20200928-180823_73
