teacherextuserid,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200512-175045_191,class_20200512-175045_191,tXzf-Ut6t,164bc1d4-d0d8-4c05-b0bd-25117a313c37,edf5973e-37b8-4a60-abe2-aafb161a922d,0da38d1f-6b03-4242-bbb7-180c7c38d57e,65bb6320-e097-4eff-9ebd-bba70d8edffd,a3e02c72-39b6-449e-ada9-6af2485ca7f7
tch_20200512-175045_192,class_20200512-175045_192,WrWT-z4Po,fdd7e3ca-d20f-4c6c-9aff-30d34b67f717,9c46265a-56d3-4fc0-94fa-de9812d26c2a,53a9b293-b596-403d-b285-d23a8bfe3a41,d159c21a-d322-48a1-88d7-5995ec71b162,bb0a0403-0752-47b4-8502-b4804bf9ad88
tch_20200512-175045_194,class_20200512-175045_194,64nM-APRH,222fb1a7-8f30-4a69-8643-a800ca1b7aaf,b869fad9-ea38-4c11-a118-8ce41be073ad,85b3fce7-757a-40d1-8855-5f5df9394ed4,80fd1b64-1659-4259-969c-f74bc5f139bc,7d648037-014c-4c90-b71b-d61337ef1344
tch_20200512-175045_193,class_20200512-175045_193,WzAm-2dt7,96d14631-01a8-46c9-9787-c37e490aface,7427dadd-91fc-43c7-bf43-aacbd0aae9c9,7132845e-ad7b-4880-8503-6f5893562295,005e70e2-715c-4b0b-9137-dafdecde091f,4064638b-de22-4e7a-8648-532c3b60dace
tch_20200512-175045_195,class_20200512-175045_195,U3KT-bM43,111b3588-1ba8-4874-bd7e-801e491379fa,9706c87c-738c-4ef9-94d8-9cf1144da3bb,c66ef7c5-e320-4644-8d91-33416d251158,abd100e4-b588-4175-8183-a555615e01f0,4c07be7b-d818-4900-8b5c-2a133417a04b
tch_20200512-175045_196,class_20200512-175045_196,6v72-dg7y,99e011ff-f4b2-4fe3-85e2-791736152cc3,93cd3008-7080-40c2-a18b-a5ce4a3debef,7bf3b233-4767-4067-8465-376e59e6fd89,40eae1de-45e6-483d-b74f-276828afa7cc,9b6ed643-5e33-466a-bdf9-637f83069d4e
tch_20200512-175045_198,class_20200512-175045_198,dACW-VP9Z,9c662c53-c20c-4071-9cf4-f40e899c4d0a,ec430701-ad7b-4c59-a693-d131bb7c9c60,060174fd-49ae-4d83-aa34-2ea047bc11fb,98f6c251-9ffd-4cdb-86ae-40a9ca21f439,c9fc01b4-ce4d-4716-a23a-06d25ee633c4
tch_20200512-175045_197,class_20200512-175045_197,D2Ag-J7W2,8bfac3a6-4f8e-491d-af1a-aa66bcd971a7,41532e10-5a29-49cc-94c3-abe0d89babe4,39042af7-af78-409b-9218-b28fabe1c4cc,a6083ab5-82d5-4b0d-a58f-5b9601e85396,1054b50e-ec12-4446-82d3-c5510c93b7fe
tch_20200512-175045_199,class_20200512-175045_199,4shm-B28M,3f8a3fcb-b443-49af-911d-55eeefddf107,c2cbd90e-70b5-4217-a653-13c1147b3e21,43ca3f79-aeda-49a1-a782-aad6fcffeab7,c13ebb03-13f6-4c78-b078-1936ee93e459,d81e124a-dbba-4bf7-8b6c-655e0dea2736
tch_20200512-175045_200,class_20200512-175045_200,3srw-GZ9J,93c1eeec-2342-41bb-bc37-de98d39ffc2e,4b2830d7-c710-4773-9f92-3e7aa64f4c2e,be2f9045-9aea-414a-a7de-8fa9c813904a,ad638cb1-def5-4477-8a91-d22e3f2d4d61,a3ddd325-9f45-4af7-9a7d-e26756b1a9b6
