teacher,classtitle,classcode
perf_prod_teacher_133749_338,perf_class_133749_338,M3gi-jijZ
perf_prod_teacher_133749_340,perf_class_133749_340,dC4M-ed2g
perf_prod_teacher_133749_339,perf_class_133749_339,agd3-bacY
perf_prod_teacher_133749_341,perf_class_133749_341,87Ff-N9VL
perf_prod_teacher_133749_342,perf_class_133749_342,67VD-HWc4
perf_prod_teacher_133749_343,perf_class_133749_343,8cVb-9hV2
perf_prod_teacher_133749_344,perf_class_133749_344,hB7A-4d6U
perf_prod_teacher_133749_347,perf_class_133749_347,27dD-8e9c
perf_prod_teacher_133749_345,perf_class_133749_345,4ACc-49hV
perf_prod_teacher_133749_346,perf_class_133749_346,936P-MaW7
perf_prod_teacher_133749_348,perf_class_133749_348,WfBK-be3X
perf_prod_teacher_133749_349,perf_class_133749_349,92FK-N6RN
perf_prod_teacher_133749_350,perf_class_133749_350,DeFe-c9XV
perf_prod_teacher_133749_351,perf_class_133749_351,8hbA-UMj4
perf_prod_teacher_133749_353,perf_class_133749_353,Df38-f6cY
perf_prod_teacher_133749_352,perf_class_133749_352,YeC8-cjgW
perf_prod_teacher_133749_354,perf_class_133749_354,PBb8-if2T
perf_prod_teacher_133749_355,perf_class_133749_355,Jg3X-C2i4
perf_prod_teacher_133749_358,perf_class_133749_358,NQ84-2L9B
perf_prod_teacher_133749_356,perf_class_133749_356,QdCh-biMV
perf_prod_teacher_133749_357,perf_class_133749_357,jX89-Wg49
perf_prod_teacher_133749_359,perf_class_133749_359,WefJ-UFf7
perf_prod_teacher_133749_360,perf_class_133749_360,di9W-7Qdc
perf_prod_teacher_133749_361,perf_class_133749_361,EK78-a24K
perf_prod_teacher_133749_362,perf_class_133749_362,ic3c-PVc2
perf_prod_teacher_133749_363,perf_class_133749_363,hZM7-EdM7
perf_prod_teacher_133749_365,perf_class_133749_365,37fP-36GR
perf_prod_teacher_133749_364,perf_class_133749_364,g6X2-7c9Z
perf_prod_teacher_133749_366,perf_class_133749_366,UjDG-T6cg
perf_prod_teacher_133749_367,perf_class_133749_367,9ed4-9f74
perf_prod_teacher_133749_368,perf_class_133749_368,QHQh-T8jd
perf_prod_teacher_133749_369,perf_class_133749_369,F7Kg-7ePj
perf_prod_teacher_133749_370,perf_class_133749_370,48hW-ibVe
perf_prod_teacher_133749_373,perf_class_133749_373,ZfKj-8g93
perf_prod_teacher_133749_371,perf_class_133749_371,X98H-a4jg
perf_prod_teacher_133749_372,perf_class_133749_372,PWf4-JVfR
perf_prod_teacher_133749_375,perf_class_133749_375,A3if-bc46
perf_prod_teacher_133749_374,perf_class_133749_374,g3ba-2T8d
perf_prod_teacher_133749_376,perf_class_133749_376,6QHc-Xaeh
perf_prod_teacher_133749_378,perf_class_133749_378,Fh9H-4NYj
perf_prod_teacher_133749_377,perf_class_133749_377,Y8cA-jVTC
perf_prod_teacher_133749_379,perf_class_133749_379,XYE4-RbcL
perf_prod_teacher_133749_380,perf_class_133749_380,76fa-hY28
perf_prod_teacher_133749_381,perf_class_133749_381,24DZ-hiP6
perf_prod_teacher_133749_382,perf_class_133749_382,3ED3-aQ9C
perf_prod_teacher_133749_383,perf_class_133749_383,a3g3-je7T
perf_prod_teacher_133749_384,perf_class_133749_384,YaY9-Wjdb
perf_prod_teacher_133749_385,perf_class_133749_385,c7bM-dFMj
perf_prod_teacher_133749_386,perf_class_133749_386,2A4f-dYAR
perf_prod_teacher_133749_387,perf_class_133749_387,WN6K-W6cB
perf_prod_teacher_133749_390,perf_class_133749_390,CeGW-T7dg
perf_prod_teacher_133749_388,perf_class_133749_388,b8gh-Nae6
perf_prod_teacher_133749_389,perf_class_133749_389,DZdH-jBde
perf_prod_teacher_133749_391,perf_class_133749_391,j6Vb-YjR2
perf_prod_teacher_133749_392,perf_class_133749_392,8a7H-3R2J
