studentextuserid,classcode
std_1589434114806_197,s4xj-7r2N
std_1589434116810_198,MTGi-DoiY
std_1589434118816_199,r8qy-3Z96
std_1589434121139_200,FswF-wfEH
std_1589434122829_201,f3qn-Mq29
std_1589434124834_202,zKzp-F43U
std_1589434126834_203,32n3-u9jt
std_1589434128839_204,keKn-9AdJ
std_1589434130844_205,64jD-8PW7
std_1589434132847_206,gU9D-Zr7e
std_1589434134852_207,U9s4-7V23
std_1589434136881_208,737C-e426
std_1589434138863_209,eZgb-x2J8
std_1589434140868_210,6x74-Li2G
std_1589434142874_211,cRKQ-qe2W
std_1589434144878_212,pwea-s3Zr
std_1589434146888_213,tk2Y-u7da
std_1589434148890_214,7RKh-n6Nf
std_1589434150905_215,RpE9-8KzR
std_1589434152910_216,wGtf-V3mb
std_1589434154914_217,3yDg-Cwm6
std_1589434156919_218,3yVs-3c4E
std_1589434160929_220,ukiF-ta6s
std_1589434162934_221,K8WV-z63e
std_1589434164938_222,738c-82Le
std_1589434166943_223,6A2s-Fyk6
std_1589434168948_224,7m47-yrf9
std_1589434170953_225,drtL-6vX6
std_1589434172961_226,9dug-bRFh
std_1589434174967_227,UwRW-7NAb
std_1589434176972_228,9CHu-sxvp
std_1589434178978_229,Zdz4-t2kd
std_1589434180983_230,7AuM-kMmz
std_1589434182988_231,kn96-263B
std_1589434187000_233,BYRy-URsQ
std_1589434189003_234,a6BM-QGoa
std_1589434191009_235,6zC8-9E2D
std_1589434193021_236,Vj3B-W8vo
std_1589434195035_237,MQxi-zVLP
std_1589434197042_238,tznr-B6H6
std_1589434199049_239,vaks-8PuJ
std_1589434201052_240,Et92-Zqwm
std_1589434203058_241,Cxgv-em4f
std_1589434205063_242,ZnQ3-9D92
std_1589434207066_243,x4wJ-48oX
std_1589434209072_244,FcMg-zdvn
std_1589434211075_245,hFHh-am3i
std_1589434213099_246,pqEs-gGju
std_1589434215110_247,rzob-p8zq
std_1589434217118_248,zUnH-GTZQ
std_1589434219123_249,s767-n7Z8
std_1589434221127_250,Tmx4-AxsA
std_1589434223133_251,MDXD-ZGzA
std_1589434225138_252,6eq2-YwY2
std_1589434227143_253,94KU-B6Zs
std_1589434229147_254,9N42-92ys
std_1589434231150_255,m482-3TYD
std_1589434233155_256,PUY3-7p2L
std_1589434235161_257,uH9R-Xp69
std_1589434237165_258,3vTi-hWFi
std_1589434239169_259,pqQK-Y7Fu
std_1589434241174_260,WYBp-WjEV
std_1589434243180_261,fT2J-j3kQ
std_1589434245184_262,jZ4W-KD69
std_1589434247189_263,4XP8-Q6gt
std_1589434249194_264,mMHK-ko7Y
std_1589434251210_265,pzat-c2Yd
std_1589434253202_266,GDg4-W9AU
std_1589434255207_267,qsRm-Xfsm
std_1589434257212_268,67F7-zW7Z
std_1589434259400_269,ft2z-7HF3
std_1589434261405_270,CEC6-VgcF
std_1589434265415_272,xq2m-A93w
std_1589434267420_273,R7R7-3dF9
std_1589434269434_274,FE6o-pRAi
std_1589434271432_275,dsT2-HnjW
std_1589434273437_276,KaVC-gAQ7
std_1589434275443_277,2F76-gb6D
std_1589434277448_278,j2cg-JbVM
std_1589434279452_279,82h8-z2WB
std_1589434281457_280,x2Yw-v7YB
std_1589434283462_281,guH4-NKa7
std_1589434285467_282,mhZs-C3nw
std_1589434291484_285,8Acn-qKX4
std_1589434293488_286,pQEW-KPCj
std_1589434295488_287,Pfv7-QK6Q
std_1589434297488_288,KTv9-ve3G
std_1589434299488_289,EFZf-24sU
std_1589434303503_291,Quca-DQ4P
std_1589434305520_292,8tkH-M4Z2
std_1589434307521_293,hrvc-8fN6
std_1589434309520_294,6Xq7-FZjh
std_1589434311535_295,Fyrz-38nk
std_1589434313535_296,R9ms-8ce6
std_1589434315534_297,3Kt9-PABk
std_1589434317550_298,d3Gi-6nPC
std_1589434319564_299,K2XG-Rs8p
std_1589434321551_300,HnYJ-zrcb
std_1589434323550_301,L3V9-hi9B
std_1589434325565_302,AtNs-yQj6
std_1589434327565_303,ginH-Rxag
std_1589434329566_304,26C6-r6b2
std_1589434331582_305,QpFu-bXzN
std_1589434333581_306,V8a9-vD7K
std_1589434335582_307,Tbq3-qFmu
std_1589434337599_308,7N4Y-TYNY
std_1589434339597_309,TRqx-43n4
std_1589434341598_310,gz7F-Yrw6
std_1589434343616_311,gDAt-nKtg
std_1589434345622_312,rCiC-dw2i
std_1589434347626_313,jT9H-4Ei3
std_1589434349633_314,hJms-iv4G
std_1589434351642_315,2w4x-di23
std_1589434353643_316,Rp9c-q2Uv
std_1589434355649_317,v2FZ-Xtv9
std_1589434357653_318,U82j-htM2
std_1589434359667_319,3WYr-j3a4
std_1589434361677_320,L6RB-buVF
std_1589434363684_321,pgKx-2G46
std_1589434365689_322,GFH2-cPr6
std_1589434367695_323,4igm-NCQg
std_1589434369699_324,K68q-e4ng
std_1589434371705_325,A9oK-X6PD
std_1589434373709_326,C4ij-Aa7V
std_1589434375714_327,v39c-iC6U
std_1589434377719_328,46Wd-87vy
std_1589434379722_329,rV9D-8ZL3
std_1589434381727_330,oMdE-6LvP
std_1589434383736_331,8aTJ-2w98
std_1589434385743_332,ERHW-r4Yg
std_1589434387748_333,sgq4-7sVs
std_1589434389751_334,3hZG-jB2C
std_1589434391756_335,p9LV-n78D
std_1589434393762_336,Yi9t-3Ma7
std_1589434395767_337,FCpE-87ZY
std_1589434397771_338,rc6j-dYqt
std_1589434399776_339,dmsK-XPpc
std_1589434401780_340,AZ27-LAh8
std_1589434403786_341,4q8x-2J9H
std_1589434405791_342,mykf-uekR
std_1589434407795_343,482D-fJ98
std_1589434409799_344,MZ6F-jtQ9
std_1589434411804_345,y4tj-KGP7
std_1589434413809_346,63Ls-yWET
std_1589434415815_347,md6U-tJE8
std_1589434417821_348,BR7A-w34r
std_1589434419882_349,FfCF-mu4a
std_1589434421887_350,Baes-iQiZ
std_1589434423892_351,hmas-qaKy
std_1589434425896_352,jvEM-eZ8P
std_1589434427900_353,3h3u-hvn9
std_1589434429905_354,Yo9q-Z49c
std_1589434431931_355,y6TJ-vZD3
std_1589434433936_356,BRDL-w46H
std_1589434435942_357,tRwk-W8cm
std_1589434437968_358,Buxc-eMC3
std_1589434439973_359,79EC-K6Kd
std_1589434441977_360,qQZ9-6J9L
std_1589434443983_361,nRAw-4zrJ
std_1589434445988_362,gZRY-XW6o
std_1589434447997_363,NnHU-R7eN
std_1589434450000_364,kJQ4-bmGC
std_1589434452007_365,FgZu-326c
std_1589434454011_366,98fC-dbAC
std_1589434456016_367,TbBo-3dnZ
std_1589434458021_368,PuCZ-ev2b
std_1589434460026_369,YE8K-2rcr
std_1589434464034_371,pjrs-tRf4
std_1589434466040_372,8BZg-oJ7p
std_1589434468043_373,oFeG-e2Lz
std_1589434470051_374,L64n-wAU4
std_1589434472052_375,fXkX-4xgK
std_1589434474058_376,T9V4-JyQt
std_1589434476062_377,8KkB-W8MJ
std_1589434478068_378,cU4T-3K2E
std_1589434480072_379,JqmW-fVwt
std_1589434482076_380,7WuU-Q6EY
std_1589434484081_381,C9NY-QUVJ
std_1589434486085_382,MRLy-6V32
std_1589434488091_383,Zn6j-AjLB
std_1589434492102_385,CgQM-n3eL
std_1589434494104_386,yHbk-7eq7
std_1589434496109_387,AyAk-o4cf
std_1589434498114_388,N7kU-bVQz
std_1589434500119_389,XxP2-g29H
std_1589434502123_390,DpkZ-rAqH
std_1589434504128_391,hDqd-3Uxh
std_1589434506133_392,7A3R-Yefe
std_1589434508139_393,E32x-dZyP
std_1589434510142_394,jWE9-EQ3n
std_1589434512152_395,c72d-MDQ6
std_1589434514160_396,kBzN-42Vk
std_1589434516165_397,s4xj-7r2N
std_1589434518170_398,MTGi-DoiY
std_1589434522178_400,FswF-wfEH
std_1589434524194_401,f3qn-Mq29
std_1589434526192_402,zKzp-F43U
std_1589434528194_403,32n3-u9jt
std_1589434532203_405,64jD-8PW7
std_1589434534207_406,gU9D-Zr7e
std_1589434536213_407,U9s4-7V23
std_1589434538216_408,737C-e426
std_1589434540222_409,eZgb-x2J8
std_1589434542255_410,6x74-Li2G
std_1589434544260_411,cRKQ-qe2W
std_1589434546265_412,pwea-s3Zr
std_1589434548270_413,tk2Y-u7da
std_1589434550275_414,7RKh-n6Nf
std_1589434552280_415,RpE9-8KzR
std_1589434554286_416,wGtf-V3mb
std_1589434556291_417,3yDg-Cwm6
std_1589434558296_418,3yVs-3c4E
std_1589434560301_419,98Uh-6PbF
std_1589434562306_420,ukiF-ta6s
std_1589434564312_421,K8WV-z63e
std_1589434566316_422,738c-82Le
std_1589434568322_423,6A2s-Fyk6
std_1589434570326_424,7m47-yrf9
std_1589434572333_425,drtL-6vX6
std_1589434574338_426,9dug-bRFh
std_1589434576343_427,UwRW-7NAb
std_1589434578350_428,9CHu-sxvp
std_1589434580361_429,Zdz4-t2kd
std_1589434582372_430,7AuM-kMmz
std_1589434584385_431,kn96-263B
std_1589434586396_432,txwZ-9NCt
std_1589434588407_433,BYRy-URsQ
std_1589434590419_434,a6BM-QGoa
std_1589434592436_435,6zC8-9E2D
std_1589434594455_436,Vj3B-W8vo
std_1589434596469_437,MQxi-zVLP
std_1589434598485_438,tznr-B6H6
std_1589434600490_439,vaks-8PuJ
std_1589434602509_440,Et92-Zqwm
std_1589434604523_441,Cxgv-em4f
std_1589434606547_442,ZnQ3-9D92
std_1589434608546_443,x4wJ-48oX
std_1589434610555_444,FcMg-zdvn
std_1589434612556_445,hFHh-am3i
std_1589434614571_446,pqEs-gGju
std_1589434616585_447,rzob-p8zq
std_1589434618604_448,zUnH-GTZQ
std_1589434620616_449,s767-n7Z8
std_1589434622643_450,Tmx4-AxsA
std_1589434624653_451,MDXD-ZGzA
std_1589434626664_452,6eq2-YwY2
std_1589434628675_453,94KU-B6Zs
std_1589434630684_454,9N42-92ys
std_1589434632693_455,m482-3TYD
std_1589434634704_456,PUY3-7p2L
std_1589434636714_457,uH9R-Xp69
std_1589434638724_458,3vTi-hWFi
std_1589434640818_459,pqQK-Y7Fu
std_1589434642828_460,WYBp-WjEV
std_1589434644838_461,fT2J-j3kQ
std_1589434646846_462,jZ4W-KD69
std_1589434650867_464,mMHK-ko7Y
std_1589434652876_465,pzat-c2Yd
std_1589434654887_466,GDg4-W9AU
std_1589434656899_467,qsRm-Xfsm
std_1589434658906_468,67F7-zW7Z
std_1589434660916_469,ft2z-7HF3
std_1589434662926_470,CEC6-VgcF
std_1589434664936_471,2uDf-9TxZ
std_1589434666947_472,xq2m-A93w
std_1589434668958_473,R7R7-3dF9
std_1589434670976_474,FE6o-pRAi
std_1589434672990_475,dsT2-HnjW
std_1589434675004_476,KaVC-gAQ7
std_1589434677020_477,2F76-gb6D
std_1589434679030_478,j2cg-JbVM
std_1589434681040_479,82h8-z2WB
std_1589434683050_480,x2Yw-v7YB
std_1589434685060_481,guH4-NKa7
std_1589434687069_482,mhZs-C3nw
std_1589434689079_483,WGDA-vA46
std_1589434691091_484,8ver-c2mv
std_1589434693098_485,8Acn-qKX4
std_1589434695109_486,pQEW-KPCj
std_1589434697119_487,Pfv7-QK6Q
std_1589434699129_488,KTv9-ve3G
std_1589434701138_489,EFZf-24sU
std_1589434703148_490,gJF4-kifp
std_1589434705164_491,Quca-DQ4P
std_1589434707169_492,8tkH-M4Z2
std_1589434709182_493,hrvc-8fN6
std_1589434711189_494,6Xq7-FZjh
std_1589434713200_495,Fyrz-38nk
std_1589434715209_496,R9ms-8ce6
std_1589434717224_497,3Kt9-PABk
std_1589434719235_498,d3Gi-6nPC
std_1589434721240_499,K2XG-Rs8p
std_1589434723250_500,HnYJ-zrcb
std_1589434725263_501,L3V9-hi9B
std_1589434727273_502,AtNs-yQj6
std_1589434729285_503,ginH-Rxag
std_1589434731299_504,26C6-r6b2
std_1589434733304_505,QpFu-bXzN
std_1589434735318_506,V8a9-vD7K
std_1589434737325_507,Tbq3-qFmu
std_1589434739336_508,7N4Y-TYNY
std_1589434741349_509,TRqx-43n4
std_1589434743364_510,gz7F-Yrw6
std_1589434745376_511,gDAt-nKtg
std_1589434747388_512,rCiC-dw2i
std_1589434749398_513,jT9H-4Ei3
std_1589434751411_514,hJms-iv4G
std_1589434753422_515,2w4x-di23
std_1589434757445_517,v2FZ-Xtv9
std_1589434759457_518,U82j-htM2
std_1589434761468_519,3WYr-j3a4
std_1589434763481_520,L6RB-buVF
std_1589434765490_521,pgKx-2G46
std_1589434767578_522,GFH2-cPr6
std_1589434769614_523,4igm-NCQg
std_1589434771599_524,K68q-e4ng
std_1589434773610_525,A9oK-X6PD
std_1589434775628_526,C4ij-Aa7V
std_1589434777639_527,v39c-iC6U
std_1589434779649_528,46Wd-87vy
std_1589434781661_529,rV9D-8ZL3
std_1589434783672_530,oMdE-6LvP
std_1589434785684_531,8aTJ-2w98
std_1589434787697_532,ERHW-r4Yg
std_1589434791718_534,3hZG-jB2C
std_1589434793766_535,p9LV-n78D
std_1589434795779_536,Yi9t-3Ma7
std_1589434797793_537,FCpE-87ZY
std_1589434801814_539,dmsK-XPpc
std_1589434803826_540,AZ27-LAh8
std_1589434805842_541,4q8x-2J9H
std_1589434807851_542,mykf-uekR
std_1589434809863_543,482D-fJ98
std_1589434811872_544,MZ6F-jtQ9
std_1589434813882_545,y4tj-KGP7
std_1589434815891_546,63Ls-yWET
std_1589434817903_547,md6U-tJE8
std_1589434819916_548,BR7A-w34r
std_1589434821927_549,FfCF-mu4a
std_1589434823938_550,Baes-iQiZ
std_1589434825948_551,hmas-qaKy
std_1589434827979_552,jvEM-eZ8P
std_1589434830004_553,3h3u-hvn9
std_1589434832024_554,Yo9q-Z49c
std_1589434834037_555,y6TJ-vZD3
std_1589434836050_556,BRDL-w46H
std_1589434838062_557,tRwk-W8cm
std_1589434840074_558,Buxc-eMC3
std_1589434842085_559,79EC-K6Kd
std_1589434844097_560,qQZ9-6J9L
std_1589434846145_561,nRAw-4zrJ
std_1589434848126_562,gZRY-XW6o
std_1589434852149_564,kJQ4-bmGC
std_1589434854160_565,FgZu-326c
std_1589434856172_566,98fC-dbAC
std_1589434858185_567,TbBo-3dnZ
std_1589434860196_568,PuCZ-ev2b
std_1589434864220_570,kKPc-9M6B
std_1589434868243_572,8BZg-oJ7p
std_1589434872267_574,L64n-wAU4
std_1589434874279_575,fXkX-4xgK
std_1589434876290_576,T9V4-JyQt
std_1589434878305_577,8KkB-W8MJ
std_1589434880313_578,cU4T-3K2E
std_1589434882325_579,JqmW-fVwt
std_1589434884336_580,7WuU-Q6EY
std_1589434886354_581,C9NY-QUVJ
std_1589434888363_582,MRLy-6V32
std_1589434890378_583,Zn6j-AjLB
std_1589434892390_584,roTD-pPGn
std_1589434894401_585,CgQM-n3eL
std_1589434896412_586,yHbk-7eq7
std_1589434898424_587,AyAk-o4cf
std_1589434902446_589,XxP2-g29H
std_1589434904455_590,DpkZ-rAqH
std_1589434906467_591,hDqd-3Uxh
std_1589434908478_592,7A3R-Yefe
std_1589434910488_593,E32x-dZyP
std_1589434912492_594,jWE9-EQ3n
std_1589434914506_595,c72d-MDQ6
std_1589434916507_596,kBzN-42Vk
std_1589434918522_597,s4xj-7r2N
std_1589434920538_598,MTGi-DoiY
std_1589434922539_599,r8qy-3Z96
std_1589434924553_600,FswF-wfEH
std_1589434928570_602,zKzp-F43U
std_1589434930585_603,32n3-u9jt
std_1589434932600_604,keKn-9AdJ
std_1589434934608_605,64jD-8PW7
std_1589434936621_606,gU9D-Zr7e
std_1589434938626_607,U9s4-7V23
std_1589434940632_608,737C-e426
std_1589434942636_609,eZgb-x2J8
std_1589434944643_610,6x74-Li2G
std_1589434946649_611,cRKQ-qe2W
std_1589434948652_612,pwea-s3Zr
std_1589434950658_613,tk2Y-u7da
std_1589434952663_614,7RKh-n6Nf
std_1589434954668_615,RpE9-8KzR
std_1589434956675_616,wGtf-V3mb
std_1589434958679_617,3yDg-Cwm6
std_1589434960683_618,3yVs-3c4E
std_1589434962704_619,98Uh-6PbF
std_1589434964715_620,ukiF-ta6s
std_1589434966722_621,K8WV-z63e
std_1589434968727_622,738c-82Le
std_1589434970732_623,6A2s-Fyk6
std_1589434972737_624,7m47-yrf9
std_1589434974743_625,drtL-6vX6
std_1589434976747_626,9dug-bRFh
std_1589434978753_627,UwRW-7NAb
std_1589434980758_628,9CHu-sxvp
std_1589434982761_629,Zdz4-t2kd
std_1589434984766_630,7AuM-kMmz
std_1589434986772_631,kn96-263B
std_1589434988776_632,txwZ-9NCt
std_1589434990780_633,BYRy-URsQ
std_1589434992785_634,a6BM-QGoa
std_1589434994790_635,6zC8-9E2D
std_1589434996794_636,Vj3B-W8vo
std_1589434998799_637,MQxi-zVLP
std_1589435000803_638,tznr-B6H6
std_1589435002808_639,vaks-8PuJ
std_1589435004813_640,Et92-Zqwm
std_1589435006819_641,Cxgv-em4f
std_1589435008822_642,ZnQ3-9D92
std_1589435010828_643,x4wJ-48oX
std_1589435012832_644,FcMg-zdvn
std_1589435014836_645,hFHh-am3i
std_1589435016842_646,pqEs-gGju
std_1589435018846_647,rzob-p8zq
std_1589435020851_648,zUnH-GTZQ
std_1589435022856_649,s767-n7Z8
std_1589435024860_650,Tmx4-AxsA
std_1589435026865_651,MDXD-ZGzA
std_1589435028870_652,6eq2-YwY2
std_1589435030874_653,94KU-B6Zs
std_1589435034884_655,m482-3TYD
std_1589435036887_656,PUY3-7p2L
std_1589435038972_657,uH9R-Xp69
std_1589435040981_658,3vTi-hWFi
std_1589435042985_659,pqQK-Y7Fu
std_1589435044990_660,WYBp-WjEV
std_1589435046996_661,fT2J-j3kQ
std_1589435049002_662,jZ4W-KD69
std_1589435051007_663,4XP8-Q6gt
std_1589435053012_664,mMHK-ko7Y
std_1589435055016_665,pzat-c2Yd
std_1589435057021_666,GDg4-W9AU
std_1589435059026_667,qsRm-Xfsm
std_1589435061031_668,67F7-zW7Z
std_1589435063036_669,ft2z-7HF3
std_1589435065041_670,CEC6-VgcF
std_1589435067045_671,2uDf-9TxZ
std_1589435069051_672,xq2m-A93w
std_1589435071054_673,R7R7-3dF9
std_1589435073061_674,FE6o-pRAi
std_1589435075066_675,dsT2-HnjW
std_1589435077069_676,KaVC-gAQ7
std_1589435079073_677,2F76-gb6D
std_1589435081079_678,j2cg-JbVM
std_1589435083083_679,82h8-z2WB
std_1589435085087_680,x2Yw-v7YB
std_1589435087091_681,guH4-NKa7
std_1589435089097_682,mhZs-C3nw
std_1589435091102_683,WGDA-vA46
std_1589435093105_684,8ver-c2mv
std_1589435095111_685,8Acn-qKX4
std_1589435097117_686,pQEW-KPCj
std_1589435099119_687,Pfv7-QK6Q
std_1589435101125_688,KTv9-ve3G
std_1589435103131_689,EFZf-24sU
std_1589435105136_690,gJF4-kifp
std_1589435107140_691,Quca-DQ4P
std_1589435109145_692,8tkH-M4Z2
std_1589435111150_693,hrvc-8fN6
std_1589435113156_694,6Xq7-FZjh
std_1589435115161_695,Fyrz-38nk
std_1589435117165_696,R9ms-8ce6
std_1589435119171_697,3Kt9-PABk
std_1589435121177_698,d3Gi-6nPC
std_1589435123181_699,K2XG-Rs8p
std_1589435125186_700,HnYJ-zrcb
std_1589435127190_701,L3V9-hi9B
std_1589435129195_702,AtNs-yQj6
std_1589435131199_703,ginH-Rxag
std_1589435133204_704,26C6-r6b2
std_1589435135212_705,QpFu-bXzN
std_1589435139222_707,Tbq3-qFmu
std_1589435141226_708,7N4Y-TYNY
std_1589435143230_709,TRqx-43n4
std_1589435145235_710,gz7F-Yrw6
std_1589435147240_711,gDAt-nKtg
std_1589435149243_712,rCiC-dw2i
std_1589435151249_713,jT9H-4Ei3
std_1589435153254_714,hJms-iv4G
std_1589435155258_715,2w4x-di23
std_1589435157264_716,Rp9c-q2Uv
std_1589435159268_717,v2FZ-Xtv9
std_1589435161275_718,U82j-htM2
std_1589435163277_719,3WYr-j3a4
std_1589435165281_720,L6RB-buVF
std_1589435167289_721,pgKx-2G46
std_1589435169290_722,GFH2-cPr6
std_1589435171295_723,4igm-NCQg
std_1589435173305_724,K68q-e4ng
std_1589435175308_725,A9oK-X6PD
std_1589435177313_726,C4ij-Aa7V
std_1589435179314_727,v39c-iC6U
std_1589435181320_728,46Wd-87vy
