teacher,stduuid,stdextuderid,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200629-073759_7,27376b7a-b9af-11ea-840b-0242ac110002,std_1593397267165_7,class_20200629-073759_7,xcLR-xGUr,9b2eab17-26e2-491c-8a82-2ad2931d76b1,8638be48-5546-4bfc-a14d-dabad923d2b1,e9424cd6-4211-4093-8a32-fd8f833863b8,9f5f8f16-cdba-4dae-825f-ca52bb05a739,6bb3c364-3f18-49a7-9ff0-04c2e2593e12
tch_20200629-073759_1,2dd21765-b9af-11ea-840b-0242ac110002,std_1593397278227_1,class_20200629-073759_1,XDsV-8TDU,a6a1db64-4e9e-4693-b5a0-d786ff62d64b,63edc05b-f49f-4697-a834-70e9019396bd,48f0bb3b-35f0-4e60-a454-30706304e4dc,ae083627-0e26-4e9f-b56e-40d452b1cf57,1967596c-c73c-4451-8f7a-4329227e7596
tch_20200629-073759_8,2ea03ccc-b9af-11ea-94cc-0242ac110002,std_1593397279521_8,class_20200629-073759_8,N37p-GLbo,98ba91bc-3bd0-4c20-9152-b085e73697ec,39f8b234-588b-42d6-b36b-c25dea5be447,1e4590f3-99ce-47be-87f5-107172576b87,bf50e260-62ec-427a-bd59-008a71d2d568,9342183f-4b2f-42e7-abba-7fd4ac39886f
tch_20200629-073759_4,2fd7ab63-b9af-11ea-840b-0242ac110002,std_1593397281606_4,class_20200629-073759_4,mczg-hUvk,0c527c54-a33e-4a4d-962f-3bbaafaddd33,ffd4eb0a-c58f-408b-83bd-a6261a368709,8bf1b6a6-1506-4550-bbcf-e7dd33412f9d,e390b04a-be15-4ae7-ad5e-1e4a0a483ac1,73538faa-b4a9-4651-9e2e-a523b927d7c6
tch_20200629-073759_2,30041326-b9af-11ea-840b-0242ac110002,std_1593397281906_2,class_20200629-073759_2,9MZ6-A9TX,28e31706-7017-439a-b9fc-cdb60ac53463,c246634b-3289-45bc-bab9-560376f91cf8,8b9f3e9c-b579-4565-a797-24fb90735128,d543178f-6dcc-40a8-a2d3-88695ebb9865,3ad17118-f9d6-4ea5-9276-9b284b672051
tch_20200629-073759_6,320364fa-b9af-11ea-94cc-0242ac110002,std_1593397285249_6,class_20200629-073759_6,7tT2-ciAZ,de8d5015-b336-4550-949e-69d5b2a66998,7495409a-f757-4714-957c-1bbf17c4aa5a,1e0d1967-45a6-4316-bab3-59bea2d45eb6,1ddf56a9-0a6e-4bb7-8e3c-c1dbafa802d4,c68523b1-f74a-4e5c-bec2-67f99abf1931
tch_20200629-073759_3,349470c1-b9af-11ea-94cc-0242ac110002,std_1593397289552_3,class_20200629-073759_3,Jmw9-7F3G,6f949a07-0031-4322-b772-9fe7b2c10c1f,47e996c3-701d-4f91-87bf-261cd0031ad5,b9d05c2a-b675-4382-a311-f2bafd2775f9,0f60e975-2ab0-453a-b380-9f72c03c7f9a,771e0e4d-584b-4e92-b10d-be55c20b21bf
tch_20200629-073759_5,36354f45-b9af-11ea-94cc-0242ac110002,std_1593397292302_5,class_20200629-073759_5,6M9G-46LJ,d99406b2-d467-4b70-9c48-a0b3af45604e,f4f3d226-4329-4b13-bd7c-63be351c64c6,a5fbff9a-53e8-4236-a838-3eaa04de30a2,e382a9c1-11f3-4ab0-aee3-e3eed02278f8,00780362-da75-40aa-8c31-cc0a1642f3ab
tch_20200629-073759_7,3806db17-b9af-11ea-840b-0242ac110002,std_1593397295328_7,class_20200629-073759_7,xcLR-xGUr,9b2eab17-26e2-491c-8a82-2ad2931d76b1,8638be48-5546-4bfc-a14d-dabad923d2b1,e9424cd6-4211-4093-8a32-fd8f833863b8,9f5f8f16-cdba-4dae-825f-ca52bb05a739,6bb3c364-3f18-49a7-9ff0-04c2e2593e12
tch_20200629-073759_8,3ec318bf-b9af-11ea-94cc-0242ac110002,std_1593397306649_8,class_20200629-073759_8,N37p-GLbo,98ba91bc-3bd0-4c20-9152-b085e73697ec,39f8b234-588b-42d6-b36b-c25dea5be447,1e4590f3-99ce-47be-87f5-107172576b87,bf50e260-62ec-427a-bd59-008a71d2d568,9342183f-4b2f-42e7-abba-7fd4ac39886f
tch_20200629-073759_2,4256ee70-b9af-11ea-94cc-0242ac110002,std_1593397312626_2,class_20200629-073759_2,9MZ6-A9TX,28e31706-7017-439a-b9fc-cdb60ac53463,c246634b-3289-45bc-bab9-560376f91cf8,8b9f3e9c-b579-4565-a797-24fb90735128,d543178f-6dcc-40a8-a2d3-88695ebb9865,3ad17118-f9d6-4ea5-9276-9b284b672051
tch_20200629-073759_4,3fcc4b80-b9af-11ea-94cc-0242ac110002,std_1593397308403_4,class_20200629-073759_4,mczg-hUvk,0c527c54-a33e-4a4d-962f-3bbaafaddd33,ffd4eb0a-c58f-408b-83bd-a6261a368709,8bf1b6a6-1506-4550-bbcf-e7dd33412f9d,e390b04a-be15-4ae7-ad5e-1e4a0a483ac1,73538faa-b4a9-4651-9e2e-a523b927d7c6
tch_20200629-073759_9,44b74be9-b9af-11ea-840b-0242ac110002,std_1593397316642_9,class_20200629-073759_9,sQLK-6P46,7dc8f2cb-56e3-4267-8dc8-23f62493d41e,0839fedc-2fb2-43fa-9e3f-956377b52f9a,df485946-01d9-4b0b-a30b-6ebeadf8b0d7,889625f4-28b7-4a60-bc36-c491ddb1be59,0b0451e6-aacb-4594-84b4-496599fa2289
tch_20200629-073759_6,432fe8af-b9af-11ea-840b-0242ac110002,std_1593397314083_6,class_20200629-073759_6,7tT2-ciAZ,de8d5015-b336-4550-949e-69d5b2a66998,7495409a-f757-4714-957c-1bbf17c4aa5a,1e0d1967-45a6-4316-bab3-59bea2d45eb6,1ddf56a9-0a6e-4bb7-8e3c-c1dbafa802d4,c68523b1-f74a-4e5c-bec2-67f99abf1931
tch_20200629-073759_3,457b382e-b9af-11ea-94cc-0242ac110002,std_1593397317921_3,class_20200629-073759_3,Jmw9-7F3G,6f949a07-0031-4322-b772-9fe7b2c10c1f,47e996c3-701d-4f91-87bf-261cd0031ad5,b9d05c2a-b675-4382-a311-f2bafd2775f9,0f60e975-2ab0-453a-b380-9f72c03c7f9a,771e0e4d-584b-4e92-b10d-be55c20b21bf
tch_20200629-073759_7,47995e23-b9af-11ea-840b-0242ac110002,std_1593397321476_7,class_20200629-073759_7,xcLR-xGUr,9b2eab17-26e2-491c-8a82-2ad2931d76b1,8638be48-5546-4bfc-a14d-dabad923d2b1,e9424cd6-4211-4093-8a32-fd8f833863b8,9f5f8f16-cdba-4dae-825f-ca52bb05a739,6bb3c364-3f18-49a7-9ff0-04c2e2593e12
tch_20200629-073759_1,4b24a798-b9af-11ea-94cc-0242ac110002,std_1593397327410_1,class_20200629-073759_1,XDsV-8TDU,a6a1db64-4e9e-4693-b5a0-d786ff62d64b,63edc05b-f49f-4697-a834-70e9019396bd,48f0bb3b-35f0-4e60-a454-30706304e4dc,ae083627-0e26-4e9f-b56e-40d452b1cf57,1967596c-c73c-4451-8f7a-4329227e7596
tch_20200629-073759_8,4da1195e-b9af-11ea-94cc-0242ac110002,std_1593397331556_8,class_20200629-073759_8,N37p-GLbo,98ba91bc-3bd0-4c20-9152-b085e73697ec,39f8b234-588b-42d6-b36b-c25dea5be447,1e4590f3-99ce-47be-87f5-107172576b87,bf50e260-62ec-427a-bd59-008a71d2d568,9342183f-4b2f-42e7-abba-7fd4ac39886f
tch_20200629-073759_4,521f4dee-b9af-11ea-840b-0242ac110002,std_1593397339133_4,class_20200629-073759_4,mczg-hUvk,0c527c54-a33e-4a4d-962f-3bbaafaddd33,ffd4eb0a-c58f-408b-83bd-a6261a368709,8bf1b6a6-1506-4550-bbcf-e7dd33412f9d,e390b04a-be15-4ae7-ad5e-1e4a0a483ac1,73538faa-b4a9-4651-9e2e-a523b927d7c6
tch_20200629-073759_9,53db7cf4-b9af-11ea-94cc-0242ac110002,std_1593397342040_9,class_20200629-073759_9,sQLK-6P46,7dc8f2cb-56e3-4267-8dc8-23f62493d41e,0839fedc-2fb2-43fa-9e3f-956377b52f9a,df485946-01d9-4b0b-a30b-6ebeadf8b0d7,889625f4-28b7-4a60-bc36-c491ddb1be59,0b0451e6-aacb-4594-84b4-496599fa2289
tch_20200629-073759_3,554a4f04-b9af-11ea-840b-0242ac110002,std_1593397344464_3,class_20200629-073759_3,Jmw9-7F3G,6f949a07-0031-4322-b772-9fe7b2c10c1f,47e996c3-701d-4f91-87bf-261cd0031ad5,b9d05c2a-b675-4382-a311-f2bafd2775f9,0f60e975-2ab0-453a-b380-9f72c03c7f9a,771e0e4d-584b-4e92-b10d-be55c20b21bf
tch_20200629-073759_10,55d7e9a4-b9af-11ea-94cc-0242ac110002,std_1593397345370_10,class_20200629-073759_10,rKX4-W92m,bbf96ad6-b8f2-421e-8cf1-fb51974411b7,255f1707-73d1-4d4f-8a49-20442aff5c88,53aed0ee-e85a-46ce-87f1-68ceb87a167c,f896b9d8-b3d7-41e9-927e-deb2c43565af,241b88d5-a768-4c5d-9572-1b6d102e32e1
tch_20200629-073759_5,5800bccd-b9af-11ea-840b-0242ac110002,std_1593397348977_5,class_20200629-073759_5,6M9G-46LJ,d99406b2-d467-4b70-9c48-a0b3af45604e,f4f3d226-4329-4b13-bd7c-63be351c64c6,a5fbff9a-53e8-4236-a838-3eaa04de30a2,e382a9c1-11f3-4ab0-aee3-e3eed02278f8,00780362-da75-40aa-8c31-cc0a1642f3ab
tch_20200629-073759_1,5a4ccfba-b9af-11ea-94cc-0242ac110002,std_1593397352847_1,class_20200629-073759_1,XDsV-8TDU,a6a1db64-4e9e-4693-b5a0-d786ff62d64b,63edc05b-f49f-4697-a834-70e9019396bd,48f0bb3b-35f0-4e60-a454-30706304e4dc,ae083627-0e26-4e9f-b56e-40d452b1cf57,1967596c-c73c-4451-8f7a-4329227e7596
tch_20200629-073759_8,5dcea322-b9af-11ea-840b-0242ac110002,std_1593397358753_8,class_20200629-073759_8,N37p-GLbo,98ba91bc-3bd0-4c20-9152-b085e73697ec,39f8b234-588b-42d6-b36b-c25dea5be447,1e4590f3-99ce-47be-87f5-107172576b87,bf50e260-62ec-427a-bd59-008a71d2d568,9342183f-4b2f-42e7-abba-7fd4ac39886f
tch_20200629-073759_4,611283e4-b9af-11ea-94cc-0242ac110002,std_1593397364212_4,class_20200629-073759_4,mczg-hUvk,0c527c54-a33e-4a4d-962f-3bbaafaddd33,ffd4eb0a-c58f-408b-83bd-a6261a368709,8bf1b6a6-1506-4550-bbcf-e7dd33412f9d,e390b04a-be15-4ae7-ad5e-1e4a0a483ac1,73538faa-b4a9-4651-9e2e-a523b927d7c6
tch_20200629-073759_2,60dfb3c9-b9af-11ea-840b-0242ac110002,std_1593397363884_2,class_20200629-073759_2,9MZ6-A9TX,28e31706-7017-439a-b9fc-cdb60ac53463,c246634b-3289-45bc-bab9-560376f91cf8,8b9f3e9c-b579-4565-a797-24fb90735128,d543178f-6dcc-40a8-a2d3-88695ebb9865,3ad17118-f9d6-4ea5-9276-9b284b672051
tch_20200629-073759_6,62fdb238-b9af-11ea-94cc-0242ac110002,std_1593397367417_6,class_20200629-073759_6,7tT2-ciAZ,de8d5015-b336-4550-949e-69d5b2a66998,7495409a-f757-4714-957c-1bbf17c4aa5a,1e0d1967-45a6-4316-bab3-59bea2d45eb6,1ddf56a9-0a6e-4bb7-8e3c-c1dbafa802d4,c68523b1-f74a-4e5c-bec2-67f99abf1931
tch_20200629-073759_9,6395101b-b9af-11ea-840b-0242ac110002,std_1593397368413_9,class_20200629-073759_9,sQLK-6P46,7dc8f2cb-56e3-4267-8dc8-23f62493d41e,0839fedc-2fb2-43fa-9e3f-956377b52f9a,df485946-01d9-4b0b-a30b-6ebeadf8b0d7,889625f4-28b7-4a60-bc36-c491ddb1be59,0b0451e6-aacb-4594-84b4-496599fa2289
tch_20200629-073759_10,65d75e93-b9af-11ea-840b-0242ac110002,std_1593397372191_10,class_20200629-073759_10,rKX4-W92m,bbf96ad6-b8f2-421e-8cf1-fb51974411b7,255f1707-73d1-4d4f-8a49-20442aff5c88,53aed0ee-e85a-46ce-87f1-68ceb87a167c,f896b9d8-b3d7-41e9-927e-deb2c43565af,241b88d5-a768-4c5d-9572-1b6d102e32e1
tch_20200629-073759_3,65a26c6b-b9af-11ea-94cc-0242ac110002,std_1593397371878_3,class_20200629-073759_3,Jmw9-7F3G,6f949a07-0031-4322-b772-9fe7b2c10c1f,47e996c3-701d-4f91-87bf-261cd0031ad5,b9d05c2a-b675-4382-a311-f2bafd2775f9,0f60e975-2ab0-453a-b380-9f72c03c7f9a,771e0e4d-584b-4e92-b10d-be55c20b21bf
tch_20200629-073759_5,6662d613-b9af-11ea-94cc-0242ac110002,std_1593397373110_5,class_20200629-073759_5,6M9G-46LJ,d99406b2-d467-4b70-9c48-a0b3af45604e,f4f3d226-4329-4b13-bd7c-63be351c64c6,a5fbff9a-53e8-4236-a838-3eaa04de30a2,e382a9c1-11f3-4ab0-aee3-e3eed02278f8,00780362-da75-40aa-8c31-cc0a1642f3ab
tch_20200629-073759_7,69636bb8-b9af-11ea-94cc-0242ac110002,std_1593397378184_7,class_20200629-073759_7,xcLR-xGUr,9b2eab17-26e2-491c-8a82-2ad2931d76b1,8638be48-5546-4bfc-a14d-dabad923d2b1,e9424cd6-4211-4093-8a32-fd8f833863b8,9f5f8f16-cdba-4dae-825f-ca52bb05a739,6bb3c364-3f18-49a7-9ff0-04c2e2593e12
tch_20200629-073759_1,6923a3d0-b9af-11ea-94cc-0242ac110002,std_1593397377737_1,class_20200629-073759_1,XDsV-8TDU,a6a1db64-4e9e-4693-b5a0-d786ff62d64b,63edc05b-f49f-4697-a834-70e9019396bd,48f0bb3b-35f0-4e60-a454-30706304e4dc,ae083627-0e26-4e9f-b56e-40d452b1cf57,1967596c-c73c-4451-8f7a-4329227e7596
tch_20200629-073759_9,7476a83e-b9af-11ea-94cc-0242ac110002,std_1593397396684_9,class_20200629-073759_9,sQLK-6P46,7dc8f2cb-56e3-4267-8dc8-23f62493d41e,0839fedc-2fb2-43fa-9e3f-956377b52f9a,df485946-01d9-4b0b-a30b-6ebeadf8b0d7,889625f4-28b7-4a60-bc36-c491ddb1be59,0b0451e6-aacb-4594-84b4-496599fa2289
tch_20200629-073759_11,7397b97c-b9af-11ea-840b-0242ac110002,std_1593397395297_11,class_20200629-073759_11,287H-2mT9,7d199014-bd16-4630-a993-52c26873cd0e,6c499230-91f3-4140-bd94-64b40eb32572,eedbfbcc-ffbd-43a1-8621-b0fd4ae8ba8d,af4deb7e-0313-419f-a42b-ac6cc79cbb74,90f1c46c-45b4-41dd-8988-01f6cea0896b
tch_20200629-073759_2,72ca094d-b9af-11ea-840b-0242ac110002,std_1593397393937_2,class_20200629-073759_2,9MZ6-A9TX,28e31706-7017-439a-b9fc-cdb60ac53463,c246634b-3289-45bc-bab9-560376f91cf8,8b9f3e9c-b579-4565-a797-24fb90735128,d543178f-6dcc-40a8-a2d3-88695ebb9865,3ad17118-f9d6-4ea5-9276-9b284b672051
tch_20200629-073759_6,73945e2e-b9af-11ea-94cc-0242ac110002,std_1593397395244_6,class_20200629-073759_6,7tT2-ciAZ,de8d5015-b336-4550-949e-69d5b2a66998,7495409a-f757-4714-957c-1bbf17c4aa5a,1e0d1967-45a6-4316-bab3-59bea2d45eb6,1ddf56a9-0a6e-4bb7-8e3c-c1dbafa802d4,c68523b1-f74a-4e5c-bec2-67f99abf1931
tch_20200629-073759_12,7585f4ca-b9af-11ea-840b-0242ac110002,std_1593397398530_12,class_20200629-073759_12,8P3u-6hAb,fb9ac09d-6acf-44ed-a7d2-0af1916960c9,e3ffcdfc-e654-4af1-874d-b6ce1f17db84,0e12a54c-355e-4121-b3da-b677e3c6b8a0,0a77d651-4c6a-4629-acee-cf2469dcd3e3,ae1cb377-ed8f-41e0-8b67-aadea0573345
tch_20200629-073759_10,75ff4437-b9af-11ea-840b-0242ac110002,std_1593397399324_10,class_20200629-073759_10,rKX4-W92m,bbf96ad6-b8f2-421e-8cf1-fb51974411b7,255f1707-73d1-4d4f-8a49-20442aff5c88,53aed0ee-e85a-46ce-87f1-68ceb87a167c,f896b9d8-b3d7-41e9-927e-deb2c43565af,241b88d5-a768-4c5d-9572-1b6d102e32e1
tch_20200629-073759_7,785bd1f9-b9af-11ea-840b-0242ac110002,std_1593397403281_7,class_20200629-073759_7,xcLR-xGUr,9b2eab17-26e2-491c-8a82-2ad2931d76b1,8638be48-5546-4bfc-a14d-dabad923d2b1,e9424cd6-4211-4093-8a32-fd8f833863b8,9f5f8f16-cdba-4dae-825f-ca52bb05a739,6bb3c364-3f18-49a7-9ff0-04c2e2593e12
