tch,col1,stdextuserid,col2
tch_20200629-073759_2,a1ed9a30-b9af-11ea-94cc-0242ac110002,std_1593397473030_2,707378af-b64b-4b2a-9de2-72788467931f
tch_20200629-073759_1,2dd21765-b9af-11ea-840b-0242ac110002,std_1593397278227_1,6a42b56c-b3e7-4fe5-a360-7214b47ad720
tch_20200629-073759_2,93e49d85-b9af-11ea-840b-0242ac110002,std_1593397449503_2,38e9e031-7fb1-413b-a160-d042e3c7c7c7
tch_20200629-073759_1,1c9789f1-b9af-11ea-840b-0242ac110002,std_1593397249325_1,6a42b56c-b3e7-4fe5-a360-7214b47ad720
tch_20200629-073759_2,831973e2-b9af-11ea-94cc-0242ac110002,std_1593397421330_2,38e9e031-7fb1-413b-a160-d042e3c7c7c7
tch_20200629-073759_1,0eb1305b-b9af-11ea-840b-0242ac110002,std_1593397226010_1,6a42b56c-b3e7-4fe5-a360-7214b47ad720
tch_20200629-073759_1,ffa4a643-b9ae-11ea-94cc-0242ac110002,std_1593397200764_1,6a42b56c-b3e7-4fe5-a360-7214b47ad720
tch_20200629-073759_2,72ca094d-b9af-11ea-840b-0242ac110002,std_1593397393937_2,38e9e031-7fb1-413b-a160-d042e3c7c7c7
tch_20200629-073759_4,00df2c76-b9b0-11ea-840b-0242ac110002,std_1593397632335_4,d7af5e4f-9a06-4d18-9a70-2262d027b098
tch_20200629-073759_1,f027808b-b9ae-11ea-840b-0242ac110002,std_1593397174773_1,6a42b56c-b3e7-4fe5-a360-7214b47ad720
tch_20200629-073759_2,60dfb3c9-b9af-11ea-840b-0242ac110002,std_1593397363884_2,38e9e031-7fb1-413b-a160-d042e3c7c7c7
tch_20200629-073759_4,f0d6b6b0-b9af-11ea-94cc-0242ac110002,std_1593397605414_4,d7af5e4f-9a06-4d18-9a70-2262d027b098
tch_20200629-073759_2,517db707-b9af-11ea-840b-0242ac110002,std_1593397338062_2,38e9e031-7fb1-413b-a160-d042e3c7c7c7
tch_20200629-073759_4,e1336afb-b9af-11ea-94cc-0242ac110002,std_1593397579197_4,d7af5e4f-9a06-4d18-9a70-2262d027b098
tch_20200629-073759_3,0754c509-b9b0-11ea-94cc-0242ac110002,std_1593397643137_3,d67a329f-6bc7-4bf5-ba5f-d37ce95e3a12
tch_20200629-073759_4,d1c40036-b9af-11ea-94cc-0242ac110002,std_1593397553278_4,d7af5e4f-9a06-4d18-9a70-2262d027b098
tch_20200629-073759_3,f6d857d9-b9af-11ea-94cc-0242ac110002,std_1593397615509_3,d67a329f-6bc7-4bf5-ba5f-d37ce95e3a12
tch_20200629-073759_4,c19cdea3-b9af-11ea-840b-0242ac110002,std_1593397526213_4,d7af5e4f-9a06-4d18-9a70-2262d027b098
tch_20200629-073759_1,e20d1ee1-b9ae-11ea-840b-0242ac110002,std_1593397151072_1,7fd14232-3364-4921-a264-4c3e825862ec
tch_20200629-073759_3,e63cc93e-b9af-11ea-840b-0242ac110002,std_1593397587614_3,d67a329f-6bc7-4bf5-ba5f-d37ce95e3a12
tch_20200629-073759_2,4256ee70-b9af-11ea-94cc-0242ac110002,std_1593397312626_2,f96b4a19-3fa9-4e98-bb05-d7b7a1ca71df
tch_20200629-073759_3,d6ffb925-b9af-11ea-840b-0242ac110002,std_1593397562085_3,d67a329f-6bc7-4bf5-ba5f-d37ce95e3a12
tch_20200629-073759_1,d20b389d-b9ae-11ea-94cc-0242ac110002,std_1593397124248_1,7fd14232-3364-4921-a264-4c3e825862ec
tch_20200629-073759_2,30041326-b9af-11ea-840b-0242ac110002,std_1593397281906_2,f96b4a19-3fa9-4e98-bb05-d7b7a1ca71df
tch_20200629-073759_3,c61c4c6f-b9af-11ea-840b-0242ac110002,std_1593397533723_3,d67a329f-6bc7-4bf5-ba5f-d37ce95e3a12
tch_20200629-073759_1,c2f2a09a-b9ae-11ea-840b-0242ac110002,std_1593397098919_1,7fd14232-3364-4921-a264-4c3e825862ec
tch_20200629-073759_1,b208cab8-b9ae-11ea-94cc-0242ac110002,std_1593397070530_1,7fd14232-3364-4921-a264-4c3e825862ec
tch_20200629-073759_4,b1dcbbb4-b9af-11ea-840b-0242ac110002,std_1593397499765_4,03674439-c742-4754-a4c5-0df883aedaf9
tch_20200629-073759_2,1f353f12-b9af-11ea-94cc-0242ac110002,std_1593397253686_2,f96b4a19-3fa9-4e98-bb05-d7b7a1ca71df
tch_20200629-073759_2,0ecf1930-b9af-11ea-94cc-0242ac110002,std_1593397226191_2,f96b4a19-3fa9-4e98-bb05-d7b7a1ca71df
tch_20200629-073759_4,a2337d5b-b9af-11ea-840b-0242ac110002,std_1593397473479_4,03674439-c742-4754-a4c5-0df883aedaf9
tch_20200629-073759_1,a4d67f18-b9ae-11ea-840b-0242ac110002,std_1593397048106_1,7fd14232-3364-4921-a264-4c3e825862ec
tch_20200629-073759_4,91028c0a-b9af-11ea-94cc-0242ac110002,std_1593397444636_4,03674439-c742-4754-a4c5-0df883aedaf9
tch_20200629-073759_2,fe93ab58-b9ae-11ea-840b-0242ac110002,std_1593397198956_2,f96b4a19-3fa9-4e98-bb05-d7b7a1ca71df
tch_20200629-073759_3,b4cab405-b9af-11ea-840b-0242ac110002,std_1593397504677_3,83eacdec-a0d9-47fa-8fe6-5de9deb9ced7
tch_20200629-073759_4,83284081-b9af-11ea-840b-0242ac110002,std_1593397421430_4,03674439-c742-4754-a4c5-0df883aedaf9
tch_20200629-073759_3,a509ce25-b9af-11ea-94cc-0242ac110002,std_1593397478240_3,83eacdec-a0d9-47fa-8fe6-5de9deb9ced7
tch_20200629-073759_4,70a4df6e-b9af-11ea-840b-0242ac110002,std_1593397390330_4,03674439-c742-4754-a4c5-0df883aedaf9
tch_20200629-073759_3,94f71f53-b9af-11ea-840b-0242ac110002,std_1593397451268_3,83eacdec-a0d9-47fa-8fe6-5de9deb9ced7
tch_20200629-073759_5,250f17c7-b9b0-11ea-840b-0242ac110002,std_1593397692963_5,917751cb-b820-4577-ac90-c0c079a009af
tch_20200629-073759_3,848f239e-b9af-11ea-840b-0242ac110002,std_1593397423690_3,83eacdec-a0d9-47fa-8fe6-5de9deb9ced7
tch_20200629-073759_5,1559caae-b9b0-11ea-94cc-0242ac110002,std_1593397666673_5,917751cb-b820-4577-ac90-c0c079a009af
tch_20200629-073759_2,f0acdd86-b9ae-11ea-94cc-0242ac110002,std_1593397175633_2,c60580b7-979c-42b8-8eb7-e5f10af0836e
tch_20200629-073759_3,763b896d-b9af-11ea-840b-0242ac110002,std_1593397399731_3,83eacdec-a0d9-47fa-8fe6-5de9deb9ced7
tch_20200629-073759_5,06323e30-b9b0-11ea-840b-0242ac110002,std_1593397641226_5,917751cb-b820-4577-ac90-c0c079a009af
tch_20200629-073759_2,e05eab21-b9ae-11ea-840b-0242ac110002,std_1593397148288_2,c60580b7-979c-42b8-8eb7-e5f10af0836e
tch_20200629-073759_5,f8803b9a-b9af-11ea-94cc-0242ac110002,std_1593397618258_5,917751cb-b820-4577-ac90-c0c079a009af
tch_20200629-073759_2,d13af004-b9ae-11ea-840b-0242ac110002,std_1593397122885_2,c60580b7-979c-42b8-8eb7-e5f10af0836e
tch_20200629-073759_4,611283e4-b9af-11ea-94cc-0242ac110002,std_1593397364212_4,ac643cfe-f086-4043-b9c9-c61ed477bc72
tch_20200629-073759_5,e9c99997-b9af-11ea-840b-0242ac110002,std_1593397593585_5,917751cb-b820-4577-ac90-c0c079a009af
tch_20200629-073759_4,521f4dee-b9af-11ea-840b-0242ac110002,std_1593397339133_4,ac643cfe-f086-4043-b9c9-c61ed477bc72
tch_20200629-073759_2,c24e2319-b9ae-11ea-840b-0242ac110002,std_1593397097828_2,c60580b7-979c-42b8-8eb7-e5f10af0836e
tch_20200629-073759_4,3fcc4b80-b9af-11ea-94cc-0242ac110002,std_1593397308403_4,ac643cfe-f086-4043-b9c9-c61ed477bc72
tch_20200629-073759_2,b247f626-b9ae-11ea-94cc-0242ac110002,std_1593397070614_2,c60580b7-979c-42b8-8eb7-e5f10af0836e
tch_20200629-073759_3,65a26c6b-b9af-11ea-94cc-0242ac110002,std_1593397371878_3,15435236-267f-4007-b50e-f35f019428a1
tch_20200629-073759_4,2fd7ab63-b9af-11ea-840b-0242ac110002,std_1593397281606_4,ac643cfe-f086-4043-b9c9-c61ed477bc72
tch_20200629-073759_7,385d9074-b9b0-11ea-840b-0242ac110002,std_1593397725427_7,cad34d1b-bd9d-418d-91e7-3604d421aa6d
tch_20200629-073759_6,3874e95a-b9b0-11ea-840b-0242ac110002,std_1593397725575_6,41ecc1c7-6a9a-42f0-83ae-1b0bef518e06
tch_20200629-073759_3,554a4f04-b9af-11ea-840b-0242ac110002,std_1593397344464_3,15435236-267f-4007-b50e-f35f019428a1
tch_20200629-073759_7,27b41fb2-b9b0-11ea-94cc-0242ac110002,std_1593397697447_7,cad34d1b-bd9d-418d-91e7-3604d421aa6d
tch_20200629-073759_4,20cea39e-b9af-11ea-94cc-0242ac110002,std_1593397256389_4,ac643cfe-f086-4043-b9c9-c61ed477bc72
tch_20200629-073759_6,25e4b725-b9b0-11ea-94cc-0242ac110002,std_1593397694456_6,41ecc1c7-6a9a-42f0-83ae-1b0bef518e06
tch_20200629-073759_5,d9bd043e-b9af-11ea-840b-0242ac110002,std_1593397566642_5,0d032aed-0bb1-48f1-a37d-55ee5faca64f
tch_20200629-073759_3,457b382e-b9af-11ea-94cc-0242ac110002,std_1593397317921_3,15435236-267f-4007-b50e-f35f019428a1
tch_20200629-073759_7,17b9175a-b9b0-11ea-840b-0242ac110002,std_1593397670688_7,cad34d1b-bd9d-418d-91e7-3604d421aa6d
tch_20200629-073759_3,349470c1-b9af-11ea-94cc-0242ac110002,std_1593397289552_3,15435236-267f-4007-b50e-f35f019428a1
tch_20200629-073759_6,139c14a5-b9b0-11ea-840b-0242ac110002,std_1593397663769_6,41ecc1c7-6a9a-42f0-83ae-1b0bef518e06
tch_20200629-073759_5,c84b3a2a-b9af-11ea-840b-0242ac110002,std_1593397537394_5,0d032aed-0bb1-48f1-a37d-55ee5faca64f
tch_20200629-073759_7,08344f9d-b9b0-11ea-840b-0242ac110002,std_1593397644646_7,cad34d1b-bd9d-418d-91e7-3604d421aa6d
tch_20200629-073759_6,0221e622-b9b0-11ea-840b-0242ac110002,std_1593397634446_6,41ecc1c7-6a9a-42f0-83ae-1b0bef518e06
tch_20200629-073759_5,b59c5c62-b9af-11ea-840b-0242ac110002,std_1593397506058_5,0d032aed-0bb1-48f1-a37d-55ee5faca64f
tch_20200629-073759_7,f862a0ff-b9af-11ea-94cc-0242ac110002,std_1593397618081_7,cad34d1b-bd9d-418d-91e7-3604d421aa6d
tch_20200629-073759_3,25b007e9-b9af-11ea-94cc-0242ac110002,std_1593397264582_3,15435236-267f-4007-b50e-f35f019428a1
tch_20200629-073759_6,f289214c-b9af-11ea-94cc-0242ac110002,std_1593397608261_6,41ecc1c7-6a9a-42f0-83ae-1b0bef518e06
tch_20200629-073759_5,a759d906-b9af-11ea-840b-0242ac110002,std_1593397482142_5,0d032aed-0bb1-48f1-a37d-55ee5faca64f
tch_20200629-073759_4,10754ed3-b9af-11ea-840b-0242ac110002,std_1593397228969_4,69c0c997-fbd7-49f4-b6e4-e083d74fee2e
tch_20200629-073759_5,96ef9438-b9af-11ea-840b-0242ac110002,std_1593397454584_5,0d032aed-0bb1-48f1-a37d-55ee5faca64f
tch_20200629-073759_8,495a2aa2-b9b0-11ea-840b-0242ac110002,std_1593397753924_8,50131e39-e8fa-47ca-b6a2-fdc3b773fb4f
tch_20200629-073759_4,00415c31-b9af-11ea-94cc-0242ac110002,std_1593397201786_4,69c0c997-fbd7-49f4-b6e4-e083d74fee2e
tch_20200629-073759_7,e8809e27-b9af-11ea-94cc-0242ac110002,std_1593397591459_7,9d28c0be-757a-4b29-aa86-a0ad8da50c7b
tch_20200629-073759_3,166e3c94-b9af-11ea-840b-0242ac110002,std_1593397238927_3,f21d2a0d-b32e-438d-8a50-ef4c529c76ca
tch_20200629-073759_4,f091db39-b9ae-11ea-840b-0242ac110002,std_1593397175481_4,69c0c997-fbd7-49f4-b6e4-e083d74fee2e
tch_20200629-073759_8,37f902cb-b9b0-11ea-94cc-0242ac110002,std_1593397724781_8,50131e39-e8fa-47ca-b6a2-fdc3b773fb4f
tch_20200629-073759_7,d94f754c-b9af-11ea-94cc-0242ac110002,std_1593397565936_7,9d28c0be-757a-4b29-aa86-a0ad8da50c7b
tch_20200629-073759_3,03fe63d2-b9af-11ea-840b-0242ac110002,std_1593397208012_3,f21d2a0d-b32e-438d-8a50-ef4c529c76ca
tch_20200629-073759_4,e189bd51-b9ae-11ea-840b-0242ac110002,std_1593397150246_4,69c0c997-fbd7-49f4-b6e4-e083d74fee2e
tch_20200629-073759_8,2629fdb1-b9b0-11ea-840b-0242ac110002,std_1593397694891_8,50131e39-e8fa-47ca-b6a2-fdc3b773fb4f
tch_20200629-073759_6,e259e9c8-b9af-11ea-840b-0242ac110002,std_1593397581098_6,04a70a1b-66e3-4010-8d97-e9934b5b9ce0
tch_20200629-073759_7,c8b8c8b5-b9af-11ea-94cc-0242ac110002,std_1593397538128_7,9d28c0be-757a-4b29-aa86-a0ad8da50c7b
tch_20200629-073759_5,890542d4-b9af-11ea-94cc-0242ac110002,std_1593397431226_5,fdce8b52-60dc-4fcf-a001-b8402ad2dbb9
tch_20200629-073759_3,f5fd7d49-b9ae-11ea-94cc-0242ac110002,std_1593397184544_3,f21d2a0d-b32e-438d-8a50-ef4c529c76ca
tch_20200629-073759_4,d19e6c6a-b9ae-11ea-840b-0242ac110002,std_1593397123266_4,69c0c997-fbd7-49f4-b6e4-e083d74fee2e
tch_20200629-073759_6,d28f66f6-b9af-11ea-840b-0242ac110002,std_1593397554619_6,04a70a1b-66e3-4010-8d97-e9934b5b9ce0
tch_20200629-073759_8,175105f1-b9b0-11ea-840b-0242ac110002,std_1593397669986_8,50131e39-e8fa-47ca-b6a2-fdc3b773fb4f
tch_20200629-073759_3,e6fc64dd-b9ae-11ea-94cc-0242ac110002,std_1593397159317_3,f21d2a0d-b32e-438d-8a50-ef4c529c76ca
tch_20200629-073759_7,b682014d-b9af-11ea-840b-0242ac110002,std_1593397507560_7,9d28c0be-757a-4b29-aa86-a0ad8da50c7b
tch_20200629-073759_5,7804b0f8-b9af-11ea-94cc-0242ac110002,std_1593397402719_5,fdce8b52-60dc-4fcf-a001-b8402ad2dbb9
tch_20200629-073759_8,073ad4a0-b9b0-11ea-840b-0242ac110002,std_1593397642985_8,50131e39-e8fa-47ca-b6a2-fdc3b773fb4f
tch_20200629-073759_6,c2125cd8-b9af-11ea-94cc-0242ac110002,std_1593397526949_6,04a70a1b-66e3-4010-8d97-e9934b5b9ce0
tch_20200629-073759_3,d5d33c7f-b9ae-11ea-94cc-0242ac110002,std_1593397130291_3,f21d2a0d-b32e-438d-8a50-ef4c529c76ca
tch_20200629-073759_5,6662d613-b9af-11ea-94cc-0242ac110002,std_1593397373110_5,fdce8b52-60dc-4fcf-a001-b8402ad2dbb9
tch_20200629-073759_7,a4d1ce18-b9af-11ea-840b-0242ac110002,std_1593397477874_7,9d28c0be-757a-4b29-aa86-a0ad8da50c7b
tch_20200629-073759_6,b1db8421-b9af-11ea-840b-0242ac110002,std_1593397499775_6,04a70a1b-66e3-4010-8d97-e9934b5b9ce0
tch_20200629-073759_5,5800bccd-b9af-11ea-840b-0242ac110002,std_1593397348977_5,fdce8b52-60dc-4fcf-a001-b8402ad2dbb9
tch_20200629-073759_6,a320ea92-b9af-11ea-840b-0242ac110002,std_1593397475052_6,04a70a1b-66e3-4010-8d97-e9934b5b9ce0
tch_20200629-073759_5,45dae522-b9af-11ea-94cc-0242ac110002,std_1593397318543_5,fdce8b52-60dc-4fcf-a001-b8402ad2dbb9
tch_20200629-073759_8,f983a0fa-b9af-11ea-840b-0242ac110002,std_1593397619946_8,b1e3fa8e-a4f8-421f-8cb8-23f66a751845
tch_20200629-073759_9,60722fd6-b9b0-11ea-840b-0242ac110002,std_1593397792661_9,d0560063-2ded-4394-a770-7751a72f64a0
tch_20200629-073759_8,eb3adc57-b9af-11ea-94cc-0242ac110002,std_1593397596033_8,b1e3fa8e-a4f8-421f-8cb8-23f66a751845
tch_20200629-073759_7,96328575-b9af-11ea-94cc-0242ac110002,std_1593397453356_7,161c6a45-3d71-40c5-9f9b-c54a8ca0edcf
tch_20200629-073759_9,521daab0-b9b0-11ea-840b-0242ac110002,std_1593397768630_9,d0560063-2ded-4394-a770-7751a72f64a0
tch_20200629-073759_8,da85abcb-b9af-11ea-94cc-0242ac110002,std_1593397568000_8,b1e3fa8e-a4f8-421f-8cb8-23f66a751845
tch_20200629-073759_6,91ce8f46-b9af-11ea-840b-0242ac110002,std_1593397445981_6,a6980c01-8db8-4d18-bc40-cabc33ba7d59
tch_20200629-073759_9,41a77eac-b9b0-11ea-94cc-0242ac110002,std_1593397741022_9,d0560063-2ded-4394-a770-7751a72f64a0
tch_20200629-073759_7,876aa4f8-b9af-11ea-840b-0242ac110002,std_1593397428570_7,161c6a45-3d71-40c5-9f9b-c54a8ca0edcf
tch_20200629-073759_5,36354f45-b9af-11ea-94cc-0242ac110002,std_1593397292302_5,07b7190e-0999-42b8-97bb-d8a31af5d4e8
tch_20200629-073759_8,ca7a00d0-b9af-11ea-94cc-0242ac110002,std_1593397541072_8,b1e3fa8e-a4f8-421f-8cb8-23f66a751845
tch_20200629-073759_6,83fdb92f-b9af-11ea-840b-0242ac110002,std_1593397422808_6,a6980c01-8db8-4d18-bc40-cabc33ba7d59
tch_20200629-073759_7,785bd1f9-b9af-11ea-840b-0242ac110002,std_1593397403281_7,161c6a45-3d71-40c5-9f9b-c54a8ca0edcf
tch_20200629-073759_5,254cb1a5-b9af-11ea-840b-0242ac110002,std_1593397263930_5,07b7190e-0999-42b8-97bb-d8a31af5d4e8
tch_20200629-073759_9,3277dc2f-b9b0-11ea-94cc-0242ac110002,std_1593397715540_9,d0560063-2ded-4394-a770-7751a72f64a0
tch_20200629-073759_8,bc3f9437-b9af-11ea-94cc-0242ac110002,std_1593397517205_8,b1e3fa8e-a4f8-421f-8cb8-23f66a751845
tch_20200629-073759_6,73945e2e-b9af-11ea-94cc-0242ac110002,std_1593397395244_6,a6980c01-8db8-4d18-bc40-cabc33ba7d59
tch_20200629-073759_7,69636bb8-b9af-11ea-94cc-0242ac110002,std_1593397378184_7,161c6a45-3d71-40c5-9f9b-c54a8ca0edcf
tch_20200629-073759_9,226f65d4-b9b0-11ea-840b-0242ac110002,std_1593397688643_9,d0560063-2ded-4394-a770-7751a72f64a0
tch_20200629-073759_5,16553679-b9af-11ea-94cc-0242ac110002,std_1593397238796_5,07b7190e-0999-42b8-97bb-d8a31af5d4e8
tch_20200629-073759_6,62fdb238-b9af-11ea-94cc-0242ac110002,std_1593397367417_6,a6980c01-8db8-4d18-bc40-cabc33ba7d59
tch_20200629-073759_7,58b8c229-b9af-11ea-94cc-0242ac110002,std_1593397350179_7,161c6a45-3d71-40c5-9f9b-c54a8ca0edcf
tch_20200629-073759_5,0400ad34-b9af-11ea-94cc-0242ac110002,std_1593397207966_5,07b7190e-0999-42b8-97bb-d8a31af5d4e8
tch_20200629-073759_6,54726598-b9af-11ea-94cc-0242ac110002,std_1593397343007_6,a6980c01-8db8-4d18-bc40-cabc33ba7d59
tch_20200629-073759_5,f1de7eca-b9ae-11ea-840b-0242ac110002,std_1593397177356_5,07b7190e-0999-42b8-97bb-d8a31af5d4e8
tch_20200629-073759_10,73ec4c86-b9b0-11ea-94cc-0242ac110002,std_1593397825362_10,e3188b6f-a906-47d3-be44-5b1915662350
tch_20200629-073759_10,653472c2-b9b0-11ea-94cc-0242ac110002,std_1593397800672_10,e3188b6f-a906-47d3-be44-5b1915662350
tch_20200629-073759_8,ac0c3d34-b9af-11ea-94cc-0242ac110002,std_1593397490030_8,cd219320-6a9b-4896-9d4b-d75318de148c
tch_20200629-073759_10,55b8d3a0-b9b0-11ea-840b-0242ac110002,std_1593397774681_10,e3188b6f-a906-47d3-be44-5b1915662350
tch_20200629-073759_9,130d9018-b9b0-11ea-94cc-0242ac110002,std_1593397662767_9,506b5124-bad0-4e83-9aff-86e730cda448
tch_20200629-073759_8,9bf9dbe6-b9af-11ea-94cc-0242ac110002,std_1593397463043_8,cd219320-6a9b-4896-9d4b-d75318de148c
tch_20200629-073759_7,47995e23-b9af-11ea-840b-0242ac110002,std_1593397321476_7,049b8136-697d-4752-ab80-e668a1e105a7
tch_20200629-073759_10,448c9d6d-b9b0-11ea-94cc-0242ac110002,std_1593397745876_10,e3188b6f-a906-47d3-be44-5b1915662350
tch_20200629-073759_9,02142a20-b9b0-11ea-840b-0242ac110002,std_1593397634360_9,506b5124-bad0-4e83-9aff-86e730cda448
tch_20200629-073759_6,432fe8af-b9af-11ea-840b-0242ac110002,std_1593397314083_6,59cbcd09-ff1a-4ab5-a766-c503cc10ea8e
tch_20200629-073759_7,3806db17-b9af-11ea-840b-0242ac110002,std_1593397295328_7,049b8136-697d-4752-ab80-e668a1e105a7
tch_20200629-073759_8,8c647311-b9af-11ea-840b-0242ac110002,std_1593397436918_8,cd219320-6a9b-4896-9d4b-d75318de148c
tch_20200629-073759_10,357f28bf-b9b0-11ea-94cc-0242ac110002,std_1593397720600_10,e3188b6f-a906-47d3-be44-5b1915662350
tch_20200629-073759_9,f01ba43f-b9af-11ea-94cc-0242ac110002,std_1593397604196_9,506b5124-bad0-4e83-9aff-86e730cda448
tch_20200629-073759_7,27376b7a-b9af-11ea-840b-0242ac110002,std_1593397267165_7,049b8136-697d-4752-ab80-e668a1e105a7
tch_20200629-073759_8,7d3e1f68-b9af-11ea-94cc-0242ac110002,std_1593397411482_8,cd219320-6a9b-4896-9d4b-d75318de148c
tch_20200629-073759_6,320364fa-b9af-11ea-94cc-0242ac110002,std_1593397285249_6,59cbcd09-ff1a-4ab5-a766-c503cc10ea8e
tch_20200629-073759_6,22b390fb-b9af-11ea-94cc-0242ac110002,std_1593397259567_6,59cbcd09-ff1a-4ab5-a766-c503cc10ea8e
tch_20200629-073759_7,19a43b2b-b9af-11ea-94cc-0242ac110002,std_1593397244308_7,049b8136-697d-4752-ab80-e668a1e105a7
tch_20200629-073759_8,6ea4c9df-b9af-11ea-94cc-0242ac110002,std_1593397386949_8,cd219320-6a9b-4896-9d4b-d75318de148c
tch_20200629-073759_9,e01af5e8-b9af-11ea-94cc-0242ac110002,std_1593397577276_9,506b5124-bad0-4e83-9aff-86e730cda448
tch_20200629-073759_7,0a84ec24-b9af-11ea-94cc-0242ac110002,std_1593397218721_7,049b8136-697d-4752-ab80-e668a1e105a7
tch_20200629-073759_6,13dd0ad9-b9af-11ea-840b-0242ac110002,std_1593397234680_6,59cbcd09-ff1a-4ab5-a766-c503cc10ea8e
tch_20200629-073759_9,d16da312-b9af-11ea-94cc-0242ac110002,std_1593397552679_9,506b5124-bad0-4e83-9aff-86e730cda448
tch_20200629-073759_6,0257438d-b9af-11ea-840b-0242ac110002,std_1593397205026_6,59cbcd09-ff1a-4ab5-a766-c503cc10ea8e
tch_20200629-073759_10,25a4521d-b9b0-11ea-94cc-0242ac110002,std_1593397694023_10,4d61c223-ae75-42ed-bfba-2baab7076776
tch_20200629-073759_10,17347de2-b9b0-11ea-840b-0242ac110002,std_1593397669798_10,4d61c223-ae75-42ed-bfba-2baab7076776
tch_20200629-073759_8,5dcea322-b9af-11ea-840b-0242ac110002,std_1593397358753_8,6e669373-109e-4cec-8f7f-9c97e315018b
tch_20200629-073759_10,080ca3e4-b9b0-11ea-94cc-0242ac110002,std_1593397644376_10,4d61c223-ae75-42ed-bfba-2baab7076776
tch_20200629-073759_12,8e8f7489-b9b0-11ea-94cc-0242ac110002,std_1593397870018_12,5e79b11c-ce41-4366-8572-d7975b6bbc2f
tch_20200629-073759_8,4da1195e-b9af-11ea-94cc-0242ac110002,std_1593397331556_8,6e669373-109e-4cec-8f7f-9c97e315018b
tch_20200629-073759_9,c0d80856-b9af-11ea-840b-0242ac110002,std_1593397524883_9,32a414d0-cb43-489f-98c5-49ea0ec87ade
tch_20200629-073759_10,f792a70c-b9af-11ea-840b-0242ac110002,std_1593397616723_10,4d61c223-ae75-42ed-bfba-2baab7076776
tch_20200629-073759_12,80e8466b-b9b0-11ea-840b-0242ac110002,std_1593397847128_12,5e79b11c-ce41-4366-8572-d7975b6bbc2f
tch_20200629-073759_8,3ec318bf-b9af-11ea-94cc-0242ac110002,std_1593397306649_8,6e669373-109e-4cec-8f7f-9c97e315018b
tch_20200629-073759_9,b06f4959-b9af-11ea-94cc-0242ac110002,std_1593397497353_9,32a414d0-cb43-489f-98c5-49ea0ec87ade
tch_20200629-073759_10,e596c4c4-b9af-11ea-840b-0242ac110002,std_1593397586554_10,4d61c223-ae75-42ed-bfba-2baab7076776
tch_20200629-073759_11,9590aa75-b9b0-11ea-840b-0242ac110002,std_1593397881813_11,92073c28-accf-49a3-9079-d5ccc75722d9
tch_20200629-073759_12,6ffb63e9-b9b0-11ea-840b-0242ac110002,std_1593397818726_12,5e79b11c-ce41-4366-8572-d7975b6bbc2f
tch_20200629-073759_9,a2071563-b9af-11ea-840b-0242ac110002,std_1593397473175_9,32a414d0-cb43-489f-98c5-49ea0ec87ade
tch_20200629-073759_8,2ea03ccc-b9af-11ea-94cc-0242ac110002,std_1593397279521_8,6e669373-109e-4cec-8f7f-9c97e315018b
tch_20200629-073759_12,5f37daed-b9b0-11ea-840b-0242ac110002,std_1593397790614_12,5e79b11c-ce41-4366-8572-d7975b6bbc2f
tch_20200629-073759_11,86292f2a-b9b0-11ea-840b-0242ac110002,std_1593397855960_11,92073c28-accf-49a3-9079-d5ccc75722d9
