teacher,columnname,stdextuserid,colname2
tch_20200628-214431_3,9bcbdd8f-b95c-11ea-94cc-0242ac110002,std_1593361814492_3,03cff3ee-12ad-431e-ac25-ea9c8184b1e0
tch_20200628-214431_4,c14b78ea-b95c-11ea-94cc-0242ac110002,std_1593361877401_4,fd0291b5-8594-4fe8-baf1-f56784367322
tch_20200628-214431_5,f1a76284-b95c-11ea-94cc-0242ac110002,std_1593361958469_5,65cff69d-5aa6-4e90-a715-db8a7906cf5f
tch_20200628-214431_2,55776894-b95c-11ea-840b-0242ac110002,std_1593361696491_2,50688a34-6746-4e53-a5d7-805bb2ce6455
tch_20200628-214431_1,f489df0a-b95b-11ea-94cc-0242ac110002,std_1593361533834_1,8a6fc903-e549-479e-8bb1-68d22b664e46
tch_20200628-214431_4,b2937816-b95c-11ea-840b-0242ac110002,std_1593361852707_4,fd0291b5-8594-4fe8-baf1-f56784367322
tch_20200628-214431_3,8d5ad01d-b95c-11ea-94cc-0242ac110002,std_1593361790239_3,03cff3ee-12ad-431e-ac25-ea9c8184b1e0
tch_20200628-214431_2,4323545e-b95c-11ea-840b-0242ac110002,std_1593361665729_2,50688a34-6746-4e53-a5d7-805bb2ce6455
tch_20200628-214431_1,e4088ec6-b95b-11ea-840b-0242ac110002,std_1593361506159_1,8a6fc903-e549-479e-8bb1-68d22b664e46
tch_20200628-214431_4,a43815b3-b95c-11ea-840b-0242ac110002,std_1593361828604_4,fd0291b5-8594-4fe8-baf1-f56784367322
tch_20200628-214431_1,d28f237d-b95b-11ea-840b-0242ac110002,std_1593361476819_1,8a6fc903-e549-479e-8bb1-68d22b664e46
tch_20200628-214431_2,335fafe2-b95c-11ea-94cc-0242ac110002,std_1593361639251_2,50688a34-6746-4e53-a5d7-805bb2ce6455
tch_20200628-214431_6,40203102-b95d-11ea-840b-0242ac110002,std_1593362090176_6,fc9b0a2e-d846-483a-be9e-ebf608199ff8
tch_20200628-214431_4,9481ddd7-b95c-11ea-840b-0242ac110002,std_1593361802239_4,fd0291b5-8594-4fe8-baf1-f56784367322
tch_20200628-214431_1,c1ac52de-b95b-11ea-840b-0242ac110002,std_1593361448194_1,8a6fc903-e549-479e-8bb1-68d22b664e46
tch_20200628-214431_2,25f5d956-b95c-11ea-94cc-0242ac110002,std_1593361616729_2,50688a34-6746-4e53-a5d7-805bb2ce6455
tch_20200628-214431_6,2e009ad8-b95d-11ea-94cc-0242ac110002,std_1593362059781_6,fc9b0a2e-d846-483a-be9e-ebf608199ff8
tch_20200628-214431_5,e4047af1-b95c-11ea-94cc-0242ac110002,std_1593361935643_5,6f2b6f11-ee45-4c86-b446-05911daac2b5
tch_20200628-214431_6,1f1a0f2b-b95d-11ea-840b-0242ac110002,std_1593362034734_6,fc9b0a2e-d846-483a-be9e-ebf608199ff8
tch_20200628-214431_5,d49d4dfa-b95c-11ea-840b-0242ac110002,std_1593361909790_5,6f2b6f11-ee45-4c86-b446-05911daac2b5
tch_20200628-214431_3,7d4d021b-b95c-11ea-840b-0242ac110002,std_1593361763308_3,c6eef9ed-6b3f-4919-8ec0-64dc31403b84
tch_20200628-214431_6,10b50fbb-b95d-11ea-840b-0242ac110002,std_1593362010641_6,fc9b0a2e-d846-483a-be9e-ebf608199ff8
tch_20200628-214431_5,c4e938da-b95c-11ea-840b-0242ac110002,std_1593361883460_5,6f2b6f11-ee45-4c86-b446-05911daac2b5
tch_20200628-214431_3,6e3ca7ba-b95c-11ea-840b-0242ac110002,std_1593361738010_3,c6eef9ed-6b3f-4919-8ec0-64dc31403b84
tch_20200628-214431_4,86c57ae4-b95c-11ea-840b-0242ac110002,std_1593361779180_4,1b67f66a-0e73-4153-97fd-912843b2a975
tch_20200628-214431_6,0114d1d2-b95d-11ea-94cc-0242ac110002,std_1593361984417_6,fc9b0a2e-d846-483a-be9e-ebf608199ff8
tch_20200628-214431_5,b5965760-b95c-11ea-840b-0242ac110002,std_1593361857735_5,6f2b6f11-ee45-4c86-b446-05911daac2b5
tch_20200628-214431_3,5e1a4125-b95c-11ea-840b-0242ac110002,std_1593361710971_3,c6eef9ed-6b3f-4919-8ec0-64dc31403b84
tch_20200628-214431_4,76bd79d1-b95c-11ea-94cc-0242ac110002,std_1593361752299_4,1b67f66a-0e73-4153-97fd-912843b2a975
tch_20200628-214431_2,159f1b90-b95c-11ea-840b-0242ac110002,std_1593361589367_2,f7094815-94e6-4ec8-964a-4bcd2ca7eb79
tch_20200628-214431_7,4df76ffd-b95d-11ea-840b-0242ac110002,std_1593362113345_7,7301625b-f836-4aa4-9769-daeb0f6547cb
tch_20200628-214431_5,a6c8ab92-b95c-11ea-94cc-0242ac110002,std_1593361832878_5,6f2b6f11-ee45-4c86-b446-05911daac2b5
tch_20200628-214431_3,4f3e1651-b95c-11ea-94cc-0242ac110002,std_1593361686028_3,c6eef9ed-6b3f-4919-8ec0-64dc31403b84
tch_20200628-214431_4,67aafbf0-b95c-11ea-840b-0242ac110002,std_1593361727006_4,1b67f66a-0e73-4153-97fd-912843b2a975
tch_20200628-214431_7,3ddde2ca-b95d-11ea-840b-0242ac110002,std_1593362086381_7,7301625b-f836-4aa4-9769-daeb0f6547cb
tch_20200628-214431_2,04ebe6e0-b95c-11ea-840b-0242ac110002,std_1593361561335_2,f7094815-94e6-4ec8-964a-4bcd2ca7eb79
tch_20200628-214431_3,3e5f15f4-b95c-11ea-94cc-0242ac110002,std_1593361657707_3,c6eef9ed-6b3f-4919-8ec0-64dc31403b84
tch_20200628-214431_4,5761d38a-b95c-11ea-94cc-0242ac110002,std_1593361699625_4,1b67f66a-0e73-4153-97fd-912843b2a975
tch_20200628-214431_2,f458bd36-b95b-11ea-94cc-0242ac110002,std_1593361533517_2,f7094815-94e6-4ec8-964a-4bcd2ca7eb79
tch_20200628-214431_7,2e3bcf95-b95d-11ea-840b-0242ac110002,std_1593362060186_7,7301625b-f836-4aa4-9769-daeb0f6547cb
tch_20200628-214431_2,e4f9a581-b95b-11ea-94cc-0242ac110002,std_1593361507739_2,f7094815-94e6-4ec8-964a-4bcd2ca7eb79
tch_20200628-214431_4,49477206-b95c-11ea-94cc-0242ac110002,std_1593361676043_4,1b67f66a-0e73-4153-97fd-912843b2a975
tch_20200628-214431_6,efa4dc2a-b95c-11ea-840b-0242ac110002,std_1593361955151_6,8daf25ad-348e-431b-8e73-5f8b2bc3a6a9
tch_20200628-214431_7,2036a312-b95d-11ea-94cc-0242ac110002,std_1593362036576_7,7301625b-f836-4aa4-9769-daeb0f6547cb
tch_20200628-214431_2,d371e31a-b95b-11ea-840b-0242ac110002,std_1593361478015_2,f7094815-94e6-4ec8-964a-4bcd2ca7eb79
tch_20200628-214431_6,e0805d80-b95c-11ea-94cc-0242ac110002,std_1593361929770_6,8daf25ad-348e-431b-8e73-5f8b2bc3a6a9
tch_20200628-214431_5,9713105c-b95c-11ea-94cc-0242ac110002,std_1593361806549_5,354c8852-22b5-4be0-870a-b349dfb48882
tch_20200628-214431_7,1210a80d-b95d-11ea-840b-0242ac110002,std_1593362012895_7,7301625b-f836-4aa4-9769-daeb0f6547cb
tch_20200628-214431_6,d0a18f8a-b95c-11ea-94cc-0242ac110002,std_1593361903132_6,8daf25ad-348e-431b-8e73-5f8b2bc3a6a9
tch_20200628-214431_5,86e389e0-b95c-11ea-94cc-0242ac110002,std_1593361779409_5,354c8852-22b5-4be0-870a-b349dfb48882
tch_20200628-214431_6,c18b8fb4-b95c-11ea-94cc-0242ac110002,std_1593361877816_6,8daf25ad-348e-431b-8e73-5f8b2bc3a6a9
tch_20200628-214431_3,2bc45bc5-b95c-11ea-840b-0242ac110002,std_1593361626510_3,f9cd1162-3a7e-4712-b55d-02e9fdcebefc
tch_20200628-214431_5,77b56e4b-b95c-11ea-94cc-0242ac110002,std_1593361753903_5,354c8852-22b5-4be0-870a-b349dfb48882
tch_20200628-214431_4,3bbdde4a-b95c-11ea-840b-0242ac110002,std_1593361653315_4,1b75730f-1c3f-466a-b8cf-842d92811edb
tch_20200628-214431_3,1d779f62-b95c-11ea-94cc-0242ac110002,std_1593361602456_3,f9cd1162-3a7e-4712-b55d-02e9fdcebefc
tch_20200628-214431_6,b1af32bb-b95c-11ea-840b-0242ac110002,std_1593361851213_6,8daf25ad-348e-431b-8e73-5f8b2bc3a6a9
tch_20200628-214431_5,669ebc35-b95c-11ea-840b-0242ac110002,std_1593361725260_5,354c8852-22b5-4be0-870a-b349dfb48882
tch_20200628-214431_3,0e556a7e-b95c-11ea-94cc-0242ac110002,std_1593361577126_3,f9cd1162-3a7e-4712-b55d-02e9fdcebefc
tch_20200628-214431_7,02d3e6db-b95d-11ea-840b-0242ac110002,std_1593361987341_7,84c61ad9-0ecd-4a24-9960-3a13c9b4c079
tch_20200628-214431_4,2b606a0d-b95c-11ea-94cc-0242ac110002,std_1593361625866_4,1b75730f-1c3f-466a-b8cf-842d92811edb
tch_20200628-214431_5,54463b06-b95c-11ea-840b-0242ac110002,std_1593361694477_5,354c8852-22b5-4be0-870a-b349dfb48882
tch_20200628-214431_3,ff8992ef-b95b-11ea-94cc-0242ac110002,std_1593361552288_3,f9cd1162-3a7e-4712-b55d-02e9fdcebefc
tch_20200628-214431_4,1c5d2ece-b95c-11ea-94cc-0242ac110002,std_1593361600664_4,1b75730f-1c3f-466a-b8cf-842d92811edb
tch_20200628-214431_7,f4ab53fb-b95c-11ea-94cc-0242ac110002,std_1593361963566_7,84c61ad9-0ecd-4a24-9960-3a13c9b4c079
tch_20200628-214431_3,eddfa19a-b95b-11ea-94cc-0242ac110002,std_1593361522372_3,f9cd1162-3a7e-4712-b55d-02e9fdcebefc
tch_20200628-214431_4,0cfbce9d-b95c-11ea-840b-0242ac110002,std_1593361574854_4,1b75730f-1c3f-466a-b8cf-842d92811edb
tch_20200628-214431_7,e3a320c3-b95c-11ea-840b-0242ac110002,std_1593361935013_7,84c61ad9-0ecd-4a24-9960-3a13c9b4c079
tch_20200628-214431_6,a17e9aed-b95c-11ea-94cc-0242ac110002,std_1593361824005_6,35487708-b1b5-41fe-9ef9-57c6d6863ffb
tch_20200628-214431_4,fc520eba-b95b-11ea-94cc-0242ac110002,std_1593361546611_4,1b75730f-1c3f-466a-b8cf-842d92811edb
tch_20200628-214431_6,91dc6094-b95c-11ea-840b-0242ac110002,std_1593361797796_6,35487708-b1b5-41fe-9ef9-57c6d6863ffb
tch_20200628-214431_7,d3f28f51-b95c-11ea-840b-0242ac110002,std_1593361908669_7,84c61ad9-0ecd-4a24-9960-3a13c9b4c079
tch_20200628-214431_8,703b1a7b-b95d-11ea-94cc-0242ac110002,std_1593362170883_8,c1ff33cd-bb6a-4659-9fb4-d3b2a75d026d
tch_20200628-214431_6,82786762-b95c-11ea-94cc-0242ac110002,std_1593361771951_6,35487708-b1b5-41fe-9ef9-57c6d6863ffb
tch_20200628-214431_7,c3f2a3ef-b95c-11ea-94cc-0242ac110002,std_1593361881839_7,84c61ad9-0ecd-4a24-9960-3a13c9b4c079
tch_20200628-214431_5,448bbdc1-b95c-11ea-840b-0242ac110002,std_1593361668047_5,8fcede17-e132-45fc-9bf0-7c8627306fd3
tch_20200628-214431_8,5e705ab2-b95d-11ea-840b-0242ac110002,std_1593362141049_8,c1ff33cd-bb6a-4659-9fb4-d3b2a75d026d
tch_20200628-214431_6,72001886-b95c-11ea-94cc-0242ac110002,std_1593361744354_6,35487708-b1b5-41fe-9ef9-57c6d6863ffb
tch_20200628-214431_5,35859cea-b95c-11ea-840b-0242ac110002,std_1593361642896_5,8fcede17-e132-45fc-9bf0-7c8627306fd3
tch_20200628-214431_8,4db50f36-b95d-11ea-840b-0242ac110002,std_1593362112971_8,c1ff33cd-bb6a-4659-9fb4-d3b2a75d026d
tch_20200628-214431_6,606a999d-b95c-11ea-94cc-0242ac110002,std_1593361714840_6,35487708-b1b5-41fe-9ef9-57c6d6863ffb
tch_20200628-214431_5,26d38ed1-b95c-11ea-840b-0242ac110002,std_1593361618218_5,8fcede17-e132-45fc-9bf0-7c8627306fd3
tch_20200628-214431_8,3e0874fd-b95d-11ea-94cc-0242ac110002,std_1593362086683_8,c1ff33cd-bb6a-4659-9fb4-d3b2a75d026d
tch_20200628-214431_9,77e7abbe-b95d-11ea-840b-0242ac110002,std_1593362183775_9,257419ef-ad0f-4074-82a1-faca69d7cd7d
tch_20200628-214431_5,168c898b-b95c-11ea-840b-0242ac110002,std_1593361590909_5,8fcede17-e132-45fc-9bf0-7c8627306fd3
tch_20200628-214431_7,b6a7525a-b95c-11ea-840b-0242ac110002,std_1593361859538_7,84f87621-ebf2-44a4-bc4f-a1f2b560db45
tch_20200628-214431_8,2f72a132-b95d-11ea-94cc-0242ac110002,std_1593362062206_8,c1ff33cd-bb6a-4659-9fb4-d3b2a75d026d
tch_20200628-214431_9,696cb3b6-b95d-11ea-94cc-0242ac110002,std_1593362159453_9,257419ef-ad0f-4074-82a1-faca69d7cd7d
tch_20200628-214431_5,075dd0ed-b95c-11ea-94cc-0242ac110002,std_1593361565138_5,8fcede17-e132-45fc-9bf0-7c8627306fd3
tch_20200628-214431_7,a64c7677-b95c-11ea-840b-0242ac110002,std_1593361832080_7,84f87621-ebf2-44a4-bc4f-a1f2b560db45
tch_20200628-214431_9,5a042728-b95d-11ea-94cc-0242ac110002,std_1593362133626_9,257419ef-ad0f-4074-82a1-faca69d7cd7d
tch_20200628-214431_7,963f930b-b95c-11ea-94cc-0242ac110002,std_1593361805153_7,84f87621-ebf2-44a4-bc4f-a1f2b560db45
tch_20200628-214431_6,520217a9-b95c-11ea-840b-0242ac110002,std_1593361690675_6,fd6c4dd6-29a3-4679-bcab-abc3ed030712
tch_20200628-214431_9,488b0978-b95d-11ea-840b-0242ac110002,std_1593362104288_9,257419ef-ad0f-4074-82a1-faca69d7cd7d
tch_20200628-214431_6,42b21c18-b95c-11ea-840b-0242ac110002,std_1593361664979_6,fd6c4dd6-29a3-4679-bcab-abc3ed030712
tch_20200628-214431_7,87326ce7-b95c-11ea-840b-0242ac110002,std_1593361779908_7,84f87621-ebf2-44a4-bc4f-a1f2b560db45
tch_20200628-214431_8,20716231-b95d-11ea-840b-0242ac110002,std_1593362037037_8,e7dac4b8-dd7a-4e26-bc3b-31ab3ce0e4da
tch_20200628-214431_9,3acf4261-b95d-11ea-94cc-0242ac110002,std_1593362081220_9,257419ef-ad0f-4074-82a1-faca69d7cd7d
tch_20200628-214431_7,778a3f4c-b95c-11ea-840b-0242ac110002,std_1593361753652_7,84f87621-ebf2-44a4-bc4f-a1f2b560db45
tch_20200628-214431_6,31e914f9-b95c-11ea-840b-0242ac110002,std_1593361636785_6,fd6c4dd6-29a3-4679-bcab-abc3ed030712
tch_20200628-214431_10,88da5b7a-b95d-11ea-94cc-0242ac110002,std_1593362212210_10,4493919d-3a89-4f20-aaba-9b7c14a8607d
tch_20200628-214431_8,122a4afb-b95d-11ea-840b-0242ac110002,std_1593362013090_8,e7dac4b8-dd7a-4e26-bc3b-31ab3ce0e4da
tch_20200628-214431_10,7858489c-b95d-11ea-840b-0242ac110002,std_1593362184513_10,4493919d-3a89-4f20-aaba-9b7c14a8607d
tch_20200628-214431_6,22eabc66-b95c-11ea-840b-0242ac110002,std_1593361611680_6,fd6c4dd6-29a3-4679-bcab-abc3ed030712
tch_20200628-214431_8,0190b876-b95d-11ea-94cc-0242ac110002,std_1593361985217_8,e7dac4b8-dd7a-4e26-bc3b-31ab3ce0e4da
tch_20200628-214431_6,12007105-b95c-11ea-94cc-0242ac110002,std_1593361582989_6,fd6c4dd6-29a3-4679-bcab-abc3ed030712
tch_20200628-214431_10,6a7faa30-b95d-11ea-840b-0242ac110002,std_1593362161270_10,4493919d-3a89-4f20-aaba-9b7c14a8607d
tch_20200628-214431_8,f2049e6e-b95c-11ea-94cc-0242ac110002,std_1593361959127_8,e7dac4b8-dd7a-4e26-bc3b-31ab3ce0e4da
tch_20200628-214431_9,2a9f2089-b95d-11ea-840b-0242ac110002,std_1593362054097_9,805b60dc-cb64-4cb4-b4d9-6b717915c25b
tch_20200628-214431_7,68f04d89-b95c-11ea-840b-0242ac110002,std_1593361729141_7,adaa71d6-83ab-4acf-ac90-1c3a02130206
tch_20200628-214431_10,5b3c8040-b95d-11ea-94cc-0242ac110002,std_1593362135684_10,4493919d-3a89-4f20-aaba-9b7c14a8607d
tch_20200628-214431_8,e34a79a6-b95c-11ea-94cc-0242ac110002,std_1593361934403_8,e7dac4b8-dd7a-4e26-bc3b-31ab3ce0e4da
tch_20200628-214431_9,18ad77f3-b95d-11ea-94cc-0242ac110002,std_1593362023991_9,805b60dc-cb64-4cb4-b4d9-6b717915c25b
tch_20200628-214431_7,595936a6-b95c-11ea-94cc-0242ac110002,std_1593361702993_7,adaa71d6-83ab-4acf-ac90-1c3a02130206
tch_20200628-214431_10,4c26cea7-b95d-11ea-840b-0242ac110002,std_1593362110343_10,4493919d-3a89-4f20-aaba-9b7c14a8607d
tch_20200628-214431_9,0794a2cd-b95d-11ea-94cc-0242ac110002,std_1593361995294_9,805b60dc-cb64-4cb4-b4d9-6b717915c25b
tch_20200628-214431_7,4914ef80-b95c-11ea-94cc-0242ac110002,std_1593361675698_7,adaa71d6-83ab-4acf-ac90-1c3a02130206
tch_20200628-214431_9,f653d3b3-b95c-11ea-94cc-0242ac110002,std_1593361966370_9,805b60dc-cb64-4cb4-b4d9-6b717915c25b
tch_20200628-214431_7,3af5d383-b95c-11ea-94cc-0242ac110002,std_1593361652002_7,adaa71d6-83ab-4acf-ac90-1c3a02130206
tch_20200628-214431_9,e6f866a6-b95c-11ea-94cc-0242ac110002,std_1593361940565_9,805b60dc-cb64-4cb4-b4d9-6b717915c25b
tch_20200628-214431_7,2d209068-b95c-11ea-840b-0242ac110002,std_1593361628504_7,adaa71d6-83ab-4acf-ac90-1c3a02130206
tch_20200628-214431_8,d37262d1-b95c-11ea-94cc-0242ac110002,std_1593361907836_8,91731663-1954-413e-bbe7-22b3b8a9634d
tch_20200628-214431_10,3bb954cb-b95d-11ea-94cc-0242ac110002,std_1593362082773_10,ca93e25d-3ed2-4b33-b179-d8b021e128a2
tch_20200628-214431_8,c28928d8-b95c-11ea-840b-0242ac110002,std_1593361879467_8,91731663-1954-413e-bbe7-22b3b8a9634d
tch_20200628-214431_10,2ab7b1b4-b95d-11ea-94cc-0242ac110002,std_1593362054201_10,ca93e25d-3ed2-4b33-b179-d8b021e128a2
tch_20200628-214431_8,b0ba7233-b95c-11ea-94cc-0242ac110002,std_1593361849596_8,91731663-1954-413e-bbe7-22b3b8a9634d
tch_20200628-214431_10,1b34be8d-b95d-11ea-94cc-0242ac110002,std_1593362028272_10,ca93e25d-3ed2-4b33-b179-d8b021e128a2
tch_20200628-214431_8,a220591a-b95c-11ea-840b-0242ac110002,std_1593361825110_8,91731663-1954-413e-bbe7-22b3b8a9634d
tch_20200628-214431_10,0ba6d025-b95d-11ea-840b-0242ac110002,std_1593362002166_10,ca93e25d-3ed2-4b33-b179-d8b021e128a2
tch_20200628-214431_9,d9845757-b95c-11ea-840b-0242ac110002,std_1593361918035_9,80dc1637-48f9-436e-a2d0-07cc46fef66f
tch_20200628-214431_8,91e0585f-b95c-11ea-840b-0242ac110002,std_1593361797847_8,91731663-1954-413e-bbe7-22b3b8a9634d
tch_20200628-214431_12,a7d9b0da-b95d-11ea-94cc-0242ac110002,std_1593362264175_12,a2621598-c217-4374-b459-45a86aaf3650
tch_20200628-214431_10,fddcb0bf-b95c-11ea-840b-0242ac110002,std_1593361979024_10,ca93e25d-3ed2-4b33-b179-d8b021e128a2
tch_20200628-214431_9,c87baf4e-b95c-11ea-840b-0242ac110002,std_1593361889444_9,80dc1637-48f9-436e-a2d0-07cc46fef66f
tch_20200628-214431_12,99900133-b95d-11ea-94cc-0242ac110002,std_1593362240252_12,a2621598-c217-4374-b459-45a86aaf3650
tch_20200628-214431_9,bb0fdd0a-b95c-11ea-94cc-0242ac110002,std_1593361866937_9,80dc1637-48f9-436e-a2d0-07cc46fef66f
tch_20200628-214431_12,8af2db67-b95d-11ea-840b-0242ac110002,std_1593362215717_12,a2621598-c217-4374-b459-45a86aaf3650
tch_20200628-214431_9,a8ab7568-b95c-11ea-94cc-0242ac110002,std_1593361836082_9,80dc1637-48f9-436e-a2d0-07cc46fef66f
tch_20200628-214431_11,b1590615-b95d-11ea-840b-0242ac110002,std_1593362280144_11,f8f786e5-5a64-460e-ac9c-668c8f832a71
tch_20200628-214431_12,7d677313-b95d-11ea-840b-0242ac110002,std_1593362192995_12,a2621598-c217-4374-b459-45a86aaf3650
tch_20200628-214431_9,98bf123a-b95c-11ea-840b-0242ac110002,std_1593361809284_9,80dc1637-48f9-436e-a2d0-07cc46fef66f
tch_20200628-214431_11,9f5cafbe-b95d-11ea-840b-0242ac110002,std_1593362249979_11,f8f786e5-5a64-460e-ac9c-668c8f832a71
tch_20200628-214431_8,8063df37-b95c-11ea-840b-0242ac110002,std_1593361768498_8,f8fa3cca-9a5e-4bea-85e1-3c7dc8a2d7f8
