teacher,stduuid,stdextuserid,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200628-214431_4,1c5d2ece-b95c-11ea-94cc-0242ac110002,std_1593361600664_4,class_20200628-214431_4,nAg2-3RCv,b02172f3-ddc3-4762-bae9-66f6d866c89d,c50f67e1-573d-47ba-bf1e-47ce6e053438,5113b1da-a7fb-40ca-bb79-9d68abbcdb8c,622d1292-f359-4bcd-b5c4-ecab63ad3a80,8fcca78d-4286-4e9b-ab17-49d903cf639a
tch_20200628-214431_3,1d779f62-b95c-11ea-94cc-0242ac110002,std_1593361602456_3,class_20200628-214431_3,iuWB-ovYn,b36e5244-0df7-414d-a451-788bf94acfac,0c7c7560-215c-461f-8218-0b088f771342,262c3e0d-cfb2-41d0-877b-20786f68327e,91a15803-8f30-4423-8341-9f1f7a36a24d,b1a4c292-f0b8-41fc-a38d-208b6bdfb90c
tch_20200628-214431_6,22eabc66-b95c-11ea-840b-0242ac110002,std_1593361611680_6,class_20200628-214431_6,EW6C-zfon,0e5aafbe-be07-42b1-9beb-de8854d3dd91,f2e0e346-faa1-4d7f-abf7-aeaf6ea8e7fc,3c7b3db8-e733-43f2-8e8e-59ad5212075b,ada06703-2150-4d9e-8d20-59be3bb40a6b,73cfb70c-9e21-438c-9a20-2410b1bdc777
tch_20200628-214431_2,25f5d956-b95c-11ea-94cc-0242ac110002,std_1593361616729_2,class_20200628-214431_2,FVWG-4Q76,4ef2f538-6cd0-49df-97d9-00890e459eab,818948ce-9d54-4fdd-b0e4-692b8f18dcfe,e4c7fad8-2d14-4375-9c2b-c5bb275f4376,24dc6f23-d1d1-49b0-bc35-aa4af3ea615c,94f5643c-7ac6-4546-9dfb-557b05f7e676
tch_20200628-214431_5,26d38ed1-b95c-11ea-840b-0242ac110002,std_1593361618218_5,class_20200628-214431_5,d2f9-vAC3,81a1121d-6530-41e4-9cb5-a70065c100af,519d38a3-6bc2-4a92-a8cc-dcc542d0044d,672c023d-5d43-4844-be11-226a7b3ca802,9b7a7086-f5e9-4521-b8b8-45b70515b4ab,7dbab91d-137d-4554-aad9-73ec0e17293f
tch_20200628-214431_1,25c86001-b95c-11ea-840b-0242ac110002,std_1593361616464_1,class_20200628-214431_1,FcFd-jvRo,3f05fb84-24d9-44db-bbe5-4a06c69adb4e,132860c2-bb85-466e-b80a-031debdbd78c,b75d759b-46b6-4a8f-93b1-f617ac93a886,dd41abc1-ade8-4755-ac56-29550facbfab,20b2dfd5-ce6e-47a0-a336-e7761ec24a56
tch_20200628-214431_7,2d209068-b95c-11ea-840b-0242ac110002,std_1593361628504_7,class_20200628-214431_7,4hpB-9Vgp,efb79c86-f84e-4660-bf2f-a93d1dbdaadd,3ead6bb0-1987-432e-869f-a3f27c54ff81,7dd8220b-c134-4586-ac31-8d845ddcd404,93f26894-4f6c-4ca8-a01d-dcf1dd59d86e,a3ccae10-2cea-4e2c-8855-9e9aa48f682e
tch_20200628-214431_4,2b606a0d-b95c-11ea-94cc-0242ac110002,std_1593361625866_4,class_20200628-214431_4,nAg2-3RCv,b02172f3-ddc3-4762-bae9-66f6d866c89d,c50f67e1-573d-47ba-bf1e-47ce6e053438,5113b1da-a7fb-40ca-bb79-9d68abbcdb8c,622d1292-f359-4bcd-b5c4-ecab63ad3a80,8fcca78d-4286-4e9b-ab17-49d903cf639a
tch_20200628-214431_3,2bc45bc5-b95c-11ea-840b-0242ac110002,std_1593361626510_3,class_20200628-214431_3,iuWB-ovYn,b36e5244-0df7-414d-a451-788bf94acfac,0c7c7560-215c-461f-8218-0b088f771342,262c3e0d-cfb2-41d0-877b-20786f68327e,91a15803-8f30-4423-8341-9f1f7a36a24d,b1a4c292-f0b8-41fc-a38d-208b6bdfb90c
tch_20200628-214431_6,31e914f9-b95c-11ea-840b-0242ac110002,std_1593361636785_6,class_20200628-214431_6,EW6C-zfon,0e5aafbe-be07-42b1-9beb-de8854d3dd91,f2e0e346-faa1-4d7f-abf7-aeaf6ea8e7fc,3c7b3db8-e733-43f2-8e8e-59ad5212075b,ada06703-2150-4d9e-8d20-59be3bb40a6b,73cfb70c-9e21-438c-9a20-2410b1bdc777
tch_20200628-214431_2,335fafe2-b95c-11ea-94cc-0242ac110002,std_1593361639251_2,class_20200628-214431_2,FVWG-4Q76,4ef2f538-6cd0-49df-97d9-00890e459eab,818948ce-9d54-4fdd-b0e4-692b8f18dcfe,e4c7fad8-2d14-4375-9c2b-c5bb275f4376,24dc6f23-d1d1-49b0-bc35-aa4af3ea615c,94f5643c-7ac6-4546-9dfb-557b05f7e676
tch_20200628-214431_5,35859cea-b95c-11ea-840b-0242ac110002,std_1593361642896_5,class_20200628-214431_5,d2f9-vAC3,81a1121d-6530-41e4-9cb5-a70065c100af,519d38a3-6bc2-4a92-a8cc-dcc542d0044d,672c023d-5d43-4844-be11-226a7b3ca802,9b7a7086-f5e9-4521-b8b8-45b70515b4ab,7dbab91d-137d-4554-aad9-73ec0e17293f
tch_20200628-214431_1,37cad270-b95c-11ea-94cc-0242ac110002,std_1593361646617_1,class_20200628-214431_1,FcFd-jvRo,3f05fb84-24d9-44db-bbe5-4a06c69adb4e,132860c2-bb85-466e-b80a-031debdbd78c,b75d759b-46b6-4a8f-93b1-f617ac93a886,dd41abc1-ade8-4755-ac56-29550facbfab,20b2dfd5-ce6e-47a0-a336-e7761ec24a56
tch_20200628-214431_7,3af5d383-b95c-11ea-94cc-0242ac110002,std_1593361652002_7,class_20200628-214431_7,4hpB-9Vgp,efb79c86-f84e-4660-bf2f-a93d1dbdaadd,3ead6bb0-1987-432e-869f-a3f27c54ff81,7dd8220b-c134-4586-ac31-8d845ddcd404,93f26894-4f6c-4ca8-a01d-dcf1dd59d86e,a3ccae10-2cea-4e2c-8855-9e9aa48f682e
tch_20200628-214431_4,3bbdde4a-b95c-11ea-840b-0242ac110002,std_1593361653315_4,class_20200628-214431_4,nAg2-3RCv,b02172f3-ddc3-4762-bae9-66f6d866c89d,c50f67e1-573d-47ba-bf1e-47ce6e053438,5113b1da-a7fb-40ca-bb79-9d68abbcdb8c,622d1292-f359-4bcd-b5c4-ecab63ad3a80,8fcca78d-4286-4e9b-ab17-49d903cf639a
tch_20200628-214431_3,3e5f15f4-b95c-11ea-94cc-0242ac110002,std_1593361657707_3,class_20200628-214431_3,iuWB-ovYn,b36e5244-0df7-414d-a451-788bf94acfac,0c7c7560-215c-461f-8218-0b088f771342,262c3e0d-cfb2-41d0-877b-20786f68327e,91a15803-8f30-4423-8341-9f1f7a36a24d,b1a4c292-f0b8-41fc-a38d-208b6bdfb90c
tch_20200628-214431_6,42b21c18-b95c-11ea-840b-0242ac110002,std_1593361664979_6,class_20200628-214431_6,EW6C-zfon,0e5aafbe-be07-42b1-9beb-de8854d3dd91,f2e0e346-faa1-4d7f-abf7-aeaf6ea8e7fc,3c7b3db8-e733-43f2-8e8e-59ad5212075b,ada06703-2150-4d9e-8d20-59be3bb40a6b,73cfb70c-9e21-438c-9a20-2410b1bdc777
tch_20200628-214431_5,448bbdc1-b95c-11ea-840b-0242ac110002,std_1593361668047_5,class_20200628-214431_5,d2f9-vAC3,81a1121d-6530-41e4-9cb5-a70065c100af,519d38a3-6bc2-4a92-a8cc-dcc542d0044d,672c023d-5d43-4844-be11-226a7b3ca802,9b7a7086-f5e9-4521-b8b8-45b70515b4ab,7dbab91d-137d-4554-aad9-73ec0e17293f
tch_20200628-214431_8,453c2203-b95c-11ea-94cc-0242ac110002,std_1593361668961_8,class_20200628-214431_8,7cbY-82Qm,9540b650-79c9-44fa-95e5-5ce884aeedaf,c8e649f3-17ee-4aea-91b4-d0b254a94500,32171858-6003-42d1-a21b-9ec59ca28ad2,9caab2a8-16d2-4450-b11e-c4fc62bb77d1,2067e5ae-63f3-4505-be42-f2b258620adb
tch_20200628-214431_2,4323545e-b95c-11ea-840b-0242ac110002,std_1593361665729_2,class_20200628-214431_2,FVWG-4Q76,4ef2f538-6cd0-49df-97d9-00890e459eab,818948ce-9d54-4fdd-b0e4-692b8f18dcfe,e4c7fad8-2d14-4375-9c2b-c5bb275f4376,24dc6f23-d1d1-49b0-bc35-aa4af3ea615c,94f5643c-7ac6-4546-9dfb-557b05f7e676
tch_20200628-214431_4,49477206-b95c-11ea-94cc-0242ac110002,std_1593361676043_4,class_20200628-214431_4,nAg2-3RCv,b02172f3-ddc3-4762-bae9-66f6d866c89d,c50f67e1-573d-47ba-bf1e-47ce6e053438,5113b1da-a7fb-40ca-bb79-9d68abbcdb8c,622d1292-f359-4bcd-b5c4-ecab63ad3a80,8fcca78d-4286-4e9b-ab17-49d903cf639a
tch_20200628-214431_9,4935703a-b95c-11ea-94cc-0242ac110002,std_1593361675618_9,class_20200628-214431_9,GA9v-KAXq,98308f94-723f-4770-a75e-6f057404e306,191ce5d9-8385-4dc4-bfdb-84a54ed25a5a,af9beaf8-1d7f-423f-b8ba-8b0a657b1b5f,b36829a7-6a72-4b16-91d4-147b2a75d36e,2c013594-c5d7-4ea3-a5ab-eb1a285ffb65
tch_20200628-214431_1,482e87ec-b95c-11ea-840b-0242ac110002,std_1593361674162_1,class_20200628-214431_1,FcFd-jvRo,3f05fb84-24d9-44db-bbe5-4a06c69adb4e,132860c2-bb85-466e-b80a-031debdbd78c,b75d759b-46b6-4a8f-93b1-f617ac93a886,dd41abc1-ade8-4755-ac56-29550facbfab,20b2dfd5-ce6e-47a0-a336-e7761ec24a56
tch_20200628-214431_7,4914ef80-b95c-11ea-94cc-0242ac110002,std_1593361675698_7,class_20200628-214431_7,4hpB-9Vgp,efb79c86-f84e-4660-bf2f-a93d1dbdaadd,3ead6bb0-1987-432e-869f-a3f27c54ff81,7dd8220b-c134-4586-ac31-8d845ddcd404,93f26894-4f6c-4ca8-a01d-dcf1dd59d86e,a3ccae10-2cea-4e2c-8855-9e9aa48f682e
tch_20200628-214431_3,4f3e1651-b95c-11ea-94cc-0242ac110002,std_1593361686028_3,class_20200628-214431_3,iuWB-ovYn,b36e5244-0df7-414d-a451-788bf94acfac,0c7c7560-215c-461f-8218-0b088f771342,262c3e0d-cfb2-41d0-877b-20786f68327e,91a15803-8f30-4423-8341-9f1f7a36a24d,b1a4c292-f0b8-41fc-a38d-208b6bdfb90c
tch_20200628-214431_6,520217a9-b95c-11ea-840b-0242ac110002,std_1593361690675_6,class_20200628-214431_6,EW6C-zfon,0e5aafbe-be07-42b1-9beb-de8854d3dd91,f2e0e346-faa1-4d7f-abf7-aeaf6ea8e7fc,3c7b3db8-e733-43f2-8e8e-59ad5212075b,ada06703-2150-4d9e-8d20-59be3bb40a6b,73cfb70c-9e21-438c-9a20-2410b1bdc777
tch_20200628-214431_8,54bb44c7-b95c-11ea-840b-0242ac110002,std_1593361695230_8,class_20200628-214431_8,7cbY-82Qm,9540b650-79c9-44fa-95e5-5ce884aeedaf,c8e649f3-17ee-4aea-91b4-d0b254a94500,32171858-6003-42d1-a21b-9ec59ca28ad2,9caab2a8-16d2-4450-b11e-c4fc62bb77d1,2067e5ae-63f3-4505-be42-f2b258620adb
tch_20200628-214431_2,55776894-b95c-11ea-840b-0242ac110002,std_1593361696491_2,class_20200628-214431_2,FVWG-4Q76,4ef2f538-6cd0-49df-97d9-00890e459eab,818948ce-9d54-4fdd-b0e4-692b8f18dcfe,e4c7fad8-2d14-4375-9c2b-c5bb275f4376,24dc6f23-d1d1-49b0-bc35-aa4af3ea615c,94f5643c-7ac6-4546-9dfb-557b05f7e676
tch_20200628-214431_5,54463b06-b95c-11ea-840b-0242ac110002,std_1593361694477_5,class_20200628-214431_5,d2f9-vAC3,81a1121d-6530-41e4-9cb5-a70065c100af,519d38a3-6bc2-4a92-a8cc-dcc542d0044d,672c023d-5d43-4844-be11-226a7b3ca802,9b7a7086-f5e9-4521-b8b8-45b70515b4ab,7dbab91d-137d-4554-aad9-73ec0e17293f
tch_20200628-214431_4,5761d38a-b95c-11ea-94cc-0242ac110002,std_1593361699625_4,class_20200628-214431_4,nAg2-3RCv,b02172f3-ddc3-4762-bae9-66f6d866c89d,c50f67e1-573d-47ba-bf1e-47ce6e053438,5113b1da-a7fb-40ca-bb79-9d68abbcdb8c,622d1292-f359-4bcd-b5c4-ecab63ad3a80,8fcca78d-4286-4e9b-ab17-49d903cf639a
tch_20200628-214431_7,595936a6-b95c-11ea-94cc-0242ac110002,std_1593361702993_7,class_20200628-214431_7,4hpB-9Vgp,efb79c86-f84e-4660-bf2f-a93d1dbdaadd,3ead6bb0-1987-432e-869f-a3f27c54ff81,7dd8220b-c134-4586-ac31-8d845ddcd404,93f26894-4f6c-4ca8-a01d-dcf1dd59d86e,a3ccae10-2cea-4e2c-8855-9e9aa48f682e
tch_20200628-214431_1,58e4a2c3-b95c-11ea-840b-0242ac110002,std_1593361702246_1,class_20200628-214431_1,FcFd-jvRo,3f05fb84-24d9-44db-bbe5-4a06c69adb4e,132860c2-bb85-466e-b80a-031debdbd78c,b75d759b-46b6-4a8f-93b1-f617ac93a886,dd41abc1-ade8-4755-ac56-29550facbfab,20b2dfd5-ce6e-47a0-a336-e7761ec24a56
tch_20200628-214431_9,58042e17-b95c-11ea-94cc-0242ac110002,std_1593361700750_9,class_20200628-214431_9,GA9v-KAXq,98308f94-723f-4770-a75e-6f057404e306,191ce5d9-8385-4dc4-bfdb-84a54ed25a5a,af9beaf8-1d7f-423f-b8ba-8b0a657b1b5f,b36829a7-6a72-4b16-91d4-147b2a75d36e,2c013594-c5d7-4ea3-a5ab-eb1a285ffb65
tch_20200628-214431_3,5e1a4125-b95c-11ea-840b-0242ac110002,std_1593361710971_3,class_20200628-214431_3,iuWB-ovYn,b36e5244-0df7-414d-a451-788bf94acfac,0c7c7560-215c-461f-8218-0b088f771342,262c3e0d-cfb2-41d0-877b-20786f68327e,91a15803-8f30-4423-8341-9f1f7a36a24d,b1a4c292-f0b8-41fc-a38d-208b6bdfb90c
tch_20200628-214431_10,5f7bf409-b95c-11ea-94cc-0242ac110002,std_1593361713008_10,class_20200628-214431_10,pLp4-Ps6q,c5e130b2-b616-4b3b-a90b-2a53e4b10bd3,5980dc6d-da86-48bc-a767-63010ab1345b,dab5ce2a-866e-4649-a778-c87da44b3bd1,23d5b593-f044-4a16-8d6e-869aeea312bc,6f7a3a70-e34b-495b-89e5-c52230f43e5b
tch_20200628-214431_8,62bfacc1-b95c-11ea-840b-0242ac110002,std_1593361718747_8,class_20200628-214431_8,7cbY-82Qm,9540b650-79c9-44fa-95e5-5ce884aeedaf,c8e649f3-17ee-4aea-91b4-d0b254a94500,32171858-6003-42d1-a21b-9ec59ca28ad2,9caab2a8-16d2-4450-b11e-c4fc62bb77d1,2067e5ae-63f3-4505-be42-f2b258620adb
tch_20200628-214431_6,606a999d-b95c-11ea-94cc-0242ac110002,std_1593361714840_6,class_20200628-214431_6,EW6C-zfon,0e5aafbe-be07-42b1-9beb-de8854d3dd91,f2e0e346-faa1-4d7f-abf7-aeaf6ea8e7fc,3c7b3db8-e733-43f2-8e8e-59ad5212075b,ada06703-2150-4d9e-8d20-59be3bb40a6b,73cfb70c-9e21-438c-9a20-2410b1bdc777
tch_20200628-214431_2,6430061e-b95c-11ea-94cc-0242ac110002,std_1593361721151_2,class_20200628-214431_2,FVWG-4Q76,4ef2f538-6cd0-49df-97d9-00890e459eab,818948ce-9d54-4fdd-b0e4-692b8f18dcfe,e4c7fad8-2d14-4375-9c2b-c5bb275f4376,24dc6f23-d1d1-49b0-bc35-aa4af3ea615c,94f5643c-7ac6-4546-9dfb-557b05f7e676
tch_20200628-214431_4,67aafbf0-b95c-11ea-840b-0242ac110002,std_1593361727006_4,class_20200628-214431_4,nAg2-3RCv,b02172f3-ddc3-4762-bae9-66f6d866c89d,c50f67e1-573d-47ba-bf1e-47ce6e053438,5113b1da-a7fb-40ca-bb79-9d68abbcdb8c,622d1292-f359-4bcd-b5c4-ecab63ad3a80,8fcca78d-4286-4e9b-ab17-49d903cf639a
tch_20200628-214431_7,68f04d89-b95c-11ea-840b-0242ac110002,std_1593361729141_7,class_20200628-214431_7,4hpB-9Vgp,efb79c86-f84e-4660-bf2f-a93d1dbdaadd,3ead6bb0-1987-432e-869f-a3f27c54ff81,7dd8220b-c134-4586-ac31-8d845ddcd404,93f26894-4f6c-4ca8-a01d-dcf1dd59d86e,a3ccae10-2cea-4e2c-8855-9e9aa48f682e
tch_20200628-214431_5,669ebc35-b95c-11ea-840b-0242ac110002,std_1593361725260_5,class_20200628-214431_5,d2f9-vAC3,81a1121d-6530-41e4-9cb5-a70065c100af,519d38a3-6bc2-4a92-a8cc-dcc542d0044d,672c023d-5d43-4844-be11-226a7b3ca802,9b7a7086-f5e9-4521-b8b8-45b70515b4ab,7dbab91d-137d-4554-aad9-73ec0e17293f
tch_20200628-214431_1,691bc9f7-b95c-11ea-840b-0242ac110002,std_1593361729422_1,class_20200628-214431_1,FcFd-jvRo,3f05fb84-24d9-44db-bbe5-4a06c69adb4e,132860c2-bb85-466e-b80a-031debdbd78c,b75d759b-46b6-4a8f-93b1-f617ac93a886,dd41abc1-ade8-4755-ac56-29550facbfab,20b2dfd5-ce6e-47a0-a336-e7761ec24a56
tch_20200628-214431_9,69308a47-b95c-11ea-94cc-0242ac110002,std_1593361729555_9,class_20200628-214431_9,GA9v-KAXq,98308f94-723f-4770-a75e-6f057404e306,191ce5d9-8385-4dc4-bfdb-84a54ed25a5a,af9beaf8-1d7f-423f-b8ba-8b0a657b1b5f,b36829a7-6a72-4b16-91d4-147b2a75d36e,2c013594-c5d7-4ea3-a5ab-eb1a285ffb65
tch_20200628-214431_3,6e3ca7ba-b95c-11ea-840b-0242ac110002,std_1593361738010_3,class_20200628-214431_3,iuWB-ovYn,b36e5244-0df7-414d-a451-788bf94acfac,0c7c7560-215c-461f-8218-0b088f771342,262c3e0d-cfb2-41d0-877b-20786f68327e,91a15803-8f30-4423-8341-9f1f7a36a24d,b1a4c292-f0b8-41fc-a38d-208b6bdfb90c
tch_20200628-214431_10,70936993-b95c-11ea-94cc-0242ac110002,std_1593361741969_10,class_20200628-214431_10,pLp4-Ps6q,c5e130b2-b616-4b3b-a90b-2a53e4b10bd3,5980dc6d-da86-48bc-a767-63010ab1345b,dab5ce2a-866e-4649-a778-c87da44b3bd1,23d5b593-f044-4a16-8d6e-869aeea312bc,6f7a3a70-e34b-495b-89e5-c52230f43e5b
tch_20200628-214431_8,711a9a33-b95c-11ea-840b-0242ac110002,std_1593361742835_8,class_20200628-214431_8,7cbY-82Qm,9540b650-79c9-44fa-95e5-5ce884aeedaf,c8e649f3-17ee-4aea-91b4-d0b254a94500,32171858-6003-42d1-a21b-9ec59ca28ad2,9caab2a8-16d2-4450-b11e-c4fc62bb77d1,2067e5ae-63f3-4505-be42-f2b258620adb
tch_20200628-214431_6,72001886-b95c-11ea-94cc-0242ac110002,std_1593361744354_6,class_20200628-214431_6,EW6C-zfon,0e5aafbe-be07-42b1-9beb-de8854d3dd91,f2e0e346-faa1-4d7f-abf7-aeaf6ea8e7fc,3c7b3db8-e733-43f2-8e8e-59ad5212075b,ada06703-2150-4d9e-8d20-59be3bb40a6b,73cfb70c-9e21-438c-9a20-2410b1bdc777
tch_20200628-214431_2,75dc4112-b95c-11ea-840b-0242ac110002,std_1593361750822_2,class_20200628-214431_2,FVWG-4Q76,4ef2f538-6cd0-49df-97d9-00890e459eab,818948ce-9d54-4fdd-b0e4-692b8f18dcfe,e4c7fad8-2d14-4375-9c2b-c5bb275f4376,24dc6f23-d1d1-49b0-bc35-aa4af3ea615c,94f5643c-7ac6-4546-9dfb-557b05f7e676
tch_20200628-214431_4,76bd79d1-b95c-11ea-94cc-0242ac110002,std_1593361752299_4,class_20200628-214431_4,nAg2-3RCv,b02172f3-ddc3-4762-bae9-66f6d866c89d,c50f67e1-573d-47ba-bf1e-47ce6e053438,5113b1da-a7fb-40ca-bb79-9d68abbcdb8c,622d1292-f359-4bcd-b5c4-ecab63ad3a80,8fcca78d-4286-4e9b-ab17-49d903cf639a
