tchextuserid,classname,classcode,assignment1,assignment2,assignment3,assignment4,assignment5
tch_20200623-215505_18,class_20200623-215505_18,yhza-fF8o,8939b897-8a25-4876-af11-78453dc8e734,51b4adb5-95cf-4f52-a68a-b6b18841697b,92bb6521-e9d8-41d7-8e32-84bfb2f90d14,a4669a54-c8ca-47f0-8224-058ccb0a13f5,c3252a50-f7b4-46e5-81c2-ae8875845dbd,
tch_20200623-215505_17,class_20200623-215505_17,3MuG-84fE,6847b000-a65e-4195-a18b-cd7fce56781a,d759a4cb-758a-4d6d-adf9-9184b0b0bab4,81ac54f1-0259-489e-af59-c78831a8e381,79fefe84-6639-4216-8065-bb9e6284744f,4d2a828c-40c7-461c-bd05-22159cacc207,
tch_20200623-215505_21,class_20200623-215505_21,QFL7-fcYW,a81942b2-5140-41bf-adef-b4b56ce24737,23be2bd1-3251-4362-a422-08ae519b2c15,25e674a5-500f-4f5d-bfc9-c05c99ba6b1f,516d69af-b82e-4895-b46a-b4d7d06040f1,2338a850-5c47-431c-b71a-a8d263e19004,
tch_20200623-215505_19,class_20200623-215505_19,Q9B6-o62y,751478b4-bb4e-4cbd-8306-0d99db9094c7,b89424d4-3fb9-4a29-89ed-2cf68bf24d19,bb42f6c3-7d27-4a91-a620-bbe728ee542c,ee68cac0-e80b-47e1-9dd8-693acb26956d,f4422db0-fb70-4cf2-a6e4-d12108465d3c,
tch_20200623-215505_20,class_20200623-215505_20,kgcg-Xh47,8321c2c1-1c38-4a42-b3a7-0d513d6ba653,d5c12ff2-3b83-4ba1-8a13-707832bf4f45,121fe45a-e71b-4e0e-80e1-e58aab8a7c87,0feb50bf-9650-456d-a766-bc4e417207b9,700e7e2a-a579-4df6-ad14-8c435a83568b,
tch_20200623-215505_22,class_20200623-215505_22,Wr46-96XK,6d98dfff-a0d3-4dc6-b916-74dd78fdebd6,f3ba0b1e-4324-46d7-ac19-2ca0c93c311c,912d0e06-e044-41b9-b23a-82223f7a5daf,4d6622a0-361d-43d3-97b5-43c7e93cabdf,3711d261-abd8-4f5c-8ad6-f6ca596977a7,
tch_20200623-215505_23,class_20200623-215505_23,3hXc-2KZ3,76d6f49d-e18d-41fc-a918-ea65b9d0a08b,a9247ad8-ae35-43b0-829b-51250502b43c,134ba6be-af4c-4257-8e2b-2f85bd5bdc14,09a038f9-c92d-442b-aa0b-f865539222b4,a13a4016-ca47-49ce-b1cc-22317f01661b,
tch_20200623-215505_26,class_20200623-215505_26,TwFo-26We,8d968035-bc46-4d1c-85c3-5ad340e9ab2d,b787ecb9-5577-4015-9c41-115370f2043a,da75958a-1bac-43d6-a587-64730ce0e326,0b3ec7a2-d49e-4171-ac10-158b412bc625,b79470bc-59c1-48b8-a871-6ba1ff8cf585,
tch_20200623-215505_24,class_20200623-215505_24,Ub2r-fbWR,c551ce90-c784-4d45-a3eb-8960f63263d0,aa003473-1033-4bcc-9c84-a9d872b791a0,6db9975e-cf6c-4439-a313-a90cf8e9e6dc,75693cf5-4504-4862-a33b-68da742104ad,b4a296eb-4704-43c9-9481-38ad63c637b4,
tch_20200623-215505_27,class_20200623-215505_27,pF68-4q23,0a4eec2c-9f40-4c59-98da-39ffebea29ee,cd7153ec-d5d2-4550-8557-6da4eca8b036,1d1cabfa-7e31-414f-bdfb-cf4399489b3b,4f65076e-c704-408d-ae39-b1e7f5c069e2,c0d77617-f564-4352-9995-893767959dbd,
tch_20200623-215505_25,class_20200623-215505_25,UdfQ-48G6,c124ee7f-ea45-419b-81a0-a46a9d050463,222ab6cd-1906-4541-9f00-ac99836922e4,224491d9-a404-4b38-b7e3-5c302e8593d5,a746dfdc-2eee-4c2e-b61d-802009d38001,3729f9a6-93de-4dc3-8aa2-5d23fdd6d7c3,
tch_20200623-215505_29,class_20200623-215505_29,K8N4-B63P,7a56f7f6-b1cd-4c57-8363-4df70a4f0e5e,3bda125a-346d-49c6-9595-76e8b08676db,a14274ea-c770-4b65-83c0-6ced76e96f1f,64b4d254-1c06-426f-acc9-6390cb62e6db,c0c7b7ef-d5fb-4906-98bd-dadd52b16165,
tch_20200623-215505_32,class_20200623-215505_32,H747-FJX9,6c7982f1-b44b-4122-bee0-8377e06ad9b2,5895c38b-7a84-41e4-9e21-84d49eadbb10,8295da9c-0676-4481-826e-710067e196c8,86527986-e3d4-48a6-8bba-30af3160652c,5f75bfd5-e9d7-4acd-8a3c-644a69892a9b,
tch_20200623-215505_28,class_20200623-215505_28,K6Ux-9H3t,710561c0-4811-4e12-8903-e7ba6a2ea8fc,4d0b461f-9fd1-4cd4-8208-ef3aa6fb420a,99c74c17-dd06-4234-8762-911fc20e4b10,bcc8d411-ae49-43db-834d-363eaa82712d,063ec924-5de6-45ba-ab9f-33fbdbc8d280,
tch_20200623-215505_31,class_20200623-215505_31,d6Gz-cEgu,373b9c82-1ded-4fba-a5fa-66e8b30cdce5,8baed441-0615-49c1-8666-33d82a807176,d39c53e0-232d-461d-8d4a-134079165190,aaa8199f-335a-4085-a31b-712ea8f605ec,a3312a25-10ab-4404-a48a-0149ae37640d,
tch_20200623-215505_30,class_20200623-215505_30,9Wcy-4NF7,2a133108-1476-484f-89cd-603b7d1a2dd0,bd718695-b3dd-4013-9c79-3c73104a6422,240d8a2e-2647-4dba-a096-4637ddd3ede6,08200a3d-ce71-4517-a6df-351d0043871a,700fea39-2164-4e88-a847-7a464fe332da,
tch_20200623-215505_34,class_20200623-215505_34,Xzou-CNyv,df90aeb7-f857-4098-8169-f78917de190c,55f1e6ea-dc11-4a28-950f-75c00338c5b3,5a12b883-33e7-4bc6-8f16-7f365e14b05d,1b028b40-4343-495a-9c11-f7a95e31230f,9781655c-086f-4255-86f5-5b2915bb3f9d,
tch_20200623-215505_33,class_20200623-215505_33,o3jt-97Ve,b0293f8d-0d7d-4064-a044-ab5241ff113e,69efc8ed-cb88-4cdc-bd03-07991f4a0b2c,ab63cd31-3ac2-4821-bac1-903a0bcb21a5,bdd8806d-9bdb-44a0-92b3-bd30693890a3,49cf947b-8213-47f1-988f-ad3a7da083ca,
tch_20200623-215505_36,class_20200623-215505_36,279z-Ymk8,ae9ded53-7b1e-41b3-8bc7-8d098b1b483c,4df4f583-53cf-43f0-83ba-0bf939d09efc,019beab9-51dc-4956-8c67-277af5e4a20b,a1a78e82-6869-4a49-b554-2e60206a1c11,83cd5645-0fc7-49c3-b95c-c6505315e9cd,
tch_20200623-215505_39,class_20200623-215505_39,j9yo-7Xqz,a276419a-a531-43e4-8025-152fac267516,dd228e51-8937-4079-b7a9-43ea09a276e9,35a1fd19-84ab-47d8-8095-2f1f3c22febe,efab6ed5-58ab-48d3-9819-8519c76af4d5,2b5500e2-d4c8-4f3c-9973-16b1956ebbbb,
tch_20200623-215505_35,class_20200623-215505_35,vZnF-63YJ,cb972d36-681e-44ac-87e2-d9194ce30aef,16021085-f824-4b00-aab6-7b30ebad4273,0ed75819-a2ab-4025-a741-8d66ec3b4ba8,01258c75-49a7-493f-9bb1-eea38d84e8b2,7474276a-e140-4731-b528-8b0289b5791e,
tch_20200623-215505_37,class_20200623-215505_37,njh2-9WR4,d5ab1956-53ca-41b3-9d47-0002f87e398f,3ff5b867-cc79-4374-beab-d7573b49a97a,84a357c0-42ed-4144-a2ce-faae6df91cb4,b260fa75-e28d-46cf-8ebb-c8b5e0483250,6df2e50b-8527-473f-8431-cfc08ff4adba,
tch_20200623-215505_38,class_20200623-215505_38,y9DP-HEuy,51bc46b1-a455-4420-8d5c-67b918d67760,65535ad8-b61d-4408-9ec3-8b316483a1d8,23bcb84b-ca37-494c-9e6a-50c8c79e26fc,1c38de51-6744-48e5-9379-fbe39fcf085b,eb770a77-a8a4-4a11-88cc-a8e5992c5633,
tch_20200623-215505_40,class_20200623-215505_40,4bX7-CBF4,945a4b3d-681f-4b52-97db-89edac7433be,5b932466-9c89-41bb-880c-f00eef5e1efb,24c2a578-20fd-4c25-95e4-c18020f514d9,98a39a16-811a-479a-9adc-9c65697f4ff2,b9df295f-561c-4601-a2c0-18807ba30f6f,
tch_20200623-215505_42,class_20200623-215505_42,isP3-6Xmz,caec09e2-91e7-41b4-8441-5e0e6e76fad2,65410eb1-e6e1-417b-8795-d4189495bb99,9452e380-aceb-416a-a47c-0e270cbd6f6c,efd215f8-e155-4781-8e38-3281246d9e7c,235d65f8-e1b9-49f2-a340-aac27ee4a382,
tch_20200623-215505_41,class_20200623-215505_41,ChPL-CWfD,c67f9600-d4e7-470b-8244-0e4de82aca81,149b6da3-2f1b-41f5-bd2f-b6e6573a8717,f7b51aa4-2044-457e-899f-2951477e7a28,33fbe8db-b323-4660-a6f5-b11720f45dde,f2a0a216-6de8-4aff-b65c-f31ba2140b23,
tch_20200623-215505_44,class_20200623-215505_44,H2EJ-mkPA,e6500c5a-83a0-4b82-9640-b18eac40325b,c224e742-1f58-4cd9-92ac-70d660190d08,4e274e2b-5848-4033-970b-463db01d3571,bd14f8ee-c156-45d9-87ac-47264e972903,1c57d01a-e2b8-4f3f-b389-f1cd9eaf79f9,
tch_20200623-215505_43,class_20200623-215505_43,ed7c-bqbM,0a9089aa-30e6-420c-b48d-c233cc3b878c,eb9afae5-4dff-4b41-ba02-4bcab578d7fa,0203de9d-d4b3-40c2-a927-ef57b7ddcbea,4a880e84-8119-4381-9b8d-7f65976e9c38,1d828e92-a1a4-442d-8e2b-1855ea0b179e,
tch_20200623-215505_45,class_20200623-215505_45,Ro8d-o2L3,c7a24bd1-1bbe-4d80-aed8-8ab724cf6ddb,1ba83c9f-2afc-42a0-bad7-0b3096931cf6,a910d5e4-c555-4e82-8a46-2897179f2d1f,aa0d7bac-6923-46fa-ac90-6545d54675f0,d016958c-b421-4148-a370-fb35e05c2377,
tch_20200623-215505_46,class_20200623-215505_46,8XZd-RtjX,99bc1df7-b9b1-4472-a62c-3ce444e61d3d,9fa37195-3ed4-40f5-a175-6bb93fb437d4,931904a1-4e6c-4184-84e3-4b1e4fcd63c2,030bdb59-655c-425e-b66e-fe8b554d519a,e33b5e4f-b5b3-4580-a2d7-ff46e3163c37,
tch_20200623-215505_48,class_20200623-215505_48,bWso-YrGb,e31a25f1-8a6c-402c-a01e-18d595a07528,2507f71b-5a78-4409-8d44-ec7c0c0c6842,b2daec58-d9b2-4c2f-956e-0234e07f4156,be7c4d24-0c1b-4df5-81f0-85dcafad05ae,1a71be3d-c86c-4423-858d-f97c44d6db8f,
tch_20200623-215505_49,class_20200623-215505_49,9cqR-xHMJ,929f0998-5533-4f84-9d35-9a0f67daa4d5,e0ffbe0f-7a8e-4d56-8c65-02b98c4dfeac,9591fc17-df94-4dc6-8357-b47ba55fd601,38a0b5c5-5f43-4562-9584-876862985b4d,2e989e16-7125-462b-9c00-275bb2a06996,
tch_20200623-215505_47,class_20200623-215505_47,Bu4t-7CAJ,68c6c16e-22b9-4cf1-8aa3-d6ff54cec478,72fc9fa4-f1e2-4b9c-bfe3-da0e6ce706d2,25e7d77e-919b-4036-b7a9-51186ef2fd85,fd5cf276-0599-4f6f-810a-51abdb2a5a45,b5afe8c1-fd9d-4898-bf0a-eb9343ee3647,
tch_20200623-215505_53,class_20200623-215505_53,42NF-GYnw,34f19fea-c0de-47df-93b1-ce6e789e020c,c76dc9c5-449c-43ec-a00e-346c946d7b32,c540258e-969a-4cc8-84aa-d503e9d90f9f,b08f0aec-114f-4307-95e6-f560c4d88e59,47f9b1e3-2b65-4ae0-9f1c-bc967d025115,
tch_20200623-215505_50,class_20200623-215505_50,M8f8-mqHW,23529789-8d2f-49cb-b7e1-d1bf94965599,645bf13e-3951-4fbc-8346-9b2ec491c6ea,2a9bbb03-3f45-40d4-ae02-04875707ed1f,6b960ebb-15da-49bd-876a-7d0415c07700,6a74807a-4f0c-4162-b7ba-3f22f07076aa,
tch_20200623-215505_51,class_20200623-215505_51,7ewR-mG2P,60c03972-a7a1-48fd-9a46-a57ea5e7420d,56220d53-849f-4e14-ba15-88a13fb7cf99,94f55df1-8fd5-467e-b404-268cc8b86da8,702f7a38-1a2f-48e6-96d2-d5b1ab4889e3,e1414fce-c06b-42fb-8ed6-03f1a5cf0fc2,
tch_20200623-215505_54,class_20200623-215505_54,KofZ-YGxP,baa74754-b4e4-408b-b7a1-d10d0c4c1008,0a2839ab-88d1-4e6d-9be0-c57519e0be4b,82131d54-e168-445b-85a9-8938d91ab3df,f6fadcb9-2314-4e9f-844b-032b8dfad3a6,03162e9d-7366-423c-adf1-eb0ea92fc078,
tch_20200623-215505_52,class_20200623-215505_52,GDcJ-A73j,d8904ee8-95b7-4b02-84b3-b69a69ae8114,11b96e8f-b6d5-47cc-9834-239e91bb2bfc,a9dd02e6-4cb3-48a2-8158-f4b586c50cc7,10a236b1-716e-43f3-9209-01de5a81134e,037c0ff0-e0dc-4a16-8842-21cc7a2d494c,
tch_20200623-215505_55,class_20200623-215505_55,4G6V-9Lm8,9a30a518-4de6-4583-a2d8-e55c67b61e4a,67bf64b6-c77d-490d-91b2-6c8b06961980,6dd850da-8425-4fe9-b5cc-33c567a8bfc2,9193a7ef-21d1-4b62-b1bf-e5571410bd6a,2d10ca14-f9da-46f6-af6f-7b92e741f6de,
tch_20200623-215505_57,class_20200623-215505_57,zVBt-36Gq,83958fff-2730-4fd6-9c91-0f362ccd3b35,07bb30a1-94e9-4f33-b78b-b6bacfdc7640,a5364a0c-7c57-4306-920b-5a9240f72708,2083f2de-27ce-4215-a11f-8a90cfc17d87,1f9b309a-e9f4-4501-8291-38fbca31764a,
tch_20200623-215505_58,class_20200623-215505_58,uiem-ykR9,dfa30f30-d1d0-4a3e-a958-934268f8eb4d,f6a282f7-2f63-485d-bd4f-b715d7805119,096eb336-0461-4d3f-82d8-78a359d254c7,21715a0b-9127-49a3-8738-c529c7b2c741,da2873b0-f8f5-4680-86a5-6f5b13da4faf,
tch_20200623-215505_56,class_20200623-215505_56,NLnk-oFik,ea1ec755-c949-4aab-8660-2673165b209b,2794a8c3-f388-4ac9-9fba-e0c80ff7d425,7ee2f729-ceb6-41b0-bb9e-e44e10f286b6,399cd60e-cd43-4f22-937f-28ba6a48f1b5,bae1f5bd-3414-43ea-9145-7e233b958c53,
tch_20200623-215505_59,class_20200623-215505_59,mpr4-D2Lk,75935280-867d-41c6-a434-70907cfc28de,b143211f-046a-4f80-98bc-7a7f382221c5,1f63c298-b079-47cc-9c50-bae655a2ed6b,83271b50-c115-4af9-bcee-48de4c69d9c5,127392da-03e2-4d0c-8605-b8f265baa634,
tch_20200623-215505_60,class_20200623-215505_60,68pm-e73j,3ed6ccb2-a3b0-433c-9992-37b9f873cbcc,721a3afd-43a3-4118-8dad-2b749e0d1f9c,dedcde0e-9c5b-4f3f-a7fe-0c84fc8cea4b,0dcc1cdf-dd19-4d09-baee-fa32a5b7ca25,c897189f-9aa5-494e-8d60-d4c69641accc,
tch_20200623-215505_61,class_20200623-215505_61,aiEe-FCXB,064a251b-466b-439a-997b-2436c2e9b745,1aacfb04-a545-40c2-877d-24db9b31d360,b1f9260f-3e32-4d59-b7a2-6f9fc29147c1,eba11cea-67d8-402b-9613-65fb462205a8,1b8bd7b4-eb49-4443-b863-b5e86717683f,
tch_20200623-215505_62,class_20200623-215505_62,mqdm-sB6i,fd48b8cb-0af5-4898-a8ac-2d86a726ad6b,ec22e330-4d1f-4a95-ae79-490d3dab45d0,493f2391-f820-48fe-9de5-1e58b5fd5143,fd41c60c-48da-4e58-959f-10292ae84a18,46cc4f43-2356-4c97-83be-1454857d185f,
tch_20200623-215505_64,class_20200623-215505_64,6qEY-6d9a,eda14a7d-4003-4cb1-a971-1de1ec19607d,00a377c4-ae5b-45d0-9c63-96fc841006b0,661c0f9f-24e8-4128-b094-a68c77c1dea2,dcb6b85c-f77a-48bf-9613-c397f82401c9,ff8ae4cb-c520-4338-89bd-ad62b82c1a40,
tch_20200623-215505_65,class_20200623-215505_65,Ct8E-42p4,60b52993-ef32-49cb-98fb-230ebba221d5,88410f0f-c3d2-490b-8f2a-093c110911c8,1c190a86-d77f-42cf-9cc9-165c95c0ebcb,8b813797-950c-495a-ba95-c04651c17861,4dda8b60-4bcb-43cf-a606-4352dba6c8da,
tch_20200623-215505_63,class_20200623-215505_63,xrs7-gvbY,8581411c-b7b6-46ca-8e95-80ef31c2f81e,24c8fe68-d738-422c-8d8d-cfbccb92f86b,f4369336-6f63-4ee1-8b5a-fba3359a382b,35d0fbcb-2e69-4e83-87b1-9d272288b812,0fb19255-1d1d-4fe9-b748-5827d4f582e6,
tch_20200623-215505_66,class_20200623-215505_66,ozhP-8p7k,7c282b9f-cbd0-42d2-8fe0-b0237cd3f449,b476a280-d5d1-47fc-a9f2-051069bf7016,8c9f867d-2b0b-4590-9d84-91185847da97,525ec6de-a36f-422f-951e-eb83533e18b3,1cd5d2cb-b83e-48a0-abf3-013934ef6f69,
tch_20200623-215505_67,class_20200623-215505_67,Ji6N-hzFU,a067e5e2-8b6e-4726-adfe-42f31b1093ac,e32de650-0fef-4a98-9db4-4d996f72f090,be62fecb-53f5-463d-a4f1-d4b7f1822627,f6cd8be3-b69f-42f2-bf2c-76da9360037a,ada591b2-d44b-4384-8467-d3779d6696e0,
tch_20200623-215505_69,class_20200623-215505_69,Rw3M-efyH,7a3db999-a5c7-4859-a25c-4646686c20fc,29c0668c-a364-4322-a079-bfd3558c6c7e,6cbe6652-e91f-46d4-8dce-4ed63f081017,f1d4064f-e5cd-40c5-abc4-f9c2c5246ffe,0b9bcde8-95bf-4669-92ab-2f72b93ee389,
tch_20200623-215505_70,class_20200623-215505_70,Nfyu-6KY7,dafe8e84-58e5-4970-91af-76b0354aaa62,f8aba0bc-51b6-4063-9b33-11b4b5ce1026,e263e4dd-e9c3-45c0-afe9-190737407b63,cdd6e748-c548-47f0-8223-2d8175a96b7f,e3694c0e-2e1f-4130-a02c-fb32fd8e8de4,
tch_20200623-215505_68,class_20200623-215505_68,Keim-tXtr,ee3f64df-28de-44b8-9737-f67aded5649d,7f2afd84-59f6-4c8e-855a-8d9ed5dcc76b,9624f47c-d732-4009-a4db-a2052019e9cb,a608dec0-d672-439d-814c-a1b005c5b461,54d28243-c451-442f-81d5-0fba10c33ad4,
tch_20200623-215505_71,class_20200623-215505_71,sQ28-7pJg,3cd96923-936e-4557-8547-68c3a5f53b0a,cfba7595-1ab1-4a56-8815-7bb7940007eb,c69b7366-7a00-4231-a6fd-b3adbed4849e,9fb9e3ab-9e95-407d-b661-140a23f19b91,e790099b-bd3f-4e1e-906a-8cc8133ce8be,
tch_20200623-215505_73,class_20200623-215505_73,62sZ-tEC9,2fb8f1dc-ba4d-4a5f-999b-c73e1aae02ea,f2538f1c-b4b0-494e-855e-3f529dc7e21f,d0d85ce7-caa3-4df3-8432-76486f6cf830,041e9872-2b29-425c-a5fd-7250e5ef08f8,f02c2d56-1192-491c-9118-a60d52051013,
tch_20200623-215505_74,class_20200623-215505_74,f3TF-3HdW,a1d96e04-02c0-4da8-923e-cb0a265f7503,c41e47af-063f-429d-9d16-2ebfcd26243d,1ece0cfe-4c5d-4cc2-ad67-7dd689c9a06d,e4b5c352-6b65-45ac-97e7-13e70b69ed1a,e769b675-860b-402b-bf87-0832417d5f5a,
tch_20200623-215505_77,class_20200623-215505_77,nJjN-4XYJ,0d27e75c-1fd3-4ffa-a174-86bb8cb37c49,6407d12c-b18e-4449-b293-f6a465e6dbde,e6212f02-5679-4b15-950a-a6979348175e,8ae1323e-0ad5-44b5-8bf7-e20c872dfe6e,6d350731-13fd-4edd-ab41-e2ba3eeb1c31,
tch_20200623-215505_72,class_20200623-215505_72,7b2s-DGEK,05bdb608-4a3e-470b-9565-a39439fed055,ff8e1f87-66c2-4804-85a9-8a17a3360d22,f0f43082-3a63-4b0c-8b19-ebb9adcdf3d3,98d59e28-0bae-4684-8e2e-776bfee315bf,fddcb255-5430-4448-8b4a-16fbb59c0028,
tch_20200623-215505_75,class_20200623-215505_75,9QkZ-g96x,e4e7e55c-cc30-48fb-a9e2-79e62882ed67,34253782-cabb-4599-8227-cf1f2f103c58,c252c8c4-c6af-46c0-b7a5-ccd2c37c5d8e,604a497b-c9fa-4ecd-80b2-5f1c449f1de4,1ba283a4-4da1-423a-be5c-3ff0388ef029,
tch_20200623-215505_76,class_20200623-215505_76,8sDa-gPRJ,cb7baeb7-7a3a-4c16-a5c8-70a2aa11295e,b6d81ce9-66a9-41cb-8dd9-1237eabee00e,03773f4a-1932-480d-9bf1-3ffbf1524d4b,6e12326c-a1c6-4f93-816d-49f35d173e3c,f6e299c2-17a3-41f2-b12f-b392f1d65a6d,
tch_20200623-215505_78,class_20200623-215505_78,YBLV-Ks6a,5be3d69a-a967-404f-80ee-a95234d2baea,18d5e855-a9a0-46ba-b428-4e47df8ce6f0,8557ff50-30a4-4936-836c-2443c29ee435,f5e8da48-d268-4c6a-a260-bd5a60906cdc,8778ae6e-18df-4c79-baf7-a052310186e3,
tch_20200623-215505_79,class_20200623-215505_79,3M4v-76FG,e64c6493-8ad0-45f7-9faa-5ac3fc3e51c3,704ebff8-ea26-41b6-a5dd-c980e2285d56,7109f22d-d485-438d-8026-981e3217ff72,10ce40b8-14eb-4fef-8591-3e0398f9bf4f,9b9c76f9-6a46-466c-bf65-a0238ebfb191,
tch_20200623-215505_80,class_20200623-215505_80,gZsw-DQ4q,590c5c3f-b6c0-4464-bed6-f826756ec20e,bc67dd83-91cc-4579-ad12-8fc16f690062,1b7eeb5c-b1d2-4e0b-8b20-95b0c50e781f,bd1f5bb7-45a9-4967-8226-1a061661d08f,06efc20c-6f0b-4072-9189-4677c1bab05c,
tch_20200623-215505_81,class_20200623-215505_81,hmBQ-4yei,2a1d31df-abda-44ad-a597-3377dd62eb65,f1c4c778-9660-4cea-9921-4cd7ac170417,a4402705-0233-4155-8b22-2cb450d86239,16f62713-33d6-42b0-b20e-e426ef3a099d,c64c5c84-5fc4-414e-a94a-89c7607e09eb,
tch_20200623-215505_83,class_20200623-215505_83,N2bJ-EWTi,7c850bd0-eb3b-4f49-997d-6ff43d10e40b,2071b63d-33bf-4b88-b95a-f8de465fd3e2,977d69ad-0982-4e50-bf75-649b3a23124f,38dc96ec-e27b-4360-a3c7-62668b92a617,8dd03205-97a4-47f2-ab97-35067666a739,
