tchextuserid,studentuserid1,stdextuserid,classcode
tch_20220818-180043_4,e7fe51fb-1c26-4ac9-a995-c50140da0658,std_1660851867609_4,dQjK-Hm2Z
tch_20220818-180043_9,5f7fc3a8-d46f-4d47-bcfc-7cd36f3e92e6,std_1660851862480_9,9j2b-fB72
tch_20220818-180043_6,d428998b-15e0-4ce2-b6e7-caa09d18ee7d,std_1660851871628_6,edP8-iPAs
tch_20220818-180043_8,e94e4d2e-fad5-40c7-801e-8b5379baabc7,std_1660851875629_8,Jw37-hTDm
tch_20220818-180043_10,ec73883b-afde-4505-8bc0-503ad735d3c8,std_1660851878480_10,pWM8-dUso
tch_20220818-180043_5,eb305b83-2a53-4aa5-9213-4a52cfea354e,std_1660851883404_5,82ic-oFHb
tch_20220818-180043_7,3c5e80b4-3012-4bb2-b4a8-4fb667cf0c54,std_1660851886416_7,p8jU-3739
tch_20220818-180043_11,ed88723f-9f98-47ef-afea-1dc58edcf696,std_1660851894496_11,LdeY-q8Cf
tch_20220818-180043_9,defad59f-c2da-47da-b01b-dc044d2529a8,std_1660851894379_9,9j2b-fB72
tch_20220818-180043_6,958aaa2f-086a-4a37-9639-7a9273d2860c,std_1660851899798_6,edP8-iPAs
tch_20220818-180043_8,a52fefe8-117b-4dab-a043-95b8c43f0165,std_1660851903272_8,Jw37-hTDm
tch_20220818-180043_10,20010d16-0103-4e23-9a2a-b55f4d4d7d18,std_1660851904760_10,pWM8-dUso
tch_20220818-180043_12,e4cef050-65b3-4ee4-9b48-bd6bea3a37c1,std_1660851910495_12,vsTU-QpHk
tch_20220818-180043_7,3b680f52-0b14-41e2-af0f-2c2f7e40c328,std_1660851913775_7,p8jU-3739
tch_20220818-180043_9,f9c08bcb-6108-4854-abd1-4d4461457384,std_1660851924307_9,9j2b-fB72
tch_20220818-180043_11,565b07da-0971-4b6f-add2-cd423db31643,std_1660851924138_11,LdeY-q8Cf
tch_20220818-180043_13,6cb85022-9965-4734-a01e-9edf2af59f82,std_1660851926512_13,3p9r-3wcq
tch_20220818-180043_10,7cbfef86-9118-4ab3-bf60-a848e107ba8b,std_1660851933438_10,pWM8-dUso
tch_20220818-180043_8,63634339-20b1-4fa5-ab29-7058e37a4607,std_1660851933210_8,Jw37-hTDm
tch_20220818-180043_12,7836c3a3-4ab7-4041-953d-cd7eca971608,std_1660851937706_12,vsTU-QpHk
tch_20220818-180043_14,3229c3f3-0905-4b26-bb9e-0d4b8ebe09f5,std_1660851942513_14,e436-BPWU
tch_20220818-180043_11,d0170076-8dde-442e-bde0-8381e60af628,std_1660851952541_11,LdeY-q8Cf
tch_20220818-180043_9,fb0d2e86-128d-478e-8f76-8ff99782bdf0,std_1660851950358_9,9j2b-fB72
tch_20220818-180043_10,c62ce82f-0d8b-42b9-afb5-f4c5c3ccb623,std_1660851956095_10,pWM8-dUso
tch_20220818-180043_13,34dc3352-5eaa-48cb-a493-b2c2503c78e0,std_1660851955043_13,3p9r-3wcq
tch_20220818-180043_15,4a945390-b7af-4a47-81fa-9498148e89e8,std_1660851958529_15,B4ZE-bXrF
tch_20220818-180043_12,067c9736-71b0-4bf2-9760-438579020c70,std_1660851962251_12,vsTU-QpHk
tch_20220818-180043_14,3226128a-7a67-4388-977b-5924eb8ac18a,std_1660851965988_14,e436-BPWU
tch_20220818-180043_11,2ab0409c-a891-4b9b-be2d-a729371419c7,std_1660851977462_11,LdeY-q8Cf
tch_20220818-180043_16,d4d6b063-c716-40db-8b52-7c03fb5ac7e7,std_1660851974543_16,3pkE-ed4r
tch_20220818-180043_13,7d71c7a7-bdd9-4be6-8c5e-db90fb876ab5,std_1660851983798_13,3p9r-3wcq
tch_20220818-180043_15,ddafd749-635f-45b7-892a-d6dc8a600541,std_1660851989372_15,B4ZE-bXrF
tch_20220818-180043_17,b462456c-6924-47f1-be0d-9c0cac9d98bc,std_1660851990543_17,Pn73-6y38
tch_20220818-180043_12,9ea268b3-f2e7-4103-a0a1-52a1b4fc3d77,std_1660851989924_12,vsTU-QpHk
tch_20220818-180043_14,637924b2-6c0e-448c-a81e-13dc84a09c90,std_1660851993314_14,e436-BPWU
tch_20220818-180043_16,b4382e4c-06d9-4053-b328-3541807fd393,std_1660852002728_16,3pkE-ed4r
tch_20220818-180043_18,a75a6769-1087-4b00-bf6e-a861660862ed,std_1660852006543_18,wKMh-kteX
tch_20220818-180043_13,e2b72dee-f7df-45f7-9510-03fa6a610c32,std_1660852008776_13,3p9r-3wcq
tch_20220818-180043_15,e25abb40-6c40-4733-ab15-89a4d350df20,std_1660852013407_15,B4ZE-bXrF
tch_20220818-180043_17,655f7836-c960-471e-92c2-9d67385d51cf,std_1660852017552_17,Pn73-6y38
tch_20220818-180043_19,e9fde53a-3665-47ae-81cb-2119578143aa,std_1660852022560_19,wDAh-8pKD
tch_20220818-180043_14,0f397bb5-48ce-43e8-a940-4f0c0dca8a3a,std_1660852022861_14,e436-BPWU
tch_20220818-180043_16,0a574a4c-84ed-4966-93d9-3ef04a57165e,std_1660852029197_16,3pkE-ed4r
tch_20220818-180043_18,adea2e96-5eb1-4578-a04f-e499d02a117e,std_1660852032976_18,wKMh-kteX
tch_20220818-180043_20,521c02db-1ad6-4e20-93b4-dee1c2c005ec,std_1660852038576_20,4D7f-7jKw
tch_20220818-180043_15,20d81101-f5f3-4327-aa94-299479bcb644,std_1660852040158_15,B4ZE-bXrF
tch_20220818-180043_17,93ea48d9-dc6f-4c21-bffa-9d837f3b9967,std_1660852045331_17,Pn73-6y38
tch_20220818-180043_19,eadc32cc-3256-4d46-92fe-59c7e0395d29,std_1660852049221_19,wDAh-8pKD
tch_20220818-180043_21,6079ced5-49e5-496f-9d5a-815d94c7230c,std_1660852054576_21,4jB4-ujG6
tch_20220818-180043_16,a6fd4c2d-e5f4-49a0-bac6-430001b553ff,std_1660852054673_16,3pkE-ed4r
tch_20220818-180043_18,425744de-cede-4930-a3f6-38a25e01f53b,std_1660852057251_18,wKMh-kteX
tch_20220818-180043_20,76d8cd2a-2fcc-4478-a632-1bef2094821b,std_1660852064940_20,4D7f-7jKw
tch_20220818-180043_17,c5c480c9-a111-42ad-8725-d3908c3a4742,std_1660852069200_17,Pn73-6y38
tch_20220818-180043_19,16050503-48aa-4a96-9462-5e2fa16cd2b4,std_1660852075048_19,wDAh-8pKD
tch_20220818-180043_22,cd79f6cb-7ee0-4482-a2a5-4e55698d6755,std_1660852070591_22,Kp43-76m8
tch_20220818-180043_21,78a8e336-2c9f-4b23-b448-a393d5fe41fa,std_1660852078787_21,4jB4-ujG6
tch_20220818-180043_18,6ea3de32-9602-4f51-bddd-fadd39ce1297,std_1660852083804_18,wKMh-kteX
tch_20220818-180043_23,04f7a2e2-0d91-4e62-a1c8-f7194ffbf788,std_1660852086591_23,cd4m-2p8u
tch_20220818-180043_20,ae34ebba-13c6-4b16-b9a3-25774e691fac,std_1660852093193_20,4D7f-7jKw
tch_20220818-180043_22,b0ff3c63-7051-4421-b96d-b79ba6fd3fd0,std_1660852101847_22,Kp43-76m8
tch_20220818-180043_21,df471d2c-60e9-4ec0-8e4d-182c8168bb95,std_1660852105480_21,4jB4-ujG6
tch_20220818-180043_19,1c66f01e-8fb0-4361-a17e-d189226acab8,std_1660852099972_19,wDAh-8pKD
tch_20220818-180043_24,340f50e2-dfeb-4c2a-ba68-d677eb0e7d39,std_1660852102607_24,o3x7-GLmL
tch_20220818-180043_23,8f3d01a7-3a58-4181-8541-d4fc320df3e8,std_1660852116241_23,cd4m-2p8u
tch_20220818-180043_20,a2f2b6b9-3e60-4f39-a55b-494c5b12f458,std_1660852116970_20,4D7f-7jKw
tch_20220818-180043_25,d5fc5412-492e-4a5c-8bf1-c15baba9c337,std_1660852118607_25,n9mE-Xfr3
tch_20220818-180043_21,343ab0c5-b5a3-4229-85bf-7c4793351b9b,std_1660852128060_21,4jB4-ujG6
tch_20220818-180043_24,2cd192b5-d9f1-492d-b8d0-4244b142ac90,std_1660852130809_24,o3x7-GLmL
tch_20220818-180043_22,a4b8d75e-38c4-4149-9897-31ddb907e0dd,std_1660852127239_22,Kp43-76m8
tch_20220818-180043_26,ef9a535d-afe2-4c71-b7ac-5e7abc9bc56f,std_1660852134622_26,9E32-a468
tch_20220818-180043_23,af75da65-c57c-44a9-beb8-26ed51e50724,std_1660852139530_23,cd4m-2p8u
tch_20220818-180043_25,40f8525f-95c6-49a1-bf91-383a046d3b88,std_1660852145518_25,n9mE-Xfr3
tch_20220818-180043_27,6eebcb47-337b-4f16-b36d-8c06e2cfd45e,std_1660852150638_27,hqKu-C4Aj
tch_20220818-180043_24,68a2cc56-a0aa-416a-b779-46deb4292ba1,std_1660852152886_24,o3x7-GLmL
tch_20220818-180043_22,bca8a677-dbd3-489c-854a-7ee4ec468e21,std_1660852155475_22,Kp43-76m8
tch_20220818-180043_26,7845409c-625b-4cfb-a3f1-329dba694c80,std_1660852160227_26,9E32-a468
tch_20220818-180043_23,1772be6b-26ed-425a-93b3-b587a891ad43,std_1660852162582_23,cd4m-2p8u
tch_20220818-180043_28,db8b1ad8-1d69-467a-8686-a1955ae48558,std_1660852166637_28,43RJ-6FBd
tch_20220818-180043_27,d1cfd96d-2ac1-4f81-a5e0-8169c0619d50,std_1660852174260_27,hqKu-C4Aj
tch_20220818-180043_25,fe2755fc-7be4-40ee-bc29-f46f3b338159,std_1660852174057_25,n9mE-Xfr3
tch_20220818-180043_24,7137de4d-3414-413e-94eb-435f365534d1,std_1660852181948_24,o3x7-GLmL
tch_20220818-180043_29,59dd97cf-fb99-435f-9f18-b6704ede4f7e,std_1660852182653_29,RhX3-wN3p
tch_20220818-180043_26,da469d1f-1dc7-4cd0-ba9a-60cec367fde8,std_1660852187731_26,9E32-a468
tch_20220818-180043_28,93430a5c-9955-42bc-a814-01cfaa82fd7d,std_1660852191872_28,43RJ-6FBd
tch_20220818-180043_27,690301f0-ba78-4dc4-b732-089a21d85a7d,std_1660852198689_27,hqKu-C4Aj
tch_20220818-180043_30,680e30a4-9dd0-41db-9244-91b1a2e5e5ac,std_1660852198652_30,Dv98-Y2L3
tch_20220818-180043_25,0a2ee7f8-fda5-4108-a119-d2896a113acc,std_1660852203235_25,n9mE-Xfr3
tch_20220818-180043_26,6423c8cb-6a82-485c-8039-d060d28db6d5,std_1660852214311_26,9E32-a468
tch_20220818-180043_29,2af07c77-7bbc-42d6-9a21-02dacae52bf4,std_1660852213382_29,RhX3-wN3p
tch_20220818-180043_31,93ec9e64-ba99-471d-9488-b09598d52801,std_1660852214668_31,2Fz8-Kegs
tch_20220818-180043_27,a1184851-3f37-4431-addd-62c62ede165a,std_1660852221410_27,hqKu-C4Aj
tch_20220818-180043_28,2105ba9e-17be-4685-bdf4-a77d63009638,std_1660852220553_28,43RJ-6FBd
tch_20220818-180043_30,03f23f69-aa0f-4ccf-8dd1-d0350edaa480,std_1660852228536_30,Dv98-Y2L3
tch_20220818-180043_32,86b99b19-c344-4a49-ae4f-71a501f0e2fa,std_1660852230668_32,gx96-jMHw
tch_20220818-180043_29,5bdf714a-7e52-4f02-98ef-2541056f66d9,std_1660852242282_29,RhX3-wN3p
tch_20220818-180043_31,7ae67d23-7dda-4906-853d-b8d23a47cd75,std_1660852244031_31,2Fz8-Kegs
tch_20220818-180043_28,6e8b7709-571a-4424-a00b-63bb3928519a,std_1660852247960_28,43RJ-6FBd
tch_20220818-180043_33,a30f0792-1142-4201-90da-d6f64baad862,std_1660852246684_33,W87k-7cRj
tch_20220818-180043_30,d4b937b2-3e4e-49fe-915d-c3f23f0d8ee9,std_1660852254935_30,Dv98-Y2L3
tch_20220818-180043_32,3419c7da-047f-4bdc-b6c2-cbca2c8376b5,std_1660852256389_32,gx96-jMHw
tch_20220818-180043_34,072dcf4b-4c9f-4628-8bc9-fe341fd3aba1,std_1660852262700_34,Jo7i-UNKu
tch_20220818-180043_31,06ffeed3-18cd-44ba-ab10-85511e9077f1,std_1660852272059_31,2Fz8-Kegs
tch_20220818-180043_29,d7b285fe-69ae-43d2-9b1e-df31e4e7abb4,std_1660852271742_29,RhX3-wN3p
tch_20220818-180043_33,27c8b6fa-a0d7-4e3f-9722-0136f32a0ce3,std_1660852275757_33,W87k-7cRj
tch_20220818-180043_30,7f9e4fe1-bf70-4534-a38f-87e762250fff,std_1660852280643_30,Dv98-Y2L3
tch_20220818-180043_35,be3e34ec-a662-4ec0-aa97-7d1f6892b9a7,std_1660852278699_35,K6nx-i68U
tch_20220818-180043_32,11c64832-0b22-44b2-b417-f6f3057aa440,std_1660852281876_32,gx96-jMHw
tch_20220818-180043_34,2564aafc-307d-480b-a92e-99f8e6c83722,std_1660852287811_34,Jo7i-UNKu
tch_20220818-180043_36,6ffa1060-3ef6-460a-8a6c-11516edfdd7e,std_1660852294715_36,pYGg-syT9
tch_20220818-180043_33,f1fdb4dd-b318-4a6c-89d9-a4a031736944,std_1660852299004_33,W87k-7cRj
tch_20220818-180043_31,70557a15-9623-4682-9617-f7a8d3d7fc5f,std_1660852297253_31,2Fz8-Kegs
tch_20220818-180043_35,9e1bf5ec-8cd6-44a1-b06e-5599c63f6bc4,std_1660852305769_35,K6nx-i68U
tch_20220818-180043_37,b1ce712d-f7a3-445e-885d-9a4f3692327c,std_1660852310714_37,42J2-7pFR
tch_20220818-180043_34,b20cd5d3-70df-4702-acf7-cc141be948f2,std_1660852314045_34,Jo7i-UNKu
tch_20220818-180043_32,f6a524d3-d939-4084-be45-9c695966699a,std_1660852309532_32,gx96-jMHw
tch_20220818-180043_36,98413917-9751-4a65-8dae-a353db6faf8f,std_1660852322300_36,pYGg-syT9
tch_20220818-180043_33,b6e0d1d6-3d25-49d4-ad5d-d989728f3753,std_1660852325743_33,W87k-7cRj
tch_20220818-180043_38,2a5077f4-3829-40ca-b4c5-662bab5f9d39,std_1660852326731_38,92Lz-vQk4
tch_20220818-180043_35,5eaa72ab-06da-44e8-ad58-2ccdcdb19e30,std_1660852332750_35,K6nx-i68U
tch_20220818-180043_37,edeffefc-a8f0-418a-8ddb-b7d199cbeac6,std_1660852337205_37,42J2-7pFR
tch_20220818-180043_34,9bb43cde-a974-475c-9659-42e2ad45573f,std_1660852338528_34,Jo7i-UNKu
tch_20220818-180043_39,45c34757-c6a4-4109-9339-cd6bfd5b2dd9,std_1660852342731_39,8ey6-7dzZ
tch_20220818-180043_36,bb133db1-6f32-4594-9632-0f91592efa11,std_1660852348550_36,pYGg-syT9
tch_20220818-180043_38,b21f18b8-1c74-42bd-8fb0-74b0b2e03417,std_1660852355643_38,92Lz-vQk4
tch_20220818-180043_40,5c3b4800-5229-4292-b9ee-0fb00b2387d7,std_1660852358747_40,H79z-LZN8
tch_20220818-180043_35,3298263c-9735-4bdc-8b8a-77bbd539e4ac,std_1660852362174_35,K6nx-i68U
tch_20220818-180043_37,41a67d33-4e92-4190-bf43-e293228c8b63,std_1660852365355_37,42J2-7pFR
tch_20220818-180043_41,9c436655-1d15-49c1-a174-f8f89c4e2cbf,std_1660852374745_41,Xrxn-79vj
tch_20220818-180043_39,54eb415a-ab3a-4983-a425-f67246febd9d,std_1660852370459_39,8ey6-7dzZ
tch_20220818-180043_36,6c09feab-7fec-479e-98cb-a16462469d4a,std_1660852376611_36,pYGg-syT9
tch_20220818-180043_38,70afbafb-4b3e-4c5a-af81-75060f8a993f,std_1660852380154_38,92Lz-vQk4
tch_20220818-180043_40,472f1805-2b98-448c-a04d-90bc3d06980e,std_1660852382458_40,H79z-LZN8
tch_20220818-180043_37,0bd60642-6507-4056-b227-3a10922060cd,std_1660852391208_37,42J2-7pFR
tch_20220818-180043_42,15286264-2e53-4568-92c5-b9e2d472e5dc,std_1660852390762_42,WtjA-hyDu
tch_20220818-180043_41,55bef306-4651-4a4f-b508-8ccff25c4f74,std_1660852398637_41,Xrxn-79vj
tch_20220818-180043_39,06f5e57b-7c63-4422-b274-8eb1c13b4f8d,std_1660852400396_39,8ey6-7dzZ
tch_20220818-180043_38,0bc60787-bd3e-407d-a2cb-5ccf1c93007b,std_1660852407225_38,92Lz-vQk4
tch_20220818-180043_43,933cfd9e-fd9f-46dd-b482-f96b7305afb4,std_1660852406762_43,j9tJ-z98X
tch_20220818-180043_40,1e399916-3a59-45da-9da7-b5ffce4c0732,std_1660852408747_40,H79z-LZN8
tch_20220818-180043_42,15d828bd-db9f-446f-95e7-906bcc13bbc1,std_1660852416175_42,WtjA-hyDu
tch_20220818-180043_44,fe13aac1-dba2-4728-a823-c7fc9efdfcbf,std_1660852422778_44,M4C8-UKx6
tch_20220818-180043_41,8f141cd5-3713-4bcc-b5b3-cb66e2d51a66,std_1660852423533_41,Xrxn-79vj
tch_20220818-180043_39,093f4cfc-b66a-4cc3-8670-1ddd5555fce0,std_1660852426225_39,8ey6-7dzZ
tch_20220818-180043_43,b6d4d87a-f539-4f52-b1c9-2a0fcb5cc1b5,std_1660852433296_43,j9tJ-z98X
tch_20220818-180043_45,2b48ab22-7a1b-4e3c-85d5-9eac54f96109,std_1660852438793_45,Aie3-ME96
tch_20220818-180043_40,1b7c8b83-2d9c-43d2-a49e-72fad407b358,std_1660852435970_40,H79z-LZN8
tch_20220818-180043_42,732eab68-d29b-45d5-b147-05a11cc3effe,std_1660852442959_42,WtjA-hyDu
tch_20220818-180043_44,31ff5978-ce56-4d4c-aa89-a1cbd7f3ffba,std_1660852445502_44,M4C8-UKx6
tch_20220818-180043_41,28e790b2-e6d5-4018-8933-676aa9a744fc,std_1660852452001_41,Xrxn-79vj
tch_20220818-180043_46,de69b9d0-ac49-4c2f-965c-e4fc88422612,std_1660852454794_46,ok2B-uQ7F
tch_20220818-180043_43,7140c1c0-15dd-4528-9da6-6e180cb6c7ea,std_1660852458259_43,j9tJ-z98X
tch_20220818-180043_45,a6d3b4f3-c84c-45ea-891a-b5a3e7ecb766,std_1660852462615_45,Aie3-ME96
tch_20220818-180043_47,b744591f-1a67-432e-9f5a-56bd211b3978,std_1660852470809_47,EtF2-3xnm
tch_20220818-180043_44,d8dee9c9-3a25-494e-a74a-c17c0bcb8c05,std_1660852472328_44,M4C8-UKx6
tch_20220818-180043_42,fd7db3b4-4ded-4748-970f-2aa964ed722a,std_1660852470436_42,WtjA-hyDu
tch_20220818-180043_43,e05df6e9-bfcc-4cbb-add0-d7ff99f8c2b6,std_1660852486217_43,j9tJ-z98X
tch_20220818-180043_46,b270ddcb-de98-412a-be92-f41a8ef41a15,std_1660852482312_46,ok2B-uQ7F
tch_20220818-180043_45,ae61b9a6-d1ef-484e-ac27-94d6d75c3562,std_1660852487137_45,Aie3-ME96
tch_20220818-180043_48,dc8001fb-9bb3-4e6b-b121-587f4842dd99,std_1660852486810_48,E3Ro-948f
tch_20220818-180043_47,0090f51f-ca84-4847-b9b5-21688df8f8f8,std_1660852496733_47,EtF2-3xnm
tch_20220818-180043_44,09da4656-2577-4142-b6ef-32b02ef92625,std_1660852497488_44,M4C8-UKx6
tch_20220818-180043_49,e2fa1c52-96a4-4453-914f-80e1c9b7076a,std_1660852502825_49,96w7-z4td
tch_20220818-180043_45,37416db9-3023-4d2d-a318-54cf502f1fa2,std_1660852513859_45,Aie3-ME96
tch_20220818-180043_46,26c8f9cf-41df-414b-8f5f-76899839b6b9,std_1660852508822_46,ok2B-uQ7F
tch_20220818-180043_50,e29b758e-fb60-4824-9118-7e94ae28fd5d,std_1660852518824_50,4QMH-8CA8
tch_20220818-180043_48,c44a1fb6-6a10-46f3-87d9-f16b453d7c66,std_1660852516904_48,E3Ro-948f
tch_20220818-180043_47,eae9ac05-9fc6-4727-9f58-25ac9644b7e8,std_1660852521183_47,EtF2-3xnm
tch_20220818-180043_49,f0856385-8bf6-40ee-8730-f0b82966d8c8,std_1660852529506_49,96w7-z4td
tch_20220818-180043_51,56b6a3a4-93c3-44d0-9716-deebb81c7c14,std_1660852534840_51,6nGY-rn7s
tch_20220818-180043_46,f1c8115b-23dd-4e2b-9ba2-2da758ab1d35,std_1660852537476_46,ok2B-uQ7F
tch_20220818-180043_50,1f4c3bb6-409e-46b6-bf74-ca5d47d76e3b,std_1660852541153_50,4QMH-8CA8
tch_20220818-180043_47,ac576bc3-7cd1-4949-85d7-7153708fdc76,std_1660852547902_47,EtF2-3xnm
tch_20220818-180043_48,d81f967d-485d-4117-9915-3fbeef134602,std_1660852547239_48,E3Ro-948f
tch_20220818-180043_52,9011a230-e206-4c5f-b4e6-ff715e794c8c,std_1660852550841_52,Ey7s-6JFa
tch_20220818-180043_49,7a40ccf6-cf36-4d26-9473-49b2394c97c2,std_1660852558229_49,96w7-z4td
tch_20220818-180043_51,083d8ec6-144e-46cf-8caf-3943d0aa2ba4,std_1660852562776_51,6nGY-rn7s
tch_20220818-180043_53,7fa8fdbd-01a9-4176-a93f-8b640528deb6,std_1660852566856_53,b9yN-vdQ3
tch_20220818-180043_50,4af032cf-dc84-4796-9e9c-64dcd8d2f3a8,std_1660852567920_50,4QMH-8CA8
tch_20220818-180043_48,b028107e-bd5f-4df2-81b0-8b062b216c9b,std_1660852574509_48,E3Ro-948f
tch_20220818-180043_54,1a478cb7-a78b-4497-838d-ef298d776e18,std_1660852582856_54,ycyc-zvJF
tch_20220818-180043_52,a16d0008-b930-4827-8cad-ab9f6ff50587,std_1660852579536_52,Ey7s-6JFa
tch_20220818-180043_49,7e11c975-73f4-4bc4-8095-16956a44319a,std_1660852583395_49,96w7-z4td
tch_20220818-180043_51,861a74ae-7375-4fa0-9367-3f0e72ea6605,std_1660852588209_51,6nGY-rn7s
tch_20220818-180043_53,d4a0c59b-70cc-4785-86ec-8002de543e23,std_1660852591467_53,b9yN-vdQ3
tch_20220818-180043_55,b516161a-a064-4024-9cef-db01f8a3c31f,std_1660852598871_55,8as8-L74j
tch_20220818-180043_50,92cac2b0-43d7-48de-9b4d-1a3402df556c,std_1660852596356_50,4QMH-8CA8
tch_20220818-180043_54,42829507-d1aa-4b49-a49b-968cf65dadce,std_1660852607551_54,ycyc-zvJF
tch_20220818-180043_52,502a754f-3c23-4e60-a909-2636975e61d1,std_1660852607859_52,Ey7s-6JFa
tch_20220818-180043_51,3f4c6f7d-1bc5-41aa-b37d-e25aea7aacba,std_1660852613621_51,6nGY-rn7s
tch_20220818-180043_53,1322638c-2111-4a18-81d7-732107c6144a,std_1660852617592_53,b9yN-vdQ3
tch_20220818-180043_56,85a03401-2c12-47d4-a5cb-db96b1a8b1b1,std_1660852614871_56,Kfa8-xhTj
tch_20220818-180043_55,9812b883-167b-4cc9-bbd6-7a565d15f7e8,std_1660852622084_55,8as8-L74j
tch_20220818-180043_57,79862a7a-dfe3-478f-8bb8-73bce50e29d7,std_1660852630887_57,NzGr-Emwm
tch_20220818-180043_54,21702ec2-df0d-491d-bf6e-3f6be58a71a1,std_1660852633429_54,ycyc-zvJF
tch_20220818-180043_52,62f2cacc-4b88-46a2-a1d2-32bf43e19c52,std_1660852635698_52,Ey7s-6JFa
tch_20220818-180043_53,4848545b-1579-48fe-9085-4629da6d8b5f,std_1660852641463_53,b9yN-vdQ3
tch_20220818-180043_56,93615b71-4b47-4141-9211-23801ce05900,std_1660852641921_56,Kfa8-xhTj
tch_20220818-180043_58,95a75c95-0a13-438b-9180-317b5d84ce19,std_1660852646886_58,f2zy-6YG3
tch_20220818-180043_55,3a730d97-4972-4244-8813-64737eed17a6,std_1660852648585_55,8as8-L74j
tch_20220818-180043_54,f434b7d4-3bc5-4e4f-91bd-84c9e7e48286,std_1660852659605_54,ycyc-zvJF
tch_20220818-180043_57,51e5f265-4faf-4fbc-a9fa-4c3463b2dbd1,std_1660852659336_57,NzGr-Emwm
tch_20220818-180043_59,5d99e4da-1bd1-429a-8e70-f4aed6834c79,std_1660852662904_59,43X7-uQ93
tch_20220818-180043_56,d8390094-bb46-40fd-8199-f8c1032e62bf,std_1660852671441_56,Kfa8-xhTj
tch_20220818-180043_58,8a1d3161-3cd5-43b1-978e-fb7a4d912678,std_1660852677375_58,f2zy-6YG3
tch_20220818-180043_60,045d6851-b9af-4395-9eaf-f47282027348,std_1660852678903_60,Eh78-C7hP
tch_20220818-180043_55,9047782d-678b-4ce1-a127-bf484a1c606b,std_1660852678831_55,8as8-L74j
tch_20220818-180043_57,8ebaeb03-a59f-4fbf-b465-e07d3e48828d,std_1660852685615_57,NzGr-Emwm
tch_20220818-180043_59,63333ded-cecc-4198-86a6-aa93917f14c7,std_1660852691139_59,43X7-uQ93
tch_20220818-180043_58,7f96b7da-2d74-40fb-b31b-a25277ddd0a3,std_1660852700783_58,f2zy-6YG3
tch_20220818-180043_56,27ce0712-58f5-4de4-bb1f-81a548069460,std_1660852697394_56,Kfa8-xhTj
tch_20220818-180043_61,3ea60c59-b563-455f-857f-537d5e31c6d2,std_1660852694919_61,cH6e-Pg6U
tch_20220818-180043_60,c7177d97-800f-42ac-a40f-260efe1d7a08,std_1660852703716_60,Eh78-C7hP
tch_20220818-180043_57,ad719a29-fb60-4ec1-8c4d-dba3de02fea5,std_1660852710457_57,NzGr-Emwm
